r/a,Te,TD,TT,THe
0.0,30.715546178222954,26.61770884097743,26.61770884097743,26.61770884097743
0.006085874590163934,30.71138994645758,26.614140103341434,26.614140103341434,26.614140103341434
0.012172413114754099,30.69890866782145,26.60342554699919,26.60342554699919,26.60342554699919
0.01826069631147541,30.67808972479213,26.585556545570924,26.585556545570924,26.585556545570924
0.024347176229508195,30.64892922407318,26.560531356794883,26.560531356794883,26.560531356794883
0.030429945081967214,30.611431045488015,26.528355656521676,26.528355656521676,26.528355656521676
0.03651451065573771,30.565608377985065,26.48904106474497,26.48904106474497,26.48904106474497
0.04260668442622951,30.511480742562604,26.442606163546866,26.442606163546866,26.442606163546866
0.04870763524590164,30.449077501966954,26.38907700686186,26.38907700686186,26.38907700686186
0.05481377868852459,30.37843635706397,26.32848562198955,26.32848562198955,26.32848562198955
0.06092039344262295,30.299601829830628,26.260871002812802,26.260871002812802,26.260871002812802
0.06702497131147542,30.21262873296107,26.186278594704987,26.186278594704987,26.186278594704987
0.0731258155737705,30.11757712612915,26.104760771137208,26.104760771137208,26.104760771137208
0.07922181147540984,30.01451825899735,26.01637680202346,26.01637680202346,26.01637680202346
0.0853128319672131,29.90352900110953,25.92119181386898,25.92119181386898,25.92119181386898
0.09139934836065573,29.784694758851927,25.819276741814015,25.819276741814015,25.819276741814015
0.09748284016393442,29.658108879713623,25.710710273691966,25.710710273691966,25.710710273691966
0.10356489344262296,29.523871044122842,25.59557578624706,25.59557578624706,25.59557578624706
0.10964709426229509,29.382090645180227,25.473964273682697,25.473964273682697,25.473964273682697
0.11573105737704917,29.23288165665292,25.34597026873642,25.34597026873642,25.34597026873642
0.12181760655737704,29.076365989635114,25.211696756501958,25.211696756501958,25.211696756501958
0.1279069631147541,28.912673338320054,25.071250081242283,25.071250081242283,25.071250081242283
0.1339992049180328,28.741938515366485,24.92474334645982,24.92474334645982,24.92474334645982
0.1400945,28.56430327737785,24.77229380851162,24.77229380851162,24.77229380851162
0.14619314754098361,28.379915141045952,24.614025264077156,24.614025264077156,24.614025264077156
0.15229547131147542,28.18892869054128,24.45006443180553,24.45006443180553,24.45006443180553
0.1584012049180328,27.991501876760502,24.280544328486272,24.280544328486272,24.280544328486272
0.1645098237704918,27.787799809066833,24.10560164010399,24.10560164010399,24.10560164010399
0.17062011475409836,27.577992540181434,23.92537758815181,23.92537758815181,23.92537758815181
0.17673006147540984,27.36225334490363,23.740017291591514,23.740017291591514,23.740017291591514
