r/a,ne,nD,nT,nHe
0.0,1.857800574596834,0.7991024123238721,0.7991024123238721,0.05573401723790502
0.006085874590163934,1.8577215074620916,0.7990736353110571,0.7990736353110571,0.055731645223862744
0.012172413114754099,1.8574842081914247,0.7989872743595063,0.7989872743595063,0.05572452624574275
0.01826069631147541,1.857088235472162,0.7988431490229801,0.7988431490229801,0.05571264706416485
0.024347176229508195,1.856533438936714,0.7986411896583908,0.7986411896583908,0.05569600316810143
0.030429945081967214,1.8558196095010422,0.7983812876217321,0.7983812876217321,0.05567458828503127
0.03651451065573771,1.8549465796650855,0.798063338469858,0.798063338469858,0.05564839738995255
0.04260668442622951,1.8539143237745885,0.797687285747714,0.797687285747714,0.05561742971323766
0.04870763524590164,1.8527228582438011,0.7972530756665271,0.7972530756665271,0.05558168574731402
0.05481377868852459,1.851372191738595,0.7967606374605409,0.7967606374605409,0.055541165752157846
0.06092039344262295,1.8498624253196183,0.7962099266319992,0.7962099266319992,0.055495872759588546
0.06702497131147542,1.8481938525451354,0.7956009660424411,0.7956009660424411,0.05544581557635406
0.0731258155737705,1.8463666595333073,0.7949337192331966,0.7949337192331966,0.05539099978599921
0.07922181147540984,1.8443811249836988,0.7942081731944668,0.7942081731944668,0.05533143374951097
0.0853128319672131,1.8422377201578812,0.7934243848182436,0.7934243848182436,0.05526713160473643
0.09139934836065573,1.8399367588190558,0.7925823287634772,0.7925823287634772,0.05519810276457167
0.09748284016393442,1.8374788471307086,0.7916820895541344,0.7916820895541344,0.055124365413921246
0.10356489344262296,1.8348644335143378,0.7907236709430289,0.7907236709430289,0.05504593300543013
0.10964709426229509,1.8320942584663982,0.7897071849762601,0.7897071849762601,0.05496282775399194
0.11573105737704917,1.8291689543346572,0.7886326862663252,0.7886326862663252,0.054875068630039714
0.12181760655737704,1.8260891950542104,0.7875002296145602,0.7875002296145602,0.0547826758516263
0.1279069631147541,1.8228558958435028,0.7863099605203214,0.7863099605203214,0.05468567687530508
0.1339992049180328,1.8194698628607262,0.7850619629308419,0.7850619629308419,0.054584095885821776
0.1400945,1.8159320428210635,0.783756367340367,0.783756367340367,0.0544779612846319
0.14619314754098361,1.812243372575293,0.7823932848147176,0.7823932848147176,0.054367301177258784
0.15229547131147542,1.8084049286503272,0.7809728737217113,0.7809728737217113,0.05425214785950981
0.1584012049180328,1.8044177767523373,0.7794952736351004,0.7794952736351004,0.05413253330257012
0.1645098237704918,1.8002831212331591,0.7779606702280041,0.7779606702280041,0.05400849363699479
