rho,ne,nD,nT,nHe
0.34,1.316126422096554,0.5487029971972406,0.5487029971972406,0.07501594770927805
0.345,1.3129111824107242,0.5475655205927059,0.5475655205927059,0.07461590094307492
0.35,1.3094768356690252,0.5463338193894289,0.5463338193894289,0.07420626797866899
0.355,1.305825508611668,0.5450085667115017,0.5450085667115017,0.0737873766194177
0.36,1.3019593233891935,0.5435904281251205,0.5435904281251205,0.07335955850384157
0.365,1.2978818466800384,0.5420806087141506,0.5420806087141506,0.07292329324784155
0.37,1.2936039049291252,0.5404829435463077,0.5404829435463077,0.07247990282092433
0.375,1.2891566035159396,0.5388087397323782,0.5388087397323782,0.07203293604184427
0.38,1.2845669255743886,0.5370679755778837,0.5370679755778837,0.0715853011518647
0.385,1.2798411889074697,0.5352631793972863,0.5352631793972863,0.07113747272264372
0.39,1.2749828298506178,0.5333958800928349,0.5333958800928349,0.07068954392565628
0.395,1.2699948009970599,0.5314674422081057,0.5314674422081057,0.0702415412059654
0.4,1.2648803688273154,0.5294793721965814,0.5294793721965814,0.06979349796868535
0.405,1.2596427112493558,0.5274331445805474,0.5274331445805474,0.06934543839428389
0.41,1.25428521505615,0.5253303254668712,0.5253303254668712,0.06889739478674807
0.415,1.2488114733075337,0.5231779460868892,0.5231779460868892,0.06844956928591127
0.42,1.2432249826435084,0.520970071361999,0.520970071361999,0.06800175171679906
0.425,1.2375295405362212,0.5187107921565544,0.5187107921565544,0.06755407492017307
0.43,1.2317289424879974,0.5164018514339545,0.5164018514339545,0.06710658637613931
0.435,1.2258271291828795,0.5140450533874459,0.5140450533874459,0.0666593410162178
0.44,1.2198280835991961,0.5116422214320254,0.5116422214320254,0.066212394458082
0.445,1.2137364280907075,0.5091954517873551,0.5091954517873551,0.06576583202605232
0.45,1.2075591714438858,0.5067078726776738,0.5067078726776738,0.06531983538813965
0.455,1.20131738698333,0.5041886942009952,0.5041886942009952,0.06487515383100287
0.46,1.1950724272022637,0.5016645497049315,0.5016645497049315,0.06443415627657814
0.465,1.1888763984899942,0.499158056248182,0.499158056248182,0.06399885649624082
0.47,1.1827378478780466,0.49667297611225364,0.49667297611225364,0.06356952930939665
0.475,1.1766577261289066,0.494209785648059,0.494209785648059,0.06314614404166953
0.48,1.170635787687116,0.49176844098453854,0.49176844098453854,0.06272862468841914
0.485,1.1646714406310779,0.4893487503758203,0.4893487503758203,0.062316879318665655
0.49,1.1587640966255668,0.48695052153850177,0.48695052153850177,0.06191081826339565
0.495,1.1529131708749298,0.48457356330223483,0.48457356330223483,0.061510352509968946
0.5,1.1471181320769694,0.4822177061786507,0.4822177061786507,0.06111539671762322
0.505,1.1413784023774955,0.47988276019643933,0.47988276019643933,0.06072586407348593
0.51,1.1356934073255376,0.4775685361081369,0.4775685361081369,0.06034166865835436
0.515,1.1300625258292105,0.4752748240697338,0.4752748240697338,0.05996272310986328
0.52,1.1244853401122148,0.4730014994139985,0.4730014994139985,0.05958895124051963
0.525,1.1189611856709754,0.4707483322294289,0.4707483322294289,0.05922026533839706
0.53,1.113489601232393,0.4685151781167166,0.4685151781167166,0.058856588413112254
0.535,1.1080701787122138,0.4663019133513054,0.4663019133513054,0.058497848054727825
0.54,1.1027025434460278,0.4641084255105096,0.4641084255105096,0.0581439768005414
0.545,1.09738749408344,0.4619350864567694,0.4619350864567694,0.057794979417340804
0.55,1.0921254602466421,0.45978211517730666,0.45978211517730666,0.057450838782839415
0.555,1.086916256849792,0.4576494792516805,0.4576494792516805,0.057111497053602696
0.56,1.08175940138986,0.4555370218799145,0.4555370218799145,0.056776879905124415
0.565,1.0766544139249246,0.4534445868600583,0.4534445868600583,0.05644691359730793
0.57,1.0716009170526444,0.4513720598177701,0.4513720598177701,0.0561215312035377
0.575,1.0665983858889072,0.4493192637867569,0.4493192637867569,0.05580065861841048
0.58,1.0616464480466588,0.44728608520867785,0.44728608520867785,0.0554842305463235
0.585,1.0567445836149074,0.44527234729414683,0.44527234729414683,0.05517217514963773
0.59,1.0518924251379174,0.4432779369249912,0.4432779369249912,0.05486442912533098
0.595,1.047089557594572,0.4413027199503211,0.4413027199503211,0.05456092773835843
0.6,1.0423355183779264,0.43934654184006344,0.43934654184006344,0.054261604135588795
0.605,1.0376298972749398,0.43740926863782675,0.43740926863782675,0.05396639575252782
0.61,1.032972286446391,0.43549076749550536,0.43549076749550536,0.05367524004611729
0.615,1.0283622804069776,0.43359090549738455,0.43359090549738455,0.05338807570949951
0.62,1.0237992760056003,0.43170946687003453,0.43170946687003453,0.053104830598708255
0.625,1.0192823094079693,0.4298460905527903,0.4298460905527903,0.05282540626891894
0.63,1.014808429722301,0.427999603575218,0.427999603575218,0.05254957207802812
0.635,1.0103748839186832,0.4261689088371853,0.4261689088371853,0.05227711583438229
0.64,1.0059811036639752,0.42435379810228746,0.42435379810228746,0.05200797447602451
0.645,1.0016268207570314,0.4225541842691077,0.4225541842691077,0.05174210661489767
0.65,0.9973119771464188,0.42077006746676193,0.42077006746676193,0.051479483195470466
0.655,0.9930363699479521,0.419001386416823,0.419001386416823,0.05122006800240416
0.66,0.9887998814620566,0.41724811596937855,0.41724811596937855,0.05096382905867793
0.665,0.984602379190962,0.415510224070694,0.415510224070694,0.050710734303467904
0.67,0.980443735855725,0.41378768109639746,0.41378768109639746,0.050460751704847755
0.675,0.9763238294130907,0.41208045900556467,0.41208045900556467,0.05021385013182042
0.68,0.9722425230721896,0.4103885235852814,0.4103885235852814,0.04996999770166015
0.685,0.9681996903110764,0.4087118443719987,0.4087118443719987,0.04972916361447326
0.69,0.9641952098931175,0.4070503935106733,0.4070503935106733,0.04949131701081234
