@TEAV,TDAV,TTAV,TAAV [keV]  vs t@
X,TEAV,TDAV,TTAV,TAAV
 0.1220000E+00, 0.3109093E+01, 0.2930366E+01, 0.2928800E+01, 0.2940760E+01,
 0.1240000E+00, 0.3106090E+01, 0.2925479E+01, 0.2923897E+01, 0.2935922E+01,
 0.1260000E+00, 0.3103650E+01, 0.2921166E+01, 0.2919568E+01, 0.2931653E+01,
 0.1280000E+00, 0.3101627E+01, 0.2917291E+01, 0.2915676E+01, 0.2927819E+01,
 0.1300000E+00, 0.3099900E+01, 0.2913733E+01, 0.2912101E+01, 0.2924300E+01,
 0.1320000E+00, 0.3098395E+01, 0.2910420E+01, 0.2908772E+01, 0.2921025E+01,
 0.1340000E+00, 0.3097069E+01, 0.2907308E+01, 0.2905643E+01, 0.2917949E+01,
 0.1360000E+00, 0.3095889E+01, 0.2904364E+01, 0.2902684E+01, 0.2915041E+01,
 0.1380000E+00, 0.3094834E+01, 0.2901566E+01, 0.2899870E+01, 0.2912277E+01,
 0.1400000E+00, 0.3093887E+01, 0.2898897E+01, 0.2897185E+01, 0.2909642E+01,
 0.1420000E+00, 0.3093036E+01, 0.2896343E+01, 0.2894616E+01, 0.2907122E+01,
 0.1440000E+00, 0.3092269E+01, 0.2893894E+01, 0.2892152E+01, 0.2904706E+01,
 0.1460000E+00, 0.3091579E+01, 0.2891542E+01, 0.2889784E+01, 0.2902385E+01,
 0.1480000E+00, 0.3090958E+01, 0.2889278E+01, 0.2887505E+01, 0.2900152E+01,
 0.1500000E+00, 0.3090400E+01, 0.2887096E+01, 0.2885309E+01, 0.2898001E+01,
 0.1520000E+00, 0.3089901E+01, 0.2884991E+01, 0.2883189E+01, 0.2895926E+01,
 0.1540000E+00, 0.3089456E+01, 0.2882959E+01, 0.2881142E+01, 0.2893924E+01,
 0.1560000E+00, 0.3089062E+01, 0.2880996E+01, 0.2879164E+01, 0.2891990E+01,
 0.1580000E+00, 0.3088714E+01, 0.2879097E+01, 0.2877251E+01, 0.2890120E+01,
 0.1600000E+00, 0.3088411E+01, 0.2877260E+01, 0.2875400E+01, 0.2888312E+01,
 0.1620000E+00, 0.3088150E+01, 0.2875482E+01, 0.2873608E+01, 0.2886562E+01,
 0.1640000E+00, 0.3087928E+01, 0.2873760E+01, 0.2871872E+01, 0.2884868E+01,
 0.1660000E+00, 0.3087743E+01, 0.2872092E+01, 0.2870190E+01, 0.2883228E+01,
 0.1680000E+00, 0.3087593E+01, 0.2870476E+01, 0.2868561E+01, 0.2881639E+01,
 0.1700000E+00, 0.3087477E+01, 0.2868909E+01, 0.2866981E+01, 0.2880099E+01,
 0.1720000E+00, 0.3087393E+01, 0.2867391E+01, 0.2865449E+01, 0.2878607E+01,
 0.1740000E+00, 0.3087339E+01, 0.2865919E+01, 0.2863964E+01, 0.2877161E+01,
 0.1760000E+00, 0.3087315E+01, 0.2864491E+01, 0.2862523E+01, 0.2875760E+01,
 0.1780000E+00, 0.3087319E+01, 0.2863107E+01, 0.2861126E+01, 0.2874402E+01,
 0.1800000E+00, 0.3087349E+01, 0.2861766E+01, 0.2859771E+01, 0.2873085E+01,
 0.1820000E+00, 0.3087406E+01, 0.2860464E+01, 0.2858457E+01, 0.2871809E+01,
 0.1840000E+00, 0.3087487E+01, 0.2859202E+01, 0.2857183E+01, 0.2870572E+01,
 0.1860000E+00, 0.3087593E+01, 0.2857979E+01, 0.2855947E+01, 0.2869373E+01,
 0.1880000E+00, 0.3087722E+01, 0.2856793E+01, 0.2854748E+01, 0.2868212E+01,
 0.1900000E+00, 0.3087873E+01, 0.2855643E+01, 0.2853587E+01, 0.2867086E+01,
 0.1920000E+00, 0.3088045E+01, 0.2854529E+01, 0.2852460E+01, 0.2865996E+01,
 0.1940000E+00, 0.3088239E+01, 0.2853449E+01, 0.2851368E+01, 0.2864940E+01,
 0.1960000E+00, 0.3088453E+01, 0.2852403E+01, 0.2850310E+01, 0.2863917E+01,
