@TA [keV]  vs r@
X,TA_1,TA_2,TA_3,TA_4,TA_5,TA_6,TA_7,TA_8,TA_9,TA_10,TA_11,TA_12,TA_13,TA_14,TA_15,TA_16,TA_17,TA_18,TA_19,TA_20,TA_21,TA_22,TA_23,TA_24,TA_25,TA_26,TA_27,TA_28,TA_29,TA_30,TA_31,TA_32,TA_33,TA_34,TA_35,TA_36,TA_37,TA_38,TA_39,TA_40,TA_41,TA_42,TA_43,TA_44,TA_45,TA_46,TA_47,TA_48,TA_49,TA_50,TA_51,TA_52,TA_53,TA_54,TA_55,TA_56,TA_57,TA_58,TA_59,TA_60,TA_61,TA_62,TA_63,TA_64,TA_65,TA_66,TA_67,TA_68,TA_69,TA_70,TA_71,TA_72,TA_73,TA_74,TA_75,TA_76,TA_77,TA_78,TA_79,TA_80,TA_81,TA_82,TA_83,TA_84,TA_85,TA_86,TA_87,TA_88,TA_89,TA_90,TA_91,TA_92,TA_93,TA_94,TA_95,TA_96,TA_97,TA_98,TA_99,TA_100,TA_101,TA_102,TA_103
 0.2100000E+00, 0.9603100E+00, 0.1446687E+01, 0.1763137E+01, 0.2010995E+01, 0.2213902E+01, 0.2379866E+01, 0.2517769E+01, 0.2635474E+01, 0.2738165E+01, 0.2829231E+01, 0.2911109E+01, 0.2985552E+01, 0.3053734E+01, 0.3116511E+01, 0.3174087E+01, 0.3225393E+01, 0.3225393E+01, 0.4967484E+01, 0.7251395E+01, 0.9216721E+01, 0.1071564E+02, 0.1179286E+02, 0.1253499E+02, 0.1303027E+02, 0.1335377E+02, 0.1356219E+02, 0.1369533E+02, 0.1377994E+02, 0.1383355E+02, 0.1386744E+02, 0.1388884E+02, 0.1390235E+02, 0.1391086E+02, 0.1391623E+02, 0.1391962E+02, 0.1392175E+02, 0.1392310E+02, 0.1392310E+02, 0.1392395E+02, 0.1392448E+02, 0.1392482E+02, 0.1392503E+02, 0.1392516E+02, 0.1392525E+02, 0.1392530E+02, 0.1392533E+02, 0.1392535E+02, 0.1392537E+02, 0.1392538E+02, 0.1392538E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02, 0.1392539E+02,
 0.2300000E+00, 0.9523900E+00, 0.1425550E+01, 0.1755694E+01, 0.2024751E+01, 0.2236915E+01, 0.2404511E+01, 0.2541458E+01, 0.2657289E+01, 0.2757530E+01, 0.2845770E+01, 0.2924648E+01, 0.2995870E+01, 0.3060430E+01, 0.3119151E+01, 0.3171861E+01, 0.3217022E+01, 0.3217022E+01, 0.4784900E+01, 0.6987942E+01, 0.8894176E+01, 0.1034339E+02, 0.1138521E+02, 0.1210321E+02, 0.1258237E+02, 0.1289524E+02, 0.1309677E+02, 0.1322548E+02, 0.1330727E+02, 0.1335908E+02, 0.1339184E+02, 0.1341252E+02, 0.1342557E+02, 0.1343380E+02, 0.1343899E+02, 0.1344227E+02, 0.1344433E+02, 0.1344563E+02, 0.1344563E+02, 0.1344645E+02, 0.1344696E+02, 0.1344729E+02, 0.1344749E+02, 0.1344762E+02, 0.1344771E+02, 0.1344776E+02, 0.1344779E+02, 0.1344781E+02, 0.1344782E+02, 0.1344783E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02, 0.1344784E+02,
 0.2500000E+00, 0.9437500E+00, 0.1410285E+01, 0.1784251E+01, 0.2069966E+01, 0.2281041E+01, 0.2444033E+01, 0.2576174E+01, 0.2687503E+01, 0.2783120E+01, 0.2866707E+01, 0.2940969E+01, 0.3007103E+01, 0.3065845E+01, 0.3118693E+01, 0.3165587E+01, 0.3204237E+01, 0.3204237E+01, 0.4651397E+01, 0.6785536E+01, 0.8639162E+01, 0.1004424E+02, 0.1105333E+02, 0.1174799E+02, 0.1221110E+02, 0.1251327E+02, 0.1270781E+02, 0.1283202E+02, 0.1291094E+02, 0.1296092E+02, 0.1299252E+02, 0.1301247E+02, 0.1302506E+02, 0.1303300E+02, 0.1303801E+02, 0.1304117E+02, 0.1304316E+02, 0.1304441E+02, 0.1304441E+02, 0.1304520E+02, 0.1304570E+02, 0.1304601E+02, 0.1304621E+02, 0.1304634E+02, 0.1304641E+02, 0.1304646E+02, 0.1304649E+02, 0.1304651E+02, 0.1304653E+02, 0.1304653E+02, 0.1304654E+02, 0.1304654E+02, 0.1304654E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02, 0.1304655E+02,
 0.2700000E+00, 0.9343900E+00, 0.1434894E+01, 0.1860692E+01, 0.2145877E+01, 0.2348623E+01, 0.2502636E+01, 0.2627468E+01, 0.2732362E+01, 0.2821670E+01, 0.2899339E+01, 0.2967778E+01, 0.3026766E+01, 0.3077287E+01, 0.3121227E+01, 0.3159360E+01, 0.3190236E+01, 0.3190236E+01, 0.4548251E+01, 0.6621264E+01, 0.8429739E+01, 0.9800980E+01, 0.1078677E+02, 0.1146546E+02, 0.1191775E+02, 0.1221273E+02, 0.1240257E+02, 0.1252374E+02, 0.1260072E+02, 0.1264946E+02, 0.1268028E+02, 0.1269973E+02, 0.1271201E+02, 0.1271975E+02, 0.1272463E+02, 0.1272771E+02, 0.1272965E+02, 0.1273087E+02, 0.1273087E+02, 0.1273164E+02, 0.1273213E+02, 0.1273244E+02, 0.1273263E+02, 0.1273275E+02, 0.1273283E+02, 0.1273287E+02, 0.1273291E+02, 0.1273292E+02, 0.1273294E+02, 0.1273294E+02, 0.1273295E+02, 0.1273295E+02, 0.1273295E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02, 0.1273296E+02,
 0.2900000E+00, 0.9243100E+00, 0.1532934E+01, 0.1970651E+01, 0.2244762E+01, 0.2434342E+01, 0.2576995E+01, 0.2693549E+01, 0.2791010E+01, 0.2873288E+01, 0.2944768E+01, 0.3006801E+01, 0.3056955E+01, 0.3098161E+01, 0.3130799E+01, 0.3153489E+01, 0.3174291E+01, 0.3174291E+01, 0.4462079E+01, 0.6471900E+01, 0.8232852E+01, 0.9570612E+01, 0.1053412E+02, 0.1119785E+02, 0.1164016E+02, 0.1192857E+02, 0.1211412E+02, 0.1223255E+02, 0.1230776E+02, 0.1235539E+02, 0.1238550E+02, 0.1240450E+02, 0.1241650E+02, 0.1242406E+02, 0.1242883E+02, 0.1243184E+02, 0.1243373E+02, 0.1243492E+02, 0.1243492E+02, 0.1243568E+02, 0.1243615E+02, 0.1243645E+02, 0.1243664E+02, 0.1243676E+02, 0.1243683E+02, 0.1243688E+02, 0.1243691E+02, 0.1243693E+02, 0.1243694E+02, 0.1243695E+02, 0.1243695E+02, 0.1243695E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02, 0.1243696E+02,
 0.3100000E+00, 0.9135100E+00, 0.1658460E+01, 0.2089938E+01, 0.2347018E+01, 0.2520750E+01, 0.2651031E+01, 0.2758859E+01, 0.2847778E+01, 0.2922027E+01, 0.2986313E+01, 0.3039190E+01, 0.3074675E+01, 0.3099350E+01, 0.3118613E+01, 0.3135221E+01, 0.3150539E+01, 0.3150539E+01, 0.4383142E+01, 0.6313487E+01, 0.8008271E+01, 0.9296420E+01, 0.1022411E+02, 0.1086234E+02, 0.1128705E+02, 0.1156368E+02, 0.1174154E+02, 0.1185500E+02, 0.1192704E+02, 0.1197265E+02, 0.1200148E+02, 0.1201968E+02, 0.1203116E+02, 0.1203840E+02, 0.1204297E+02, 0.1204585E+02, 0.1204766E+02, 0.1204881E+02, 0.1204881E+02, 0.1204953E+02, 0.1204998E+02, 0.1205027E+02, 0.1205045E+02, 0.1205056E+02, 0.1205063E+02, 0.1205068E+02, 0.1205070E+02, 0.1205072E+02, 0.1205073E+02, 0.1205074E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02, 0.1205075E+02,
 0.3300000E+00, 0.9019900E+00, 0.1802468E+01, 0.2214733E+01, 0.2449094E+01, 0.2603327E+01, 0.2719170E+01, 0.2815732E+01, 0.2891556E+01, 0.2952073E+01, 0.2998952E+01, 0.3029625E+01, 0.3055833E+01, 0.3075866E+01, 0.3091313E+01, 0.3104808E+01, 0.3117086E+01, 0.3117086E+01, 0.4317845E+01, 0.6157595E+01, 0.7776504E+01, 0.9008914E+01, 0.9896654E+01, 0.1050682E+02, 0.1091249E+02, 0.1117657E+02, 0.1134630E+02, 0.1145456E+02, 0.1152329E+02, 0.1156681E+02, 0.1159431E+02, 0.1161167E+02, 0.1162263E+02, 0.1162953E+02, 0.1163389E+02, 0.1163663E+02, 0.1163837E+02, 0.1163946E+02, 0.1163946E+02, 0.1164014E+02, 0.1164058E+02, 0.1164085E+02, 0.1164102E+02, 0.1164113E+02, 0.1164120E+02, 0.1164124E+02, 0.1164127E+02, 0.1164129E+02, 0.1164130E+02, 0.1164130E+02, 0.1164131E+02, 0.1164131E+02, 0.1164131E+02, 0.1164131E+02, 0.1164131E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02, 0.1164132E+02,
 0.3500000E+00, 0.8897500E+00, 0.1933435E+01, 0.2317949E+01, 0.2527979E+01, 0.2663840E+01, 0.2768179E+01, 0.2850092E+01, 0.2906304E+01, 0.2941991E+01, 0.2967195E+01, 0.2988847E+01, 0.3008405E+01, 0.3024313E+01, 0.3036675E+01, 0.3047485E+01, 0.3057258E+01, 0.3057258E+01, 0.4252028E+01, 0.5963084E+01, 0.7477906E+01, 0.8640177E+01, 0.9480501E+01, 0.1005846E+02, 0.1044258E+02, 0.1069250E+02, 0.1085306E+02, 0.1095543E+02, 0.1102041E+02, 0.1106154E+02, 0.1108753E+02, 0.1110394E+02, 0.1111429E+02, 0.1112082E+02, 0.1112494E+02, 0.1112753E+02, 0.1112917E+02, 0.1113020E+02, 0.1113020E+02, 0.1113085E+02, 0.1113126E+02, 0.1113152E+02, 0.1113168E+02, 0.1113178E+02, 0.1113184E+02, 0.1113189E+02, 0.1113191E+02, 0.1113193E+02, 0.1113194E+02, 0.1113194E+02, 0.1113195E+02, 0.1113195E+02, 0.1113195E+02, 0.1113195E+02, 0.1113195E+02, 0.1113195E+02, 0.1113195E+02, 0.1113195E+02, 0.1113195E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02, 0.1113196E+02,
 0.3700000E+00, 0.8767900E+00, 0.1984628E+01, 0.2344183E+01, 0.2528490E+01, 0.2633836E+01, 0.2691508E+01, 0.2730624E+01, 0.2761231E+01, 0.2783014E+01, 0.2798049E+01, 0.2810693E+01, 0.2821968E+01, 0.2831578E+01, 0.2839212E+01, 0.2845827E+01, 0.2851761E+01, 0.2851761E+01, 0.4107170E+01, 0.5455239E+01, 0.6698579E+01, 0.7684886E+01, 0.8410744E+01, 0.8913866E+01, 0.9249392E+01, 0.9468046E+01, 0.9608628E+01, 0.9698304E+01, 0.9755239E+01, 0.9791285E+01, 0.9814064E+01, 0.9828446E+01, 0.9837520E+01, 0.9843242E+01, 0.9846849E+01, 0.9849124E+01, 0.9850557E+01, 0.9851461E+01, 0.9851461E+01, 0.9852031E+01, 0.9852389E+01, 0.9852615E+01, 0.9852758E+01, 0.9852848E+01, 0.9852904E+01, 0.9852941E+01, 0.9852962E+01, 0.9852977E+01, 0.9852985E+01, 0.9852991E+01, 0.9852995E+01, 0.9852997E+01, 0.9852999E+01, 0.9853000E+01, 0.9853000E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01, 0.9853001E+01,
 0.3900000E+00, 0.8631100E+00, 0.1781873E+01, 0.2013598E+01, 0.2149151E+01, 0.2233439E+01, 0.2284167E+01, 0.2314881E+01, 0.2336735E+01, 0.2352193E+01, 0.2362759E+01, 0.2371006E+01, 0.2377966E+01, 0.2383912E+01, 0.2388710E+01, 0.2392778E+01, 0.2396363E+01, 0.2396363E+01, 0.3808918E+01, 0.4640506E+01, 0.5451028E+01, 0.6160956E+01, 0.6708484E+01, 0.7096085E+01, 0.7357195E+01, 0.7528250E+01, 0.7638547E+01, 0.7709022E+01, 0.7753809E+01, 0.7782181E+01, 0.7800119E+01, 0.7811446E+01, 0.7818593E+01, 0.7823101E+01, 0.7825943E+01, 0.7827734E+01, 0.7828864E+01, 0.7829576E+01, 0.7829576E+01, 0.7830025E+01, 0.7830307E+01, 0.7830485E+01, 0.7830598E+01, 0.7830668E+01, 0.7830713E+01, 0.7830741E+01, 0.7830759E+01, 0.7830770E+01, 0.7830777E+01, 0.7830781E+01, 0.7830784E+01, 0.7830786E+01, 0.7830787E+01, 0.7830788E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01, 0.7830789E+01,
 0.4100000E+00, 0.8487100E+00, 0.1430705E+01, 0.1640747E+01, 0.1763093E+01, 0.1840238E+01, 0.1888065E+01, 0.1916699E+01, 0.1935872E+01, 0.1949179E+01, 0.1958233E+01, 0.1964958E+01, 0.1970396E+01, 0.1974994E+01, 0.1978738E+01, 0.1981864E+01, 0.1984578E+01, 0.1984578E+01, 0.3388374E+01, 0.3948208E+01, 0.4482601E+01, 0.4997346E+01, 0.5411965E+01, 0.5710701E+01, 0.5913446E+01, 0.6046711E+01, 0.6132780E+01, 0.6187818E+01, 0.6222811E+01, 0.6244983E+01, 0.6259003E+01, 0.6267857E+01, 0.6273444E+01, 0.6276968E+01, 0.6279190E+01, 0.6280591E+01, 0.6281474E+01, 0.6282030E+01, 0.6282030E+01, 0.6282381E+01, 0.6282602E+01, 0.6282741E+01, 0.6282829E+01, 0.6282885E+01, 0.6282919E+01, 0.6282941E+01, 0.6282955E+01, 0.6282964E+01, 0.6282969E+01, 0.6282973E+01, 0.6282975E+01, 0.6282976E+01, 0.6282977E+01, 0.6282978E+01, 0.6282978E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01, 0.6282979E+01,
 0.4300000E+00, 0.8335900E+00, 0.1311958E+01, 0.1515728E+01, 0.1634446E+01, 0.1709535E+01, 0.1756377E+01, 0.1784423E+01, 0.1802908E+01, 0.1815653E+01, 0.1824315E+01, 0.1830663E+01, 0.1835731E+01, 0.1839998E+01, 0.1843480E+01, 0.1846376E+01, 0.1848879E+01, 0.1848879E+01, 0.3158417E+01, 0.3699566E+01, 0.4187906E+01, 0.4664286E+01, 0.5051903E+01, 0.5332544E+01, 0.5523464E+01, 0.5649114E+01, 0.5730321E+01, 0.5782273E+01, 0.5815311E+01, 0.5836248E+01, 0.5849488E+01, 0.5857850E+01, 0.5863126E+01, 0.5866455E+01, 0.5868553E+01, 0.5869876E+01, 0.5870710E+01, 0.5871236E+01, 0.5871236E+01, 0.5871567E+01, 0.5871776E+01, 0.5871907E+01, 0.5871990E+01, 0.5872043E+01, 0.5872076E+01, 0.5872096E+01, 0.5872109E+01, 0.5872118E+01, 0.5872123E+01, 0.5872126E+01, 0.5872128E+01, 0.5872129E+01, 0.5872130E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01, 0.5872131E+01,
