@IP,IOH,INB,IRF,IBS,IPARA [MA]  vs t@
X,IP,IOH,INB,IRF,IBS,IPARA
 0.8800000E+00, 0.1399702E+02, 0.1354411E+02, 0.0000000E+00, 0.0000000E+00, 0.1484915E+00, 0.1369260E+02,
 0.9000000E+00, 0.1399702E+02, 0.1354331E+02, 0.0000000E+00, 0.0000000E+00, 0.1492905E+00, 0.1369260E+02,
 0.9200000E+00, 0.1399702E+02, 0.1354251E+02, 0.0000000E+00, 0.0000000E+00, 0.1500863E+00, 0.1369260E+02,
 0.9400000E+00, 0.1399702E+02, 0.1354172E+02, 0.0000000E+00, 0.0000000E+00, 0.1508790E+00, 0.1369260E+02,
 0.9600000E+00, 0.1399702E+02, 0.1354093E+02, 0.0000000E+00, 0.0000000E+00, 0.1516685E+00, 0.1369260E+02,
 0.9800000E+00, 0.1399702E+02, 0.1354014E+02, 0.0000000E+00, 0.0000000E+00, 0.1524548E+00, 0.1369260E+02,
 0.1000000E+01, 0.1399702E+02, 0.1353936E+02, 0.0000000E+00, 0.0000000E+00, 0.1532379E+00, 0.1369260E+02,
 0.1020000E+01, 0.1399702E+02, 0.1353858E+02, 0.0000000E+00, 0.0000000E+00, 0.1540178E+00, 0.1369260E+02,
 0.1040000E+01, 0.1399702E+02, 0.1353780E+02, 0.0000000E+00, 0.0000000E+00, 0.1547946E+00, 0.1369260E+02,
 0.1060000E+01, 0.1399702E+02, 0.1353703E+02, 0.0000000E+00, 0.0000000E+00, 0.1555681E+00, 0.1369260E+02,
 0.1080000E+01, 0.1399702E+02, 0.1353626E+02, 0.0000000E+00, 0.0000000E+00, 0.1563384E+00, 0.1369260E+02,
 0.1100000E+01, 0.1399702E+02, 0.1353549E+02, 0.0000000E+00, 0.0000000E+00, 0.1571056E+00, 0.1369260E+02,
 0.1120000E+01, 0.1399702E+02, 0.1353473E+02, 0.0000000E+00, 0.0000000E+00, 0.1578695E+00, 0.1369260E+02,
 0.1140000E+01, 0.1399702E+02, 0.1353397E+02, 0.0000000E+00, 0.0000000E+00, 0.1586303E+00, 0.1369260E+02,
 0.1160000E+01, 0.1399702E+02, 0.1353321E+02, 0.0000000E+00, 0.0000000E+00, 0.1593878E+00, 0.1369260E+02,
 0.1180000E+01, 0.1399702E+02, 0.1353246E+02, 0.0000000E+00, 0.0000000E+00, 0.1601422E+00, 0.1369260E+02,
