@TE0,TD0,TT0,TA0 [keV]  vs t@
X,TE0,TD0,TT0,TA0
 0.1220000E+01, 0.1342800E+01, 0.1347823E+01, 0.1348030E+01, 0.1347695E+01,
 0.1240000E+01, 0.1348808E+01, 0.1353918E+01, 0.1354127E+01, 0.1353788E+01,
 0.1260000E+01, 0.1354792E+01, 0.1359987E+01, 0.1360198E+01, 0.1359856E+01,
 0.1280000E+01, 0.1360751E+01, 0.1366030E+01, 0.1366243E+01, 0.1365898E+01,
 0.1300000E+01, 0.1366685E+01, 0.1372046E+01, 0.1372261E+01, 0.1371913E+01,
 0.1320000E+01, 0.1372593E+01, 0.1378035E+01, 0.1378252E+01, 0.1377901E+01,
 0.1340000E+01, 0.1378476E+01, 0.1383997E+01, 0.1384216E+01, 0.1383862E+01,
 0.1360000E+01, 0.1384333E+01, 0.1389933E+01, 0.1390153E+01, 0.1389796E+01,
 0.1380000E+01, 0.1390164E+01, 0.1395841E+01, 0.1396063E+01, 0.1395703E+01,
 0.1400000E+01, 0.1395969E+01, 0.1401722E+01, 0.1401945E+01, 0.1401583E+01,
 0.1420000E+01, 0.1401748E+01, 0.1407575E+01, 0.1407801E+01, 0.1407436E+01,
 0.1440000E+01, 0.1407500E+01, 0.1413402E+01, 0.1413629E+01, 0.1413261E+01,
 0.1460000E+01, 0.1413227E+01, 0.1419201E+01, 0.1419429E+01, 0.1419059E+01,
 0.1480000E+01, 0.1418927E+01, 0.1424972E+01, 0.1425202E+01, 0.1424830E+01,
 0.1500000E+01, 0.1424601E+01, 0.1430717E+01, 0.1430948E+01, 0.1430573E+01,
 0.1520000E+01, 0.1430248E+01, 0.1436434E+01, 0.1436667E+01, 0.1436289E+01,
 0.1540000E+01, 0.1435870E+01, 0.1442124E+01, 0.1442358E+01, 0.1441978E+01,
 0.1560000E+01, 0.1441465E+01, 0.1447786E+01, 0.1448022E+01, 0.1447640E+01,
 0.1580000E+01, 0.1447034E+01, 0.1453422E+01, 0.1453659E+01, 0.1453275E+01,
 0.1600000E+01, 0.1452577E+01, 0.1459031E+01, 0.1459269E+01, 0.1458883E+01,
 0.1620000E+01, 0.1458094E+01, 0.1464613E+01, 0.1464853E+01, 0.1464464E+01,
 0.1640000E+01, 0.1463585E+01, 0.1470168E+01, 0.1470409E+01, 0.1470018E+01,
 0.1660000E+01, 0.1469050E+01, 0.1475696E+01, 0.1475939E+01, 0.1475546E+01,
 0.1680000E+01, 0.1474489E+01, 0.1481198E+01, 0.1481442E+01, 0.1481047E+01,
 0.1700000E+01, 0.1479903E+01, 0.1486674E+01, 0.1486919E+01, 0.1486521E+01,
 0.1720000E+01, 0.1485291E+01, 0.1492123E+01, 0.1492369E+01, 0.1491970E+01,
 0.1740000E+01, 0.1490654E+01, 0.1497546E+01, 0.1497794E+01, 0.1497392E+01,
 0.1760000E+01, 0.1495992E+01, 0.1502944E+01, 0.1503192E+01, 0.1502789E+01,
 0.1780000E+01, 0.1501305E+01, 0.1508315E+01, 0.1508565E+01, 0.1508160E+01,
 0.1800000E+01, 0.1506592E+01, 0.1513661E+01, 0.1513912E+01, 0.1513505E+01,
 0.1820000E+01, 0.1511855E+01, 0.1518981E+01, 0.1519233E+01, 0.1518824E+01,
 0.1840000E+01, 0.1517093E+01, 0.1524276E+01, 0.1524529E+01, 0.1524118E+01,
 0.1860000E+01, 0.1522306E+01, 0.1529545E+01, 0.1529800E+01, 0.1529387E+01,
 0.1880000E+01, 0.1527495E+01, 0.1534790E+01, 0.1535046E+01, 0.1534631E+01,
 0.1900000E+01, 0.1532660E+01, 0.1540010E+01, 0.1540266E+01, 0.1539850E+01,
 0.1920000E+01, 0.1537801E+01, 0.1545205E+01, 0.1545462E+01, 0.1545045E+01,
 0.1940000E+01, 0.1542918E+01, 0.1550375E+01, 0.1550634E+01, 0.1550214E+01,
 0.1960000E+01, 0.1548011E+01, 0.1555521E+01, 0.1555781E+01, 0.1555360E+01,
 0.1980000E+01, 0.1553080E+01, 0.1560643E+01, 0.1560904E+01, 0.1560481E+01,
 0.2000000E+01, 0.1558126E+01, 0.1565741E+01, 0.1566003E+01, 0.1565578E+01,
 0.2020000E+01, 0.1563148E+01, 0.1570815E+01, 0.1571078E+01, 0.1570652E+01,
 0.2040000E+01, 0.1568148E+01, 0.1575866E+01, 0.1576129E+01, 0.1575701E+01,
 0.2060000E+01, 0.1573124E+01, 0.1580892E+01, 0.1581157E+01, 0.1580728E+01,
 0.2080000E+01, 0.1578077E+01, 0.1585896E+01, 0.1586161E+01, 0.1585731E+01,
 0.2100000E+01, 0.1583008E+01, 0.1590876E+01, 0.1591142E+01, 0.1590710E+01,
 0.2120000E+01, 0.1587916E+01, 0.1595834E+01, 0.1596101E+01, 0.1595667E+01,
 0.2140000E+01, 0.1592802E+01, 0.1600768E+01, 0.1601036E+01, 0.1600601E+01,
 0.2160000E+01, 0.1597666E+01, 0.1605680E+01, 0.1605948E+01, 0.1605512E+01,
 0.2180000E+01, 0.1602508E+01, 0.1610569E+01, 0.1610839E+01, 0.1610401E+01,
 0.2200000E+01, 0.1607328E+01, 0.1615436E+01, 0.1615706E+01, 0.1615267E+01,
 0.2220000E+01, 0.1612126E+01, 0.1620281E+01, 0.1620552E+01, 0.1620111E+01,
 0.2240000E+01, 0.1616903E+01, 0.1625103E+01, 0.1625376E+01, 0.1624933E+01,
 0.2260000E+01, 0.1621658E+01, 0.1629904E+01, 0.1630177E+01, 0.1629734E+01,
 0.2280000E+01, 0.1626392E+01, 0.1634684E+01, 0.1634957E+01, 0.1634513E+01,
 0.2300000E+01, 0.1631105E+01, 0.1639441E+01, 0.1639716E+01, 0.1639270E+01,
 0.2320000E+01, 0.1635797E+01, 0.1644178E+01, 0.1644453E+01, 0.1644006E+01,
 0.2340000E+01, 0.1640468E+01, 0.1648893E+01, 0.1649169E+01, 0.1648721E+01,
 0.2360000E+01, 0.1645119E+01, 0.1653588E+01, 0.1653865E+01, 0.1653415E+01,
 0.2380000E+01, 0.1649749E+01, 0.1658261E+01, 0.1658539E+01, 0.1658088E+01,
 0.2400000E+01, 0.1654359E+01, 0.1662914E+01, 0.1663192E+01, 0.1662740E+01,
 0.2420000E+01, 0.1658949E+01, 0.1667546E+01, 0.1667825E+01, 0.1667372E+01,
 0.2440000E+01, 0.1663518E+01, 0.1672158E+01, 0.1672438E+01, 0.1671983E+01,
 0.2460000E+01, 0.1668069E+01, 0.1676750E+01, 0.1677031E+01, 0.1676575E+01,
 0.2480000E+01, 0.1672599E+01, 0.1681322E+01, 0.1681603E+01, 0.1681146E+01,
 0.2500000E+01, 0.1677110E+01, 0.1685874E+01, 0.1686156E+01, 0.1685697E+01,
 0.2520000E+01, 0.1681601E+01, 0.1690406E+01, 0.1690688E+01, 0.1690229E+01,
 0.2540000E+01, 0.1686073E+01, 0.1694918E+01, 0.1695202E+01, 0.1694741E+01,
 0.2560000E+01, 0.1690526E+01, 0.1699412E+01, 0.1699695E+01, 0.1699234E+01,
 0.2580000E+01, 0.1694961E+01, 0.1703885E+01, 0.1704170E+01, 0.1703707E+01,
 0.2600000E+01, 0.1699376E+01, 0.1708340E+01, 0.1708625E+01, 0.1708162E+01,
 0.2620000E+01, 0.1703773E+01, 0.1712776E+01, 0.1713062E+01, 0.1712597E+01,
 0.2640000E+01, 0.1708151E+01, 0.1717193E+01, 0.1717479E+01, 0.1717014E+01,
 0.2660000E+01, 0.1712511E+01, 0.1721591E+01, 0.1721878E+01, 0.1721412E+01,
 0.2680000E+01, 0.1716853E+01, 0.1725971E+01, 0.1726259E+01, 0.1725791E+01,
 0.2700000E+01, 0.1721177E+01, 0.1730333E+01, 0.1730621E+01, 0.1730152E+01,
 0.2720000E+01, 0.1725482E+01, 0.1734676E+01, 0.1734965E+01, 0.1734495E+01,
 0.2740000E+01, 0.1729770E+01, 0.1739001E+01, 0.1739290E+01, 0.1738820E+01,
 0.2760000E+01, 0.1734040E+01, 0.1743308E+01, 0.1743598E+01, 0.1743127E+01,
 0.2780000E+01, 0.1738293E+01, 0.1747597E+01, 0.1747888E+01, 0.1747416E+01,
 0.2800000E+01, 0.1742528E+01, 0.1751869E+01, 0.1752160E+01, 0.1751687E+01,
 0.2820000E+01, 0.1746747E+01, 0.1756123E+01, 0.1756415E+01, 0.1755941E+01,
 0.2840000E+01, 0.1750948E+01, 0.1760360E+01, 0.1760652E+01, 0.1760177E+01,
 0.2860000E+01, 0.1755132E+01, 0.1764580E+01, 0.1764873E+01, 0.1764396E+01,
 0.2880000E+01, 0.1759299E+01, 0.1768782E+01, 0.1769075E+01, 0.1768598E+01,
 0.2900000E+01, 0.1763449E+01, 0.1772967E+01, 0.1773261E+01, 0.1772783E+01,
 0.2920000E+01, 0.1767583E+01, 0.1777136E+01, 0.1777430E+01, 0.1776952E+01,
 0.2940000E+01, 0.1771700E+01, 0.1781288E+01, 0.1781583E+01, 0.1781103E+01,
 0.2960000E+01, 0.1775801E+01, 0.1785423E+01, 0.1785719E+01, 0.1785238E+01,
 0.2980000E+01, 0.1779886E+01, 0.1789542E+01, 0.1789838E+01, 0.1789356E+01,
 0.3000000E+01, 0.1783955E+01, 0.1793644E+01, 0.1793941E+01, 0.1793458E+01,
 0.3020000E+01, 0.1788007E+01, 0.1797730E+01, 0.1798027E+01, 0.1797544E+01,
 0.3040000E+01, 0.1792044E+01, 0.1801800E+01, 0.1802098E+01, 0.1801614E+01,
 0.3060000E+01, 0.1796065E+01, 0.1805854E+01, 0.1806153E+01, 0.1805668E+01,
 0.3080000E+01, 0.1800071E+01, 0.1809893E+01, 0.1810191E+01, 0.1809706E+01,
 0.3100000E+01, 0.1804061E+01, 0.1813915E+01, 0.1814214E+01, 0.1813728E+01,
 0.3120000E+01, 0.1808035E+01, 0.1817922E+01, 0.1818222E+01, 0.1817734E+01,
 0.3140000E+01, 0.1811994E+01, 0.1821914E+01, 0.1822214E+01, 0.1821726E+01,
 0.3160000E+01, 0.1815939E+01, 0.1825890E+01, 0.1826190E+01, 0.1825701E+01,
 0.3180000E+01, 0.1819868E+01, 0.1829851E+01, 0.1830151E+01, 0.1829662E+01,
 0.3200000E+01, 0.1823782E+01, 0.1833796E+01, 0.1834098E+01, 0.1833607E+01,
 0.3220000E+01, 0.1827681E+01, 0.1837727E+01, 0.1838029E+01, 0.1837538E+01,
 0.3240000E+01, 0.1831566E+01, 0.1841643E+01, 0.1841945E+01, 0.1841453E+01,
 0.3260000E+01, 0.1835436E+01, 0.1845544E+01, 0.1845846E+01, 0.1845354E+01,
 0.3280000E+01, 0.1839292E+01, 0.1849430E+01, 0.1849733E+01, 0.1849240E+01,
 0.3300000E+01, 0.1843133E+01, 0.1853302E+01, 0.1853605E+01, 0.1853111E+01,
 0.3320000E+01, 0.1846960E+01, 0.1857159E+01, 0.1857463E+01, 0.1856968E+01,
 0.3340000E+01, 0.1850773E+01, 0.1861002E+01, 0.1861306E+01, 0.1860811E+01,
 0.3360000E+01, 0.1854571E+01, 0.1864830E+01, 0.1865135E+01, 0.1864639E+01,
 0.3380000E+01, 0.1858356E+01, 0.1868645E+01, 0.1868950E+01, 0.1868454E+01,
 0.3400000E+01, 0.1862127E+01, 0.1872445E+01, 0.1872751E+01, 0.1872254E+01,
