@TE0,TD0,TT0,TA0 [keV]  vs t@
X,TE0,TD0,TT0,TA0
 0.1278000E+02, 0.2902008E+01, 0.2917129E+01, 0.2917459E+01, 0.2916928E+01,
 0.1280000E+02, 0.2903425E+01, 0.2918546E+01, 0.2918876E+01, 0.2918345E+01,
 0.1282000E+02, 0.2904840E+01, 0.2919962E+01, 0.2920291E+01, 0.2919760E+01,
 0.1284000E+02, 0.2906254E+01, 0.2921375E+01, 0.2921705E+01, 0.2921174E+01,
 0.1286000E+02, 0.2907665E+01, 0.2922787E+01, 0.2923116E+01, 0.2922586E+01,
 0.1288000E+02, 0.2909075E+01, 0.2924196E+01, 0.2924525E+01, 0.2923995E+01,
 0.1290000E+02, 0.2910484E+01, 0.2925604E+01, 0.2925933E+01, 0.2925404E+01,
 0.1292000E+02, 0.2911890E+01, 0.2927011E+01, 0.2927339E+01, 0.2926810E+01,
 0.1294000E+02, 0.2913294E+01, 0.2928415E+01, 0.2928744E+01, 0.2928214E+01,
 0.1296000E+02, 0.2914697E+01, 0.2929817E+01, 0.2930146E+01, 0.2929617E+01,
 0.1298000E+02, 0.2916098E+01, 0.2931218E+01, 0.2931547E+01, 0.2931018E+01,
 0.1300000E+02, 0.2917497E+01, 0.2932617E+01, 0.2932945E+01, 0.2932417E+01,
 0.1302000E+02, 0.2918895E+01, 0.2934014E+01, 0.2934343E+01, 0.2933814E+01,
 0.1304000E+02, 0.2920290E+01, 0.2935410E+01, 0.2935738E+01, 0.2935210E+01,
 0.1306000E+02, 0.2921685E+01, 0.2936803E+01, 0.2937131E+01, 0.2936603E+01,
 0.1308000E+02, 0.2923077E+01, 0.2938195E+01, 0.2938523E+01, 0.2937995E+01,
 0.1310000E+02, 0.2924467E+01, 0.2939585E+01, 0.2939913E+01, 0.2939386E+01,
 0.1312000E+02, 0.2925856E+01, 0.2940974E+01, 0.2941301E+01, 0.2940774E+01,
 0.1314000E+02, 0.2927243E+01, 0.2942360E+01, 0.2942688E+01, 0.2942161E+01,
 0.1316000E+02, 0.2928628E+01, 0.2943745E+01, 0.2944072E+01, 0.2943546E+01,
 0.1318000E+02, 0.2930012E+01, 0.2945128E+01, 0.2945455E+01, 0.2944929E+01,
 0.1320000E+02, 0.2931394E+01, 0.2946510E+01, 0.2946837E+01, 0.2946310E+01,
 0.1322000E+02, 0.2932774E+01, 0.2947889E+01, 0.2948216E+01, 0.2947690E+01,
 0.1324000E+02, 0.2934152E+01, 0.2949267E+01, 0.2949594E+01, 0.2949068E+01,
 0.1326000E+02, 0.2935529E+01, 0.2950643E+01, 0.2950970E+01, 0.2950444E+01,
 0.1328000E+02, 0.2936904E+01, 0.2952018E+01, 0.2952344E+01, 0.2951819E+01,
 0.1330000E+02, 0.2938277E+01, 0.2953391E+01, 0.2953717E+01, 0.2953192E+01,
 0.1332000E+02, 0.2939649E+01, 0.2954762E+01, 0.2955088E+01, 0.2954563E+01,
 0.1334000E+02, 0.2941019E+01, 0.2956131E+01, 0.2956457E+01, 0.2955933E+01,
 0.1336000E+02, 0.2942387E+01, 0.2957499E+01, 0.2957825E+01, 0.2957300E+01,
 0.1338000E+02, 0.2943754E+01, 0.2958865E+01, 0.2959191E+01, 0.2958667E+01,
 0.1340000E+02, 0.2945119E+01, 0.2960229E+01, 0.2960555E+01, 0.2960031E+01,
 0.1342000E+02, 0.2946482E+01, 0.2961592E+01, 0.2961917E+01, 0.2961394E+01,
 0.1344000E+02, 0.2947844E+01, 0.2962953E+01, 0.2963278E+01, 0.2962755E+01,
 0.1346000E+02, 0.2949204E+01, 0.2964312E+01, 0.2964637E+01, 0.2964114E+01,
 0.1348000E+02, 0.2950562E+01, 0.2965670E+01, 0.2965995E+01, 0.2965472E+01,
 0.1350000E+02, 0.2951919E+01, 0.2967026E+01, 0.2967351E+01, 0.2966828E+01,
 0.1352000E+02, 0.2953274E+01, 0.2968380E+01, 0.2968705E+01, 0.2968183E+01,
 0.1354000E+02, 0.2954628E+01, 0.2969733E+01, 0.2970057E+01, 0.2969535E+01,
 0.1356000E+02, 0.2955980E+01, 0.2971084E+01, 0.2971408E+01, 0.2970886E+01,
 0.1358000E+02, 0.2957330E+01, 0.2972433E+01, 0.2972758E+01, 0.2972236E+01,
 0.1360000E+02, 0.2958678E+01, 0.2973781E+01, 0.2974105E+01, 0.2973584E+01,
 0.1362000E+02, 0.2960026E+01, 0.2975127E+01, 0.2975451E+01, 0.2974930E+01,
 0.1364000E+02, 0.2961371E+01, 0.2976472E+01, 0.2976796E+01, 0.2976275E+01,
 0.1366000E+02, 0.2962715E+01, 0.2977814E+01, 0.2978138E+01, 0.2977618E+01,
 0.1368000E+02, 0.2964057E+01, 0.2979156E+01, 0.2979480E+01, 0.2978959E+01,
 0.1370000E+02, 0.2965398E+01, 0.2980495E+01, 0.2980819E+01, 0.2980299E+01,
 0.1372000E+02, 0.2966737E+01, 0.2981833E+01, 0.2982157E+01, 0.2981637E+01,
 0.1374000E+02, 0.2968074E+01, 0.2983170E+01, 0.2983494E+01, 0.2982974E+01,
 0.1376000E+02, 0.2969410E+01, 0.2984505E+01, 0.2984828E+01, 0.2984309E+01,
 0.1378000E+02, 0.2970745E+01, 0.2985838E+01, 0.2986161E+01, 0.2985642E+01,
 0.1380000E+02, 0.2972077E+01, 0.2987170E+01, 0.2987493E+01, 0.2986974E+01,
 0.1382000E+02, 0.2973409E+01, 0.2988500E+01, 0.2988823E+01, 0.2988304E+01,
 0.1384000E+02, 0.2974738E+01, 0.2989829E+01, 0.2990151E+01, 0.2989633E+01,
 0.1386000E+02, 0.2976066E+01, 0.2991156E+01, 0.2991478E+01, 0.2990960E+01,
 0.1388000E+02, 0.2977393E+01, 0.2992481E+01, 0.2992804E+01, 0.2992285E+01,
 0.1390000E+02, 0.2978718E+01, 0.2993805E+01, 0.2994127E+01, 0.2993609E+01,
 0.1392000E+02, 0.2980042E+01, 0.2995127E+01, 0.2995450E+01, 0.2994932E+01,
 0.1394000E+02, 0.2981364E+01, 0.2996448E+01, 0.2996770E+01, 0.2996253E+01,
 0.1396000E+02, 0.2982684E+01, 0.2997767E+01, 0.2998089E+01, 0.2997572E+01,
 0.1398000E+02, 0.2984003E+01, 0.2999085E+01, 0.2999407E+01, 0.2998890E+01,
 0.1400000E+02, 0.2985320E+01, 0.3000401E+01, 0.3000723E+01, 0.3000206E+01,
 0.1402000E+02, 0.2986636E+01, 0.3001716E+01, 0.3002037E+01, 0.3001521E+01,
 0.1404000E+02, 0.2987951E+01, 0.3003029E+01, 0.3003350E+01, 0.3002834E+01,
 0.1406000E+02, 0.2989263E+01, 0.3004340E+01, 0.3004661E+01, 0.3004146E+01,
 0.1408000E+02, 0.2990575E+01, 0.3005650E+01, 0.3005971E+01, 0.3005456E+01,
 0.1410000E+02, 0.2991884E+01, 0.3006959E+01, 0.3007280E+01, 0.3006764E+01,
 0.1412000E+02, 0.2993193E+01, 0.3008266E+01, 0.3008586E+01, 0.3008071E+01,
 0.1414000E+02, 0.2994500E+01, 0.3009571E+01, 0.3009892E+01, 0.3009377E+01,
 0.1416000E+02, 0.2995805E+01, 0.3010875E+01, 0.3011196E+01, 0.3010681E+01,
 0.1418000E+02, 0.2997109E+01, 0.3012178E+01, 0.3012498E+01, 0.3011984E+01,
 0.1420000E+02, 0.2998412E+01, 0.3013479E+01, 0.3013799E+01, 0.3013285E+01,
 0.1422000E+02, 0.2999712E+01, 0.3014778E+01, 0.3015098E+01, 0.3014584E+01,
 0.1424000E+02, 0.3001012E+01, 0.3016076E+01, 0.3016396E+01, 0.3015882E+01,
 0.1426000E+02, 0.3002310E+01, 0.3017373E+01, 0.3017692E+01, 0.3017179E+01,
 0.1428000E+02, 0.3003607E+01, 0.3018668E+01, 0.3018987E+01, 0.3018474E+01,
 0.1430000E+02, 0.3004902E+01, 0.3019961E+01, 0.3020281E+01, 0.3019768E+01,
 0.1432000E+02, 0.3006196E+01, 0.3021253E+01, 0.3021573E+01, 0.3021060E+01,
 0.1434000E+02, 0.3007488E+01, 0.3022544E+01, 0.3022863E+01, 0.3022351E+01,
 0.1436000E+02, 0.3008779E+01, 0.3023833E+01, 0.3024152E+01, 0.3023640E+01,
 0.1438000E+02, 0.3010068E+01, 0.3025121E+01, 0.3025440E+01, 0.3024928E+01,
 0.1440000E+02, 0.3011356E+01, 0.3026407E+01, 0.3026726E+01, 0.3026215E+01,
 0.1442000E+02, 0.3012642E+01, 0.3027692E+01, 0.3028011E+01, 0.3027499E+01,
 0.1444000E+02, 0.3013927E+01, 0.3028975E+01, 0.3029294E+01, 0.3028783E+01,
 0.1446000E+02, 0.3015211E+01, 0.3030257E+01, 0.3030576E+01, 0.3030065E+01,
 0.1448000E+02, 0.3016493E+01, 0.3031538E+01, 0.3031856E+01, 0.3031346E+01,
 0.1450000E+02, 0.3017774E+01, 0.3032817E+01, 0.3033135E+01, 0.3032625E+01,
 0.1452000E+02, 0.3019053E+01, 0.3034095E+01, 0.3034412E+01, 0.3033903E+01,
 0.1454000E+02, 0.3020331E+01, 0.3035371E+01, 0.3035688E+01, 0.3035179E+01,
 0.1456000E+02, 0.3021608E+01, 0.3036646E+01, 0.3036963E+01, 0.3036454E+01,
 0.1458000E+02, 0.3022883E+01, 0.3037919E+01, 0.3038236E+01, 0.3037727E+01,
 0.1460000E+02, 0.3024157E+01, 0.3039191E+01, 0.3039508E+01, 0.3038999E+01,
 0.1462000E+02, 0.3025429E+01, 0.3040462E+01, 0.3040779E+01, 0.3040270E+01,
 0.1464000E+02, 0.3026700E+01, 0.3041731E+01, 0.3042048E+01, 0.3041539E+01,
 0.1466000E+02, 0.3027970E+01, 0.3042998E+01, 0.3043315E+01, 0.3042807E+01,
 0.1468000E+02, 0.3029238E+01, 0.3044265E+01, 0.3044581E+01, 0.3044074E+01,
 0.1470000E+02, 0.3030505E+01, 0.3045530E+01, 0.3045846E+01, 0.3045339E+01,
 0.1472000E+02, 0.3031771E+01, 0.3046793E+01, 0.3047110E+01, 0.3046602E+01,
 0.1474000E+02, 0.3033035E+01, 0.3048055E+01, 0.3048372E+01, 0.3047865E+01,
 0.1476000E+02, 0.3034298E+01, 0.3049316E+01, 0.3049632E+01, 0.3049125E+01,
 0.1478000E+02, 0.3035559E+01, 0.3050576E+01, 0.3050891E+01, 0.3050385E+01,
 0.1480000E+02, 0.3036819E+01, 0.3051834E+01, 0.3052149E+01, 0.3051643E+01,
 0.1482000E+02, 0.3038078E+01, 0.3053090E+01, 0.3053406E+01, 0.3052900E+01,
 0.1484000E+02, 0.3039335E+01, 0.3054346E+01, 0.3054661E+01, 0.3054155E+01,
 0.1486000E+02, 0.3040591E+01, 0.3055599E+01, 0.3055915E+01, 0.3055409E+01,
 0.1488000E+02, 0.3041846E+01, 0.3056852E+01, 0.3057167E+01, 0.3056662E+01,
 0.1490000E+02, 0.3043099E+01, 0.3058103E+01, 0.3058418E+01, 0.3057914E+01,
 0.1492000E+02, 0.3044351E+01, 0.3059353E+01, 0.3059668E+01, 0.3059163E+01,
 0.1494000E+02, 0.3045602E+01, 0.3060602E+01, 0.3060916E+01, 0.3060412E+01,
 0.1496000E+02, 0.3046851E+01, 0.3061849E+01, 0.3062163E+01, 0.3061659E+01,
 0.1498000E+02, 0.3048099E+01, 0.3063095E+01, 0.3063409E+01, 0.3062905E+01,
 0.1500000E+02, 0.3049346E+01, 0.3064339E+01, 0.3064653E+01, 0.3064150E+01,
 0.1500000E+02, 0.3049346E+01, 0.3064339E+01, 0.3064653E+01, 0.3064150E+01,
 0.1502000E+02, 0.3277885E+01, 0.3345959E+01, 0.3220459E+01, 0.3260585E+01,
 0.1504000E+02, 0.3513318E+01, 0.3564973E+01, 0.3410554E+01, 0.3463824E+01,
 0.1506000E+02, 0.3748875E+01, 0.3767599E+01, 0.3597512E+01, 0.3658231E+01,
 0.1508000E+02, 0.3980317E+01, 0.3960293E+01, 0.3776867E+01, 0.3844031E+01,
 0.1510000E+02, 0.4204917E+01, 0.4144290E+01, 0.3948285E+01, 0.4021566E+01,
 0.1512000E+02, 0.4421121E+01, 0.4320170E+01, 0.4112101E+01, 0.4191247E+01,
 0.1514000E+02, 0.4628295E+01, 0.4488493E+01, 0.4268826E+01, 0.4353588E+01,
 0.1516000E+02, 0.4826447E+01, 0.4649849E+01, 0.4419017E+01, 0.4509153E+01,
 0.1518000E+02, 0.5015959E+01, 0.4804819E+01, 0.4563226E+01, 0.4658509E+01,
 0.1520000E+02, 0.5197390E+01, 0.4953948E+01, 0.4701966E+01, 0.4802186E+01,
 0.1522000E+02, 0.5371359E+01, 0.5097733E+01, 0.4835706E+01, 0.4940670E+01,
 0.1524000E+02, 0.5538477E+01, 0.5236619E+01, 0.4964864E+01, 0.5074397E+01,
 0.1526000E+02, 0.5699315E+01, 0.5371006E+01, 0.5089814E+01, 0.5203757E+01,
 0.1528000E+02, 0.5854392E+01, 0.5501247E+01, 0.5210889E+01, 0.5329096E+01,
 0.1530000E+02, 0.6004179E+01, 0.5627660E+01, 0.5328385E+01, 0.5450723E+01,
 0.1532000E+02, 0.6149096E+01, 0.5750526E+01, 0.5442569E+01, 0.5568914E+01,
 0.1534000E+02, 0.6289523E+01, 0.5870099E+01, 0.5553675E+01, 0.5683915E+01,
 0.1536000E+02, 0.6425797E+01, 0.5986605E+01, 0.5661917E+01, 0.5795948E+01,
 0.1538000E+02, 0.6558221E+01, 0.6100248E+01, 0.5767486E+01, 0.5905210E+01,
 0.1540000E+02, 0.6687069E+01, 0.6211214E+01, 0.5870554E+01, 0.6011882E+01,
 0.1542000E+02, 0.6812589E+01, 0.6319666E+01, 0.5971276E+01, 0.6116125E+01,
 0.1544000E+02, 0.6935002E+01, 0.6425757E+01, 0.6069794E+01, 0.6218086E+01,
 0.1546000E+02, 0.7054510E+01, 0.6529623E+01, 0.6166234E+01, 0.6317896E+01,
 0.1548000E+02, 0.7171294E+01, 0.6631385E+01, 0.6260713E+01, 0.6415677E+01,
 0.1550000E+02, 0.7285522E+01, 0.6731159E+01, 0.6353334E+01, 0.6511538E+01,
 0.1552000E+02, 0.7397342E+01, 0.6829044E+01, 0.6444193E+01, 0.6605577E+01,
 0.1554000E+02, 0.7506892E+01, 0.6925134E+01, 0.6533378E+01, 0.6697885E+01,
 0.1556000E+02, 0.7614295E+01, 0.7019513E+01, 0.6620967E+01, 0.6788544E+01,
 0.1558000E+02, 0.7719666E+01, 0.7112258E+01, 0.6707032E+01, 0.6877629E+01,
 0.1560000E+02, 0.7823106E+01, 0.7203441E+01, 0.6791638E+01, 0.6965208E+01,
 0.1562000E+02, 0.7924711E+01, 0.7293124E+01, 0.6874846E+01, 0.7051344E+01,
 0.1564000E+02, 0.8024567E+01, 0.7381366E+01, 0.6956712E+01, 0.7136095E+01,
 0.1566000E+02, 0.8122752E+01, 0.7468223E+01, 0.7037285E+01, 0.7219512E+01,
 0.1568000E+02, 0.8219339E+01, 0.7553745E+01, 0.7116613E+01, 0.7301646E+01,
 0.1570000E+02, 0.8314397E+01, 0.7637978E+01, 0.7194740E+01, 0.7382541E+01,
 0.1572000E+02, 0.8407986E+01, 0.7720964E+01, 0.7271706E+01, 0.7462239E+01,
 0.1574000E+02, 0.8500163E+01, 0.7802746E+01, 0.7347548E+01, 0.7540780E+01,
 0.1576000E+02, 0.8590983E+01, 0.7883362E+01, 0.7422305E+01, 0.7618201E+01,
 0.1578000E+02, 0.8680495E+01, 0.7962847E+01, 0.7496007E+01, 0.7694537E+01,
 0.1580000E+02, 0.8768746E+01, 0.8041235E+01, 0.7568689E+01, 0.7769822E+01,
 0.1582000E+02, 0.8855781E+01, 0.8118560E+01, 0.7640381E+01, 0.7844086E+01,
 0.1584000E+02, 0.8941639E+01, 0.8194853E+01, 0.7711112E+01, 0.7917360E+01,
 0.1586000E+02, 0.9026362E+01, 0.8270144E+01, 0.7780910E+01, 0.7989674E+01,
 0.1588000E+02, 0.9109988E+01, 0.8344463E+01, 0.7849802E+01, 0.8061056E+01,
 0.1590000E+02, 0.9192552E+01, 0.8417838E+01, 0.7917817E+01, 0.8131533E+01,
 0.1592000E+02, 0.9274088E+01, 0.8490296E+01, 0.7984979E+01, 0.8201132E+01,
 0.1594000E+02, 0.9354630E+01, 0.8561866E+01, 0.8051313E+01, 0.8269879E+01,
 0.1596000E+02, 0.9434211E+01, 0.8632572E+01, 0.8116845E+01, 0.8337800E+01,
 0.1598000E+02, 0.9512861E+01, 0.8702441E+01, 0.8181599E+01, 0.8404919E+01,
 0.1600000E+02, 0.9590611E+01, 0.8771498E+01, 0.8245597E+01, 0.8471260E+01,
 0.1602000E+02, 0.9667488E+01, 0.8839768E+01, 0.8308863E+01, 0.8536847E+01,
 0.1604000E+02, 0.9743524E+01, 0.8907276E+01, 0.8371421E+01, 0.8601706E+01,
 0.1606000E+02, 0.9818744E+01, 0.8974046E+01, 0.8433291E+01, 0.8665855E+01,
 0.1608000E+02, 0.9893175E+01, 0.9040099E+01, 0.8494498E+01, 0.8729322E+01,
 0.1610000E+02, 0.9966845E+01, 0.9105462E+01, 0.8555062E+01, 0.8792127E+01,
 0.1612000E+02, 0.1003978E+02, 0.9170156E+01, 0.8615004E+01, 0.8854290E+01,
 0.1614000E+02, 0.1011200E+02, 0.9234202E+01, 0.8674345E+01, 0.8915835E+01,
 0.1616000E+02, 0.1018353E+02, 0.9297626E+01, 0.8733106E+01, 0.8976783E+01,
 0.1618000E+02, 0.1025441E+02, 0.9360445E+01, 0.8791306E+01, 0.9037153E+01,
 0.1620000E+02, 0.1032464E+02, 0.9422682E+01, 0.8848966E+01, 0.9096968E+01,
 0.1622000E+02, 0.1039426E+02, 0.9484359E+01, 0.8906104E+01, 0.9156244E+01,
 0.1624000E+02, 0.1046328E+02, 0.9545494E+01, 0.8962740E+01, 0.9215004E+01,
 0.1626000E+02, 0.1053173E+02, 0.9606110E+01, 0.9018892E+01, 0.9273266E+01,
 0.1628000E+02, 0.1059963E+02, 0.9666223E+01, 0.9074578E+01, 0.9331047E+01,
 0.1630000E+02, 0.1066699E+02, 0.9725853E+01, 0.9129816E+01, 0.9388368E+01,
 0.1632000E+02, 0.1073385E+02, 0.9785020E+01, 0.9184622E+01, 0.9445244E+01,
 0.1634000E+02, 0.1080022E+02, 0.9843740E+01, 0.9239015E+01, 0.9501694E+01,
 0.1636000E+02, 0.1086611E+02, 0.9902032E+01, 0.9293008E+01, 0.9557734E+01,
 0.1638000E+02, 0.1093155E+02, 0.9959912E+01, 0.9346619E+01, 0.9613380E+01,
 0.1640000E+02, 0.1099656E+02, 0.1001740E+02, 0.9399863E+01, 0.9668650E+01,
 0.1642000E+02, 0.1106114E+02, 0.1007450E+02, 0.9452754E+01, 0.9723556E+01,
 0.1644000E+02, 0.1112533E+02, 0.1013124E+02, 0.9505306E+01, 0.9778113E+01,
 0.1646000E+02, 0.1118913E+02, 0.1018763E+02, 0.9557534E+01, 0.9832338E+01,
 0.1648000E+02, 0.1125256E+02, 0.1024369E+02, 0.9609449E+01, 0.9886242E+01,
 0.1650000E+02, 0.1131563E+02, 0.1029942E+02, 0.9661066E+01, 0.9939839E+01,
 0.1652000E+02, 0.1137836E+02, 0.1035485E+02, 0.9712396E+01, 0.9993141E+01,
 0.1654000E+02, 0.1144077E+02, 0.1040998E+02, 0.9763449E+01, 0.1004616E+02,
 0.1656000E+02, 0.1150286E+02, 0.1046482E+02, 0.9814238E+01, 0.1009891E+02,
 0.1658000E+02, 0.1156465E+02, 0.1051939E+02, 0.9864771E+01, 0.1015140E+02,
 0.1660000E+02, 0.1162615E+02, 0.1057370E+02, 0.9915061E+01, 0.1020363E+02,
 0.1662000E+02, 0.1168738E+02, 0.1062775E+02, 0.9965116E+01, 0.1025563E+02,
 0.1664000E+02, 0.1174833E+02, 0.1068156E+02, 0.1001494E+02, 0.1030739E+02,
 0.1666000E+02, 0.1180903E+02, 0.1073514E+02, 0.1006455E+02, 0.1035894E+02,
 0.1668000E+02, 0.1186948E+02, 0.1078849E+02, 0.1011395E+02, 0.1041026E+02,
 0.1670000E+02, 0.1192969E+02, 0.1084162E+02, 0.1016315E+02, 0.1046138E+02,
 0.1672000E+02, 0.1198968E+02, 0.1089454E+02, 0.1021215E+02, 0.1051231E+02,
 0.1674000E+02, 0.1204944E+02, 0.1094726E+02, 0.1026097E+02, 0.1056304E+02,
 0.1676000E+02, 0.1210899E+02, 0.1099979E+02, 0.1030960E+02, 0.1061358E+02,
 0.1678000E+02, 0.1216833E+02, 0.1105212E+02, 0.1035805E+02, 0.1066394E+02,
 0.1680000E+02, 0.1222747E+02, 0.1110427E+02, 0.1040633E+02, 0.1071413E+02,
 0.1682000E+02, 0.1228642E+02, 0.1115624E+02, 0.1045445E+02, 0.1076415E+02,
 0.1684000E+02, 0.1234518E+02, 0.1120803E+02, 0.1050240E+02, 0.1081400E+02,
 0.1686000E+02, 0.1240376E+02, 0.1125966E+02, 0.1055019E+02, 0.1086370E+02,
 0.1688000E+02, 0.1246217E+02, 0.1131112E+02, 0.1059783E+02, 0.1091323E+02,
 0.1690000E+02, 0.1252040E+02, 0.1136241E+02, 0.1064532E+02, 0.1096262E+02,
 0.1692000E+02, 0.1257846E+02, 0.1141355E+02, 0.1069266E+02, 0.1101186E+02,
 0.1694000E+02, 0.1263636E+02, 0.1146454E+02, 0.1073986E+02, 0.1106095E+02,
 0.1696000E+02, 0.1269410E+02, 0.1151537E+02, 0.1078691E+02, 0.1110989E+02,
 0.1698000E+02, 0.1275169E+02, 0.1156605E+02, 0.1083383E+02, 0.1115870E+02,
 0.1700000E+02, 0.1280912E+02, 0.1161658E+02, 0.1088060E+02, 0.1120737E+02,
 0.1702000E+02, 0.1286639E+02, 0.1166697E+02, 0.1092724E+02, 0.1125590E+02,
 0.1704000E+02, 0.1292352E+02, 0.1171721E+02, 0.1097375E+02, 0.1130429E+02,
 0.1706000E+02, 0.1298051E+02, 0.1176731E+02, 0.1102012E+02, 0.1135255E+02,
 0.1708000E+02, 0.1303734E+02, 0.1181726E+02, 0.1106636E+02, 0.1140068E+02,
 0.1710000E+02, 0.1309404E+02, 0.1186708E+02, 0.1111247E+02, 0.1144868E+02,
 0.1712000E+02, 0.1315059E+02, 0.1191675E+02, 0.1115845E+02, 0.1149654E+02,
 0.1714000E+02, 0.1320700E+02, 0.1196629E+02, 0.1120429E+02, 0.1154428E+02,
 0.1716000E+02, 0.1326327E+02, 0.1201568E+02, 0.1125001E+02, 0.1159188E+02,
 0.1718000E+02, 0.1331940E+02, 0.1206494E+02, 0.1129560E+02, 0.1163935E+02,
 0.1720000E+02, 0.1337539E+02, 0.1211405E+02, 0.1134106E+02, 0.1168670E+02,
 0.1722000E+02, 0.1343124E+02, 0.1216303E+02, 0.1138638E+02, 0.1173391E+02,
 0.1724000E+02, 0.1348695E+02, 0.1221186E+02, 0.1143158E+02, 0.1178099E+02,
 0.1726000E+02, 0.1354252E+02, 0.1226055E+02, 0.1147664E+02, 0.1182793E+02,
 0.1728000E+02, 0.1359795E+02, 0.1230910E+02, 0.1152157E+02, 0.1187475E+02,
 0.1730000E+02, 0.1365323E+02, 0.1235750E+02, 0.1156637E+02, 0.1192143E+02,
 0.1732000E+02, 0.1370838E+02, 0.1240577E+02, 0.1161103E+02, 0.1196798E+02,
 0.1734000E+02, 0.1376338E+02, 0.1245388E+02, 0.1165556E+02, 0.1201439E+02,
 0.1736000E+02, 0.1381824E+02, 0.1250185E+02, 0.1169995E+02, 0.1206067E+02,
 0.1738000E+02, 0.1387296E+02, 0.1254967E+02, 0.1174421E+02, 0.1210681E+02,
 0.1740000E+02, 0.1392753E+02, 0.1259734E+02, 0.1178832E+02, 0.1215281E+02,
 0.1742000E+02, 0.1398195E+02, 0.1264486E+02, 0.1183230E+02, 0.1219866E+02,
 0.1744000E+02, 0.1403623E+02, 0.1269223E+02, 0.1187613E+02, 0.1224438E+02,
 0.1746000E+02, 0.1409035E+02, 0.1273945E+02, 0.1191983E+02, 0.1228995E+02,
 0.1748000E+02, 0.1414432E+02, 0.1278650E+02, 0.1196337E+02, 0.1233538E+02,
 0.1750000E+02, 0.1419814E+02, 0.1283340E+02, 0.1200677E+02, 0.1238066E+02,
 0.1752000E+02, 0.1425181E+02, 0.1288015E+02, 0.1205003E+02, 0.1242579E+02,
 0.1754000E+02, 0.1430531E+02, 0.1292673E+02, 0.1209313E+02, 0.1247078E+02,
 0.1756000E+02, 0.1435866E+02, 0.1297314E+02, 0.1213608E+02, 0.1251561E+02,
 0.1758000E+02, 0.1441185E+02, 0.1301940E+02, 0.1217888E+02, 0.1256029E+02,
 0.1760000E+02, 0.1446488E+02, 0.1306548E+02, 0.1222153E+02, 0.1260481E+02,
 0.1762000E+02, 0.1451774E+02, 0.1311140E+02, 0.1226402E+02, 0.1264917E+02,
 0.1764000E+02, 0.1457044E+02, 0.1315715E+02, 0.1230635E+02, 0.1269338E+02,
 0.1766000E+02, 0.1462297E+02, 0.1320273E+02, 0.1234853E+02, 0.1273743E+02,
 0.1768000E+02, 0.1467533E+02, 0.1324813E+02, 0.1239054E+02, 0.1278131E+02,
 0.1770000E+02, 0.1472751E+02, 0.1329336E+02, 0.1243239E+02, 0.1282503E+02,
 0.1772000E+02, 0.1477953E+02, 0.1333841E+02, 0.1247408E+02, 0.1286859E+02,
 0.1774000E+02, 0.1483137E+02, 0.1338329E+02, 0.1251560E+02, 0.1291198E+02,
 0.1776000E+02, 0.1488303E+02, 0.1342798E+02, 0.1255695E+02, 0.1295520E+02,
 0.1778000E+02, 0.1493451E+02, 0.1347249E+02, 0.1259814E+02, 0.1299824E+02,
 0.1780000E+02, 0.1498581E+02, 0.1351682E+02, 0.1263916E+02, 0.1304112E+02,
 0.1782000E+02, 0.1503693E+02, 0.1356096E+02, 0.1268000E+02, 0.1308383E+02,
 0.1784000E+02, 0.1508786E+02, 0.1360491E+02, 0.1272067E+02, 0.1312635E+02,
 0.1786000E+02, 0.1513861E+02, 0.1364868E+02, 0.1276117E+02, 0.1316871E+02,
 0.1788000E+02, 0.1518917E+02, 0.1369226E+02, 0.1280149E+02, 0.1321088E+02,
 0.1790000E+02, 0.1523953E+02, 0.1373564E+02, 0.1284163E+02, 0.1325287E+02,
 0.1792000E+02, 0.1528971E+02, 0.1377883E+02, 0.1288160E+02, 0.1329469E+02,
 0.1794000E+02, 0.1533969E+02, 0.1382183E+02, 0.1292138E+02, 0.1333632E+02,
 0.1796000E+02, 0.1538948E+02, 0.1386463E+02, 0.1296099E+02, 0.1337777E+02,
 0.1798000E+02, 0.1543907E+02, 0.1390724E+02, 0.1300041E+02, 0.1341903E+02,
 0.1800000E+02, 0.1548846E+02, 0.1394965E+02, 0.1303965E+02, 0.1346011E+02,
 0.1802000E+02, 0.1553766E+02, 0.1399186E+02, 0.1307871E+02, 0.1350100E+02,
 0.1804000E+02, 0.1558665E+02, 0.1403387E+02, 0.1311758E+02, 0.1354171E+02,
 0.1806000E+02, 0.1563544E+02, 0.1407568E+02, 0.1315626E+02, 0.1358222E+02,
 0.1808000E+02, 0.1568402E+02, 0.1411728E+02, 0.1319476E+02, 0.1362254E+02,
 0.1810000E+02, 0.1573240E+02, 0.1415869E+02, 0.1323307E+02, 0.1366268E+02,
 0.1812000E+02, 0.1578057E+02, 0.1419989E+02, 0.1327119E+02, 0.1370262E+02,
 0.1814000E+02, 0.1582853E+02, 0.1424088E+02, 0.1330912E+02, 0.1374236E+02,
 0.1816000E+02, 0.1587629E+02, 0.1428167E+02, 0.1334686E+02, 0.1378192E+02,
 0.1818000E+02, 0.1592383E+02, 0.1432226E+02, 0.1338441E+02, 0.1382128E+02,
 0.1820000E+02, 0.1597116E+02, 0.1436263E+02, 0.1342177E+02, 0.1386044E+02,
