@POUT,PCX,PIE,PRL,PCON [MW]  vs t@
X,POUT,PCX,PIE,PRL,PCON
 0.1020000E+01, 0.3278469E+02, 0.0000000E+00, 0.0000000E+00, 0.3148733E+01, 0.2963596E+02,
 0.1040000E+01, 0.3278728E+02, 0.0000000E+00, 0.0000000E+00, 0.3153390E+01, 0.2963389E+02,
 0.1060000E+01, 0.3278999E+02, 0.0000000E+00, 0.0000000E+00, 0.3158009E+01, 0.2963197E+02,
 0.1080000E+01, 0.3279282E+02, 0.0000000E+00, 0.0000000E+00, 0.3162591E+01, 0.2963023E+02,
 0.1100000E+01, 0.3279577E+02, 0.0000000E+00, 0.0000000E+00, 0.3167136E+01, 0.2962864E+02,
 0.1120000E+01, 0.3279885E+02, 0.0000000E+00, 0.0000000E+00, 0.3171644E+01, 0.2962720E+02,
 0.1140000E+01, 0.3280204E+02, 0.0000000E+00, 0.0000000E+00, 0.3176118E+01, 0.2962592E+02,
 0.1160000E+01, 0.3280535E+02, 0.0000000E+00, 0.0000000E+00, 0.3180556E+01, 0.2962479E+02,
 0.1180000E+01, 0.3280877E+02, 0.0000000E+00, 0.0000000E+00, 0.3184960E+01, 0.2962381E+02,
 0.1200000E+01, 0.3281231E+02, 0.0000000E+00, 0.0000000E+00, 0.3189330E+01, 0.2962298E+02,
 0.1220000E+01, 0.3281596E+02, 0.0000000E+00, 0.0000000E+00, 0.3193666E+01, 0.2962230E+02,
 0.1240000E+01, 0.3281973E+02, 0.0000000E+00, 0.0000000E+00, 0.3197969E+01, 0.2962176E+02,
 0.1260000E+01, 0.3282360E+02, 0.0000000E+00, 0.0000000E+00, 0.3202240E+01, 0.2962136E+02,
 0.1280000E+01, 0.3282759E+02, 0.0000000E+00, 0.0000000E+00, 0.3206479E+01, 0.2962111E+02,
 0.1300000E+01, 0.3283168E+02, 0.0000000E+00, 0.0000000E+00, 0.3210686E+01, 0.2962100E+02,
 0.1320000E+01, 0.3283588E+02, 0.0000000E+00, 0.0000000E+00, 0.3214861E+01, 0.2962102E+02,
 0.1340000E+01, 0.3284019E+02, 0.0000000E+00, 0.0000000E+00, 0.3219006E+01, 0.2962119E+02,
 0.1360000E+01, 0.3284460E+02, 0.0000000E+00, 0.0000000E+00, 0.3223119E+01, 0.2962149E+02,
 0.1380000E+01, 0.3284912E+02, 0.0000000E+00, 0.0000000E+00, 0.3227203E+01, 0.2962191E+02,
 0.1400000E+01, 0.3285374E+02, 0.0000000E+00, 0.0000000E+00, 0.3231256E+01, 0.2962248E+02,
 0.1420000E+01, 0.3285845E+02, 0.0000000E+00, 0.0000000E+00, 0.3235279E+01, 0.2962317E+02,
