@WF,WB,WI,WE [MJ]  vs t@
X,WF,WB,WI,WE
 0.2938000E+02, 0.2594655E+03, 0.2403680E+03, 0.2229909E+03, 0.1218533E+03,
 0.2940000E+02, 0.2594722E+03, 0.2403732E+03, 0.2229955E+03, 0.1218559E+03,
 0.2942000E+02, 0.2594788E+03, 0.2403783E+03, 0.2230000E+03, 0.1218586E+03,
 0.2944000E+02, 0.2594854E+03, 0.2403833E+03, 0.2230045E+03, 0.1218612E+03,
 0.2946000E+02, 0.2594919E+03, 0.2403883E+03, 0.2230090E+03, 0.1218638E+03,
 0.2948000E+02, 0.2594983E+03, 0.2403933E+03, 0.2230134E+03, 0.1218663E+03,
 0.2950000E+02, 0.2595047E+03, 0.2403982E+03, 0.2230178E+03, 0.1218688E+03,
 0.2952000E+02, 0.2595110E+03, 0.2404031E+03, 0.2230221E+03, 0.1218714E+03,
 0.2954000E+02, 0.2595172E+03, 0.2404079E+03, 0.2230264E+03, 0.1218738E+03,
 0.2956000E+02, 0.2595235E+03, 0.2404127E+03, 0.2230307E+03, 0.1218763E+03,
 0.2958000E+02, 0.2595296E+03, 0.2404175E+03, 0.2230349E+03, 0.1218788E+03,
 0.2960000E+02, 0.2595357E+03, 0.2404222E+03, 0.2230391E+03, 0.1218812E+03,
 0.2962000E+02, 0.2595417E+03, 0.2404268E+03, 0.2230432E+03, 0.1218836E+03,
 0.2964000E+02, 0.2595477E+03, 0.2404314E+03, 0.2230473E+03, 0.1218860E+03,
 0.2966000E+02, 0.2595536E+03, 0.2404360E+03, 0.2230514E+03, 0.1218883E+03,
 0.2968000E+02, 0.2595595E+03, 0.2404405E+03, 0.2230554E+03, 0.1218906E+03,
 0.2970000E+02, 0.2595653E+03, 0.2404450E+03, 0.2230594E+03, 0.1218930E+03,
 0.2972000E+02, 0.2595711E+03, 0.2404495E+03, 0.2230634E+03, 0.1218952E+03,
 0.2974000E+02, 0.2595768E+03, 0.2404539E+03, 0.2230673E+03, 0.1218975E+03,
 0.2976000E+02, 0.2595825E+03, 0.2404583E+03, 0.2230712E+03, 0.1218998E+03,
 0.2978000E+02, 0.2595881E+03, 0.2404626E+03, 0.2230750E+03, 0.1219020E+03,
 0.2980000E+02, 0.2595936E+03, 0.2404669E+03, 0.2230788E+03, 0.1219042E+03,
 0.2982000E+02, 0.2595991E+03, 0.2404711E+03, 0.2230826E+03, 0.1219064E+03,
 0.2984000E+02, 0.2596046E+03, 0.2404753E+03, 0.2230864E+03, 0.1219086E+03,
 0.2986000E+02, 0.2596100E+03, 0.2404795E+03, 0.2230901E+03, 0.1219107E+03,
 0.2988000E+02, 0.2596154E+03, 0.2404836E+03, 0.2230938E+03, 0.1219128E+03,
 0.2990000E+02, 0.2596207E+03, 0.2404877E+03, 0.2230974E+03, 0.1219149E+03,
 0.2992000E+02, 0.2596259E+03, 0.2404918E+03, 0.2231010E+03, 0.1219170E+03,
 0.2994000E+02, 0.2596311E+03, 0.2404958E+03, 0.2231046E+03, 0.1219191E+03,
 0.2996000E+02, 0.2596363E+03, 0.2404998E+03, 0.2231081E+03, 0.1219212E+03,
 0.2998000E+02, 0.2596414E+03, 0.2405037E+03, 0.2231116E+03, 0.1219232E+03,
 0.3000000E+02, 0.2596465E+03, 0.2405076E+03, 0.2231151E+03, 0.1219252E+03,
 0.3002000E+02, 0.2596515E+03, 0.2405115E+03, 0.2231186E+03, 0.1219272E+03,
 0.3004000E+02, 0.2596565E+03, 0.2405154E+03, 0.2231220E+03, 0.1219292E+03,
 0.3006000E+02, 0.2596614E+03, 0.2405191E+03, 0.2231254E+03, 0.1219311E+03,
 0.3008000E+02, 0.2596663E+03, 0.2405229E+03, 0.2231287E+03, 0.1219331E+03,
 0.3010000E+02, 0.2596711E+03, 0.2405266E+03, 0.2231320E+03, 0.1219350E+03,
 0.3012000E+02, 0.2596759E+03, 0.2405303E+03, 0.2231353E+03, 0.1219369E+03,
 0.3014000E+02, 0.2596807E+03, 0.2405340E+03, 0.2231386E+03, 0.1219388E+03,
 0.3016000E+02, 0.2596854E+03, 0.2405376E+03, 0.2231418E+03, 0.1219407E+03,
 0.3018000E+02, 0.2596900E+03, 0.2405412E+03, 0.2231450E+03, 0.1219425E+03,
 0.3020000E+02, 0.2596946E+03, 0.2405448E+03, 0.2231482E+03, 0.1219444E+03,
 0.3022000E+02, 0.2596992E+03, 0.2405483E+03, 0.2231513E+03, 0.1219462E+03,
 0.3024000E+02, 0.2597038E+03, 0.2405518E+03, 0.2231544E+03, 0.1219480E+03,
 0.3026000E+02, 0.2597083E+03, 0.2405553E+03, 0.2231575E+03, 0.1219498E+03,
 0.3028000E+02, 0.2597127E+03, 0.2405587E+03, 0.2231606E+03, 0.1219515E+03,
 0.3030000E+02, 0.2597171E+03, 0.2405621E+03, 0.2231636E+03, 0.1219533E+03,
 0.3032000E+02, 0.2597215E+03, 0.2405655E+03, 0.2231666E+03, 0.1219550E+03,
 0.3034000E+02, 0.2597258E+03, 0.2405688E+03, 0.2231696E+03, 0.1219567E+03,
 0.3036000E+02, 0.2597301E+03, 0.2405722E+03, 0.2231725E+03, 0.1219585E+03,
 0.3038000E+02, 0.2597344E+03, 0.2405755E+03, 0.2231755E+03, 0.1219601E+03,
 0.3040000E+02, 0.2597386E+03, 0.2405787E+03, 0.2231783E+03, 0.1219618E+03,
 0.3042000E+02, 0.2597428E+03, 0.2405819E+03, 0.2231812E+03, 0.1219635E+03,
 0.3044000E+02, 0.2597469E+03, 0.2405851E+03, 0.2231841E+03, 0.1219651E+03,
 0.3046000E+02, 0.2597510E+03, 0.2405883E+03, 0.2231869E+03, 0.1219668E+03,
 0.3048000E+02, 0.2597551E+03, 0.2405914E+03, 0.2231897E+03, 0.1219684E+03,
 0.3050000E+02, 0.2597591E+03, 0.2405945E+03, 0.2231924E+03, 0.1219700E+03,
 0.3052000E+02, 0.2597631E+03, 0.2405976E+03, 0.2231952E+03, 0.1219715E+03,
 0.3054000E+02, 0.2597671E+03, 0.2406006E+03, 0.2231979E+03, 0.1219731E+03,
 0.3056000E+02, 0.2597710E+03, 0.2406037E+03, 0.2232006E+03, 0.1219747E+03,
 0.3058000E+02, 0.2597748E+03, 0.2406066E+03, 0.2232032E+03, 0.1219762E+03,
 0.3060000E+02, 0.2597787E+03, 0.2406096E+03, 0.2232059E+03, 0.1219778E+03,
 0.3062000E+02, 0.2597825E+03, 0.2406125E+03, 0.2232085E+03, 0.1219793E+03,
 0.3064000E+02, 0.2597863E+03, 0.2406155E+03, 0.2232111E+03, 0.1219808E+03,
 0.3066000E+02, 0.2597900E+03, 0.2406183E+03, 0.2232136E+03, 0.1219822E+03,
 0.3068000E+02, 0.2597937E+03, 0.2406212E+03, 0.2232162E+03, 0.1219837E+03,
 0.3070000E+02, 0.2597974E+03, 0.2406240E+03, 0.2232187E+03, 0.1219852E+03,
 0.3072000E+02, 0.2598010E+03, 0.2406268E+03, 0.2232212E+03, 0.1219866E+03,
 0.3074000E+02, 0.2598046E+03, 0.2406296E+03, 0.2232236E+03, 0.1219881E+03,
 0.3076000E+02, 0.2598082E+03, 0.2406324E+03, 0.2232261E+03, 0.1219895E+03,
 0.3078000E+02, 0.2598117E+03, 0.2406351E+03, 0.2232285E+03, 0.1219909E+03,
 0.3080000E+02, 0.2598152E+03, 0.2406378E+03, 0.2232309E+03, 0.1219923E+03,
 0.3082000E+02, 0.2598187E+03, 0.2406405E+03, 0.2232333E+03, 0.1219937E+03,
 0.3084000E+02, 0.2598222E+03, 0.2406431E+03, 0.2232357E+03, 0.1219950E+03,
 0.3086000E+02, 0.2598256E+03, 0.2406458E+03, 0.2232380E+03, 0.1219964E+03,
 0.3088000E+02, 0.2598289E+03, 0.2406484E+03, 0.2232403E+03, 0.1219977E+03,
 0.3090000E+02, 0.2598323E+03, 0.2406510E+03, 0.2232426E+03, 0.1219990E+03,
 0.3092000E+02, 0.2598356E+03, 0.2406535E+03, 0.2232449E+03, 0.1220004E+03,
 0.3094000E+02, 0.2598389E+03, 0.2406561E+03, 0.2232472E+03, 0.1220017E+03,
 0.3096000E+02, 0.2598422E+03, 0.2406586E+03, 0.2232494E+03, 0.1220030E+03,
 0.3098000E+02, 0.2598454E+03, 0.2406611E+03, 0.2232516E+03, 0.1220042E+03,
 0.3100000E+02, 0.2598486E+03, 0.2406635E+03, 0.2232538E+03, 0.1220055E+03,
 0.3102000E+02, 0.2598518E+03, 0.2406660E+03, 0.2232560E+03, 0.1220068E+03,
 0.3104000E+02, 0.2598549E+03, 0.2406684E+03, 0.2232581E+03, 0.1220080E+03,
 0.3106000E+02, 0.2598580E+03, 0.2406708E+03, 0.2232603E+03, 0.1220093E+03,
 0.3108000E+02, 0.2598611E+03, 0.2406732E+03, 0.2232624E+03, 0.1220105E+03,
 0.3110000E+02, 0.2598641E+03, 0.2406755E+03, 0.2232645E+03, 0.1220117E+03,
 0.3112000E+02, 0.2598672E+03, 0.2406778E+03, 0.2232666E+03, 0.1220129E+03,
 0.3114000E+02, 0.2598702E+03, 0.2406802E+03, 0.2232686E+03, 0.1220141E+03,
 0.3116000E+02, 0.2598731E+03, 0.2406824E+03, 0.2232706E+03, 0.1220153E+03,
 0.3118000E+02, 0.2598761E+03, 0.2406847E+03, 0.2232727E+03, 0.1220164E+03,
 0.3120000E+02, 0.2598790E+03, 0.2406870E+03, 0.2232747E+03, 0.1220176E+03,
 0.3122000E+02, 0.2598819E+03, 0.2406892E+03, 0.2232767E+03, 0.1220187E+03,
 0.3124000E+02, 0.2598848E+03, 0.2406914E+03, 0.2232786E+03, 0.1220199E+03,
 0.3126000E+02, 0.2598876E+03, 0.2406936E+03, 0.2232806E+03, 0.1220210E+03,
 0.3128000E+02, 0.2598904E+03, 0.2406958E+03, 0.2232825E+03, 0.1220221E+03,
 0.3130000E+02, 0.2598932E+03, 0.2406979E+03, 0.2232844E+03, 0.1220232E+03,
 0.3132000E+02, 0.2598959E+03, 0.2407000E+03, 0.2232863E+03, 0.1220243E+03,
 0.3134000E+02, 0.2598987E+03, 0.2407021E+03, 0.2232882E+03, 0.1220254E+03,
 0.3136000E+02, 0.2599014E+03, 0.2407042E+03, 0.2232900E+03, 0.1220265E+03,
 0.3138000E+02, 0.2599041E+03, 0.2407063E+03, 0.2232919E+03, 0.1220276E+03,
 0.3140000E+02, 0.2599067E+03, 0.2407083E+03, 0.2232937E+03, 0.1220286E+03,
 0.3142000E+02, 0.2599094E+03, 0.2407104E+03, 0.2232955E+03, 0.1220297E+03,
 0.3144000E+02, 0.2599120E+03, 0.2407124E+03, 0.2232973E+03, 0.1220307E+03,
 0.3146000E+02, 0.2599146E+03, 0.2407144E+03, 0.2232991E+03, 0.1220317E+03,
 0.3148000E+02, 0.2599171E+03, 0.2407164E+03, 0.2233008E+03, 0.1220327E+03,
 0.3150000E+02, 0.2599197E+03, 0.2407183E+03, 0.2233026E+03, 0.1220337E+03,
 0.3152000E+02, 0.2599222E+03, 0.2407203E+03, 0.2233043E+03, 0.1220347E+03,
 0.3154000E+02, 0.2599247E+03, 0.2407222E+03, 0.2233060E+03, 0.1220357E+03,
 0.3156000E+02, 0.2599272E+03, 0.2407241E+03, 0.2233077E+03, 0.1220367E+03,
 0.3158000E+02, 0.2599296E+03, 0.2407260E+03, 0.2233094E+03, 0.1220377E+03,
 0.3160000E+02, 0.2599320E+03, 0.2407278E+03, 0.2233110E+03, 0.1220387E+03,
 0.3162000E+02, 0.2599344E+03, 0.2407297E+03, 0.2233127E+03, 0.1220396E+03,
 0.3164000E+02, 0.2599368E+03, 0.2407315E+03, 0.2233143E+03, 0.1220406E+03,
 0.3166000E+02, 0.2599391E+03, 0.2407334E+03, 0.2233159E+03, 0.1220415E+03,
 0.3168000E+02, 0.2599415E+03, 0.2407352E+03, 0.2233175E+03, 0.1220424E+03,
 0.3170000E+02, 0.2599438E+03, 0.2407369E+03, 0.2233191E+03, 0.1220433E+03,
 0.3172000E+02, 0.2599461E+03, 0.2407387E+03, 0.2233207E+03, 0.1220443E+03,
 0.3174000E+02, 0.2599484E+03, 0.2407405E+03, 0.2233223E+03, 0.1220452E+03,
 0.3176000E+02, 0.2599506E+03, 0.2407422E+03, 0.2233238E+03, 0.1220461E+03,
 0.3178000E+02, 0.2599529E+03, 0.2407439E+03, 0.2233253E+03, 0.1220469E+03,
 0.3180000E+02, 0.2599551E+03, 0.2407456E+03, 0.2233269E+03, 0.1220478E+03,
 0.3182000E+02, 0.2599573E+03, 0.2407473E+03, 0.2233284E+03, 0.1220487E+03,
 0.3184000E+02, 0.2599594E+03, 0.2407490E+03, 0.2233298E+03, 0.1220495E+03,
 0.3186000E+02, 0.2599616E+03, 0.2407506E+03, 0.2233313E+03, 0.1220504E+03,
 0.3188000E+02, 0.2599637E+03, 0.2407523E+03, 0.2233328E+03, 0.1220512E+03,
 0.3190000E+02, 0.2599658E+03, 0.2407539E+03, 0.2233342E+03, 0.1220521E+03,
 0.3192000E+02, 0.2599679E+03, 0.2407555E+03, 0.2233357E+03, 0.1220529E+03,
 0.3194000E+02, 0.2599700E+03, 0.2407571E+03, 0.2233371E+03, 0.1220537E+03,
 0.3196000E+02, 0.2599720E+03, 0.2407587E+03, 0.2233385E+03, 0.1220546E+03,
 0.3198000E+02, 0.2599741E+03, 0.2407603E+03, 0.2233399E+03, 0.1220554E+03,
 0.3200000E+02, 0.2599761E+03, 0.2407618E+03, 0.2233413E+03, 0.1220562E+03,
 0.3202000E+02, 0.2599781E+03, 0.2407634E+03, 0.2233426E+03, 0.1220570E+03,
 0.3204000E+02, 0.2599801E+03, 0.2407649E+03, 0.2233440E+03, 0.1220577E+03,
 0.3206000E+02, 0.2599821E+03, 0.2407664E+03, 0.2233454E+03, 0.1220585E+03,
 0.3208000E+02, 0.2599840E+03, 0.2407679E+03, 0.2233467E+03, 0.1220593E+03,
 0.3210000E+02, 0.2599859E+03, 0.2407694E+03, 0.2233480E+03, 0.1220601E+03,
 0.3212000E+02, 0.2599878E+03, 0.2407709E+03, 0.2233493E+03, 0.1220608E+03,
 0.3214000E+02, 0.2599897E+03, 0.2407723E+03, 0.2233506E+03, 0.1220616E+03,
 0.3216000E+02, 0.2599916E+03, 0.2407738E+03, 0.2233519E+03, 0.1220623E+03,
 0.3218000E+02, 0.2599934E+03, 0.2407752E+03, 0.2233532E+03, 0.1220630E+03,
 0.3220000E+02, 0.2599953E+03, 0.2407766E+03, 0.2233544E+03, 0.1220638E+03,
 0.3222000E+02, 0.2599971E+03, 0.2407780E+03, 0.2233557E+03, 0.1220645E+03,
 0.3224000E+02, 0.2599989E+03, 0.2407794E+03, 0.2233569E+03, 0.1220652E+03,
 0.3226000E+02, 0.2600007E+03, 0.2407808E+03, 0.2233581E+03, 0.1220659E+03,
 0.3228000E+02, 0.2600025E+03, 0.2407822E+03, 0.2233594E+03, 0.1220666E+03,
 0.3230000E+02, 0.2600042E+03, 0.2407835E+03, 0.2233606E+03, 0.1220673E+03,
 0.3232000E+02, 0.2600060E+03, 0.2407849E+03, 0.2233618E+03, 0.1220680E+03,
 0.3234000E+02, 0.2600077E+03, 0.2407862E+03, 0.2233629E+03, 0.1220687E+03,
 0.3236000E+02, 0.2600094E+03, 0.2407875E+03, 0.2233641E+03, 0.1220694E+03,
 0.3238000E+02, 0.2600111E+03, 0.2407888E+03, 0.2233653E+03, 0.1220701E+03,
 0.3240000E+02, 0.2600128E+03, 0.2407901E+03, 0.2233664E+03, 0.1220707E+03,
 0.3242000E+02, 0.2600144E+03, 0.2407914E+03, 0.2233676E+03, 0.1220714E+03,
 0.3244000E+02, 0.2600161E+03, 0.2407926E+03, 0.2233687E+03, 0.1220720E+03,
 0.3246000E+02, 0.2600177E+03, 0.2407939E+03, 0.2233698E+03, 0.1220727E+03,
 0.3248000E+02, 0.2600193E+03, 0.2407952E+03, 0.2233709E+03, 0.1220733E+03,
 0.3250000E+02, 0.2600209E+03, 0.2407964E+03, 0.2233720E+03, 0.1220740E+03,
 0.3252000E+02, 0.2600225E+03, 0.2407976E+03, 0.2233731E+03, 0.1220746E+03,
 0.3254000E+02, 0.2600241E+03, 0.2407988E+03, 0.2233742E+03, 0.1220752E+03,
 0.3256000E+02, 0.2600256E+03, 0.2408000E+03, 0.2233752E+03, 0.1220758E+03,
 0.3258000E+02, 0.2600272E+03, 0.2408012E+03, 0.2233763E+03, 0.1220764E+03,
 0.3260000E+02, 0.2600287E+03, 0.2408024E+03, 0.2233773E+03, 0.1220771E+03,
 0.3262000E+02, 0.2600302E+03, 0.2408036E+03, 0.2233784E+03, 0.1220777E+03,
 0.3264000E+02, 0.2600317E+03, 0.2408047E+03, 0.2233794E+03, 0.1220783E+03,
 0.3266000E+02, 0.2600332E+03, 0.2408058E+03, 0.2233804E+03, 0.1220788E+03,
 0.3268000E+02, 0.2600347E+03, 0.2408070E+03, 0.2233815E+03, 0.1220794E+03,
 0.3270000E+02, 0.2600362E+03, 0.2408081E+03, 0.2233824E+03, 0.1220800E+03,
 0.3272000E+02, 0.2600376E+03, 0.2408092E+03, 0.2233834E+03, 0.1220806E+03,
 0.3274000E+02, 0.2600390E+03, 0.2408103E+03, 0.2233844E+03, 0.1220812E+03,
 0.3276000E+02, 0.2600405E+03, 0.2408114E+03, 0.2233854E+03, 0.1220817E+03,
 0.3278000E+02, 0.2600419E+03, 0.2408125E+03, 0.2233864E+03, 0.1220823E+03,
 0.3280000E+02, 0.2600432E+03, 0.2408136E+03, 0.2233873E+03, 0.1220828E+03,
 0.3282000E+02, 0.2600446E+03, 0.2408147E+03, 0.2233883E+03, 0.1220834E+03,
 0.3284000E+02, 0.2600460E+03, 0.2408157E+03, 0.2233892E+03, 0.1220839E+03,
 0.3286000E+02, 0.2600474E+03, 0.2408168E+03, 0.2233901E+03, 0.1220845E+03,
 0.3288000E+02, 0.2600487E+03, 0.2408178E+03, 0.2233911E+03, 0.1220850E+03,
 0.3290000E+02, 0.2600500E+03, 0.2408188E+03, 0.2233920E+03, 0.1220855E+03,
 0.3292000E+02, 0.2600514E+03, 0.2408199E+03, 0.2233929E+03, 0.1220860E+03,
 0.3294000E+02, 0.2600527E+03, 0.2408208E+03, 0.2233938E+03, 0.1220866E+03,
 0.3296000E+02, 0.2600540E+03, 0.2408218E+03, 0.2233947E+03, 0.1220871E+03,
 0.3298000E+02, 0.2600552E+03, 0.2408228E+03, 0.2233955E+03, 0.1220876E+03,
 0.3300000E+02, 0.2600565E+03, 0.2408238E+03, 0.2233964E+03, 0.1220881E+03,
 0.3302000E+02, 0.2600578E+03, 0.2408248E+03, 0.2233973E+03, 0.1220886E+03,
 0.3304000E+02, 0.2600590E+03, 0.2408257E+03, 0.2233981E+03, 0.1220891E+03,
 0.3306000E+02, 0.2600603E+03, 0.2408267E+03, 0.2233990E+03, 0.1220896E+03,
 0.3308000E+02, 0.2600615E+03, 0.2408277E+03, 0.2233998E+03, 0.1220901E+03,
 0.3310000E+02, 0.2600627E+03, 0.2408286E+03, 0.2234007E+03, 0.1220906E+03,
 0.3312000E+02, 0.2600639E+03, 0.2408295E+03, 0.2234015E+03, 0.1220910E+03,
 0.3314000E+02, 0.2600651E+03, 0.2408304E+03, 0.2234023E+03, 0.1220915E+03,
 0.3316000E+02, 0.2600663E+03, 0.2408313E+03, 0.2234031E+03, 0.1220920E+03,
 0.3318000E+02, 0.2600674E+03, 0.2408322E+03, 0.2234039E+03, 0.1220924E+03,
 0.3320000E+02, 0.2600686E+03, 0.2408331E+03, 0.2234047E+03, 0.1220929E+03,
 0.3322000E+02, 0.2600698E+03, 0.2408340E+03, 0.2234055E+03, 0.1220934E+03,
 0.3324000E+02, 0.2600709E+03, 0.2408349E+03, 0.2234063E+03, 0.1220938E+03,
 0.3326000E+02, 0.2600720E+03, 0.2408358E+03, 0.2234070E+03, 0.1220943E+03,
 0.3328000E+02, 0.2600732E+03, 0.2408366E+03, 0.2234078E+03, 0.1220947E+03,
 0.3330000E+02, 0.2600742E+03, 0.2408375E+03, 0.2234086E+03, 0.1220951E+03,
 0.3332000E+02, 0.2600753E+03, 0.2408383E+03, 0.2234093E+03, 0.1220956E+03,
 0.3334000E+02, 0.2600764E+03, 0.2408392E+03, 0.2234101E+03, 0.1220960E+03,
 0.3336000E+02, 0.2600775E+03, 0.2408400E+03, 0.2234108E+03, 0.1220964E+03,
 0.3338000E+02, 0.2600786E+03, 0.2408408E+03, 0.2234115E+03, 0.1220969E+03,
 0.3340000E+02, 0.2600796E+03, 0.2408416E+03, 0.2234123E+03, 0.1220973E+03,
 0.3342000E+02, 0.2600807E+03, 0.2408424E+03, 0.2234130E+03, 0.1220977E+03,
 0.3344000E+02, 0.2600817E+03, 0.2408432E+03, 0.2234137E+03, 0.1220981E+03,
 0.3346000E+02, 0.2600828E+03, 0.2408440E+03, 0.2234144E+03, 0.1220985E+03,
 0.3348000E+02, 0.2600838E+03, 0.2408448E+03, 0.2234151E+03, 0.1220989E+03,
 0.3350000E+02, 0.2600848E+03, 0.2408456E+03, 0.2234158E+03, 0.1220993E+03,
 0.3352000E+02, 0.2600858E+03, 0.2408464E+03, 0.2234165E+03, 0.1220997E+03,
 0.3354000E+02, 0.2600868E+03, 0.2408471E+03, 0.2234171E+03, 0.1221001E+03,
 0.3356000E+02, 0.2600877E+03, 0.2408479E+03, 0.2234178E+03, 0.1221005E+03,
 0.3358000E+02, 0.2600887E+03, 0.2408486E+03, 0.2234185E+03, 0.1221009E+03,
 0.3360000E+02, 0.2600897E+03, 0.2408494E+03, 0.2234192E+03, 0.1221013E+03,
 0.3362000E+02, 0.2600906E+03, 0.2408501E+03, 0.2234198E+03, 0.1221016E+03,
 0.3364000E+02, 0.2600916E+03, 0.2408508E+03, 0.2234205E+03, 0.1221020E+03,
 0.3366000E+02, 0.2600925E+03, 0.2408516E+03, 0.2234211E+03, 0.1221024E+03,
 0.3368000E+02, 0.2600934E+03, 0.2408523E+03, 0.2234217E+03, 0.1221028E+03,
 0.3370000E+02, 0.2600944E+03, 0.2408530E+03, 0.2234224E+03, 0.1221031E+03,
 0.3372000E+02, 0.2600953E+03, 0.2408537E+03, 0.2234230E+03, 0.1221035E+03,
 0.3374000E+02, 0.2600962E+03, 0.2408544E+03, 0.2234236E+03, 0.1221038E+03,
 0.3376000E+02, 0.2600971E+03, 0.2408551E+03, 0.2234242E+03, 0.1221042E+03,
 0.3378000E+02, 0.2600980E+03, 0.2408558E+03, 0.2234248E+03, 0.1221046E+03,
 0.3380000E+02, 0.2600988E+03, 0.2408565E+03, 0.2234254E+03, 0.1221049E+03,
 0.3382000E+02, 0.2600997E+03, 0.2408571E+03, 0.2234260E+03, 0.1221052E+03,
 0.3384000E+02, 0.2601006E+03, 0.2408578E+03, 0.2234266E+03, 0.1221056E+03,
 0.3386000E+02, 0.2601014E+03, 0.2408584E+03, 0.2234272E+03, 0.1221059E+03,
 0.3388000E+02, 0.2601023E+03, 0.2408591E+03, 0.2234278E+03, 0.1221063E+03,
 0.3390000E+02, 0.2601031E+03, 0.2408598E+03, 0.2234284E+03, 0.1221066E+03,
 0.3392000E+02, 0.2601040E+03, 0.2408604E+03, 0.2234289E+03, 0.1221069E+03,
 0.3394000E+02, 0.2601048E+03, 0.2408610E+03, 0.2234295E+03, 0.1221073E+03,
 0.3396000E+02, 0.2601056E+03, 0.2408617E+03, 0.2234301E+03, 0.1221076E+03,
 0.3398000E+02, 0.2601064E+03, 0.2408623E+03, 0.2234306E+03, 0.1221079E+03,
 0.3400000E+02, 0.2601072E+03, 0.2408629E+03, 0.2234312E+03, 0.1221082E+03,
 0.3402000E+02, 0.2601080E+03, 0.2408635E+03, 0.2234317E+03, 0.1221085E+03,
 0.3404000E+02, 0.2601088E+03, 0.2408641E+03, 0.2234323E+03, 0.1221088E+03,
 0.3406000E+02, 0.2601096E+03, 0.2408647E+03, 0.2234328E+03, 0.1221092E+03,
 0.3408000E+02, 0.2601104E+03, 0.2408653E+03, 0.2234333E+03, 0.1221095E+03,
 0.3410000E+02, 0.2601111E+03, 0.2408659E+03, 0.2234338E+03, 0.1221098E+03,
 0.3412000E+02, 0.2601119E+03, 0.2408665E+03, 0.2234344E+03, 0.1221101E+03,
 0.3414000E+02, 0.2601126E+03, 0.2408671E+03, 0.2234349E+03, 0.1221104E+03,
 0.3416000E+02, 0.2601134E+03, 0.2408676E+03, 0.2234354E+03, 0.1221107E+03,
 0.3418000E+02, 0.2601141E+03, 0.2408682E+03, 0.2234359E+03, 0.1221110E+03,
 0.3420000E+02, 0.2601148E+03, 0.2408688E+03, 0.2234364E+03, 0.1221113E+03,
 0.3422000E+02, 0.2601156E+03, 0.2408693E+03, 0.2234369E+03, 0.1221115E+03,
 0.3424000E+02, 0.2601163E+03, 0.2408699E+03, 0.2234374E+03, 0.1221118E+03,
 0.3426000E+02, 0.2601170E+03, 0.2408704E+03, 0.2234379E+03, 0.1221121E+03,
 0.3428000E+02, 0.2601177E+03, 0.2408710E+03, 0.2234384E+03, 0.1221124E+03,
 0.3430000E+02, 0.2601184E+03, 0.2408715E+03, 0.2234388E+03, 0.1221127E+03,
 0.3432000E+02, 0.2601191E+03, 0.2408720E+03, 0.2234393E+03, 0.1221129E+03,
 0.3434000E+02, 0.2601198E+03, 0.2408726E+03, 0.2234398E+03, 0.1221132E+03,
 0.3436000E+02, 0.2601205E+03, 0.2408731E+03, 0.2234402E+03, 0.1221135E+03,
 0.3438000E+02, 0.2601211E+03, 0.2408736E+03, 0.2234407E+03, 0.1221137E+03,
 0.3440000E+02, 0.2601218E+03, 0.2408741E+03, 0.2234412E+03, 0.1221140E+03,
 0.3442000E+02, 0.2601224E+03, 0.2408746E+03, 0.2234416E+03, 0.1221143E+03,
 0.3444000E+02, 0.2601231E+03, 0.2408751E+03, 0.2234421E+03, 0.1221145E+03,
 0.3446000E+02, 0.2601237E+03, 0.2408756E+03, 0.2234425E+03, 0.1221148E+03,
 0.3448000E+02, 0.2601244E+03, 0.2408761E+03, 0.2234429E+03, 0.1221150E+03,
 0.3450000E+02, 0.2601250E+03, 0.2408766E+03, 0.2234434E+03, 0.1221153E+03,
 0.3452000E+02, 0.2601257E+03, 0.2408771E+03, 0.2234438E+03, 0.1221155E+03,
 0.3454000E+02, 0.2601263E+03, 0.2408776E+03, 0.2234442E+03, 0.1221158E+03,
 0.3456000E+02, 0.2601269E+03, 0.2408781E+03, 0.2234447E+03, 0.1221160E+03,
 0.3458000E+02, 0.2601275E+03, 0.2408785E+03, 0.2234451E+03, 0.1221163E+03,
 0.3460000E+02, 0.2601281E+03, 0.2408790E+03, 0.2234455E+03, 0.1221165E+03,
 0.3462000E+02, 0.2601287E+03, 0.2408795E+03, 0.2234459E+03, 0.1221168E+03,
 0.3464000E+02, 0.2601293E+03, 0.2408799E+03, 0.2234463E+03, 0.1221170E+03,
 0.3466000E+02, 0.2601299E+03, 0.2408804E+03, 0.2234467E+03, 0.1221172E+03,
 0.3468000E+02, 0.2601305E+03, 0.2408808E+03, 0.2234471E+03, 0.1221175E+03,
 0.3470000E+02, 0.2601311E+03, 0.2408813E+03, 0.2234475E+03, 0.1221177E+03,
 0.3472000E+02, 0.2601317E+03, 0.2408817E+03, 0.2234479E+03, 0.1221179E+03,
 0.3474000E+02, 0.2601322E+03, 0.2408822E+03, 0.2234483E+03, 0.1221181E+03,
 0.3476000E+02, 0.2601328E+03, 0.2408826E+03, 0.2234487E+03, 0.1221184E+03,
 0.3478000E+02, 0.2601334E+03, 0.2408830E+03, 0.2234491E+03, 0.1221186E+03,
 0.3480000E+02, 0.2601339E+03, 0.2408835E+03, 0.2234495E+03, 0.1221188E+03,
 0.3482000E+02, 0.2601345E+03, 0.2408839E+03, 0.2234498E+03, 0.1221190E+03,
