@TT [keV]  vs r@
X,TT_1,TT_2,TT_3,TT_4,TT_5,TT_6,TT_7,TT_8,TT_9,TT_10,TT_11,TT_12,TT_13,TT_14,TT_15,TT_16,TT_17,TT_18,TT_19,TT_20,TT_21,TT_22,TT_23,TT_24,TT_25,TT_26,TT_27,TT_28,TT_29,TT_30,TT_31,TT_32,TT_33,TT_34,TT_35,TT_36,TT_37,TT_38,TT_39,TT_40,TT_41,TT_42,TT_43,TT_44,TT_45,TT_46,TT_47,TT_48,TT_49,TT_50,TT_51,TT_52,TT_53,TT_54,TT_55,TT_56,TT_57,TT_58,TT_59,TT_60,TT_61,TT_62,TT_63,TT_64,TT_65,TT_66,TT_67,TT_68,TT_69,TT_70,TT_71,TT_72,TT_73,TT_74,TT_75,TT_76,TT_77,TT_78,TT_79,TT_80,TT_81,TT_82,TT_83,TT_84,TT_85,TT_86,TT_87,TT_88,TT_89,TT_90,TT_91,TT_92,TT_93,TT_94,TT_95,TT_96,TT_97,TT_98,TT_99,TT_100,TT_101,TT_102,TT_103
 0.2100000E+00, 0.4781705E+01, 0.4754762E+01, 0.4737567E+01, 0.4734902E+01, 0.4744862E+01, 0.4770616E+01, 0.4836058E+01, 0.4976143E+01, 0.5143075E+01, 0.5319136E+01, 0.5495101E+01, 0.5672078E+01, 0.5848086E+01, 0.6023031E+01, 0.6196612E+01, 0.6368697E+01, 0.6368697E+01, 0.6539588E+01, 0.6709853E+01, 0.6880108E+01, 0.7051077E+01, 0.7223624E+01, 0.7398736E+01, 0.7577476E+01, 0.7760966E+01, 0.7950410E+01, 0.8147144E+01, 0.8352603E+01, 0.8566954E+01, 0.8789769E+01, 0.9022826E+01, 0.9264945E+01, 0.9517417E+01, 0.9783019E+01, 0.1005792E+02, 0.1034715E+02, 0.1064939E+02, 0.1064939E+02, 0.1096110E+02, 0.1129121E+02, 0.1162261E+02, 0.1196991E+02, 0.1231135E+02, 0.1256329E+02, 0.1273770E+02, 0.1302923E+02, 0.1330406E+02, 0.1359992E+02, 0.1390532E+02, 0.1422715E+02, 0.1456443E+02, 0.1491715E+02, 0.1528562E+02, 0.1567096E+02, 0.1607500E+02, 0.1649872E+02, 0.1694232E+02, 0.1740554E+02, 0.1788792E+02, 0.1838900E+02, 0.1890836E+02, 0.1944565E+02, 0.2000054E+02, 0.2057269E+02, 0.2116173E+02, 0.2176727E+02, 0.2238882E+02, 0.2302587E+02, 0.2367779E+02, 0.2434390E+02, 0.2502343E+02, 0.2571553E+02, 0.2641925E+02, 0.2713359E+02, 0.2785746E+02, 0.2858971E+02, 0.2932934E+02, 0.3007765E+02, 0.3083718E+02, 0.3160730E+02, 0.3238544E+02, 0.3316878E+02, 0.3395477E+02, 0.3474122E+02, 0.3552624E+02, 0.3630814E+02, 0.3708539E+02, 0.3785658E+02, 0.3862039E+02, 0.3937561E+02, 0.4012111E+02, 0.4085583E+02, 0.4157882E+02, 0.4228918E+02, 0.4298613E+02, 0.4366894E+02, 0.4433699E+02, 0.4498972E+02, 0.4562666E+02, 0.4624742E+02, 0.4685168E+02, 0.4743921E+02, 0.4800982E+02,
 0.2300000E+00, 0.4738145E+01, 0.4702115E+01, 0.4691586E+01, 0.4703895E+01, 0.4739441E+01, 0.4850515E+01, 0.5041916E+01, 0.5250359E+01, 0.5464005E+01, 0.5673125E+01, 0.5874452E+01, 0.6069119E+01, 0.6258105E+01, 0.6442390E+01, 0.6622761E+01, 0.6799867E+01, 0.6799867E+01, 0.6974367E+01, 0.7147089E+01, 0.7318828E+01, 0.7490413E+01, 0.7662765E+01, 0.7836921E+01, 0.8014028E+01, 0.8195352E+01, 0.8382306E+01, 0.8576503E+01, 0.8779363E+01, 0.8988770E+01, 0.9204648E+01, 0.9429894E+01, 0.9659598E+01, 0.9900161E+01, 0.1015157E+02, 0.1040598E+02, 0.1067926E+02, 0.1095037E+02, 0.1095037E+02, 0.1123329E+02, 0.1151668E+02, 0.1179113E+02, 0.1198414E+02, 0.1206770E+02, 0.1229443E+02, 0.1251962E+02, 0.1276254E+02, 0.1301537E+02, 0.1328137E+02, 0.1355753E+02, 0.1384875E+02, 0.1415409E+02, 0.1447349E+02, 0.1480703E+02, 0.1515613E+02, 0.1552279E+02, 0.1590797E+02, 0.1631204E+02, 0.1673494E+02, 0.1717637E+02, 0.1763592E+02, 0.1811319E+02, 0.1860776E+02, 0.1911926E+02, 0.1964729E+02, 0.2019143E+02, 0.2075127E+02, 0.2132630E+02, 0.2191599E+02, 0.2251975E+02, 0.2313692E+02, 0.2376675E+02, 0.2440845E+02, 0.2506115E+02, 0.2572390E+02, 0.2639569E+02, 0.2707546E+02, 0.2776249E+02, 0.2845963E+02, 0.2916969E+02, 0.2989101E+02, 0.3062029E+02, 0.3135441E+02, 0.3209083E+02, 0.3282744E+02, 0.3356247E+02, 0.3429438E+02, 0.3502176E+02, 0.3574332E+02, 0.3645786E+02, 0.3716428E+02, 0.3786152E+02, 0.3854862E+02, 0.3922469E+02, 0.3988892E+02, 0.4054056E+02, 0.4117894E+02, 0.4180349E+02, 0.4241368E+02, 0.4300908E+02, 0.4358932E+02, 0.4415412E+02, 0.4470324E+02, 0.4523652E+02,
 0.2500000E+00, 0.4690625E+01, 0.4655880E+01, 0.4664096E+01, 0.4710146E+01, 0.4876452E+01, 0.5121709E+01, 0.5380547E+01, 0.5632875E+01, 0.5873573E+01, 0.6100906E+01, 0.6315212E+01, 0.6518243E+01, 0.6712339E+01, 0.6899285E+01, 0.7080576E+01, 0.7257398E+01, 0.7257398E+01, 0.7430758E+01, 0.7601661E+01, 0.7771057E+01, 0.7939891E+01, 0.8109164E+01, 0.8279995E+01, 0.8453651E+01, 0.8631588E+01, 0.8815497E+01, 0.9007328E+01, 0.9207335E+01, 0.9407681E+01, 0.9613756E+01, 0.9825933E+01, 0.1003472E+02, 0.1026174E+02, 0.1048486E+02, 0.1070788E+02, 0.1096338E+02, 0.1115355E+02, 0.1115355E+02, 0.1140539E+02, 0.1146252E+02, 0.1149904E+02, 0.1169185E+02, 0.1188564E+02, 0.1206901E+02, 0.1228067E+02, 0.1249416E+02, 0.1272401E+02, 0.1296602E+02, 0.1322001E+02, 0.1348742E+02, 0.1376742E+02, 0.1405965E+02, 0.1436418E+02, 0.1468286E+02, 0.1501766E+02, 0.1536941E+02, 0.1573851E+02, 0.1612505E+02, 0.1652883E+02, 0.1694952E+02, 0.1738675E+02, 0.1784013E+02, 0.1830925E+02, 0.1879371E+02, 0.1929311E+02, 0.1980700E+02, 0.2033493E+02, 0.2087638E+02, 0.2143080E+02, 0.2199758E+02, 0.2257604E+02, 0.2316546E+02, 0.2376504E+02, 0.2437392E+02, 0.2499119E+02, 0.2561589E+02, 0.2624783E+02, 0.2689186E+02, 0.2755051E+02, 0.2822069E+02, 0.2889837E+02, 0.2958028E+02, 0.3026393E+02, 0.3094740E+02, 0.3162908E+02, 0.3230760E+02, 0.3298170E+02, 0.3365024E+02, 0.3431214E+02, 0.3496641E+02, 0.3561211E+02, 0.3624834E+02, 0.3687432E+02, 0.3748928E+02, 0.3809255E+02, 0.3868353E+02, 0.3926166E+02, 0.3982648E+02, 0.4037759E+02, 0.4091465E+02, 0.4143739E+02, 0.4194560E+02, 0.4243913E+02,
 0.2700000E+00, 0.4639145E+01, 0.4621763E+01, 0.4667519E+01, 0.4886151E+01, 0.5196228E+01, 0.5513987E+01, 0.5811369E+01, 0.6084112E+01, 0.6334489E+01, 0.6565958E+01, 0.6781342E+01, 0.6983268E+01, 0.7174572E+01, 0.7357519E+01, 0.7533983E+01, 0.7705469E+01, 0.7705469E+01, 0.7873176E+01, 0.8038277E+01, 0.8201892E+01, 0.8365108E+01, 0.8529071E+01, 0.8695079E+01, 0.8864649E+01, 0.9039603E+01, 0.9222123E+01, 0.9414543E+01, 0.9610353E+01, 0.9791886E+01, 0.9986821E+01, 0.1016695E+02, 0.1034202E+02, 0.1055874E+02, 0.1069472E+02, 0.1087580E+02, 0.1106726E+02, 0.1093077E+02, 0.1093077E+02, 0.1097447E+02, 0.1119948E+02, 0.1135113E+02, 0.1150035E+02, 0.1169500E+02, 0.1186658E+02, 0.1206316E+02, 0.1226061E+02, 0.1247230E+02, 0.1269397E+02, 0.1292647E+02, 0.1317072E+02, 0.1342713E+02, 0.1369608E+02, 0.1397783E+02, 0.1427287E+02, 0.1458230E+02, 0.1490671E+02, 0.1524644E+02, 0.1560154E+02, 0.1597187E+02, 0.1635712E+02, 0.1675696E+02, 0.1717102E+02, 0.1759895E+02, 0.1804039E+02, 0.1849499E+02, 0.1896239E+02, 0.1944218E+02, 0.1993396E+02, 0.2043724E+02, 0.2095153E+02, 0.2147624E+02, 0.2201075E+02, 0.2255438E+02, 0.2310638E+02, 0.2366595E+02, 0.2423226E+02, 0.2480606E+02, 0.2539467E+02, 0.2599942E+02, 0.2661545E+02, 0.2723811E+02, 0.2786410E+02, 0.2849114E+02, 0.2911750E+02, 0.2974183E+02, 0.3036292E+02, 0.3097972E+02, 0.3159124E+02, 0.3219654E+02, 0.3279474E+02, 0.3338503E+02, 0.3396661E+02, 0.3453876E+02, 0.3510081E+02, 0.3565216E+02, 0.3619225E+02, 0.3672060E+02, 0.3723677E+02, 0.3774039E+02, 0.3823117E+02, 0.3870886E+02, 0.3917327E+02, 0.3962425E+02,
 0.2900000E+00, 0.4583705E+01, 0.4603934E+01, 0.4822746E+01, 0.5209113E+01, 0.5595243E+01, 0.5947896E+01, 0.6254362E+01, 0.6525277E+01, 0.6769119E+01, 0.6991852E+01, 0.7197656E+01, 0.7389756E+01, 0.7571056E+01, 0.7743973E+01, 0.7910507E+01, 0.8072253E+01, 0.8072253E+01, 0.8230366E+01, 0.8386350E+01, 0.8541549E+01, 0.8697286E+01, 0.8855029E+01, 0.9016530E+01, 0.9183960E+01, 0.9360052E+01, 0.9548082E+01, 0.9750401E+01, 0.9927213E+01, 0.1007071E+02, 0.1026149E+02, 0.1032531E+02, 0.1046291E+02, 0.1065067E+02, 0.1040528E+02, 0.1040338E+02, 0.1048267E+02, 0.1074177E+02, 0.1074177E+02, 0.1083250E+02, 0.1098319E+02, 0.1115728E+02, 0.1129746E+02, 0.1147901E+02, 0.1164454E+02, 0.1182718E+02, 0.1201215E+02, 0.1220799E+02, 0.1241184E+02, 0.1262456E+02, 0.1284698E+02, 0.1308062E+02, 0.1332704E+02, 0.1358713E+02, 0.1386034E+02, 0.1414603E+02, 0.1444450E+02, 0.1475595E+02, 0.1508038E+02, 0.1541762E+02, 0.1576739E+02, 0.1612938E+02, 0.1650328E+02, 0.1688879E+02, 0.1728565E+02, 0.1769360E+02, 0.1811236E+02, 0.1854165E+02, 0.1898115E+02, 0.1943051E+02, 0.1988933E+02, 0.2035715E+02, 0.2083346E+02, 0.2131770E+02, 0.2180925E+02, 0.2230742E+02, 0.2281153E+02, 0.2332395E+02, 0.2385483E+02, 0.2440285E+02, 0.2496116E+02, 0.2552471E+02, 0.2609037E+02, 0.2665614E+02, 0.2722062E+02, 0.2778272E+02, 0.2834148E+02, 0.2889605E+02, 0.2944561E+02, 0.2998940E+02, 0.3052667E+02, 0.3105672E+02, 0.3157886E+02, 0.3209249E+02, 0.3259700E+02, 0.3309187E+02, 0.3357661E+02, 0.3405079E+02, 0.3451403E+02, 0.3496601E+02, 0.3540645E+02, 0.3583513E+02, 0.3625189E+02, 0.3665661E+02,
 0.3100000E+00, 0.4524305E+01, 0.4627887E+01, 0.5083249E+01, 0.5537587E+01, 0.5965728E+01, 0.6318119E+01, 0.6607117E+01, 0.6858202E+01, 0.7082378E+01, 0.7286005E+01, 0.7473598E+01, 0.7648520E+01, 0.7813529E+01, 0.7970946E+01, 0.8122731E+01, 0.8270221E+01, 0.8270221E+01, 0.8414482E+01, 0.8557630E+01, 0.8701281E+01, 0.8847228E+01, 0.8997690E+01, 0.9155595E+01, 0.9324961E+01, 0.9511310E+01, 0.9721369E+01, 0.9953531E+01, 0.1001163E+02, 0.1009865E+02, 0.1026611E+02, 0.9818169E+01, 0.9770818E+01, 0.9791991E+01, 0.1009718E+02, 0.1016940E+02, 0.1022935E+02, 0.1042165E+02, 0.1042165E+02, 0.1054009E+02, 0.1065793E+02, 0.1081807E+02, 0.1095207E+02, 0.1111108E+02, 0.1126720E+02, 0.1143357E+02, 0.1160499E+02, 0.1178462E+02, 0.1197155E+02, 0.1216621E+02, 0.1236896E+02, 0.1258102E+02, 0.1280369E+02, 0.1303785E+02, 0.1328338E+02, 0.1353966E+02, 0.1380674E+02, 0.1408478E+02, 0.1437378E+02, 0.1467363E+02, 0.1498409E+02, 0.1530488E+02, 0.1563574E+02, 0.1597639E+02, 0.1632657E+02, 0.1668607E+02, 0.1705462E+02, 0.1743199E+02, 0.1781791E+02, 0.1821206E+02, 0.1861411E+02, 0.1902369E+02, 0.1944035E+02, 0.1986363E+02, 0.2029301E+02, 0.2072792E+02, 0.2116780E+02, 0.2161791E+02, 0.2209092E+02, 0.2258096E+02, 0.2307922E+02, 0.2358060E+02, 0.2408238E+02, 0.2458307E+02, 0.2508163E+02, 0.2557733E+02, 0.2606948E+02, 0.2655745E+02, 0.2704065E+02, 0.2751845E+02, 0.2799029E+02, 0.2845558E+02, 0.2891378E+02, 0.2936436E+02, 0.2980685E+02, 0.3024078E+02, 0.3066575E+02, 0.3108139E+02, 0.3148739E+02, 0.3188346E+02, 0.3226938E+02, 0.3264496E+02, 0.3301007E+02, 0.3336459E+02,
 0.3300000E+00, 0.4460945E+01, 0.4782641E+01, 0.5319651E+01, 0.5807506E+01, 0.6256429E+01, 0.6571010E+01, 0.6817750E+01, 0.7031595E+01, 0.7221817E+01, 0.7393789E+01, 0.7551611E+01, 0.7698350E+01, 0.7836389E+01, 0.7967712E+01, 0.8094025E+01, 0.8215591E+01, 0.8215591E+01, 0.8333901E+01, 0.8451381E+01, 0.8569795E+01, 0.8691469E+01, 0.8819729E+01, 0.8959669E+01, 0.9119546E+01, 0.9313036E+01, 0.9560527E+01, 0.9796659E+01, 0.9144194E+01, 0.8994985E+01, 0.8982997E+01, 0.9424389E+01, 0.9462196E+01, 0.9482753E+01, 0.9674540E+01, 0.9790779E+01, 0.9864479E+01, 0.1000504E+02, 0.1000504E+02, 0.1013309E+02, 0.1024221E+02, 0.1038561E+02, 0.1051743E+02, 0.1066106E+02, 0.1080857E+02, 0.1096131E+02, 0.1111989E+02, 0.1128452E+02, 0.1145547E+02, 0.1163283E+02, 0.1181675E+02, 0.1200816E+02, 0.1220809E+02, 0.1241740E+02, 0.1263617E+02, 0.1286388E+02, 0.1310044E+02, 0.1334592E+02, 0.1360035E+02, 0.1386360E+02, 0.1413549E+02, 0.1441577E+02, 0.1470419E+02, 0.1500050E+02, 0.1530448E+02, 0.1561590E+02, 0.1593455E+02, 0.1626022E+02, 0.1659267E+02, 0.1693165E+02, 0.1727687E+02, 0.1762803E+02, 0.1798477E+02, 0.1834670E+02, 0.1871339E+02, 0.1908441E+02, 0.1945936E+02, 0.1984830E+02, 0.2026483E+02, 0.2069672E+02, 0.2113371E+02, 0.2157112E+02, 0.2200696E+02, 0.2244029E+02, 0.2287059E+02, 0.2329745E+02, 0.2372050E+02, 0.2413937E+02, 0.2455363E+02, 0.2496289E+02, 0.2536670E+02, 0.2576464E+02, 0.2615628E+02, 0.2654122E+02, 0.2691907E+02, 0.2728948E+02, 0.2765211E+02, 0.2800667E+02, 0.2835290E+02, 0.2869059E+02, 0.2901954E+02, 0.2933962E+02, 0.2965071E+02, 0.2995275E+02,
 0.3500000E+00, 0.4393625E+01, 0.4887830E+01, 0.5432316E+01, 0.5950092E+01, 0.6384740E+01, 0.6632616E+01, 0.6823501E+01, 0.6988097E+01, 0.7131520E+01, 0.7257813E+01, 0.7370273E+01, 0.7471233E+01, 0.7562270E+01, 0.7644433E+01, 0.7718379E+01, 0.7785852E+01, 0.7785852E+01, 0.7847053E+01, 0.7900546E+01, 0.7945636E+01, 0.7981102E+01, 0.8004919E+01, 0.8013756E+01, 0.8002127E+01, 0.7961166E+01, 0.7878976E+01, 0.7820764E+01, 0.8409222E+01, 0.8485416E+01, 0.8478975E+01, 0.8710913E+01, 0.8848839E+01, 0.8910417E+01, 0.9035808E+01, 0.9171908E+01, 0.9265019E+01, 0.9378959E+01, 0.9378959E+01, 0.9508457E+01, 0.9617876E+01, 0.9746774E+01, 0.9874882E+01, 0.1000623E+02, 0.1014404E+02, 0.1028422E+02, 0.1042970E+02, 0.1057949E+02, 0.1073435E+02, 0.1089424E+02, 0.1105921E+02, 0.1122993E+02, 0.1140724E+02, 0.1159190E+02, 0.1178413E+02, 0.1198352E+02, 0.1218989E+02, 0.1240326E+02, 0.1262362E+02, 0.1285086E+02, 0.1308481E+02, 0.1332524E+02, 0.1357190E+02, 0.1382457E+02, 0.1408301E+02, 0.1434703E+02, 0.1461642E+02, 0.1489099E+02, 0.1517053E+02, 0.1545482E+02, 0.1574363E+02, 0.1603670E+02, 0.1633374E+02, 0.1663445E+02, 0.1693849E+02, 0.1724552E+02, 0.1755544E+02, 0.1788615E+02, 0.1824845E+02, 0.1862223E+02, 0.1899682E+02, 0.1936862E+02, 0.1973660E+02, 0.2010056E+02, 0.2046048E+02, 0.2081635E+02, 0.2116810E+02, 0.2151561E+02, 0.2185868E+02, 0.2219707E+02, 0.2253051E+02, 0.2285871E+02, 0.2318139E+02, 0.2349826E+02, 0.2380903E+02, 0.2411345E+02, 0.2441128E+02, 0.2470230E+02, 0.2498633E+02, 0.2526320E+02, 0.2553278E+02, 0.2579497E+02, 0.2604970E+02, 0.2629693E+02,
 0.3700000E+00, 0.4322345E+01, 0.4904027E+01, 0.5363638E+01, 0.5570886E+01, 0.5676286E+01, 0.5891704E+01, 0.6084741E+01, 0.6239106E+01, 0.6368884E+01, 0.6482574E+01, 0.6584491E+01, 0.6676987E+01, 0.6761458E+01, 0.6838796E+01, 0.6909575E+01, 0.6974419E+01, 0.6974419E+01, 0.7034172E+01, 0.7088302E+01, 0.7136399E+01, 0.7177864E+01, 0.7211677E+01, 0.7236121E+01, 0.7248322E+01, 0.7243536E+01, 0.7214754E+01, 0.7169932E+01, 0.7426492E+01, 0.7574519E+01, 0.7601676E+01, 0.7706593E+01, 0.7828408E+01, 0.7894356E+01, 0.7968506E+01, 0.8070809E+01, 0.8151782E+01, 0.8231400E+01, 0.8231400E+01, 0.8329098E+01, 0.8417975E+01, 0.8513141E+01, 0.8614176E+01, 0.8715775E+01, 0.8823792E+01, 0.8934151E+01, 0.9049183E+01, 0.9167987E+01, 0.9291222E+01, 0.9418806E+01, 0.9550730E+01, 0.9687327E+01, 0.9829142E+01, 0.9976731E+01, 0.1013035E+02, 0.1028975E+02, 0.1045473E+02, 0.1062520E+02, 0.1080111E+02, 0.1098234E+02, 0.1116870E+02, 0.1135997E+02, 0.1155590E+02, 0.1175625E+02, 0.1196079E+02, 0.1216929E+02, 0.1238156E+02, 0.1259740E+02, 0.1281661E+02, 0.1303899E+02, 0.1326433E+02, 0.1349242E+02, 0.1372302E+02, 0.1395590E+02, 0.1419081E+02, 0.1442749E+02, 0.1466659E+02, 0.1494006E+02, 0.1524690E+02, 0.1555780E+02, 0.1586365E+02, 0.1616299E+02, 0.1645622E+02, 0.1674400E+02, 0.1702690E+02, 0.1730530E+02, 0.1757943E+02, 0.1784938E+02, 0.1811517E+02, 0.1837672E+02, 0.1863391E+02, 0.1888661E+02, 0.1913464E+02, 0.1937784E+02, 0.1961603E+02, 0.1984906E+02, 0.2007677E+02, 0.2029904E+02, 0.2051574E+02, 0.2072677E+02, 0.2093207E+02, 0.2113158E+02, 0.2132527E+02, 0.2151312E+02,
 0.3900000E+00, 0.4247105E+01, 0.4491100E+01, 0.4781279E+01, 0.4930582E+01, 0.4982818E+01, 0.5072969E+01, 0.5174355E+01, 0.5266223E+01, 0.5349996E+01, 0.5428060E+01, 0.5501458E+01, 0.5570579E+01, 0.5635571E+01, 0.5696516E+01, 0.5753468E+01, 0.5806514E+01, 0.5806514E+01, 0.5855991E+01, 0.5901777E+01, 0.5943679E+01, 0.5981470E+01, 0.6014751E+01, 0.6042822E+01, 0.6064470E+01, 0.6077645E+01, 0.6079141E+01, 0.6067975E+01, 0.6156290E+01, 0.6264376E+01, 0.6301167E+01, 0.6348046E+01, 0.6422018E+01, 0.6472149E+01, 0.6516309E+01, 0.6576931E+01, 0.6631985E+01, 0.6682703E+01, 0.6682703E+01, 0.6742885E+01, 0.6801989E+01, 0.6862323E+01, 0.6927685E+01, 0.6994003E+01, 0.7064388E+01, 0.7137169E+01, 0.7213235E+01, 0.7292299E+01, 0.7374659E+01, 0.7460319E+01, 0.7549273E+01, 0.7641642E+01, 0.7737697E+01, 0.7837756E+01, 0.7942023E+01, 0.8050429E+01, 0.8162827E+01, 0.8279129E+01, 0.8399262E+01, 0.8523117E+01, 0.8650543E+01, 0.8781356E+01, 0.8915351E+01, 0.9052322E+01, 0.9192063E+01, 0.9334381E+01, 0.9479089E+01, 0.9626011E+01, 0.9774979E+01, 0.9925827E+01, 0.1007839E+02, 0.1023251E+02, 0.1038802E+02, 0.1054476E+02, 0.1070256E+02, 0.1086130E+02, 0.1102376E+02, 0.1124431E+02, 0.1149384E+02, 0.1173670E+02, 0.1196813E+02, 0.1218961E+02, 0.1240309E+02, 0.1261011E+02, 0.1281176E+02, 0.1300881E+02, 0.1320173E+02, 0.1339085E+02, 0.1357634E+02, 0.1375830E+02, 0.1393676E+02, 0.1411168E+02, 0.1428303E+02, 0.1445074E+02, 0.1461473E+02, 0.1477494E+02, 0.1493129E+02, 0.1508372E+02, 0.1523217E+02, 0.1537659E+02, 0.1551696E+02, 0.1565326E+02, 0.1578548E+02, 0.1591364E+02,
 0.4100000E+00, 0.4167905E+01, 0.4043686E+01, 0.4096616E+01, 0.4135309E+01, 0.4149035E+01, 0.4175757E+01, 0.4218478E+01, 0.4267793E+01, 0.4320199E+01, 0.4374010E+01, 0.4427926E+01, 0.4480954E+01, 0.4532381E+01, 0.4581726E+01, 0.4628690E+01, 0.4673101E+01, 0.4673101E+01, 0.4714932E+01, 0.4754146E+01, 0.4790703E+01, 0.4824574E+01, 0.4855686E+01, 0.4883860E+01, 0.4908740E+01, 0.4929665E+01, 0.4945527E+01, 0.4955300E+01, 0.4986865E+01, 0.5041992E+01, 0.5073332E+01, 0.5099774E+01, 0.5138300E+01, 0.5171495E+01, 0.5200255E+01, 0.5234468E+01, 0.5269051E+01, 0.5301781E+01, 0.5301781E+01, 0.5337753E+01, 0.5375047E+01, 0.5412893E+01, 0.5453459E+01, 0.5495428E+01, 0.5539661E+01, 0.5585906E+01, 0.5634312E+01, 0.5684884E+01, 0.5737697E+01, 0.5792775E+01, 0.5850107E+01, 0.5909705E+01, 0.5971651E+01, 0.6036070E+01, 0.6103065E+01, 0.6172630E+01, 0.6244671E+01, 0.6319096E+01, 0.6395807E+01, 0.6474695E+01, 0.6555624E+01, 0.6638439E+01, 0.6722969E+01, 0.6809036E+01, 0.6896464E+01, 0.6985084E+01, 0.7074735E+01, 0.7165270E+01, 0.7256549E+01, 0.7348445E+01, 0.7440840E+01, 0.7533623E+01, 0.7626691E+01, 0.7719953E+01, 0.7813336E+01, 0.7906821E+01, 0.8008089E+01, 0.8194076E+01, 0.8396680E+01, 0.8582222E+01, 0.8751081E+01, 0.8907145E+01, 0.9053569E+01, 0.9192583E+01, 0.9325735E+01, 0.9454097E+01, 0.9578412E+01, 0.9699194E+01, 0.9816791E+01, 0.9931435E+01, 0.1004328E+02, 0.1015242E+02, 0.1025890E+02, 0.1036276E+02, 0.1046401E+02, 0.1056264E+02, 0.1065864E+02, 0.1075203E+02, 0.1084278E+02, 0.1093090E+02, 0.1101640E+02, 0.1109929E+02, 0.1117959E+02, 0.1125734E+02,
 0.4300000E+00, 0.4084745E+01, 0.3951632E+01, 0.3946714E+01, 0.3957804E+01, 0.3962603E+01, 0.3978978E+01, 0.4012090E+01, 0.4054706E+01, 0.4102530E+01, 0.4153091E+01, 0.4204628E+01, 0.4255873E+01, 0.4305940E+01, 0.4354240E+01, 0.4400403E+01, 0.4444213E+01, 0.4444213E+01, 0.4485574E+01, 0.4524460E+01, 0.4560859E+01, 0.4594777E+01, 0.4626193E+01, 0.4655015E+01, 0.4681023E+01, 0.4703780E+01, 0.4722514E+01, 0.4736342E+01, 0.4761129E+01, 0.4806652E+01, 0.4836865E+01, 0.4861038E+01, 0.4894073E+01, 0.4924667E+01, 0.4951558E+01, 0.4982095E+01, 0.5013789E+01, 0.5044240E+01, 0.5044240E+01, 0.5077010E+01, 0.5111413E+01, 0.5146425E+01, 0.5183811E+01, 0.5222735E+01, 0.5263726E+01, 0.5306730E+01, 0.5351807E+01, 0.5398998E+01, 0.5448355E+01, 0.5499905E+01, 0.5553642E+01, 0.5609566E+01, 0.5667736E+01, 0.5728254E+01, 0.5791215E+01, 0.5856623E+01, 0.5924395E+01, 0.5994442E+01, 0.6066667E+01, 0.6140961E+01, 0.6217194E+01, 0.6295214E+01, 0.6374854E+01, 0.6455942E+01, 0.6538306E+01, 0.6621778E+01, 0.6706200E+01, 0.6791429E+01, 0.6877327E+01, 0.6963774E+01, 0.7050654E+01, 0.7137865E+01, 0.7225310E+01, 0.7312907E+01, 0.7400595E+01, 0.7488371E+01, 0.7585491E+01, 0.7772954E+01, 0.7974744E+01, 0.8157938E+01, 0.8323623E+01, 0.8476015E+01, 0.8618456E+01, 0.8753296E+01, 0.8882165E+01, 0.9006193E+01, 0.9126168E+01, 0.9242632E+01, 0.9355958E+01, 0.9466396E+01, 0.9574111E+01, 0.9679206E+01, 0.9781744E+01, 0.9881758E+01, 0.9979260E+01, 0.1007426E+02, 0.1016674E+02, 0.1025671E+02, 0.1034417E+02, 0.1042910E+02, 0.1051153E+02, 0.1059145E+02, 0.1066890E+02, 0.1074392E+02,
