@AJOH [MA/m^2]  vs r@
X,AJOH_1,AJOH_2,AJOH_3,AJOH_4,AJOH_5,AJOH_6,AJOH_7,AJOH_8,AJOH_9,AJOH_10,AJOH_11,AJOH_12,AJOH_13,AJOH_14,AJOH_15,AJOH_16,AJOH_17,AJOH_18,AJOH_19,AJOH_20,AJOH_21,AJOH_22,AJOH_23,AJOH_24,AJOH_25,AJOH_26,AJOH_27,AJOH_28,AJOH_29,AJOH_30,AJOH_31,AJOH_32,AJOH_33,AJOH_34,AJOH_35,AJOH_36,AJOH_37,AJOH_38,AJOH_39,AJOH_40,AJOH_41,AJOH_42,AJOH_43,AJOH_44,AJOH_45,AJOH_46,AJOH_47,AJOH_48,AJOH_49,AJOH_50,AJOH_51,AJOH_52,AJOH_53,AJOH_54,AJOH_55,AJOH_56,AJOH_57,AJOH_58,AJOH_59,AJOH_60,AJOH_61,AJOH_62,AJOH_63,AJOH_64,AJOH_65,AJOH_66,AJOH_67,AJOH_68,AJOH_69,AJOH_70,AJOH_71,AJOH_72,AJOH_73,AJOH_74,AJOH_75,AJOH_76,AJOH_77,AJOH_78,AJOH_79,AJOH_80,AJOH_81,AJOH_82,AJOH_83,AJOH_84,AJOH_85,AJOH_86,AJOH_87,AJOH_88,AJOH_89,AJOH_90,AJOH_91,AJOH_92,AJOH_93,AJOH_94,AJOH_95,AJOH_96,AJOH_97,AJOH_98,AJOH_99,AJOH_100,AJOH_101,AJOH_102,AJOH_103
 0.2100000E+00, 0.8334301E+00, 0.8291978E+00, 0.8296723E+00, 0.8334512E+00, 0.8397413E+00, 0.8595603E+00, 0.8960323E+00, 0.9332384E+00, 0.9606978E+00, 0.9781783E+00, 0.9914581E+00, 0.1000774E+01, 0.1007810E+01, 0.1013092E+01, 0.1017130E+01, 0.1020303E+01, 0.1020303E+01, 0.1022731E+01, 0.1024545E+01, 0.1025808E+01, 0.1026545E+01, 0.1026759E+01, 0.1026450E+01, 0.1025630E+01, 0.1024333E+01, 0.1022616E+01, 0.1020568E+01, 0.1018298E+01, 0.1015769E+01, 0.1012788E+01, 0.1009316E+01, 0.1005184E+01, 0.1000118E+01, 0.9943970E+00, 0.9875723E+00, 0.9794150E+00, 0.9705920E+00, 0.9705920E+00, 0.9591369E+00, 0.9472654E+00, 0.9303491E+00, 0.9166558E+00, 0.8857098E+00, 0.8334336E+00, 0.7819099E+00, 0.7301925E+00, 0.7010093E+00, 0.6740556E+00, 0.6491503E+00, 0.6243510E+00, 0.5993845E+00, 0.5739835E+00, 0.5479492E+00, 0.5212638E+00, 0.4939517E+00, 0.4660183E+00, 0.4375339E+00, 0.4086117E+00, 0.3793707E+00, 0.3499084E+00, 0.3202920E+00, 0.2905627E+00, 0.2607448E+00, 0.2308550E+00, 0.2009083E+00, 0.1709222E+00, 0.1409192E+00, 0.1109272E+00, 0.8098008E-01, 0.5111685E-01, 0.2138099E-01,-0.8180525E-02,-0.3751844E-01,-0.6658225E-01,-0.9532120E-01,-0.1236850E+00,-0.1515636E+00,-0.1784534E+00,-0.2041587E+00,-0.2289693E+00,-0.2531402E+00,-0.2767975E+00,-0.2999851E+00,-0.3227059E+00,-0.3449447E+00,-0.3666794E+00,-0.3878867E+00,-0.4085453E+00,-0.4286369E+00,-0.4481470E+00,-0.4670649E+00,-0.4853837E+00,-0.5031000E+00,-0.5202133E+00,-0.5367261E+00,-0.5526429E+00,-0.5679708E+00,-0.5827181E+00,-0.5968948E+00,-0.6105122E+00,-0.6235824E+00,-0.6361183E+00,-0.6481335E+00,
 0.2300000E+00, 0.7962870E+00, 0.7944755E+00, 0.7992773E+00, 0.8080532E+00, 0.8402393E+00, 0.8869726E+00, 0.9293802E+00, 0.9537916E+00, 0.9693014E+00, 0.9802503E+00, 0.9884712E+00, 0.9941123E+00, 0.9980060E+00, 0.1000541E+01, 0.1002074E+01, 0.1002870E+01, 0.1002870E+01, 0.1003100E+01, 0.1002849E+01, 0.1002155E+01, 0.1001035E+01, 0.9994932E+00, 0.9975261E+00, 0.9951389E+00, 0.9923559E+00, 0.9892318E+00, 0.9858691E+00, 0.9824174E+00, 0.9788263E+00, 0.9746619E+00, 0.9700502E+00, 0.9646577E+00, 0.9578699E+00, 0.9509201E+00, 0.9420406E+00, 0.9313487E+00, 0.9214334E+00, 0.9214334E+00, 0.9045008E+00, 0.8974897E+00, 0.8700437E+00, 0.8229737E+00, 0.7807158E+00, 0.7304977E+00, 0.6991991E+00, 0.6778304E+00, 0.6564527E+00, 0.6358841E+00, 0.6159953E+00, 0.5957682E+00, 0.5749899E+00, 0.5534396E+00, 0.5310161E+00, 0.5077718E+00, 0.4837095E+00, 0.4587868E+00, 0.4330244E+00, 0.4064884E+00, 0.3792637E+00, 0.3514323E+00, 0.3230620E+00, 0.2942056E+00, 0.2649051E+00, 0.2351973E+00, 0.2051183E+00, 0.1747066E+00, 0.1440046E+00, 0.1130600E+00, 0.8192554E-01, 0.5065853E-01, 0.1932049E-01,-0.1202393E-01,-0.4330792E-01,-0.7446355E-01,-0.1054227E+00,-0.1361175E+00,-0.1663599E+00,-0.1954588E+00,-0.2233730E+00,-0.2505175E+00,-0.2771480E+00,-0.3033560E+00,-0.3291498E+00,-0.3545026E+00,-0.3793752E+00,-0.4037264E+00,-0.4275173E+00,-0.4507141E+00,-0.4732884E+00,-0.4952179E+00,-0.5164856E+00,-0.5370799E+00,-0.5569938E+00,-0.5762246E+00,-0.5947734E+00,-0.6126443E+00,-0.6298441E+00,-0.6463823E+00,-0.6622698E+00,-0.6775196E+00,-0.6921455E+00,-0.7061627E+00,-0.7195868E+00,
 0.2500000E+00, 0.7536159E+00, 0.7571775E+00, 0.7682592E+00, 0.8164091E+00, 0.8769499E+00, 0.9229227E+00, 0.9468104E+00, 0.9618653E+00, 0.9707032E+00, 0.9761385E+00, 0.9795272E+00, 0.9812904E+00, 0.9818106E+00, 0.9813616E+00, 0.9801578E+00, 0.9783736E+00, 0.9783736E+00, 0.9761863E+00, 0.9736217E+00, 0.9706811E+00, 0.9673709E+00, 0.9636897E+00, 0.9596305E+00, 0.9551921E+00, 0.9503943E+00, 0.9453004E+00, 0.9400620E+00, 0.9350714E+00, 0.9302620E+00, 0.9242995E+00, 0.9187266E+00, 0.9114542E+00, 0.9016601E+00, 0.8950669E+00, 0.8816648E+00, 0.8693734E+00, 0.8655834E+00, 0.8655834E+00, 0.8371770E+00, 0.7919568E+00, 0.7578999E+00, 0.7132251E+00, 0.6828153E+00, 0.6694735E+00, 0.6521764E+00, 0.6367024E+00, 0.6203701E+00, 0.6038811E+00, 0.5872182E+00, 0.5699169E+00, 0.5519712E+00, 0.5334106E+00, 0.5142609E+00, 0.4943758E+00, 0.4735790E+00, 0.4517650E+00, 0.4288906E+00, 0.4049578E+00, 0.3799976E+00, 0.3540548E+00, 0.3271782E+00, 0.2994160E+00, 0.2708168E+00, 0.2414309E+00, 0.2113123E+00, 0.1805198E+00, 0.1491173E+00, 0.1171742E+00, 0.8476474E-01, 0.5196730E-01, 0.1886389E-01,-0.1446088E-01,-0.4792073E-01,-0.8142862E-01,-0.1148976E+00,-0.1482408E+00,-0.1811403E+00,-0.2127087E+00,-0.2431667E+00,-0.2730449E+00,-0.3025764E+00,-0.3318064E+00,-0.3607020E+00,-0.3892029E+00,-0.4172426E+00,-0.4447574E+00,-0.4716898E+00,-0.4979904E+00,-0.5236178E+00,-0.5485389E+00,-0.5727277E+00,-0.5961657E+00,-0.6188400E+00,-0.6407436E+00,-0.6618745E+00,-0.6822346E+00,-0.7018296E+00,-0.7206683E+00,-0.7387621E+00,-0.7561247E+00,-0.7727714E+00,-0.7887189E+00,-0.8039850E+00,
 0.2700000E+00, 0.7043983E+00, 0.7154363E+00, 0.7784466E+00, 0.8619565E+00, 0.9106857E+00, 0.9359778E+00, 0.9501338E+00, 0.9570155E+00, 0.9595436E+00, 0.9596505E+00, 0.9583731E+00, 0.9561601E+00, 0.9531902E+00, 0.9496103E+00, 0.9455175E+00, 0.9410210E+00, 0.9410210E+00, 0.9362809E+00, 0.9312107E+00, 0.9257789E+00, 0.9199710E+00, 0.9137649E+00, 0.9071316E+00, 0.9000449E+00, 0.8925019E+00, 0.8845716E+00, 0.8765408E+00, 0.8702839E+00, 0.8642821E+00, 0.8551034E+00, 0.8521377E+00, 0.8403232E+00, 0.8267381E+00, 0.8353768E+00, 0.8154189E+00, 0.7834565E+00, 0.7427132E+00, 0.7427132E+00, 0.7165679E+00, 0.6711058E+00, 0.6467295E+00, 0.6387373E+00, 0.6250218E+00, 0.6141573E+00, 0.6019753E+00, 0.5898075E+00, 0.5765855E+00, 0.5624922E+00, 0.5474945E+00, 0.5315497E+00, 0.5148741E+00, 0.4977712E+00, 0.4804385E+00, 0.4625909E+00, 0.4437926E+00, 0.4238821E+00, 0.4027627E+00, 0.3803807E+00, 0.3567175E+00, 0.3317795E+00, 0.3055911E+00, 0.2781895E+00, 0.2496229E+00, 0.2199486E+00, 0.1892328E+00, 0.1575496E+00, 0.1249795E+00, 0.9160896E-01, 0.5752895E-01, 0.2283435E-01,-0.1237713E-01,-0.4800571E-01,-0.8395041E-01,-0.1201097E+00,-0.1563823E+00,-0.1926656E+00,-0.2284220E+00,-0.2625974E+00,-0.2958224E+00,-0.3287273E+00,-0.3614998E+00,-0.3941276E+00,-0.4265305E+00,-0.4586107E+00,-0.4902708E+00,-0.5214218E+00,-0.5519847E+00,-0.5818919E+00,-0.6110865E+00,-0.6395221E+00,-0.6671615E+00,-0.6939765E+00,-0.7199467E+00,-0.7450585E+00,-0.7693045E+00,-0.7926828E+00,-0.8151961E+00,-0.8368514E+00,-0.8576586E+00,-0.8776312E+00,-0.8967847E+00,-0.9151366E+00,-0.9327058E+00,
 0.2900000E+00, 0.7249734E+00, 0.7766435E+00, 0.9053418E+00, 0.9629484E+00, 0.9859948E+00, 0.9992041E+00, 0.1003698E+01, 0.1002948E+01, 0.9996126E+00, 0.9949589E+00, 0.9896411E+00, 0.9839526E+00, 0.9779478E+00, 0.9716527E+00, 0.9650671E+00, 0.9582912E+00, 0.9582912E+00, 0.9513947E+00, 0.9441503E+00, 0.9365051E+00, 0.9284003E+00, 0.9197539E+00, 0.9104558E+00, 0.9003665E+00, 0.8893362E+00, 0.8773114E+00, 0.8650427E+00, 0.8628726E+00, 0.8545022E+00, 0.8415653E+00, 0.8651814E+00, 0.8499349E+00, 0.8256851E+00, 0.7815657E+00, 0.7589375E+00, 0.7303541E+00, 0.6843837E+00, 0.6843837E+00, 0.6682092E+00, 0.6634061E+00, 0.6486790E+00, 0.6382661E+00, 0.6263160E+00, 0.6146665E+00, 0.6025006E+00, 0.5899979E+00, 0.5766456E+00, 0.5625066E+00, 0.5475131E+00, 0.5315996E+00, 0.5147773E+00, 0.4971355E+00, 0.4787766E+00, 0.4596419E+00, 0.4394658E+00, 0.4181187E+00, 0.3955253E+00, 0.3716451E+00, 0.3464673E+00, 0.3200030E+00, 0.2922782E+00, 0.2633298E+00, 0.2332025E+00, 0.2019481E+00, 0.1696250E+00, 0.1362980E+00, 0.1020375E+00, 0.6691949E-01, 0.3102491E-01,-0.5560843E-02,-0.4274842E-01,-0.8044510E-01,-0.1185553E+00,-0.1569814E+00,-0.1956238E+00,-0.2343762E+00,-0.2723202E+00,-0.3083729E+00,-0.3437727E+00,-0.3792137E+00,-0.4148049E+00,-0.4504598E+00,-0.4860422E+00,-0.5214112E+00,-0.5564364E+00,-0.5910014E+00,-0.6250049E+00,-0.6583602E+00,-0.6909945E+00,-0.7228472E+00,-0.7538690E+00,-0.7840210E+00,-0.8132735E+00,-0.8416049E+00,-0.8690010E+00,-0.8954537E+00,-0.9209610E+00,-0.9455256E+00,-0.9691547E+00,-0.9918590E+00,-0.1013652E+01,-0.1034551E+01,-0.1054574E+01,
 0.3100000E+00, 0.7909393E+00, 0.9647274E+00, 0.1065601E+01, 0.1084867E+01, 0.1093184E+01, 0.1096335E+01, 0.1092337E+01, 0.1085288E+01, 0.1077287E+01, 0.1069021E+01, 0.1060761E+01, 0.1052595E+01, 0.1044474E+01, 0.1036329E+01, 0.1028088E+01, 0.1019965E+01, 0.1019965E+01, 0.1011749E+01, 0.1003162E+01, 0.9941332E+00, 0.9845325E+00, 0.9741580E+00, 0.9626943E+00, 0.9496267E+00, 0.9340972E+00, 0.9148108E+00, 0.8968129E+00, 0.9386343E+00, 0.9314846E+00, 0.9115115E+00, 0.8591316E+00, 0.8414100E+00, 0.8216866E+00, 0.7670179E+00, 0.7475330E+00, 0.7395723E+00, 0.7325387E+00, 0.7325387E+00, 0.7179921E+00, 0.7093257E+00, 0.6967186E+00, 0.6848927E+00, 0.6727231E+00, 0.6600883E+00, 0.6471521E+00, 0.6337558E+00, 0.6196760E+00, 0.6049366E+00, 0.5894870E+00, 0.5732445E+00, 0.5560499E+00, 0.5377536E+00, 0.5182815E+00, 0.4976902E+00, 0.4759957E+00, 0.4531303E+00, 0.4290557E+00, 0.4037582E+00, 0.3772453E+00, 0.3495392E+00, 0.3206711E+00, 0.2906763E+00, 0.2595931E+00, 0.2274620E+00, 0.1943264E+00, 0.1602335E+00, 0.1252348E+00, 0.8938716E-01, 0.5275235E-01, 0.1539769E-01,-0.2260425E-01,-0.6117590E-01,-0.1002351E+00,-0.1396953E+00,-0.1794661E+00,-0.2194373E+00,-0.2580869E+00,-0.2946748E+00,-0.3311284E+00,-0.3680840E+00,-0.4055218E+00,-0.4432651E+00,-0.4811172E+00,-0.5188948E+00,-0.5564360E+00,-0.5936002E+00,-0.6302665E+00,-0.6663324E+00,-0.7017108E+00,-0.7363288E+00,-0.7701261E+00,-0.8030537E+00,-0.8350723E+00,-0.8661518E+00,-0.8962698E+00,-0.9254112E+00,-0.9535670E+00,-0.9807342E+00,-0.1006914E+01,-0.1032114E+01,-0.1056342E+01,-0.1079612E+01,-0.1101940E+01,
 0.3300000E+00, 0.7504957E+00, 0.1034645E+01, 0.1062609E+01, 0.1059464E+01, 0.1059213E+01, 0.1056094E+01, 0.1048212E+01, 0.1039378E+01, 0.1030787E+01, 0.1022624E+01, 0.1014887E+01, 0.1007525E+01, 0.1000453E+01, 0.9935881E+00, 0.9868626E+00, 0.9798180E+00, 0.9798180E+00, 0.9723119E+00, 0.9648060E+00, 0.9573426E+00, 0.9499443E+00, 0.9426517E+00, 0.9355428E+00, 0.9287528E+00, 0.9224733E+00, 0.9167258E+00, 0.9054280E+00, 0.8441508E+00, 0.8236317E+00, 0.8079423E+00, 0.7393749E+00, 0.7175791E+00, 0.7077516E+00, 0.7073863E+00, 0.6919053E+00, 0.6807226E+00, 0.6734514E+00, 0.6734514E+00, 0.6606492E+00, 0.6501797E+00, 0.6386124E+00, 0.6264080E+00, 0.6141331E+00, 0.6010475E+00, 0.5875474E+00, 0.5734192E+00, 0.5586155E+00, 0.5431048E+00, 0.5268539E+00, 0.5098225E+00, 0.4918890E+00, 0.4729280E+00, 0.4528562E+00, 0.4316865E+00, 0.4094492E+00, 0.3861025E+00, 0.3616144E+00, 0.3359700E+00, 0.3091704E+00, 0.2812300E+00, 0.2521717E+00, 0.2220234E+00, 0.1908159E+00, 0.1585822E+00, 0.1253577E+00, 0.9118097E-01, 0.5609437E-01, 0.2014466E-01,-0.1661660E-01,-0.5413266E-01,-0.9234157E-01,-0.1311762E+00,-0.1705642E+00,-0.2104284E+00,-0.2506863E+00,-0.2912033E+00,-0.3295111E+00,-0.3658892E+00,-0.4028907E+00,-0.4409188E+00,-0.4797693E+00,-0.5191597E+00,-0.5588307E+00,-0.5985591E+00,-0.6381562E+00,-0.6774628E+00,-0.7163443E+00,-0.7546870E+00,-0.7923946E+00,-0.8293861E+00,-0.8655932E+00,-0.9009593E+00,-0.9354376E+00,-0.9689904E+00,-0.1001588E+01,-0.1033208E+01,-0.1063834E+01,-0.1093457E+01,-0.1122072E+01,-0.1149678E+01,-0.1176280E+01,-0.1201886E+01,-0.1226507E+01,
 0.3500000E+00, 0.6292254E+00, 0.7398987E+00, 0.6863673E+00, 0.6436150E+00, 0.5744988E+00, 0.4996227E+00, 0.4459579E+00, 0.4064799E+00, 0.3750347E+00, 0.3485695E+00, 0.3254738E+00, 0.3048051E+00, 0.2859479E+00, 0.2684687E+00, 0.2520569E+00, 0.2362014E+00, 0.2362014E+00, 0.2206265E+00, 0.2055572E+00, 0.1909537E+00, 0.1767815E+00, 0.1630418E+00, 0.1497977E+00, 0.1372232E+00, 0.1256927E+00, 0.1158242E+00, 0.1038667E+00, 0.3819685E-01, 0.7438286E-02,-0.7313120E-02, 0.6481905E-02,-0.1113882E-01,-0.2695892E-01,-0.3200986E-01,-0.4533597E-01,-0.6028924E-01,-0.7180384E-01,-0.7180384E-01,-0.8678521E-01,-0.1026096E+00,-0.1186412E+00,-0.1366041E+00,-0.1552886E+00,-0.1754405E+00,-0.1966905E+00,-0.2192146E+00,-0.2429902E+00,-0.2680653E+00,-0.2944425E+00,-0.3221121E+00,-0.3511463E+00,-0.3816468E+00,-0.4136980E+00,-0.4472963E+00,-0.4823661E+00,-0.5188851E+00,-0.5568382E+00,-0.5961985E+00,-0.6369221E+00,-0.6789495E+00,-0.7222103E+00,-0.7666286E+00,-0.8121262E+00,-0.8586260E+00,-0.9060524E+00,-0.9543309E+00,-0.1003388E+01,-0.1053150E+01,-0.1103543E+01,-0.1154490E+01,-0.1205915E+01,-0.1257738E+01,-0.1309875E+01,-0.1362243E+01,-0.1414752E+01,-0.1467168E+01,-0.1516048E+01,-0.1564406E+01,-0.1614520E+01,-0.1665945E+01,-0.1718076E+01,-0.1770457E+01,-0.1822751E+01,-0.1874707E+01,-0.1926131E+01,-0.1976869E+01,-0.2026800E+01,-0.2075823E+01,-0.2123858E+01,-0.2170838E+01,-0.2216707E+01,-0.2261421E+01,-0.2304945E+01,-0.2347248E+01,-0.2388311E+01,-0.2428118E+01,-0.2466660E+01,-0.2503932E+01,-0.2539937E+01,-0.2574680E+01,-0.2608169E+01,-0.2640417E+01,-0.2671441E+01,
 0.3700000E+00, 0.1389860E+01, 0.1028992E+01, 0.9012097E+00, 0.8121100E+00, 0.7298968E+00, 0.6598561E+00, 0.6062971E+00, 0.5639522E+00, 0.5288857E+00, 0.4987803E+00, 0.4722121E+00, 0.4482664E+00, 0.4263186E+00, 0.4059128E+00, 0.3867084E+00, 0.3687504E+00, 0.3687504E+00, 0.3517706E+00, 0.3353031E+00, 0.3191884E+00, 0.3032667E+00, 0.2873493E+00, 0.2711866E+00, 0.2544183E+00, 0.2365126E+00, 0.2168421E+00, 0.2005420E+00, 0.2323360E+00, 0.2220772E+00, 0.2070738E+00, 0.2087070E+00, 0.2010603E+00, 0.1886171E+00, 0.1805458E+00, 0.1707962E+00, 0.1579598E+00, 0.1460604E+00, 0.1460604E+00, 0.1328839E+00, 0.1179331E+00, 0.1025380E+00, 0.8544715E-01, 0.6722985E-01, 0.4756353E-01, 0.2658608E-01, 0.4215480E-02,-0.1952728E-01,-0.4468757E-01,-0.7126468E-01,-0.9924010E-01,-0.1286502E+00,-0.1595689E+00,-0.1920730E+00,-0.2261785E+00,-0.2618185E+00,-0.2989454E+00,-0.3375255E+00,-0.3775180E+00,-0.4188672E+00,-0.4615025E+00,-0.5053415E+00,-0.5502948E+00,-0.5962710E+00,-0.6431796E+00,-0.6909325E+00,-0.7394445E+00,-0.7886335E+00,-0.8384191E+00,-0.8887228E+00,-0.9394668E+00,-0.9905735E+00,-0.1041965E+01,-0.1093563E+01,-0.1145289E+01,-0.1197060E+01,-0.1248408E+01,-0.1295337E+01,-0.1344091E+01,-0.1395550E+01,-0.1448465E+01,-0.1501972E+01,-0.1555531E+01,-0.1608794E+01,-0.1661524E+01,-0.1713553E+01,-0.1764760E+01,-0.1815052E+01,-0.1864360E+01,-0.1912626E+01,-0.1959806E+01,-0.2005862E+01,-0.2050763E+01,-0.2094485E+01,-0.2137009E+01,-0.2178319E+01,-0.2218404E+01,-0.2257259E+01,-0.2294880E+01,-0.2331270E+01,-0.2366433E+01,-0.2400377E+01,-0.2433114E+01,-0.2464656E+01,
 0.3900000E+00, 0.1968972E+01, 0.1625360E+01, 0.1512977E+01, 0.1445604E+01, 0.1413680E+01, 0.1393818E+01, 0.1374060E+01, 0.1356227E+01, 0.1340786E+01, 0.1327354E+01, 0.1315475E+01, 0.1304780E+01, 0.1294999E+01, 0.1285928E+01, 0.1277411E+01, 0.1269406E+01, 0.1269406E+01, 0.1261876E+01, 0.1254611E+01, 0.1247540E+01, 0.1240609E+01, 0.1233762E+01, 0.1226930E+01, 0.1220022E+01, 0.1212902E+01, 0.1205412E+01, 0.1198315E+01, 0.1205233E+01, 0.1202131E+01, 0.1195399E+01, 0.1193093E+01, 0.1189093E+01, 0.1183019E+01, 0.1177940E+01, 0.1172587E+01, 0.1166027E+01, 0.1159554E+01, 0.1159554E+01, 0.1152583E+01, 0.1144836E+01, 0.1136754E+01, 0.1127885E+01, 0.1118437E+01, 0.1108250E+01, 0.1097400E+01, 0.1085828E+01, 0.1073550E+01, 0.1060529E+01, 0.1046759E+01, 0.1032242E+01, 0.1016956E+01, 0.1000854E+01, 0.9838846E+00, 0.9660210E+00, 0.9472851E+00, 0.9276982E+00, 0.9072703E+00, 0.8860129E+00, 0.8639448E+00, 0.8410929E+00, 0.8174912E+00, 0.7931777E+00, 0.7681922E+00, 0.7425749E+00, 0.7163653E+00, 0.6896016E+00, 0.6623217E+00, 0.6345628E+00, 0.6063626E+00, 0.5777590E+00, 0.5487909E+00, 0.5194983E+00, 0.4899233E+00, 0.4601100E+00, 0.4301084E+00, 0.4009376E+00, 0.3784225E+00, 0.3530458E+00, 0.3243724E+00, 0.2937891E+00, 0.2621925E+00, 0.2301207E+00, 0.1979069E+00, 0.1657648E+00, 0.1338364E+00, 0.1022206E+00, 0.7098877E-01, 0.4019585E-01, 0.9885744E-02,-0.1990476E-01,-0.4914395E-01,-0.7780389E-01,-0.1058598E+00,-0.1332898E+00,-0.1600744E+00,-0.1861969E+00,-0.2116431E+00,-0.2364012E+00,-0.2604619E+00,-0.2838184E+00,-0.3064660E+00,-0.3284023E+00,-0.3496259E+00,
 0.4100000E+00, 0.8264620E+00, 0.7255632E+00, 0.6552481E+00, 0.6177180E+00, 0.5986708E+00, 0.5881513E+00, 0.5786707E+00, 0.5700781E+00, 0.5625548E+00, 0.5559616E+00, 0.5501016E+00, 0.5448103E+00, 0.5399641E+00, 0.5354699E+00, 0.5312572E+00, 0.5272914E+00, 0.5272914E+00, 0.5235708E+00, 0.5200072E+00, 0.5165623E+00, 0.5132117E+00, 0.5099322E+00, 0.5066978E+00, 0.5034754E+00, 0.5002193E+00, 0.4968722E+00, 0.4935446E+00, 0.4945018E+00, 0.4938152E+00, 0.4909669E+00, 0.4891826E+00, 0.4873584E+00, 0.4846286E+00, 0.4820386E+00, 0.4794673E+00, 0.4764279E+00, 0.4733185E+00, 0.4733185E+00, 0.4700328E+00, 0.4664191E+00, 0.4626252E+00, 0.4585012E+00, 0.4541087E+00, 0.4493889E+00, 0.4443680E+00, 0.4390231E+00, 0.4333608E+00, 0.4273653E+00, 0.4210338E+00, 0.4143673E+00, 0.4073586E+00, 0.3999892E+00, 0.3922365E+00, 0.3840873E+00, 0.3755496E+00, 0.3666350E+00, 0.3573499E+00, 0.3477010E+00, 0.3376979E+00, 0.3273539E+00, 0.3166856E+00, 0.3057116E+00, 0.2944514E+00, 0.2829247E+00, 0.2711509E+00, 0.2591486E+00, 0.2469360E+00, 0.2345311E+00, 0.2219514E+00, 0.2092145E+00, 0.1963383E+00, 0.1833407E+00, 0.1702403E+00, 0.1570568E+00, 0.1438123E+00, 0.1313179E+00, 0.1220805E+00, 0.1103726E+00, 0.9696149E-01, 0.8274820E-01, 0.6819519E-01, 0.5354357E-01, 0.3892492E-01, 0.2441418E-01, 0.1005611E-01,-0.4120850E-02,-0.1809704E-01,-0.3185754E-01,-0.4539001E-01,-0.5868355E-01,-0.7172813E-01,-0.8451442E-01,-0.9703369E-01,-0.1092778E+00,-0.1212394E+00,-0.1329118E+00,-0.1442892E+00,-0.1553668E+00,-0.1661405E+00,-0.1766072E+00,-0.1867647E+00,-0.1966117E+00,-0.2061473E+00,
 0.4300000E+00, 0.2972275E+00, 0.2899477E+00, 0.2648167E+00, 0.2513108E+00, 0.2445553E+00, 0.2409997E+00, 0.2380167E+00, 0.2352707E+00, 0.2327919E+00, 0.2305609E+00, 0.2285367E+00, 0.2266810E+00, 0.2249641E+00, 0.2233629E+00, 0.2218592E+00, 0.2204424E+00, 0.2204424E+00, 0.2191131E+00, 0.2178496E+00, 0.2166393E+00, 0.2154740E+00, 0.2143466E+00, 0.2132493E+00, 0.2121733E+00, 0.2111066E+00, 0.2100348E+00, 0.2089682E+00, 0.2087807E+00, 0.2085724E+00, 0.2077436E+00, 0.2070539E+00, 0.2064414E+00, 0.2056013E+00, 0.2047506E+00, 0.2039199E+00, 0.2029765E+00, 0.2019953E+00, 0.2019953E+00, 0.2009731E+00, 0.1998642E+00, 0.1987006E+00, 0.1974517E+00, 0.1961266E+00, 0.1947142E+00, 0.1932188E+00, 0.1916368E+00, 0.1899701E+00, 0.1882164E+00, 0.1863759E+00, 0.1844503E+00, 0.1824398E+00, 0.1803422E+00, 0.1781538E+00, 0.1758731E+00, 0.1735032E+00, 0.1710496E+00, 0.1685166E+00, 0.1659088E+00, 0.1632314E+00, 0.1604905E+00, 0.1576929E+00, 0.1548462E+00, 0.1519577E+00, 0.1490350E+00, 0.1460852E+00, 0.1431150E+00, 0.1401310E+00, 0.1371391E+00, 0.1341450E+00, 0.1311541E+00, 0.1281715E+00, 0.1252021E+00, 0.1222506E+00, 0.1193214E+00, 0.1164194E+00, 0.1139496E+00, 0.1116814E+00, 0.1083833E+00, 0.1048575E+00, 0.1013501E+00, 0.9792916E-01, 0.9461177E-01, 0.9139916E-01, 0.8828755E-01, 0.8527201E-01, 0.8234780E-01, 0.7951088E-01, 0.7675794E-01, 0.7408632E-01, 0.7149395E-01, 0.6897914E-01, 0.6654055E-01, 0.6417701E-01, 0.6188754E-01, 0.5967118E-01, 0.5752702E-01, 0.5545415E-01, 0.5345159E-01, 0.5151832E-01, 0.4965327E-01, 0.4785526E-01, 0.4612307E-01, 0.4445541E-01,
