@TAUE1,TAUE2,TAUE89  vs t@
X,TAUE1,TAUE2,TAUE89
 0.1520000E+01, 0.9339713E+00, 0.1071048E+01, 0.3305379E+01,
 0.1540000E+01, 0.9372619E+00, 0.1073807E+01, 0.3306701E+01,
 0.1560000E+01, 0.9405302E+00, 0.1076542E+01, 0.3308009E+01,
 0.1580000E+01, 0.9437764E+00, 0.1079253E+01, 0.3309303E+01,
 0.1600000E+01, 0.9470007E+00, 0.1081941E+01, 0.3310582E+01,
 0.1620000E+01, 0.9502032E+00, 0.1084604E+01, 0.3311848E+01,
 0.1640000E+01, 0.9533843E+00, 0.1087245E+01, 0.3313100E+01,
 0.1660000E+01, 0.9565441E+00, 0.1089862E+01, 0.3314339E+01,
 0.1680000E+01, 0.9596827E+00, 0.1092456E+01, 0.3315565E+01,
 0.1700000E+01, 0.9628004E+00, 0.1095027E+01, 0.3316778E+01,
 0.1720000E+01, 0.9658972E+00, 0.1097576E+01, 0.3317980E+01,
 0.1740000E+01, 0.9689735E+00, 0.1100103E+01, 0.3319168E+01,
 0.1760000E+01, 0.9720292E+00, 0.1102608E+01, 0.3320345E+01,
 0.1780000E+01, 0.9750646E+00, 0.1105090E+01, 0.3321510E+01,
 0.1800000E+01, 0.9780799E+00, 0.1107552E+01, 0.3322664E+01,
 0.1820000E+01, 0.9810751E+00, 0.1109992E+01, 0.3323805E+01,
 0.1840000E+01, 0.9840505E+00, 0.1112410E+01, 0.3324936E+01,
 0.1860000E+01, 0.9870061E+00, 0.1114808E+01, 0.3326056E+01,
 0.1880000E+01, 0.9899421E+00, 0.1117185E+01, 0.3327164E+01,
 0.1900000E+01, 0.9928587E+00, 0.1119541E+01, 0.3328262E+01,
 0.1920000E+01, 0.9957559E+00, 0.1121877E+01, 0.3329350E+01,
 0.1940000E+01, 0.9986339E+00, 0.1124192E+01, 0.3330426E+01,
 0.1960000E+01, 0.1001493E+01, 0.1126488E+01, 0.3331493E+01,
 0.1980000E+01, 0.1004333E+01, 0.1128764E+01, 0.3332549E+01,
 0.2000000E+01, 0.1007154E+01, 0.1131021E+01, 0.3333596E+01,
 0.2020000E+01, 0.1009956E+01, 0.1133258E+01, 0.3334632E+01,
 0.2040000E+01, 0.1012740E+01, 0.1135476E+01, 0.3335659E+01,
