@TE,TD,<TE>,<TD> [keV]  vs t@
X,TE,TD,<TE>,<TD>
 0.1220000E+00, 0.4990012E+01, 0.4986739E+01, 0.3109093E+01, 0.2930366E+01,
 0.1240000E+00, 0.4990202E+01, 0.4986729E+01, 0.3106090E+01, 0.2925479E+01,
 0.1260000E+00, 0.4990393E+01, 0.4986723E+01, 0.3103650E+01, 0.2921166E+01,
 0.1280000E+00, 0.4990582E+01, 0.4986722E+01, 0.3101627E+01, 0.2917291E+01,
 0.1300000E+00, 0.4990771E+01, 0.4986723E+01, 0.3099900E+01, 0.2913733E+01,
 0.1320000E+00, 0.4990960E+01, 0.4986729E+01, 0.3098395E+01, 0.2910420E+01,
 0.1340000E+00, 0.4991148E+01, 0.4986738E+01, 0.3097069E+01, 0.2907308E+01,
 0.1360000E+00, 0.4991336E+01, 0.4986750E+01, 0.3095889E+01, 0.2904364E+01,
 0.1380000E+00, 0.4991523E+01, 0.4986766E+01, 0.3094834E+01, 0.2901566E+01,
 0.1400000E+00, 0.4991709E+01, 0.4986784E+01, 0.3093887E+01, 0.2898897E+01,
 0.1420000E+00, 0.4991894E+01, 0.4986807E+01, 0.3093036E+01, 0.2896343E+01,
 0.1440000E+00, 0.4992079E+01, 0.4986832E+01, 0.3092269E+01, 0.2893894E+01,
 0.1460000E+00, 0.4992262E+01, 0.4986860E+01, 0.3091579E+01, 0.2891542E+01,
 0.1480000E+00, 0.4992445E+01, 0.4986891E+01, 0.3090958E+01, 0.2889278E+01,
 0.1500000E+00, 0.4992627E+01, 0.4986925E+01, 0.3090400E+01, 0.2887096E+01,
 0.1520000E+00, 0.4992808E+01, 0.4986962E+01, 0.3089901E+01, 0.2884991E+01,
 0.1540000E+00, 0.4992989E+01, 0.4987001E+01, 0.3089456E+01, 0.2882959E+01,
 0.1560000E+00, 0.4993167E+01, 0.4987044E+01, 0.3089062E+01, 0.2880996E+01,
 0.1580000E+00, 0.4993346E+01, 0.4987088E+01, 0.3088714E+01, 0.2879097E+01,
 0.1600000E+00, 0.4993523E+01, 0.4987135E+01, 0.3088411E+01, 0.2877260E+01,
 0.1620000E+00, 0.4993700E+01, 0.4987185E+01, 0.3088150E+01, 0.2875482E+01,
 0.1640000E+00, 0.4993876E+01, 0.4987237E+01, 0.3087928E+01, 0.2873760E+01,
 0.1660000E+00, 0.4994050E+01, 0.4987291E+01, 0.3087743E+01, 0.2872092E+01,
 0.1680000E+00, 0.4994224E+01, 0.4987348E+01, 0.3087593E+01, 0.2870476E+01,
 0.1700000E+00, 0.4994396E+01, 0.4987406E+01, 0.3087477E+01, 0.2868909E+01,
 0.1720000E+00, 0.4994568E+01, 0.4987467E+01, 0.3087393E+01, 0.2867391E+01,
 0.1740000E+00, 0.4994739E+01, 0.4987530E+01, 0.3087339E+01, 0.2865919E+01,
 0.1760000E+00, 0.4994909E+01, 0.4987595E+01, 0.3087315E+01, 0.2864491E+01,
 0.1780000E+00, 0.4995078E+01, 0.4987662E+01, 0.3087319E+01, 0.2863107E+01,
 0.1800000E+00, 0.4995246E+01, 0.4987731E+01, 0.3087349E+01, 0.2861766E+01,
 0.1820000E+00, 0.4995414E+01, 0.4987801E+01, 0.3087406E+01, 0.2860464E+01,
 0.1840000E+00, 0.4995581E+01, 0.4987874E+01, 0.3087487E+01, 0.2859202E+01,
 0.1860000E+00, 0.4995746E+01, 0.4987948E+01, 0.3087593E+01, 0.2857979E+01,
 0.1880000E+00, 0.4995911E+01, 0.4988024E+01, 0.3087722E+01, 0.2856793E+01,
 0.1900000E+00, 0.4996075E+01, 0.4988101E+01, 0.3087873E+01, 0.2855643E+01,
 0.1920000E+00, 0.4996239E+01, 0.4988180E+01, 0.3088045E+01, 0.2854529E+01,
 0.1940000E+00, 0.4996401E+01, 0.4988261E+01, 0.3088239E+01, 0.2853449E+01,
 0.1960000E+00, 0.4996563E+01, 0.4988343E+01, 0.3088453E+01, 0.2852403E+01,
 0.1980000E+00, 0.4996724E+01, 0.4988427E+01, 0.3088686E+01, 0.2851390E+01,
 0.2000000E+00, 0.4996884E+01, 0.4988512E+01, 0.3088939E+01, 0.2850409E+01,
