@TE,TD,<TE>,<TD> [keV]  vs t@
X,TE,TD,<TE>,<TD>
 0.2474000E+01, 0.6055204E+01, 0.6141826E+01, 0.4454473E+01, 0.3878998E+01,
 0.2476000E+01, 0.6059157E+01, 0.6145700E+01, 0.4455705E+01, 0.3880007E+01,
 0.2478000E+01, 0.6063117E+01, 0.6149580E+01, 0.4456937E+01, 0.3881017E+01,
 0.2480000E+01, 0.6067082E+01, 0.6153466E+01, 0.4458170E+01, 0.3882028E+01,
 0.2482000E+01, 0.6071055E+01, 0.6157356E+01, 0.4459404E+01, 0.3883039E+01,
 0.2484000E+01, 0.6075035E+01, 0.6161252E+01, 0.4460638E+01, 0.3884051E+01,
 0.2486000E+01, 0.6079021E+01, 0.6165154E+01, 0.4461871E+01, 0.3885064E+01,
 0.2488000E+01, 0.6083014E+01, 0.6169061E+01, 0.4463105E+01, 0.3886078E+01,
 0.2490000E+01, 0.6087013E+01, 0.6172973E+01, 0.4464340E+01, 0.3887092E+01,
 0.2492000E+01, 0.6091019E+01, 0.6176891E+01, 0.4465574E+01, 0.3888108E+01,
 0.2494000E+01, 0.6095031E+01, 0.6180814E+01, 0.4466808E+01, 0.3889124E+01,
 0.2496000E+01, 0.6099050E+01, 0.6184742E+01, 0.4468042E+01, 0.3890141E+01,
 0.2498000E+01, 0.6103076E+01, 0.6188676E+01, 0.4469277E+01, 0.3891160E+01,
 0.2500000E+01, 0.6107108E+01, 0.6192616E+01, 0.4470511E+01, 0.3892179E+01,
 0.2502000E+01, 0.6111147E+01, 0.6196560E+01, 0.4471745E+01, 0.3893200E+01,
 0.2504000E+01, 0.6115193E+01, 0.6200511E+01, 0.4472979E+01, 0.3894222E+01,
 0.2506000E+01, 0.6119245E+01, 0.6204466E+01, 0.4474212E+01, 0.3895245E+01,
 0.2508000E+01, 0.6123304E+01, 0.6208427E+01, 0.4475445E+01, 0.3896269E+01,
 0.2510000E+01, 0.6127369E+01, 0.6212393E+01, 0.4476678E+01, 0.3897295E+01,
 0.2512000E+01, 0.6131441E+01, 0.6216365E+01, 0.4477910E+01, 0.3898323E+01,
 0.2514000E+01, 0.6135520E+01, 0.6220342E+01, 0.4479141E+01, 0.3899352E+01,
 0.2516000E+01, 0.6139605E+01, 0.6224324E+01, 0.4480372E+01, 0.3900382E+01,
 0.2518000E+01, 0.6143697E+01, 0.6228312E+01, 0.4481603E+01, 0.3901414E+01,
 0.2520000E+01, 0.6147796E+01, 0.6232305E+01, 0.4482832E+01, 0.3902448E+01,
 0.2522000E+01, 0.6151901E+01, 0.6236304E+01, 0.4484061E+01, 0.3903483E+01,
 0.2524000E+01, 0.6156013E+01, 0.6240308E+01, 0.4485290E+01, 0.3904521E+01,
 0.2526000E+01, 0.6160131E+01, 0.6244317E+01, 0.4486516E+01, 0.3905559E+01,
 0.2528000E+01, 0.6164256E+01, 0.6248332E+01, 0.4487743E+01, 0.3906600E+01,
 0.2530000E+01, 0.6168387E+01, 0.6252352E+01, 0.4488969E+01, 0.3907642E+01,
 0.2532000E+01, 0.6172525E+01, 0.6256377E+01, 0.4490193E+01, 0.3908686E+01,
 0.2534000E+01, 0.6176670E+01, 0.6260408E+01, 0.4491417E+01, 0.3909732E+01,
 0.2536000E+01, 0.6180822E+01, 0.6264444E+01, 0.4492640E+01, 0.3910779E+01,
 0.2538000E+01, 0.6184980E+01, 0.6268486E+01, 0.4493863E+01, 0.3911829E+01,
 0.2540000E+01, 0.6189145E+01, 0.6272533E+01, 0.4495084E+01, 0.3912879E+01,
 0.2542000E+01, 0.6193316E+01, 0.6276585E+01, 0.4496305E+01, 0.3913932E+01,
 0.2544000E+01, 0.6197494E+01, 0.6280643E+01, 0.4497524E+01, 0.3914986E+01,
 0.2546000E+01, 0.6201678E+01, 0.6284706E+01, 0.4498744E+01, 0.3916041E+01,
 0.2548000E+01, 0.6205869E+01, 0.6288774E+01, 0.4499962E+01, 0.3917098E+01,
 0.2550000E+01, 0.6210067E+01, 0.6292849E+01, 0.4501180E+01, 0.3918156E+01,
 0.2552000E+01, 0.6214272E+01, 0.6296928E+01, 0.4502397E+01, 0.3919216E+01,
 0.2554000E+01, 0.6218482E+01, 0.6301013E+01, 0.4503614E+01, 0.3920276E+01,
 0.2556000E+01, 0.6222700E+01, 0.6305102E+01, 0.4504830E+01, 0.3921338E+01,
 0.2558000E+01, 0.6226924E+01, 0.6309198E+01, 0.4506047E+01, 0.3922401E+01,
 0.2560000E+01, 0.6231155E+01, 0.6313299E+01, 0.4507263E+01, 0.3923465E+01,
 0.2562000E+01, 0.6235393E+01, 0.6317405E+01, 0.4508478E+01, 0.3924530E+01,
 0.2564000E+01, 0.6239637E+01, 0.6321517E+01, 0.4509694E+01, 0.3925595E+01,
 0.2566000E+01, 0.6243888E+01, 0.6325634E+01, 0.4510910E+01, 0.3926661E+01,
 0.2568000E+01, 0.6248145E+01, 0.6329756E+01, 0.4512125E+01, 0.3927728E+01,
 0.2570000E+01, 0.6252409E+01, 0.6333884E+01, 0.4513342E+01, 0.3928796E+01,
 0.2572000E+01, 0.6256680E+01, 0.6338017E+01, 0.4514558E+01, 0.3929864E+01,
 0.2574000E+01, 0.6260957E+01, 0.6342155E+01, 0.4515774E+01, 0.3930932E+01,
 0.2576000E+01, 0.6265241E+01, 0.6346300E+01, 0.4516992E+01, 0.3932001E+01,
 0.2578000E+01, 0.6269532E+01, 0.6350449E+01, 0.4518209E+01, 0.3933070E+01,
 0.2580000E+01, 0.6273829E+01, 0.6354604E+01, 0.4519427E+01, 0.3934139E+01,
 0.2582000E+01, 0.6278133E+01, 0.6358764E+01, 0.4520646E+01, 0.3935209E+01,
 0.2584000E+01, 0.6282444E+01, 0.6362929E+01, 0.4521865E+01, 0.3936278E+01,
 0.2586000E+01, 0.6286761E+01, 0.6367101E+01, 0.4523085E+01, 0.3937347E+01,
 0.2588000E+01, 0.6291085E+01, 0.6371277E+01, 0.4524306E+01, 0.3938416E+01,
 0.2590000E+01, 0.6295416E+01, 0.6375459E+01, 0.4525528E+01, 0.3939486E+01,
 0.2592000E+01, 0.6299753E+01, 0.6379646E+01, 0.4526751E+01, 0.3940555E+01,
 0.2594000E+01, 0.6304097E+01, 0.6383839E+01, 0.4527974E+01, 0.3941623E+01,
 0.2596000E+01, 0.6308447E+01, 0.6388037E+01, 0.4529199E+01, 0.3942692E+01,
 0.2598000E+01, 0.6312805E+01, 0.6392240E+01, 0.4530425E+01, 0.3943760E+01,
 0.2600000E+01, 0.6317169E+01, 0.6396449E+01, 0.4531652E+01, 0.3944828E+01,
 0.2602000E+01, 0.6321539E+01, 0.6400663E+01, 0.4532880E+01, 0.3945895E+01,
 0.2604000E+01, 0.6325917E+01, 0.6404883E+01, 0.4534110E+01, 0.3946963E+01,
 0.2606000E+01, 0.6330301E+01, 0.6409108E+01, 0.4535341E+01, 0.3948029E+01,
 0.2608000E+01, 0.6334692E+01, 0.6413339E+01, 0.4536573E+01, 0.3949095E+01,
 0.2610000E+01, 0.6339089E+01, 0.6417575E+01, 0.4537807E+01, 0.3950161E+01,
 0.2612000E+01, 0.6343493E+01, 0.6421816E+01, 0.4539042E+01, 0.3951226E+01,
 0.2614000E+01, 0.6347904E+01, 0.6426064E+01, 0.4540278E+01, 0.3952290E+01,
 0.2616000E+01, 0.6352322E+01, 0.6430315E+01, 0.4541516E+01, 0.3953354E+01,
 0.2618000E+01, 0.6356746E+01, 0.6434574E+01, 0.4542756E+01, 0.3954417E+01,
 0.2620000E+01, 0.6361177E+01, 0.6438837E+01, 0.4543997E+01, 0.3955480E+01,
 0.2622000E+01, 0.6365615E+01, 0.6443105E+01, 0.4545239E+01, 0.3956542E+01,
 0.2624000E+01, 0.6370059E+01, 0.6447380E+01, 0.4546483E+01, 0.3957603E+01,
 0.2626000E+01, 0.6374510E+01, 0.6451659E+01, 0.4547729E+01, 0.3958664E+01,
 0.2628000E+01, 0.6378968E+01, 0.6455944E+01, 0.4548976E+01, 0.3959724E+01,
 0.2630000E+01, 0.6383433E+01, 0.6460235E+01, 0.4550225E+01, 0.3960783E+01,
 0.2632000E+01, 0.6387904E+01, 0.6464530E+01, 0.4551476E+01, 0.3961842E+01,
 0.2634000E+01, 0.6392382E+01, 0.6468832E+01, 0.4552728E+01, 0.3962900E+01,
 0.2636000E+01, 0.6396867E+01, 0.6473139E+01, 0.4553982E+01, 0.3963957E+01,
 0.2638000E+01, 0.6401359E+01, 0.6477451E+01, 0.4555238E+01, 0.3965014E+01,
 0.2640000E+01, 0.6405857E+01, 0.6481769E+01, 0.4556495E+01, 0.3966069E+01,
 0.2642000E+01, 0.6410362E+01, 0.6486092E+01, 0.4557754E+01, 0.3967124E+01,
 0.2644000E+01, 0.6414875E+01, 0.6490421E+01, 0.4559015E+01, 0.3968179E+01,
 0.2646000E+01, 0.6419393E+01, 0.6494755E+01, 0.4560277E+01, 0.3969233E+01,
 0.2648000E+01, 0.6423919E+01, 0.6499095E+01, 0.4561542E+01, 0.3970286E+01,
 0.2650000E+01, 0.6428451E+01, 0.6503440E+01, 0.4562807E+01, 0.3971338E+01,
 0.2652000E+01, 0.6432990E+01, 0.6507791E+01, 0.4564075E+01, 0.3972389E+01,
 0.2654000E+01, 0.6437536E+01, 0.6512147E+01, 0.4565344E+01, 0.3973440E+01,
 0.2656000E+01, 0.6442089E+01, 0.6516509E+01, 0.4566616E+01, 0.3974491E+01,
 0.2658000E+01, 0.6446648E+01, 0.6520876E+01, 0.4567888E+01, 0.3975540E+01,
 0.2660000E+01, 0.6451214E+01, 0.6525249E+01, 0.4569163E+01, 0.3976589E+01,
 0.2662000E+01, 0.6455788E+01, 0.6529627E+01, 0.4570439E+01, 0.3977638E+01,
 0.2664000E+01, 0.6460368E+01, 0.6534011E+01, 0.4571717E+01, 0.3978685E+01,
 0.2666000E+01, 0.6464954E+01, 0.6538400E+01, 0.4572997E+01, 0.3979732E+01,
 0.2668000E+01, 0.6469548E+01, 0.6542795E+01, 0.4574278E+01, 0.3980779E+01,
 0.2670000E+01, 0.6474148E+01, 0.6547195E+01, 0.4575562E+01, 0.3981825E+01,
 0.2672000E+01, 0.6478755E+01, 0.6551601E+01, 0.4576847E+01, 0.3982870E+01,
 0.2674000E+01, 0.6483370E+01, 0.6556012E+01, 0.4578133E+01, 0.3983915E+01,
 0.2676000E+01, 0.6487991E+01, 0.6560429E+01, 0.4579421E+01, 0.3984959E+01,
 0.2678000E+01, 0.6492619E+01, 0.6564852E+01, 0.4580711E+01, 0.3986003E+01,
 0.2680000E+01, 0.6497253E+01, 0.6569280E+01, 0.4582003E+01, 0.3987046E+01,
 0.2682000E+01, 0.6501895E+01, 0.6573713E+01, 0.4583296E+01, 0.3988089E+01,
 0.2684000E+01, 0.6506544E+01, 0.6578153E+01, 0.4584591E+01, 0.3989131E+01,
 0.2686000E+01, 0.6511199E+01, 0.6582597E+01, 0.4585887E+01, 0.3990173E+01,
 0.2688000E+01, 0.6515862E+01, 0.6587048E+01, 0.4587186E+01, 0.3991214E+01,
 0.2690000E+01, 0.6520531E+01, 0.6591503E+01, 0.4588486E+01, 0.3992255E+01,
 0.2692000E+01, 0.6525207E+01, 0.6595965E+01, 0.4589787E+01, 0.3993296E+01,
 0.2694000E+01, 0.6529890E+01, 0.6600431E+01, 0.4591090E+01, 0.3994336E+01,
 0.2696000E+01, 0.6534580E+01, 0.6604904E+01, 0.4592395E+01, 0.3995376E+01,
 0.2698000E+01, 0.6539277E+01, 0.6609383E+01, 0.4593701E+01, 0.3996415E+01,
 0.2700000E+01, 0.6543981E+01, 0.6613866E+01, 0.4595009E+01, 0.3997454E+01,
 0.2702000E+01, 0.6548691E+01, 0.6618356E+01, 0.4596318E+01, 0.3998493E+01,
 0.2704000E+01, 0.6553409E+01, 0.6622850E+01, 0.4597630E+01, 0.3999532E+01,
 0.2706000E+01, 0.6558134E+01, 0.6627351E+01, 0.4598942E+01, 0.4000570E+01,
 0.2708000E+01, 0.6562866E+01, 0.6631857E+01, 0.4600256E+01, 0.4001607E+01,
 0.2710000E+01, 0.6567604E+01, 0.6636369E+01, 0.4601572E+01, 0.4002645E+01,
 0.2712000E+01, 0.6572350E+01, 0.6640886E+01, 0.4602889E+01, 0.4003683E+01,
 0.2714000E+01, 0.6577103E+01, 0.6645410E+01, 0.4604207E+01, 0.4004720E+01,
 0.2716000E+01, 0.6581862E+01, 0.6649938E+01, 0.4605527E+01, 0.4005757E+01,
 0.2718000E+01, 0.6586629E+01, 0.6654472E+01, 0.4606849E+01, 0.4006794E+01,
 0.2720000E+01, 0.6591403E+01, 0.6659012E+01, 0.4608171E+01, 0.4007831E+01,
 0.2722000E+01, 0.6596183E+01, 0.6663558E+01, 0.4609496E+01, 0.4008868E+01,
 0.2724000E+01, 0.6600971E+01, 0.6668109E+01, 0.4610822E+01, 0.4009904E+01,
 0.2726000E+01, 0.6605765E+01, 0.6672666E+01, 0.4612149E+01, 0.4010941E+01,
 0.2728000E+01, 0.6610567E+01, 0.6677229E+01, 0.4613478E+01, 0.4011978E+01,
 0.2730000E+01, 0.6615376E+01, 0.6681797E+01, 0.4614808E+01, 0.4013014E+01,
 0.2732000E+01, 0.6620192E+01, 0.6686371E+01, 0.4616139E+01, 0.4014050E+01,
 0.2734000E+01, 0.6625015E+01, 0.6690950E+01, 0.4617472E+01, 0.4015087E+01,
 0.2736000E+01, 0.6629845E+01, 0.6695536E+01, 0.4618806E+01, 0.4016123E+01,
 0.2738000E+01, 0.6634682E+01, 0.6700127E+01, 0.4620142E+01, 0.4017159E+01,
 0.2740000E+01, 0.6639526E+01, 0.6704723E+01, 0.4621479E+01, 0.4018196E+01,
 0.2742000E+01, 0.6644377E+01, 0.6709326E+01, 0.4622817E+01, 0.4019232E+01,
 0.2744000E+01, 0.6649236E+01, 0.6713934E+01, 0.4624156E+01, 0.4020269E+01,
 0.2746000E+01, 0.6654101E+01, 0.6718548E+01, 0.4625497E+01, 0.4021306E+01,
 0.2748000E+01, 0.6658974E+01, 0.6723167E+01, 0.4626839E+01, 0.4022343E+01,
 0.2750000E+01, 0.6663854E+01, 0.6727792E+01, 0.4628182E+01, 0.4023379E+01,
 0.2752000E+01, 0.6668741E+01, 0.6732423E+01, 0.4629527E+01, 0.4024416E+01,
 0.2754000E+01, 0.6673635E+01, 0.6737060E+01, 0.4630873E+01, 0.4025454E+01,
 0.2756000E+01, 0.6678536E+01, 0.6741703E+01, 0.4632220E+01, 0.4026491E+01,
 0.2758000E+01, 0.6683444E+01, 0.6746351E+01, 0.4633568E+01, 0.4027529E+01,
 0.2760000E+01, 0.6688360E+01, 0.6751005E+01, 0.4634918E+01, 0.4028566E+01,
 0.2762000E+01, 0.6693283E+01, 0.6755664E+01, 0.4636269E+01, 0.4029604E+01,
 0.2764000E+01, 0.6698213E+01, 0.6760330E+01, 0.4637621E+01, 0.4030643E+01,
 0.2766000E+01, 0.6703149E+01, 0.6765001E+01, 0.4638974E+01, 0.4031682E+01,
 0.2768000E+01, 0.6708094E+01, 0.6769678E+01, 0.4640328E+01, 0.4032720E+01,
 0.2770000E+01, 0.6713046E+01, 0.6774361E+01, 0.4641684E+01, 0.4033759E+01,
 0.2772000E+01, 0.6718004E+01, 0.6779049E+01, 0.4643040E+01, 0.4034799E+01,
 0.2774000E+01, 0.6722970E+01, 0.6783743E+01, 0.4644398E+01, 0.4035839E+01,
 0.2776000E+01, 0.6727943E+01, 0.6788444E+01, 0.4645757E+01, 0.4036879E+01,
 0.2778000E+01, 0.6732924E+01, 0.6793149E+01, 0.4647116E+01, 0.4037920E+01,
 0.2780000E+01, 0.6737912E+01, 0.6797861E+01, 0.4648477E+01, 0.4038961E+01,
 0.2782000E+01, 0.6742907E+01, 0.6802578E+01, 0.4649838E+01, 0.4040003E+01,
 0.2784000E+01, 0.6747909E+01, 0.6807302E+01, 0.4651201E+01, 0.4041045E+01,
 0.2786000E+01, 0.6752919E+01, 0.6812031E+01, 0.4652565E+01, 0.4042088E+01,
 0.2788000E+01, 0.6757936E+01, 0.6816766E+01, 0.4653928E+01, 0.4043132E+01,
 0.2790000E+01, 0.6762960E+01, 0.6821507E+01, 0.4655293E+01, 0.4044177E+01,
 0.2792000E+01, 0.6767992E+01, 0.6826254E+01, 0.4656659E+01, 0.4045222E+01,
 0.2794000E+01, 0.6773030E+01, 0.6831006E+01, 0.4658024E+01, 0.4046268E+01,
 0.2796000E+01, 0.6778077E+01, 0.6835765E+01, 0.4659391E+01, 0.4047316E+01,
 0.2798000E+01, 0.6783130E+01, 0.6840529E+01, 0.4660758E+01, 0.4048365E+01,
 0.2800000E+01, 0.6788191E+01, 0.6845299E+01, 0.4662125E+01, 0.4049414E+01,
 0.2802000E+01, 0.6793260E+01, 0.6850075E+01, 0.4663493E+01, 0.4050465E+01,
 0.2804000E+01, 0.6798335E+01, 0.6854857E+01, 0.4664861E+01, 0.4051517E+01,
 0.2806000E+01, 0.6803419E+01, 0.6859645E+01, 0.4666228E+01, 0.4052571E+01,
 0.2808000E+01, 0.6808509E+01, 0.6864439E+01, 0.4667596E+01, 0.4053626E+01,
 0.2810000E+01, 0.6813607E+01, 0.6869238E+01, 0.4668964E+01, 0.4054682E+01,
 0.2812000E+01, 0.6818712E+01, 0.6874043E+01, 0.4670332E+01, 0.4055740E+01,
 0.2814000E+01, 0.6823825E+01, 0.6878855E+01, 0.4671700E+01, 0.4056799E+01,
 0.2816000E+01, 0.6828945E+01, 0.6883672E+01, 0.4673069E+01, 0.4057860E+01,
 0.2818000E+01, 0.6834073E+01, 0.6888495E+01, 0.4674436E+01, 0.4058923E+01,
 0.2820000E+01, 0.6839208E+01, 0.6893324E+01, 0.4675804E+01, 0.4059987E+01,
 0.2822000E+01, 0.6844350E+01, 0.6898160E+01, 0.4677171E+01, 0.4061053E+01,
 0.2824000E+01, 0.6849500E+01, 0.6903000E+01, 0.4678538E+01, 0.4062120E+01,
 0.2826000E+01, 0.6854658E+01, 0.6907847E+01, 0.4679905E+01, 0.4063190E+01,
 0.2828000E+01, 0.6859823E+01, 0.6912701E+01, 0.4681272E+01, 0.4064261E+01,
 0.2830000E+01, 0.6864995E+01, 0.6917559E+01, 0.4682638E+01, 0.4065333E+01,
 0.2832000E+01, 0.6870175E+01, 0.6922424E+01, 0.4684005E+01, 0.4066408E+01,
 0.2834000E+01, 0.6875363E+01, 0.6927295E+01, 0.4685370E+01, 0.4067483E+01,
 0.2836000E+01, 0.6880558E+01, 0.6932172E+01, 0.4686737E+01, 0.4068561E+01,
 0.2838000E+01, 0.6885761E+01, 0.6937055E+01, 0.4688102E+01, 0.4069640E+01,
 0.2840000E+01, 0.6890971E+01, 0.6941943E+01, 0.4689468E+01, 0.4070721E+01,
 0.2842000E+01, 0.6896189E+01, 0.6946838E+01, 0.4690833E+01, 0.4071803E+01,
 0.2844000E+01, 0.6901414E+01, 0.6951739E+01, 0.4692198E+01, 0.4072886E+01,
 0.2846000E+01, 0.6906648E+01, 0.6956645E+01, 0.4693564E+01, 0.4073972E+01,
 0.2848000E+01, 0.6911888E+01, 0.6961558E+01, 0.4694929E+01, 0.4075058E+01,
 0.2850000E+01, 0.6917136E+01, 0.6966477E+01, 0.4696294E+01, 0.4076146E+01,
 0.2852000E+01, 0.6922392E+01, 0.6971402E+01, 0.4697660E+01, 0.4077235E+01,
 0.2854000E+01, 0.6927656E+01, 0.6976333E+01, 0.4699026E+01, 0.4078326E+01,
 0.2856000E+01, 0.6932927E+01, 0.6981270E+01, 0.4700391E+01, 0.4079418E+01,
 0.2858000E+01, 0.6938206E+01, 0.6986213E+01, 0.4701757E+01, 0.4080511E+01,
 0.2860000E+01, 0.6943492E+01, 0.6991162E+01, 0.4703123E+01, 0.4081605E+01,
 0.2862000E+01, 0.6948786E+01, 0.6996117E+01, 0.4704489E+01, 0.4082701E+01,
 0.2864000E+01, 0.6954088E+01, 0.7001079E+01, 0.4705856E+01, 0.4083797E+01,
 0.2866000E+01, 0.6959398E+01, 0.7006046E+01, 0.4707223E+01, 0.4084895E+01,
 0.2868000E+01, 0.6964715E+01, 0.7011019E+01, 0.4708590E+01, 0.4085994E+01,
 0.2870000E+01, 0.6970040E+01, 0.7015998E+01, 0.4709958E+01, 0.4087094E+01,
 0.2872000E+01, 0.6975373E+01, 0.7020984E+01, 0.4711326E+01, 0.4088195E+01,
 0.2874000E+01, 0.6980713E+01, 0.7025976E+01, 0.4712694E+01, 0.4089297E+01,
 0.2876000E+01, 0.6986061E+01, 0.7030973E+01, 0.4714063E+01, 0.4090400E+01,
 0.2878000E+01, 0.6991417E+01, 0.7035977E+01, 0.4715433E+01, 0.4091504E+01,
 0.2880000E+01, 0.6996781E+01, 0.7040987E+01, 0.4716803E+01, 0.4092608E+01,
 0.2882000E+01, 0.7002152E+01, 0.7046004E+01, 0.4718173E+01, 0.4093714E+01,
 0.2884000E+01, 0.7007532E+01, 0.7051026E+01, 0.4719544E+01, 0.4094820E+01,
 0.2886000E+01, 0.7012919E+01, 0.7056054E+01, 0.4720916E+01, 0.4095928E+01,
 0.2888000E+01, 0.7018314E+01, 0.7061089E+01, 0.4722289E+01, 0.4097036E+01,
 0.2890000E+01, 0.7023717E+01, 0.7066130E+01, 0.4723661E+01, 0.4098145E+01,
 0.2892000E+01, 0.7029128E+01, 0.7071177E+01, 0.4725035E+01, 0.4099255E+01,
 0.2894000E+01, 0.7034546E+01, 0.7076230E+01, 0.4726410E+01, 0.4100366E+01,
 0.2896000E+01, 0.7039973E+01, 0.7081289E+01, 0.4727785E+01, 0.4101477E+01,
 0.2898000E+01, 0.7045407E+01, 0.7086354E+01, 0.4729161E+01, 0.4102590E+01,
 0.2900000E+01, 0.7050849E+01, 0.7091426E+01, 0.4730538E+01, 0.4103702E+01,
 0.2902000E+01, 0.7056300E+01, 0.7096504E+01, 0.4731916E+01, 0.4104816E+01,
 0.2904000E+01, 0.7061758E+01, 0.7101588E+01, 0.4733294E+01, 0.4105930E+01,
 0.2906000E+01, 0.7067224E+01, 0.7106678E+01, 0.4734674E+01, 0.4107045E+01,
 0.2908000E+01, 0.7072698E+01, 0.7111775E+01, 0.4736054E+01, 0.4108160E+01,
 0.2910000E+01, 0.7078179E+01, 0.7116878E+01, 0.4737436E+01, 0.4109276E+01,
 0.2912000E+01, 0.7083669E+01, 0.7121986E+01, 0.4738818E+01, 0.4110393E+01,
 0.2914000E+01, 0.7089167E+01, 0.7127101E+01, 0.4740201E+01, 0.4111510E+01,
 0.2916000E+01, 0.7094673E+01, 0.7132223E+01, 0.4741586E+01, 0.4112628E+01,
 0.2918000E+01, 0.7100187E+01, 0.7137351E+01, 0.4742971E+01, 0.4113747E+01,
 0.2920000E+01, 0.7105709E+01, 0.7142485E+01, 0.4744357E+01, 0.4114865E+01,
 0.2922000E+01, 0.7111238E+01, 0.7147625E+01, 0.4745745E+01, 0.4115985E+01,
 0.2924000E+01, 0.7116776E+01, 0.7152771E+01, 0.4747133E+01, 0.4117105E+01,
 0.2926000E+01, 0.7122322E+01, 0.7157925E+01, 0.4748522E+01, 0.4118226E+01,
 0.2928000E+01, 0.7127876E+01, 0.7163084E+01, 0.4749913E+01, 0.4119347E+01,
 0.2930000E+01, 0.7133439E+01, 0.7168249E+01, 0.4751305E+01, 0.4120468E+01,
 0.2932000E+01, 0.7139009E+01, 0.7173421E+01, 0.4752697E+01, 0.4121590E+01,
 0.2934000E+01, 0.7144587E+01, 0.7178599E+01, 0.4754091E+01, 0.4122712E+01,
 0.2936000E+01, 0.7150173E+01, 0.7183784E+01, 0.4755486E+01, 0.4123835E+01,
 0.2938000E+01, 0.7155768E+01, 0.7188974E+01, 0.4756882E+01, 0.4124959E+01,
 0.2940000E+01, 0.7161370E+01, 0.7194171E+01, 0.4758280E+01, 0.4126082E+01,
 0.2942000E+01, 0.7166981E+01, 0.7199375E+01, 0.4759678E+01, 0.4127206E+01,
 0.2944000E+01, 0.7172600E+01, 0.7204584E+01, 0.4761078E+01, 0.4128331E+01,
 0.2946000E+01, 0.7178227E+01, 0.7209801E+01, 0.4762479E+01, 0.4129456E+01,
 0.2948000E+01, 0.7183863E+01, 0.7215023E+01, 0.4763881E+01, 0.4130582E+01,
 0.2950000E+01, 0.7189506E+01, 0.7220252E+01, 0.4765285E+01, 0.4131708E+01,
 0.2952000E+01, 0.7195158E+01, 0.7225487E+01, 0.4766689E+01, 0.4132834E+01,
 0.2954000E+01, 0.7200818E+01, 0.7230729E+01, 0.4768095E+01, 0.4133960E+01,
 0.2956000E+01, 0.7206486E+01, 0.7235977E+01, 0.4769503E+01, 0.4135087E+01,
 0.2958000E+01, 0.7212162E+01, 0.7241231E+01, 0.4770911E+01, 0.4136215E+01,
 0.2960000E+01, 0.7217847E+01, 0.7246492E+01, 0.4772321E+01, 0.4137343E+01,
 0.2962000E+01, 0.7223540E+01, 0.7251760E+01, 0.4773732E+01, 0.4138471E+01,
 0.2964000E+01, 0.7229241E+01, 0.7257034E+01, 0.4775144E+01, 0.4139600E+01,
 0.2966000E+01, 0.7234951E+01, 0.7262314E+01, 0.4776557E+01, 0.4140729E+01,
 0.2968000E+01, 0.7240669E+01, 0.7267601E+01, 0.4777973E+01, 0.4141858E+01,
 0.2970000E+01, 0.7246395E+01, 0.7272893E+01, 0.4779389E+01, 0.4142988E+01,
 0.2972000E+01, 0.7252130E+01, 0.7278193E+01, 0.4780807E+01, 0.4144118E+01,
 0.2974000E+01, 0.7257873E+01, 0.7283499E+01, 0.4782225E+01, 0.4145249E+01,
 0.2976000E+01, 0.7263624E+01, 0.7288812E+01, 0.4783645E+01, 0.4146379E+01,
 0.2978000E+01, 0.7269383E+01, 0.7294131E+01, 0.4785067E+01, 0.4147511E+01,
 0.2980000E+01, 0.7275151E+01, 0.7299457E+01, 0.4786490E+01, 0.4148643E+01,
 0.2982000E+01, 0.7280928E+01, 0.7304789E+01, 0.4787914E+01, 0.4149775E+01,
 0.2984000E+01, 0.7286713E+01, 0.7310127E+01, 0.4789340E+01, 0.4150907E+01,
 0.2986000E+01, 0.7292506E+01, 0.7315472E+01, 0.4790766E+01, 0.4152040E+01,
 0.2988000E+01, 0.7298308E+01, 0.7320824E+01, 0.4792195E+01, 0.4153173E+01,
 0.2990000E+01, 0.7304118E+01, 0.7326182E+01, 0.4793624E+01, 0.4154307E+01,
 0.2992000E+01, 0.7309937E+01, 0.7331547E+01, 0.4795055E+01, 0.4155441E+01,
 0.2994000E+01, 0.7315763E+01, 0.7336918E+01, 0.4796487E+01, 0.4156575E+01,
 0.2996000E+01, 0.7321599E+01, 0.7342296E+01, 0.4797921E+01, 0.4157710E+01,
 0.2998000E+01, 0.7327444E+01, 0.7347680E+01, 0.4799356E+01, 0.4158845E+01,
 0.3000000E+01, 0.7333296E+01, 0.7353071E+01, 0.4800793E+01, 0.4159981E+01,
 0.3002000E+01, 0.7339157E+01, 0.7358469E+01, 0.4802230E+01, 0.4161117E+01,
 0.3004000E+01, 0.7345027E+01, 0.7363873E+01, 0.4803669E+01, 0.4162253E+01,
 0.3006000E+01, 0.7350905E+01, 0.7369283E+01, 0.4805110E+01, 0.4163390E+01,
 0.3008000E+01, 0.7356792E+01, 0.7374701E+01, 0.4806552E+01, 0.4164527E+01,
 0.3010000E+01, 0.7362688E+01, 0.7380125E+01, 0.4807995E+01, 0.4165665E+01,
 0.3012000E+01, 0.7368592E+01, 0.7385555E+01, 0.4809440E+01, 0.4166802E+01,
 0.3014000E+01, 0.7374505E+01, 0.7390992E+01, 0.4810886E+01, 0.4167941E+01,
 0.3016000E+01, 0.7380426E+01, 0.7396436E+01, 0.4812333E+01, 0.4169080E+01,
 0.3018000E+01, 0.7386356E+01, 0.7401886E+01, 0.4813782E+01, 0.4170219E+01,
