@POH [MW/m^3]  vs r@
X,POH_1,POH_2,POH_3,POH_4,POH_5,POH_6,POH_7,POH_8,POH_9,POH_10,POH_11,POH_12,POH_13,POH_14,POH_15,POH_16,POH_17,POH_18,POH_19,POH_20,POH_21,POH_22,POH_23,POH_24,POH_25,POH_26,POH_27,POH_28,POH_29,POH_30,POH_31,POH_32,POH_33,POH_34,POH_35,POH_36,POH_37,POH_38,POH_39,POH_40,POH_41,POH_42,POH_43,POH_44,POH_45,POH_46,POH_47,POH_48,POH_49,POH_50,POH_51,POH_52,POH_53,POH_54,POH_55,POH_56,POH_57,POH_58,POH_59,POH_60,POH_61,POH_62,POH_63,POH_64,POH_65,POH_66,POH_67,POH_68,POH_69,POH_70,POH_71,POH_72,POH_73,POH_74,POH_75,POH_76,POH_77,POH_78,POH_79,POH_80,POH_81,POH_82,POH_83,POH_84,POH_85,POH_86,POH_87,POH_88,POH_89,POH_90,POH_91,POH_92,POH_93,POH_94,POH_95,POH_96,POH_97,POH_98,POH_99,POH_100,POH_101,POH_102,POH_103
 0.2100000E+00, 0.2711789E-02, 0.2712135E-02, 0.2725289E-02, 0.2752330E-02, 0.2787806E-02, 0.2904570E-02, 0.3110456E-02, 0.3248349E-02, 0.3288507E-02, 0.3254885E-02, 0.3197074E-02, 0.3117851E-02, 0.3030609E-02, 0.2939258E-02, 0.2847242E-02, 0.2756776E-02, 0.2756776E-02, 0.2668205E-02, 0.2581732E-02, 0.2497242E-02, 0.2414437E-02, 0.2332919E-02, 0.2252310E-02, 0.2172339E-02, 0.2092872E-02, 0.2013901E-02, 0.1935530E-02, 0.1857908E-02, 0.1780685E-02, 0.1703308E-02, 0.1625997E-02, 0.1548401E-02, 0.1470310E-02, 0.1392870E-02, 0.1314961E-02, 0.1236907E-02, 0.1160302E-02, 0.1160302E-02, 0.1081332E-02, 0.1005633E-02, 0.9239144E-03, 0.8534716E-03, 0.7583482E-03, 0.6346287E-03, 0.5329726E-03, 0.4483401E-03, 0.3979154E-03, 0.3544363E-03, 0.3166932E-03, 0.2821342E-03, 0.2503147E-03, 0.2208916E-03, 0.1936489E-03, 0.1685235E-03, 0.1454706E-03, 0.1244325E-03, 0.1053813E-03, 0.8828945E-04, 0.7310529E-04, 0.5974555E-04, 0.4810141E-04, 0.3804988E-04, 0.2946403E-04, 0.2221980E-04, 0.1619948E-04, 0.1129315E-04, 0.7398813E-05, 0.4421926E-05, 0.2274739E-05, 0.8755550E-06, 0.1480963E-06, 0.2097715E-07, 0.4273078E-06, 0.1304407E-05, 0.2593604E-05, 0.4240082E-05, 0.6187720E-05, 0.8343108E-05, 0.1062732E-04, 0.1301737E-04, 0.1550502E-04, 0.1807944E-04, 0.2072622E-04, 0.2342911E-04, 0.2617150E-04, 0.2893723E-04, 0.3171117E-04, 0.3447946E-04, 0.3722970E-04, 0.3995092E-04, 0.4263363E-04, 0.4526975E-04, 0.4785247E-04, 0.5037618E-04, 0.5283639E-04, 0.5522953E-04, 0.5755291E-04, 0.5980458E-04, 0.6198326E-04, 0.6408821E-04, 0.6611917E-04, 0.6807630E-04, 0.6996008E-04,
 0.2300000E+00, 0.2589016E-02, 0.2611708E-02, 0.2648958E-02, 0.2699014E-02, 0.2895457E-02, 0.3135173E-02, 0.3260464E-02, 0.3244651E-02, 0.3168968E-02, 0.3074693E-02, 0.2976865E-02, 0.2875759E-02, 0.2775419E-02, 0.2677114E-02, 0.2581930E-02, 0.2490491E-02, 0.2490491E-02, 0.2402884E-02, 0.2318756E-02, 0.2237671E-02, 0.2159190E-02, 0.2082855E-02, 0.2008223E-02, 0.1934931E-02, 0.1862730E-02, 0.1791505E-02, 0.1721294E-02, 0.1652209E-02, 0.1583658E-02, 0.1514570E-02, 0.1445770E-02, 0.1376222E-02, 0.1305409E-02, 0.1236495E-02, 0.1165021E-02, 0.1093088E-02, 0.1024995E-02, 0.1024995E-02, 0.9464868E-03, 0.8910667E-03, 0.8014719E-03, 0.6803575E-03, 0.5838713E-03, 0.4961803E-03, 0.4397641E-03, 0.4003167E-03, 0.3632948E-03, 0.3296999E-03, 0.2990962E-03, 0.2703043E-03, 0.2431129E-03, 0.2173636E-03, 0.1930283E-03, 0.1701789E-03, 0.1488313E-03, 0.1289762E-03, 0.1106393E-03, 0.9385386E-04, 0.7863792E-04, 0.6498336E-04, 0.5285527E-04, 0.4219816E-04, 0.3294348E-04, 0.2501568E-04, 0.1833628E-04, 0.1282631E-04, 0.8407556E-05, 0.5003164E-05, 0.2537874E-05, 0.9381112E-06, 0.1320173E-06, 0.4950761E-07, 0.6223712E-06, 0.1784418E-05, 0.3471662E-05, 0.5622483E-05, 0.8165711E-05, 0.1096706E-04, 0.1394260E-04, 0.1708062E-04, 0.2037449E-04, 0.2380847E-04, 0.2736071E-04, 0.3100675E-04, 0.3472167E-04, 0.3848132E-04, 0.4226305E-04, 0.4604608E-04, 0.4981169E-04, 0.5354333E-04, 0.5722658E-04, 0.6084907E-04, 0.6440038E-04, 0.6787187E-04, 0.7125654E-04, 0.7454884E-04, 0.7774455E-04, 0.8084057E-04, 0.8383484E-04, 0.8672610E-04, 0.8951388E-04, 0.9219834E-04, 0.9478011E-04,
 0.2500000E+00, 0.2424400E-02, 0.2479907E-02, 0.2545484E-02, 0.2841891E-02, 0.3121753E-02, 0.3219997E-02, 0.3156865E-02, 0.3049902E-02, 0.2925072E-02, 0.2801236E-02, 0.2684593E-02, 0.2574819E-02, 0.2471374E-02, 0.2373732E-02, 0.2281427E-02, 0.2194095E-02, 0.2194095E-02, 0.2111492E-02, 0.2032871E-02, 0.1957624E-02, 0.1885255E-02, 0.1815298E-02, 0.1747314E-02, 0.1680929E-02, 0.1615874E-02, 0.1552025E-02, 0.1489490E-02, 0.1428856E-02, 0.1369019E-02, 0.1307251E-02, 0.1247937E-02, 0.1185235E-02, 0.1119841E-02, 0.1063220E-02, 0.9936092E-03, 0.9316713E-03, 0.8850587E-03, 0.8850587E-03, 0.7988051E-03, 0.6762459E-03, 0.5933796E-03, 0.5131405E-03, 0.4573455E-03, 0.4276759E-03, 0.3947109E-03, 0.3655972E-03, 0.3370093E-03, 0.3098052E-03, 0.2839789E-03, 0.2591187E-03, 0.2352926E-03, 0.2125923E-03, 0.1910829E-03, 0.1706771E-03, 0.1512920E-03, 0.1329248E-03, 0.1156192E-03, 0.9943849E-04, 0.8444642E-04, 0.7069381E-04, 0.5821252E-04, 0.4701548E-04, 0.3709935E-04, 0.2844772E-04, 0.2103376E-04, 0.1482224E-04, 0.9770958E-05, 0.5831854E-05, 0.2951892E-05, 0.1073848E-05, 0.1370437E-06, 0.7805753E-07, 0.8314337E-06, 0.2330380E-05, 0.4507445E-05, 0.7295077E-05, 0.1059855E-04, 0.1422727E-04, 0.1810721E-04, 0.2224427E-04, 0.2663226E-04, 0.3124791E-04, 0.3605890E-04, 0.4102927E-04, 0.4612239E-04, 0.5130255E-04, 0.5653600E-04, 0.6179147E-04, 0.6704056E-04, 0.7225786E-04, 0.7742096E-04, 0.8251045E-04, 0.8750971E-04, 0.9240478E-04, 0.9718414E-04, 0.1018385E-03, 0.1063606E-03, 0.1107449E-03, 0.1149874E-03, 0.1190857E-03, 0.1230383E-03, 0.1268449E-03, 0.1305059E-03,
 0.2700000E+00, 0.2213952E-02, 0.2302876E-02, 0.2687362E-02, 0.3048030E-02, 0.3097770E-02, 0.2997246E-02, 0.2855473E-02, 0.2705880E-02, 0.2563464E-02, 0.2433362E-02, 0.2316091E-02, 0.2209973E-02, 0.2112749E-02, 0.2022848E-02, 0.1939036E-02, 0.1860504E-02, 0.1860504E-02, 0.1786745E-02, 0.1716704E-02, 0.1649763E-02, 0.1585434E-02, 0.1523262E-02, 0.1462825E-02, 0.1403754E-02, 0.1345776E-02, 0.1288813E-02, 0.1233281E-02, 0.1182918E-02, 0.1132032E-02, 0.1075511E-02, 0.1033639E-02, 0.9723711E-03, 0.9133294E-03, 0.8967208E-03, 0.8270071E-03, 0.7375716E-03, 0.6236619E-03, 0.6236619E-03, 0.5616529E-03, 0.4858345E-03, 0.4399171E-03, 0.4190240E-03, 0.3920774E-03, 0.3691699E-03, 0.3458765E-03, 0.3234576E-03, 0.3008986E-03, 0.2785115E-03, 0.2564109E-03, 0.2346977E-03, 0.2136742E-03, 0.1936594E-03, 0.1748266E-03, 0.1569735E-03, 0.1398462E-03, 0.1234293E-03, 0.1077633E-03, 0.9291718E-04, 0.7897282E-04, 0.6601268E-04, 0.5411108E-04, 0.4332975E-04, 0.3371626E-04, 0.2530372E-04, 0.1811117E-04, 0.1214425E-04, 0.7395952E-05, 0.3847637E-05, 0.1470061E-05, 0.2245144E-06, 0.6398635E-07, 0.9343364E-06, 0.2775452E-05, 0.5522376E-05, 0.9106360E-05, 0.1345557E-04, 0.1842403E-04, 0.2372550E-04, 0.2934339E-04, 0.3532830E-04, 0.4168156E-04, 0.4837275E-04, 0.5535716E-04, 0.6258441E-04, 0.7000265E-04, 0.7756094E-04, 0.8521062E-04, 0.9290622E-04, 0.1006060E-03, 0.1082722E-03, 0.1158712E-03, 0.1233735E-03, 0.1307534E-03, 0.1379893E-03, 0.1450629E-03, 0.1519591E-03, 0.1586660E-03, 0.1651743E-03, 0.1714770E-03, 0.1775693E-03, 0.1834482E-03, 0.1891125E-03, 0.1945619E-03,
 0.2900000E+00, 0.2452151E-02, 0.2803813E-02, 0.3414098E-02, 0.3380838E-02, 0.3186021E-02, 0.2982845E-02, 0.2783618E-02, 0.2605063E-02, 0.2450090E-02, 0.2315259E-02, 0.2197014E-02, 0.2092137E-02, 0.1997613E-02, 0.1911260E-02, 0.1831434E-02, 0.1757224E-02, 0.1757224E-02, 0.1687661E-02, 0.1621476E-02, 0.1558100E-02, 0.1496988E-02, 0.1437599E-02, 0.1379383E-02, 0.1321773E-02, 0.1264225E-02, 0.1206439E-02, 0.1149927E-02, 0.1116236E-02, 0.1063547E-02, 0.1006574E-02, 0.1023041E-02, 0.9595481E-03, 0.8833355E-03, 0.7379127E-03, 0.6728072E-03, 0.6103675E-03, 0.5323387E-03, 0.5323387E-03, 0.4953619E-03, 0.4798858E-03, 0.4500989E-03, 0.4263783E-03, 0.4021923E-03, 0.3786559E-03, 0.3555621E-03, 0.3328752E-03, 0.3102080E-03, 0.2877305E-03, 0.2655132E-03, 0.2436281E-03, 0.2221993E-03, 0.2014045E-03, 0.1814145E-03, 0.1622722E-03, 0.1438853E-03, 0.1262751E-03, 0.1095066E-03, 0.9366524E-04, 0.7884472E-04, 0.6513617E-04, 0.5262073E-04, 0.4136562E-04, 0.3142288E-04, 0.2282964E-04, 0.1560883E-04, 0.9770090E-05, 0.5310682E-05, 0.2216409E-05, 0.4624883E-06, 0.1443221E-07, 0.8289244E-06, 0.2854698E-05, 0.6033415E-05, 0.1030055E-04, 0.1558619E-04, 0.2181483E-04, 0.2872994E-04, 0.3593777E-04, 0.4356968E-04, 0.5173995E-04, 0.6045528E-04, 0.6967376E-04, 0.7933405E-04, 0.8936727E-04, 0.9970242E-04, 0.1102694E-03, 0.1210006E-03, 0.1318326E-03, 0.1427061E-03, 0.1535673E-03, 0.1643673E-03, 0.1750626E-03, 0.1856149E-03, 0.1959908E-03, 0.2061619E-03, 0.2161041E-03, 0.2257976E-03, 0.2352264E-03, 0.2443776E-03, 0.2532421E-03, 0.2618129E-03, 0.2700858E-03, 0.2780586E-03,
 0.3100000E+00, 0.3056240E-02, 0.4154734E-02, 0.4073891E-02, 0.3665196E-02, 0.3355456E-02, 0.3085776E-02, 0.2849254E-02, 0.2654047E-02, 0.2492578E-02, 0.2355978E-02, 0.2238075E-02, 0.2134554E-02, 0.2042056E-02, 0.1958127E-02, 0.1880948E-02, 0.1809897E-02, 0.1809897E-02, 0.1743043E-02, 0.1679361E-02, 0.1618328E-02, 0.1559294E-02, 0.1501518E-02, 0.1444068E-02, 0.1385613E-02, 0.1324058E-02, 0.1256222E-02, 0.1194546E-02, 0.1266604E-02, 0.1213366E-02, 0.1139670E-02, 0.9257652E-03, 0.8588116E-03, 0.8016323E-03, 0.7033648E-03, 0.6551010E-03, 0.6291242E-03, 0.6123545E-03, 0.6123545E-03, 0.5782724E-03, 0.5551075E-03, 0.5272969E-03, 0.5002054E-03, 0.4739632E-03, 0.4474334E-03, 0.4214472E-03, 0.3956913E-03, 0.3700649E-03, 0.3447003E-03, 0.3196731E-03, 0.2950273E-03, 0.2707237E-03, 0.2467547E-03, 0.2232106E-03, 0.2003082E-03, 0.1782149E-03, 0.1570120E-03, 0.1367993E-03, 0.1176856E-03, 0.9977994E-04, 0.8318255E-04, 0.6797900E-04, 0.5423736E-04, 0.4200833E-04, 0.3132677E-04, 0.2221360E-04, 0.1467756E-04, 0.8716606E-05, 0.4318916E-05, 0.1463628E-05, 0.1213924E-06, 0.2548105E-06, 0.1818824E-05, 0.4761107E-05, 0.9022467E-05, 0.1453722E-04, 0.2123044E-04, 0.2869489E-04, 0.3653327E-04, 0.4504986E-04, 0.5438403E-04, 0.6453104E-04, 0.7543289E-04, 0.8701107E-04, 0.9917863E-04, 0.1118456E-03, 0.1249224E-03, 0.1383217E-03, 0.1519601E-03, 0.1657589E-03, 0.1796447E-03, 0.1935501E-03, 0.2074135E-03, 0.2211794E-03, 0.2347984E-03, 0.2482266E-03, 0.2614259E-03, 0.2743634E-03, 0.2870113E-03, 0.2993462E-03, 0.3113491E-03, 0.3230049E-03, 0.3343019E-03, 0.3452314E-03,
 0.3300000E+00, 0.2884342E-02, 0.3933871E-02, 0.3293582E-02, 0.2885687E-02, 0.2629778E-02, 0.2407338E-02, 0.2225195E-02, 0.2082018E-02, 0.1966461E-02, 0.1870033E-02, 0.1787458E-02, 0.1715347E-02, 0.1651307E-02, 0.1593626E-02, 0.1541073E-02, 0.1490911E-02, 0.1490911E-02, 0.1442369E-02, 0.1397073E-02, 0.1354926E-02, 0.1315890E-02, 0.1280135E-02, 0.1248169E-02, 0.1221037E-02, 0.1200602E-02, 0.1189107E-02, 0.1159831E-02, 0.9022384E-03, 0.8246922E-03, 0.7776708E-03, 0.6698036E-03, 0.6199118E-03, 0.5925117E-03, 0.5916086E-03, 0.5599522E-03, 0.5342447E-03, 0.5183690E-03, 0.5183690E-03, 0.4927972E-03, 0.4706844E-03, 0.4482959E-03, 0.4248573E-03, 0.4021393E-03, 0.3788469E-03, 0.3557781E-03, 0.3327294E-03, 0.3097900E-03, 0.2870414E-03, 0.2645788E-03, 0.2424926E-03, 0.2207902E-03, 0.1994891E-03, 0.1786625E-03, 0.1584727E-03, 0.1390864E-03, 0.1206013E-03, 0.1031157E-03, 0.8673139E-04, 0.7154873E-04, 0.5766133E-04, 0.4515134E-04, 0.3408706E-04, 0.2452259E-04, 0.1649884E-04, 0.1004487E-04, 0.5179206E-05, 0.1910919E-05, 0.2403406E-06, 0.1595391E-06, 0.1652583E-05, 0.4695687E-05, 0.9257289E-05, 0.1529811E-04, 0.2277119E-04, 0.3162178E-04, 0.4177353E-04, 0.5235620E-04, 0.6312990E-04, 0.7484591E-04, 0.8769571E-04, 0.1016498E-03, 0.1166190E-03, 0.1324962E-03, 0.1491678E-03, 0.1665195E-03, 0.1844385E-03, 0.2028159E-03, 0.2215473E-03, 0.2405339E-03, 0.2596830E-03, 0.2789081E-03, 0.2981296E-03, 0.3172742E-03, 0.3362756E-03, 0.3550739E-03, 0.3736155E-03, 0.3918531E-03, 0.4097454E-03, 0.4272567E-03, 0.4443566E-03, 0.4610197E-03, 0.4772250E-03, 0.4929554E-03,
 0.3500000E+00, 0.2128929E-02, 0.1615214E-02, 0.1133958E-02, 0.8996291E-03, 0.6596224E-03, 0.4617725E-03, 0.3471721E-03, 0.2757465E-03, 0.2262035E-03, 0.1892960E-03, 0.1604789E-03, 0.1372342E-03, 0.1180201E-03, 0.1018278E-03, 0.8797326E-04, 0.7582401E-04, 0.7582401E-04, 0.6500338E-04, 0.5547714E-04, 0.4708549E-04, 0.3969539E-04, 0.3320703E-04, 0.2755304E-04, 0.2270174E-04, 0.1866478E-04, 0.1548518E-04, 0.1222203E-04, 0.1738116E-05, 0.6544999E-07, 0.6235958E-07, 0.4947252E-07, 0.1457472E-06, 0.8455698E-06, 0.1188248E-05, 0.2372993E-05, 0.4159663E-05, 0.5858238E-05, 0.5858238E-05, 0.8491920E-05, 0.1175264E-04, 0.1556168E-04, 0.2040269E-04, 0.2605439E-04, 0.3283179E-04, 0.4070355E-04, 0.4982636E-04, 0.6028166E-04, 0.7218043E-04, 0.8561088E-04, 0.1006503E-03, 0.1174220E-03, 0.1360733E-03, 0.1567476E-03, 0.1795281E-03, 0.2044374E-03, 0.2315279E-03, 0.2608499E-03, 0.2924373E-03, 0.3263018E-03, 0.3624333E-03, 0.4008034E-03, 0.4413698E-03, 0.4840815E-03, 0.5288809E-03, 0.5757063E-03, 0.6244921E-03, 0.6751685E-03, 0.7276617E-03, 0.7818924E-03, 0.8377759E-03, 0.8952210E-03, 0.9541297E-03, 0.1014397E-02, 0.1075909E-02, 0.1138541E-02, 0.1201898E-02, 0.1258591E-02, 0.1312443E-02, 0.1368928E-02, 0.1428249E-02, 0.1489753E-02, 0.1552799E-02, 0.1616854E-02, 0.1681483E-02, 0.1746329E-02, 0.1811094E-02, 0.1875530E-02, 0.1939428E-02, 0.2002607E-02, 0.2064913E-02, 0.2126214E-02, 0.2186394E-02, 0.2245356E-02, 0.2303014E-02, 0.2359297E-02, 0.2414146E-02, 0.2467511E-02, 0.2519355E-02, 0.2569646E-02, 0.2618365E-02, 0.2665497E-02, 0.2711036E-02, 0.2754979E-02,
 0.3700000E+00, 0.1099082E-01, 0.2956288E-02, 0.1864705E-02, 0.1351908E-02, 0.1035719E-02, 0.8290931E-03, 0.6842568E-03, 0.5778992E-03, 0.4965998E-03, 0.4321960E-03, 0.3796421E-03, 0.3357391E-03, 0.2983632E-03, 0.2660339E-03, 0.2376926E-03, 0.2129432E-03, 0.2129432E-03, 0.1910963E-03, 0.1713065E-03, 0.1532204E-03, 0.1365492E-03, 0.1210306E-03, 0.1064057E-03, 0.9239651E-04, 0.7869773E-04, 0.6509038E-04, 0.5476071E-04, 0.7493714E-04, 0.6871673E-04, 0.5919117E-04, 0.6012476E-04, 0.5577568E-04, 0.4876298E-04, 0.4444089E-04, 0.3961376E-04, 0.3365415E-04, 0.2857402E-04, 0.2857402E-04, 0.2349431E-04, 0.1835337E-04, 0.1375754E-04, 0.9465895E-05, 0.5801332E-05, 0.2872705E-05, 0.8872407E-06, 0.2203434E-07, 0.4667064E-06, 0.2410881E-05, 0.6043523E-05, 0.1154428E-04, 0.1909803E-04, 0.2890471E-04, 0.4117554E-04, 0.5610257E-04, 0.7382725E-04, 0.9447663E-04, 0.1181658E-03, 0.1449872E-03, 0.1750040E-03, 0.2082469E-03, 0.2447147E-03, 0.2843782E-03, 0.3271852E-03, 0.3730657E-03, 0.4219358E-03, 0.4737010E-03, 0.5282579E-03, 0.5854956E-03, 0.6452963E-03, 0.7075360E-03, 0.7720843E-03, 0.8388043E-03, 0.9075524E-03, 0.9781769E-03, 0.1050515E-02, 0.1123608E-02, 0.1186765E-02, 0.1251118E-02, 0.1321102E-02, 0.1395410E-02, 0.1472691E-02, 0.1551959E-02, 0.1632495E-02, 0.1713758E-02, 0.1795328E-02, 0.1876869E-02, 0.1958109E-02, 0.2038817E-02, 0.2118798E-02, 0.2197879E-02, 0.2275912E-02, 0.2352761E-02, 0.2428308E-02, 0.2502448E-02, 0.2575086E-02, 0.2646139E-02, 0.2715537E-02, 0.2783218E-02, 0.2849130E-02, 0.2913231E-02, 0.2975488E-02, 0.3035873E-02, 0.3094368E-02,
 0.3900000E+00, 0.2348103E-01, 0.1261210E-01, 0.9141012E-02, 0.7572147E-02, 0.6866405E-02, 0.6514336E-02, 0.6191187E-02, 0.5889836E-02, 0.5622157E-02, 0.5386845E-02, 0.5178809E-02, 0.4993155E-02, 0.4825924E-02, 0.4673953E-02, 0.4534707E-02, 0.4406868E-02, 0.4406868E-02, 0.4289743E-02, 0.4180308E-02, 0.4077043E-02, 0.3978800E-02, 0.3884483E-02, 0.3792902E-02, 0.3702607E-02, 0.3611695E-02, 0.3517881E-02, 0.3426270E-02, 0.3478444E-02, 0.3474026E-02, 0.3409270E-02, 0.3379093E-02, 0.3348165E-02, 0.3292044E-02, 0.3240498E-02, 0.3192507E-02, 0.3133463E-02, 0.3073505E-02, 0.3073505E-02, 0.3012592E-02, 0.2945648E-02, 0.2876712E-02, 0.2803609E-02, 0.2727081E-02, 0.2646994E-02, 0.2563831E-02, 0.2477763E-02, 0.2389231E-02, 0.2298462E-02, 0.2205841E-02, 0.2111812E-02, 0.2016703E-02, 0.1920723E-02, 0.1824055E-02, 0.1727013E-02, 0.1630129E-02, 0.1533918E-02, 0.1438811E-02, 0.1345212E-02, 0.1253512E-02, 0.1164084E-02, 0.1077275E-02, 0.9933917E-03, 0.9126921E-03, 0.8353814E-03, 0.7616141E-03, 0.6914979E-03, 0.6251002E-03, 0.5624540E-03, 0.5035641E-03, 0.4484116E-03, 0.3969584E-03, 0.3491509E-03, 0.3049226E-03, 0.2641971E-03, 0.2268915E-03, 0.1937784E-03, 0.1686419E-03, 0.1430653E-03, 0.1178750E-03, 0.9454738E-04, 0.7375093E-04, 0.5571762E-04, 0.4046483E-04, 0.2790413E-04, 0.1789628E-04, 0.1027973E-04, 0.4885451E-05, 0.1544585E-05, 0.9218809E-07, 0.3690137E-06, 0.2222244E-05, 0.5505739E-05, 0.1008007E-04, 0.1581248E-04, 0.2257682E-04, 0.3025350E-04, 0.3872944E-04, 0.4789802E-04, 0.5765906E-04, 0.6791869E-04, 0.7858928E-04, 0.8958914E-04, 0.1008421E-03,
 0.4100000E+00, 0.4382913E-02, 0.3448626E-02, 0.2630820E-02, 0.2232603E-02, 0.2036643E-02, 0.1934351E-02, 0.1843696E-02, 0.1757198E-02, 0.1677893E-02, 0.1606379E-02, 0.1541992E-02, 0.1483824E-02, 0.1431036E-02, 0.1382897E-02, 0.1338774E-02, 0.1298242E-02, 0.1298242E-02, 0.1261142E-02, 0.1226725E-02, 0.1194531E-02, 0.1164222E-02, 0.1135496E-02, 0.1108048E-02, 0.1081545E-02, 0.1055582E-02, 0.1029683E-02, 0.1004224E-02, 0.1003417E-02, 0.1000531E-02, 0.9829988E-03, 0.9694733E-03, 0.9578661E-03, 0.9410801E-03, 0.9242616E-03, 0.9083329E-03, 0.8902391E-03, 0.8715929E-03, 0.8715929E-03, 0.8525833E-03, 0.8322404E-03, 0.8112268E-03, 0.7891312E-03, 0.7661307E-03, 0.7421470E-03, 0.7173354E-03, 0.6917287E-03, 0.6654566E-03, 0.6385814E-03, 0.6112120E-03, 0.5834729E-03, 0.5554657E-03, 0.5272569E-03, 0.4989016E-03, 0.4704851E-03, 0.4421540E-03, 0.4140620E-03, 0.3863407E-03, 0.3591123E-03, 0.3324946E-03, 0.3066003E-03, 0.2815347E-03, 0.2573910E-03, 0.2342484E-03, 0.2121703E-03, 0.1912043E-03, 0.1713840E-03, 0.1527301E-03, 0.1352525E-03, 0.1189519E-03, 0.1038218E-03, 0.8984924E-04, 0.7701636E-04, 0.6530115E-04, 0.5467836E-04, 0.4512076E-04, 0.3699147E-04, 0.3102546E-04, 0.2457224E-04, 0.1843345E-04, 0.1309003E-04, 0.8690065E-05, 0.5246686E-05, 0.2720093E-05, 0.1051125E-05, 0.1753748E-06, 0.2898994E-07, 0.5508497E-06, 0.1683165E-05, 0.3371441E-05, 0.5564232E-05, 0.8212849E-05, 0.1127112E-04, 0.1469519E-04, 0.1844339E-04, 0.2247616E-04, 0.2675596E-04, 0.3124728E-04, 0.3591660E-04, 0.4073234E-04, 0.4566490E-04, 0.5068655E-04, 0.5577138E-04, 0.6089499E-04,
 0.4300000E+00, 0.5964427E-03, 0.5912758E-03, 0.4778637E-03, 0.4174434E-03, 0.3867957E-03, 0.3706375E-03, 0.3565877E-03, 0.3425998E-03, 0.3291848E-03, 0.3166687E-03, 0.3051224E-03, 0.2945134E-03, 0.2847754E-03, 0.2758318E-03, 0.2676044E-03, 0.2600282E-03, 0.2600282E-03, 0.2530801E-03, 0.2466574E-03, 0.2406790E-03, 0.2350843E-03, 0.2298197E-03, 0.2248335E-03, 0.2200714E-03, 0.2154718E-03, 0.2109633E-03, 0.2065435E-03, 0.2048766E-03, 0.2041598E-03, 0.2013253E-03, 0.1986104E-03, 0.1963985E-03, 0.1935196E-03, 0.1904938E-03, 0.1876216E-03, 0.1844827E-03, 0.1812086E-03, 0.1812086E-03, 0.1778873E-03, 0.1743758E-03, 0.1707405E-03, 0.1669460E-03, 0.1629990E-03, 0.1588955E-03, 0.1546508E-03, 0.1502734E-03, 0.1457810E-03, 0.1411851E-03, 0.1365018E-03, 0.1317504E-03, 0.1269480E-03, 0.1221069E-03, 0.1172362E-03, 0.1123479E-03, 0.1074624E-03, 0.1026028E-03, 0.9778995E-04, 0.9304292E-04, 0.8837992E-04, 0.8381832E-04, 0.7937416E-04, 0.7506175E-04, 0.7089312E-04, 0.6687780E-04, 0.6302277E-04, 0.5933259E-04, 0.5580962E-04, 0.5245435E-04, 0.4926571E-04, 0.4624130E-04, 0.4337774E-04, 0.4067081E-04, 0.3811566E-04, 0.3570700E-04, 0.3343922E-04, 0.3147428E-04, 0.2926764E-04, 0.2664760E-04, 0.2419936E-04, 0.2200846E-04, 0.2005746E-04, 0.1831420E-04, 0.1674882E-04, 0.1533647E-04, 0.1405700E-04, 0.1289409E-04, 0.1183437E-04, 0.1086676E-04, 0.9981927E-05, 0.9171899E-05, 0.8429759E-05, 0.7749437E-05, 0.7125554E-05, 0.6553296E-05, 0.6028326E-05, 0.5546709E-05, 0.5104866E-05, 0.4699526E-05, 0.4327693E-05, 0.3986615E-05, 0.3673763E-05, 0.3386811E-05, 0.3123618E-05,
