@TE [keV]  vs r@
X,TE_1,TE_2,TE_3,TE_4,TE_5,TE_6,TE_7,TE_8,TE_9,TE_10,TE_11,TE_12,TE_13,TE_14,TE_15,TE_16,TE_17,TE_18,TE_19,TE_20,TE_21,TE_22,TE_23,TE_24,TE_25,TE_26,TE_27,TE_28,TE_29,TE_30,TE_31,TE_32,TE_33,TE_34,TE_35,TE_36,TE_37,TE_38,TE_39,TE_40,TE_41,TE_42,TE_43,TE_44,TE_45,TE_46,TE_47,TE_48,TE_49,TE_50,TE_51,TE_52,TE_53,TE_54,TE_55,TE_56,TE_57,TE_58,TE_59,TE_60,TE_61,TE_62,TE_63,TE_64,TE_65,TE_66,TE_67,TE_68,TE_69,TE_70,TE_71,TE_72,TE_73,TE_74,TE_75,TE_76,TE_77,TE_78,TE_79,TE_80,TE_81,TE_82,TE_83,TE_84,TE_85,TE_86,TE_87,TE_88,TE_89,TE_90,TE_91,TE_92,TE_93,TE_94,TE_95,TE_96,TE_97,TE_98,TE_99,TE_100,TE_101,TE_102,TE_103
 0.2100000E+00, 0.9603100E+00, 0.1467404E+01, 0.1782433E+01, 0.2028729E+01, 0.2230670E+01, 0.2395947E+01, 0.2533206E+01, 0.2650324E+01, 0.2752508E+01, 0.2843146E+01, 0.2924664E+01, 0.2998817E+01, 0.3066781E+01, 0.3129395E+01, 0.3186845E+01, 0.3237991E+01, 0.3237991E+01, 0.5332132E+01, 0.7849148E+01, 0.1014156E+02, 0.1199107E+02, 0.1337278E+02, 0.1434727E+02, 0.1500656E+02, 0.1544058E+02, 0.1572149E+02, 0.1590143E+02, 0.1601597E+02, 0.1608860E+02, 0.1613455E+02, 0.1616357E+02, 0.1618189E+02, 0.1619345E+02, 0.1620074E+02, 0.1620533E+02, 0.1620823E+02, 0.1621005E+02, 0.1621005E+02, 0.1621120E+02, 0.1621193E+02, 0.1621239E+02, 0.1621267E+02, 0.1621285E+02, 0.1621297E+02, 0.1621304E+02, 0.1621309E+02, 0.1621312E+02, 0.1621313E+02, 0.1621314E+02, 0.1621315E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02, 0.1621316E+02,
 0.2300000E+00, 0.9523900E+00, 0.1444719E+01, 0.1772643E+01, 0.2040344E+01, 0.2251637E+01, 0.2418410E+01, 0.2554618E+01, 0.2669802E+01, 0.2769500E+01, 0.2857280E+01, 0.2935770E+01, 0.3006694E+01, 0.3071043E+01, 0.3129561E+01, 0.3182038E+01, 0.3226955E+01, 0.3226955E+01, 0.5124145E+01, 0.7543445E+01, 0.9766787E+01, 0.1155934E+02, 0.1290039E+02, 0.1384709E+02, 0.1448779E+02, 0.1490956E+02, 0.1518251E+02, 0.1535734E+02, 0.1546862E+02, 0.1553918E+02, 0.1558382E+02, 0.1561201E+02, 0.1562981E+02, 0.1564104E+02, 0.1564812E+02, 0.1565258E+02, 0.1565539E+02, 0.1565717E+02, 0.1565717E+02, 0.1565828E+02, 0.1565899E+02, 0.1565943E+02, 0.1565971E+02, 0.1565989E+02, 0.1566000E+02, 0.1566007E+02, 0.1566011E+02, 0.1566014E+02, 0.1566016E+02, 0.1566017E+02, 0.1566018E+02, 0.1566018E+02, 0.1566018E+02, 0.1566018E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02, 0.1566019E+02,
 0.2500000E+00, 0.9437500E+00, 0.1427212E+01, 0.1799288E+01, 0.2083925E+01, 0.2293797E+01, 0.2455757E+01, 0.2587012E+01, 0.2697602E+01, 0.2792607E+01, 0.2875665E+01, 0.2949483E+01, 0.3015305E+01, 0.3073825E+01, 0.3126559E+01, 0.3173375E+01, 0.3211902E+01, 0.3211902E+01, 0.4969059E+01, 0.7308816E+01, 0.9472588E+01, 0.1121456E+02, 0.1251742E+02, 0.1343664E+02, 0.1405835E+02, 0.1446744E+02, 0.1473210E+02, 0.1490159E+02, 0.1500945E+02, 0.1507784E+02, 0.1512111E+02, 0.1514844E+02, 0.1516569E+02, 0.1517657E+02, 0.1518343E+02, 0.1518775E+02, 0.1519048E+02, 0.1519220E+02, 0.1519220E+02, 0.1519328E+02, 0.1519397E+02, 0.1519440E+02, 0.1519467E+02, 0.1519484E+02, 0.1519495E+02, 0.1519501E+02, 0.1519506E+02, 0.1519508E+02, 0.1519510E+02, 0.1519511E+02, 0.1519512E+02, 0.1519512E+02, 0.1519512E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02, 0.1519513E+02,
 0.2700000E+00, 0.9343900E+00, 0.1449515E+01, 0.1874613E+01, 0.2158273E+01, 0.2359637E+01, 0.2512490E+01, 0.2636345E+01, 0.2740440E+01, 0.2829072E+01, 0.2906148E+01, 0.2974094E+01, 0.3032718E+01, 0.3082902E+01, 0.3126638E+01, 0.3165084E+01, 0.3196265E+01, 0.3196265E+01, 0.4846945E+01, 0.7119485E+01, 0.9233661E+01, 0.1093671E+02, 0.1221178E+02, 0.1311160E+02, 0.1372007E+02, 0.1412033E+02, 0.1437921E+02, 0.1454496E+02, 0.1465043E+02, 0.1471730E+02, 0.1475960E+02, 0.1478632E+02, 0.1480318E+02, 0.1481382E+02, 0.1482052E+02, 0.1482475E+02, 0.1482742E+02, 0.1482910E+02, 0.1482910E+02, 0.1483016E+02, 0.1483082E+02, 0.1483124E+02, 0.1483151E+02, 0.1483168E+02, 0.1483178E+02, 0.1483185E+02, 0.1483189E+02, 0.1483191E+02, 0.1483193E+02, 0.1483194E+02, 0.1483195E+02, 0.1483195E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02, 0.1483196E+02,
 0.2900000E+00, 0.9243100E+00, 0.1551590E+01, 0.1988119E+01, 0.2260744E+01, 0.2449079E+01, 0.2590735E+01, 0.2706503E+01, 0.2803359E+01, 0.2885150E+01, 0.2956252E+01, 0.3018056E+01, 0.3068141E+01, 0.3109458E+01, 0.3142376E+01, 0.3164376E+01, 0.3184649E+01, 0.3184649E+01, 0.4744174E+01, 0.6949836E+01, 0.9012590E+01, 0.1067662E+02, 0.1192438E+02, 0.1280541E+02, 0.1340120E+02, 0.1379306E+02, 0.1404647E+02, 0.1420869E+02, 0.1431192E+02, 0.1437736E+02, 0.1441875E+02, 0.1444489E+02, 0.1446139E+02, 0.1447180E+02, 0.1447836E+02, 0.1448250E+02, 0.1448511E+02, 0.1448675E+02, 0.1448675E+02, 0.1448779E+02, 0.1448844E+02, 0.1448885E+02, 0.1448911E+02, 0.1448928E+02, 0.1448938E+02, 0.1448944E+02, 0.1448948E+02, 0.1448951E+02, 0.1448953E+02, 0.1448954E+02, 0.1448954E+02, 0.1448955E+02, 0.1448955E+02, 0.1448955E+02, 0.1448955E+02, 0.1448955E+02, 0.1448955E+02, 0.1448955E+02, 0.1448955E+02, 0.1448955E+02, 0.1448955E+02, 0.1448955E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02, 0.1448956E+02,
 0.3100000E+00, 0.9135100E+00, 0.1682735E+01, 0.2112888E+01, 0.2368438E+01, 0.2540957E+01, 0.2670363E+01, 0.2777695E+01, 0.2866338E+01, 0.2940506E+01, 0.3005109E+01, 0.3058524E+01, 0.3093655E+01, 0.3117606E+01, 0.3135953E+01, 0.3152190E+01, 0.3167178E+01, 0.3167178E+01, 0.4649589E+01, 0.6774090E+01, 0.8765327E+01, 0.1037105E+02, 0.1157471E+02, 0.1242368E+02, 0.1299712E+02, 0.1337397E+02, 0.1361755E+02, 0.1377342E+02, 0.1387258E+02, 0.1393544E+02, 0.1397519E+02, 0.1400030E+02, 0.1401615E+02, 0.1402614E+02, 0.1403245E+02, 0.1403642E+02, 0.1403893E+02, 0.1404050E+02, 0.1404050E+02, 0.1404150E+02, 0.1404213E+02, 0.1404252E+02, 0.1404277E+02, 0.1404293E+02, 0.1404303E+02, 0.1404309E+02, 0.1404313E+02, 0.1404315E+02, 0.1404317E+02, 0.1404318E+02, 0.1404318E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02, 0.1404319E+02,
 0.3300000E+00, 0.9019900E+00, 0.1832449E+01, 0.2242913E+01, 0.2474127E+01, 0.2625036E+01, 0.2738318E+01, 0.2834203E+01, 0.2909067E+01, 0.2968678E+01, 0.3017143E+01, 0.3048111E+01, 0.3075013E+01, 0.3095494E+01, 0.3111165E+01, 0.3124897E+01, 0.3137370E+01, 0.3137370E+01, 0.4571594E+01, 0.6608080E+01, 0.8516890E+01, 0.1005607E+02, 0.1120957E+02, 0.1202245E+02, 0.1257111E+02, 0.1293151E+02, 0.1316440E+02, 0.1331343E+02, 0.1340823E+02, 0.1346832E+02, 0.1350632E+02, 0.1353033E+02, 0.1354548E+02, 0.1355503E+02, 0.1356106E+02, 0.1356485E+02, 0.1356725E+02, 0.1356876E+02, 0.1356876E+02, 0.1356971E+02, 0.1357031E+02, 0.1357069E+02, 0.1357092E+02, 0.1357107E+02, 0.1357117E+02, 0.1357123E+02, 0.1357127E+02, 0.1357129E+02, 0.1357130E+02, 0.1357131E+02, 0.1357132E+02, 0.1357132E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02, 0.1357133E+02,
 0.3500000E+00, 0.8897500E+00, 0.2000831E+01, 0.2384249E+01, 0.2588923E+01, 0.2715422E+01, 0.2811460E+01, 0.2897584E+01, 0.2957053E+01, 0.2994301E+01, 0.3017887E+01, 0.3039034E+01, 0.3058410E+01, 0.3074383E+01, 0.3086791E+01, 0.3097645E+01, 0.3107447E+01, 0.3107447E+01, 0.4508495E+01, 0.6416302E+01, 0.8208209E+01, 0.9660686E+01, 0.1075213E+02, 0.1152164E+02, 0.1204090E+02, 0.1238188E+02, 0.1260214E+02, 0.1274305E+02, 0.1283268E+02, 0.1288948E+02, 0.1292540E+02, 0.1294809E+02, 0.1296241E+02, 0.1297144E+02, 0.1297714E+02, 0.1298073E+02, 0.1298299E+02, 0.1298442E+02, 0.1298442E+02, 0.1298532E+02, 0.1298588E+02, 0.1298624E+02, 0.1298647E+02, 0.1298661E+02, 0.1298670E+02, 0.1298675E+02, 0.1298679E+02, 0.1298681E+02, 0.1298682E+02, 0.1298683E+02, 0.1298684E+02, 0.1298684E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02, 0.1298685E+02,
 0.3700000E+00, 0.8767900E+00, 0.2117549E+01, 0.2486529E+01, 0.2680061E+01, 0.2796432E+01, 0.2862192E+01, 0.2896743E+01, 0.2924186E+01, 0.2944245E+01, 0.2957990E+01, 0.2969442E+01, 0.2979616E+01, 0.2988382E+01, 0.2995389E+01, 0.3001446E+01, 0.3006871E+01, 0.3006871E+01, 0.4482494E+01, 0.5951172E+01, 0.7424292E+01, 0.8651370E+01, 0.9586685E+01, 0.1025045E+02, 0.1069979E+02, 0.1099535E+02, 0.1118647E+02, 0.1130880E+02, 0.1138664E+02, 0.1143599E+02, 0.1146720E+02, 0.1148691E+02, 0.1149936E+02, 0.1150720E+02, 0.1151215E+02, 0.1151527E+02, 0.1151724E+02, 0.1151848E+02, 0.1151848E+02, 0.1151926E+02, 0.1151975E+02, 0.1152006E+02, 0.1152026E+02, 0.1152038E+02, 0.1152046E+02, 0.1152051E+02, 0.1152054E+02, 0.1152056E+02, 0.1152057E+02, 0.1152058E+02, 0.1152058E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02, 0.1152059E+02,
 0.3900000E+00, 0.8631100E+00, 0.1933047E+01, 0.2157934E+01, 0.2290458E+01, 0.2373669E+01, 0.2424251E+01, 0.2453947E+01, 0.2474907E+01, 0.2489743E+01, 0.2499866E+01, 0.2507705E+01, 0.2514280E+01, 0.2519900E+01, 0.2524443E+01, 0.2528287E+01, 0.2531667E+01, 0.2531667E+01, 0.4246669E+01, 0.5234426E+01, 0.6208247E+01, 0.7076088E+01, 0.7761693E+01, 0.8256704E+01, 0.8594854E+01, 0.8818436E+01, 0.8963459E+01, 0.9056470E+01, 0.9115719E+01, 0.9153307E+01, 0.9177094E+01, 0.9192122E+01, 0.9201609E+01, 0.9207593E+01, 0.9211367E+01, 0.9213746E+01, 0.9215246E+01, 0.9216191E+01, 0.9216191E+01, 0.9216787E+01, 0.9217162E+01, 0.9217400E+01, 0.9217548E+01, 0.9217643E+01, 0.9217702E+01, 0.9217739E+01, 0.9217762E+01, 0.9217777E+01, 0.9217787E+01, 0.9217793E+01, 0.9217796E+01, 0.9217798E+01, 0.9217800E+01, 0.9217801E+01, 0.9217801E+01, 0.9217802E+01, 0.9217802E+01, 0.9217802E+01, 0.9217802E+01, 0.9217802E+01, 0.9217802E+01, 0.9217802E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01, 0.9217803E+01,
 0.4100000E+00, 0.8487100E+00, 0.1456439E+01, 0.1664803E+01, 0.1786150E+01, 0.1862717E+01, 0.1910224E+01, 0.1938541E+01, 0.1957493E+01, 0.1970649E+01, 0.1979598E+01, 0.1986242E+01, 0.1991611E+01, 0.1996151E+01, 0.1999849E+01, 0.2002936E+01, 0.2005616E+01, 0.2005616E+01, 0.4073429E+01, 0.4766594E+01, 0.5370638E+01, 0.5960411E+01, 0.6447415E+01, 0.6805713E+01, 0.7052664E+01, 0.7216719E+01, 0.7323417E+01, 0.7391956E+01, 0.7435658E+01, 0.7463399E+01, 0.7480960E+01, 0.7492059E+01, 0.7499065E+01, 0.7503486E+01, 0.7506273E+01, 0.7508031E+01, 0.7509139E+01, 0.7509837E+01, 0.7509837E+01, 0.7510278E+01, 0.7510555E+01, 0.7510730E+01, 0.7510840E+01, 0.7510910E+01, 0.7510953E+01, 0.7510981E+01, 0.7510998E+01, 0.7511009E+01, 0.7511016E+01, 0.7511020E+01, 0.7511023E+01, 0.7511025E+01, 0.7511026E+01, 0.7511026E+01, 0.7511027E+01, 0.7511027E+01, 0.7511027E+01, 0.7511027E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01, 0.7511028E+01,
 0.4300000E+00, 0.8335900E+00, 0.1317274E+01, 0.1520354E+01, 0.1638594E+01, 0.1713364E+01, 0.1759999E+01, 0.1787877E+01, 0.1806259E+01, 0.1818938E+01, 0.1827554E+01, 0.1833872E+01, 0.1838917E+01, 0.1843165E+01, 0.1846633E+01, 0.1849517E+01, 0.1852010E+01, 0.1852010E+01, 0.4077113E+01, 0.4659078E+01, 0.5155120E+01, 0.5669508E+01, 0.6105278E+01, 0.6429460E+01, 0.6654150E+01, 0.6803883E+01, 0.6901446E+01, 0.6964187E+01, 0.7004220E+01, 0.7029643E+01, 0.7045741E+01, 0.7055916E+01, 0.7062340E+01, 0.7066394E+01, 0.7068950E+01, 0.7070562E+01, 0.7071578E+01, 0.7072218E+01, 0.7072218E+01, 0.7072622E+01, 0.7072876E+01, 0.7073037E+01, 0.7073138E+01, 0.7073202E+01, 0.7073242E+01, 0.7073267E+01, 0.7073283E+01, 0.7073293E+01, 0.7073299E+01, 0.7073303E+01, 0.7073306E+01, 0.7073308E+01, 0.7073308E+01, 0.7073309E+01, 0.7073309E+01, 0.7073309E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01, 0.7073310E+01,
