@EZ [V/m]  vs r@
X,EZ_1,EZ_2,EZ_3,EZ_4,EZ_5,EZ_6,EZ_7,EZ_8,EZ_9,EZ_10,EZ_11,EZ_12,EZ_13,EZ_14,EZ_15,EZ_16,EZ_17,EZ_18,EZ_19,EZ_20,EZ_21,EZ_22,EZ_23,EZ_24,EZ_25,EZ_26,EZ_27,EZ_28,EZ_29,EZ_30,EZ_31,EZ_32,EZ_33,EZ_34,EZ_35,EZ_36,EZ_37,EZ_38,EZ_39,EZ_40,EZ_41,EZ_42,EZ_43,EZ_44,EZ_45,EZ_46,EZ_47,EZ_48,EZ_49,EZ_50,EZ_51,EZ_52,EZ_53,EZ_54,EZ_55,EZ_56,EZ_57,EZ_58,EZ_59,EZ_60,EZ_61,EZ_62,EZ_63,EZ_64,EZ_65,EZ_66,EZ_67,EZ_68,EZ_69,EZ_70,EZ_71,EZ_72,EZ_73,EZ_74,EZ_75,EZ_76,EZ_77,EZ_78,EZ_79,EZ_80,EZ_81,EZ_82,EZ_83,EZ_84,EZ_85,EZ_86,EZ_87,EZ_88,EZ_89,EZ_90,EZ_91,EZ_92,EZ_93,EZ_94,EZ_95,EZ_96,EZ_97,EZ_98,EZ_99,EZ_100,EZ_101,EZ_102,EZ_103
 0.2100000E+00, 0.3059696E-01, 0.1800811E-01, 0.1416071E-01, 0.1208162E-01, 0.1074645E-01, 0.9828610E-02, 0.9161397E-02, 0.8649839E-02, 0.8241238E-02, 0.7904906E-02, 0.7621402E-02, 0.7377735E-02, 0.7165165E-02, 0.6977614E-02, 0.6811440E-02, 0.6666575E-02, 0.6666441E-02, 0.2939997E-02, 0.1594286E-02, 0.1031554E-02, 0.7590853E-03, 0.6137024E-03, 0.5310072E-03, 0.4820685E-03, 0.4523870E-03, 0.4341130E-03, 0.4227603E-03, 0.4156684E-03, 0.4112233E-03, 0.4084315E-03, 0.4066757E-03, 0.4055707E-03, 0.4048749E-03, 0.4044366E-03, 0.4041605E-03, 0.4039865E-03, 0.4038769E-03, 0.4038769E-03, 0.4038078E-03, 0.4037642E-03, 0.4037368E-03, 0.4037195E-03, 0.4037086E-03, 0.4037017E-03, 0.4036974E-03, 0.4036947E-03, 0.4036930E-03, 0.4036919E-03, 0.4036912E-03, 0.4036908E-03, 0.4036905E-03, 0.4036903E-03, 0.4036902E-03, 0.4036902E-03, 0.4036901E-03, 0.4036901E-03, 0.4036901E-03, 0.4036901E-03, 0.4036901E-03, 0.4036901E-03, 0.4036901E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03, 0.4036900E-03,
 0.2300000E+00, 0.3036527E-01, 0.1811830E-01, 0.1414100E-01, 0.1191444E-01, 0.1054168E-01, 0.9633985E-02, 0.8985779E-02, 0.8492894E-02, 0.8101387E-02, 0.7780607E-02, 0.7510999E-02, 0.7279776E-02, 0.7078948E-02, 0.6903402E-02, 0.6750940E-02, 0.6622639E-02, 0.6622604E-02, 0.3116026E-02, 0.1700340E-02, 0.1100240E-02, 0.8105746E-03, 0.6559530E-03, 0.5679711E-03, 0.5159136E-03, 0.4843576E-03, 0.4649412E-03, 0.4528849E-03, 0.4453563E-03, 0.4406389E-03, 0.4376765E-03, 0.4358137E-03, 0.4346415E-03, 0.4339033E-03, 0.4334384E-03, 0.4331455E-03, 0.4329610E-03, 0.4328447E-03, 0.4328447E-03, 0.4327714E-03, 0.4327253E-03, 0.4326962E-03, 0.4326778E-03, 0.4326663E-03, 0.4326590E-03, 0.4326544E-03, 0.4326515E-03, 0.4326497E-03, 0.4326485E-03, 0.4326478E-03, 0.4326474E-03, 0.4326471E-03, 0.4326469E-03, 0.4326468E-03, 0.4326467E-03, 0.4326467E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03, 0.4326466E-03,
 0.2500000E+00, 0.2988730E-01, 0.1804440E-01, 0.1369703E-01, 0.1143842E-01, 0.1013968E-01, 0.9296255E-02, 0.8696084E-02, 0.8239300E-02, 0.7877316E-02, 0.7581581E-02, 0.7333372E-02, 0.7121330E-02, 0.6939069E-02, 0.6779945E-02, 0.6642893E-02, 0.6532021E-02, 0.6532013E-02, 0.3216310E-02, 0.1767024E-02, 0.1145781E-02, 0.8468343E-03, 0.6872825E-03, 0.5964935E-03, 0.5427881E-03, 0.5102479E-03, 0.4902354E-03, 0.4778129E-03, 0.4700576E-03, 0.4651988E-03, 0.4621480E-03, 0.4602298E-03, 0.4590227E-03, 0.4582627E-03, 0.4577840E-03, 0.4574824E-03, 0.4572924E-03, 0.4571726E-03, 0.4571726E-03, 0.4570972E-03, 0.4570496E-03, 0.4570197E-03, 0.4570008E-03, 0.4569889E-03, 0.4569814E-03, 0.4569767E-03, 0.4569737E-03, 0.4569718E-03, 0.4569707E-03, 0.4569699E-03, 0.4569694E-03, 0.4569691E-03, 0.4569690E-03, 0.4569688E-03, 0.4569688E-03, 0.4569687E-03, 0.4569687E-03, 0.4569687E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03, 0.4569686E-03,
 0.2700000E+00, 0.2910646E-01, 0.1729472E-01, 0.1271246E-01, 0.1067018E-01, 0.9528100E-02, 0.8789747E-02, 0.8260445E-02, 0.7855306E-02, 0.7534852E-02, 0.7273227E-02, 0.7053850E-02, 0.6869464E-02, 0.6715176E-02, 0.6581903E-02, 0.6463420E-02, 0.6370892E-02, 0.6370891E-02, 0.3239039E-02, 0.1786749E-02, 0.1158194E-02, 0.8564631E-03, 0.6956573E-03, 0.6043049E-03, 0.5503484E-03, 0.5176947E-03, 0.4976289E-03, 0.4851806E-03, 0.4774120E-03, 0.4725462E-03, 0.4694915E-03, 0.4675710E-03, 0.4663626E-03, 0.4656017E-03, 0.4651225E-03, 0.4648207E-03, 0.4646305E-03, 0.4645106E-03, 0.4645106E-03, 0.4644351E-03, 0.4643875E-03, 0.4643575E-03, 0.4643386E-03, 0.4643267E-03, 0.4643192E-03, 0.4643144E-03, 0.4643115E-03, 0.4643096E-03, 0.4643084E-03, 0.4643077E-03, 0.4643072E-03, 0.4643069E-03, 0.4643067E-03, 0.4643066E-03, 0.4643065E-03, 0.4643065E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03, 0.4643064E-03,
 0.2900000E+00, 0.3103954E-01, 0.1698803E-01, 0.1256500E-01, 0.1069206E-01, 0.9650585E-02, 0.8973463E-02, 0.8479355E-02, 0.8098762E-02, 0.7797960E-02, 0.7551257E-02, 0.7344422E-02, 0.7175373E-02, 0.7035759E-02, 0.6924444E-02, 0.6847932E-02, 0.6781398E-02, 0.6781398E-02, 0.3587184E-02, 0.2000453E-02, 0.1303871E-02, 0.9681241E-03, 0.7885314E-03, 0.6862993E-03, 0.6258679E-03, 0.5892917E-03, 0.5668206E-03, 0.5528841E-03, 0.5441893E-03, 0.5387444E-03, 0.5353268E-03, 0.5331784E-03, 0.5318266E-03, 0.5309755E-03, 0.5304395E-03, 0.5301018E-03, 0.5298891E-03, 0.5297551E-03, 0.5297551E-03, 0.5296706E-03, 0.5296174E-03, 0.5295838E-03, 0.5295626E-03, 0.5295493E-03, 0.5295409E-03, 0.5295356E-03, 0.5295323E-03, 0.5295302E-03, 0.5295289E-03, 0.5295281E-03, 0.5295275E-03, 0.5295272E-03, 0.5295270E-03, 0.5295268E-03, 0.5295268E-03, 0.5295267E-03, 0.5295267E-03, 0.5295267E-03, 0.5295267E-03, 0.5295267E-03, 0.5295267E-03, 0.5295267E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03, 0.5295266E-03,
 0.3100000E+00, 0.3497718E-01, 0.1722095E-01, 0.1301469E-01, 0.1125910E-01, 0.1027992E-01, 0.9635029E-02, 0.9152297E-02, 0.8779010E-02, 0.8482729E-02, 0.8234678E-02, 0.8029729E-02, 0.7896938E-02, 0.7804723E-02, 0.7734307E-02, 0.7677492E-02, 0.7625539E-02, 0.7625539E-02, 0.4203612E-02, 0.2386127E-02, 0.1574113E-02, 0.1179780E-02, 0.9676892E-03, 0.8466512E-03, 0.7750537E-03, 0.7317270E-03, 0.7051210E-03, 0.6886279E-03, 0.6783422E-03, 0.6719029E-03, 0.6678618E-03, 0.6653218E-03, 0.6637238E-03, 0.6627177E-03, 0.6620842E-03, 0.6616851E-03, 0.6614336E-03, 0.6612752E-03, 0.6612752E-03, 0.6611753E-03, 0.6611124E-03, 0.6610727E-03, 0.6610478E-03, 0.6610320E-03, 0.6610221E-03, 0.6610158E-03, 0.6610119E-03, 0.6610094E-03, 0.6610078E-03, 0.6610068E-03, 0.6610062E-03, 0.6610058E-03, 0.6610056E-03, 0.6610054E-03, 0.6610053E-03, 0.6610053E-03, 0.6610052E-03, 0.6610052E-03, 0.6610052E-03, 0.6610052E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03, 0.6610051E-03,
 0.3300000E+00, 0.3466213E-01, 0.1528060E-01, 0.1188043E-01, 0.1047085E-01, 0.9685121E-02, 0.9158425E-02, 0.8751119E-02, 0.8443456E-02, 0.8200361E-02, 0.8003056E-02, 0.7876006E-02, 0.7776843E-02, 0.7705426E-02, 0.7651516E-02, 0.7604747E-02, 0.7562451E-02, 0.7562451E-02, 0.4242503E-02, 0.2426705E-02, 0.1603631E-02, 0.1202117E-02, 0.9856538E-03, 0.8620279E-03, 0.7888877E-03, 0.7446243E-03, 0.7174414E-03, 0.7005897E-03, 0.6900796E-03, 0.6834997E-03, 0.6793702E-03, 0.6767747E-03, 0.6751417E-03, 0.6741136E-03, 0.6734662E-03, 0.6730583E-03, 0.6728013E-03, 0.6726395E-03, 0.6726395E-03, 0.6725374E-03, 0.6724731E-03, 0.6724326E-03, 0.6724070E-03, 0.6723910E-03, 0.6723808E-03, 0.6723744E-03, 0.6723704E-03, 0.6723679E-03, 0.6723663E-03, 0.6723652E-03, 0.6723646E-03, 0.6723643E-03, 0.6723640E-03, 0.6723639E-03, 0.6723637E-03, 0.6723637E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03, 0.6723636E-03,
 0.3500000E+00, 0.4395652E-01, 0.1704791E-01, 0.1369432E-01, 0.1232087E-01, 0.1157153E-01, 0.1103383E-01, 0.1057366E-01, 0.1026888E-01, 0.1007682E-01, 0.9950983E-02, 0.9848763E-02, 0.9757495E-02, 0.9684755E-02, 0.9629110E-02, 0.9580784E-02, 0.9537375E-02, 0.9537375E-02, 0.5558187E-02, 0.3213741E-02, 0.2137202E-02, 0.1606943E-02, 0.1320011E-02, 0.1156082E-02, 0.1059164E-02, 0.1000559E-02, 0.9645929E-03, 0.9423078E-03, 0.9284141E-03, 0.9197178E-03, 0.9142611E-03, 0.9108316E-03, 0.9086741E-03, 0.9073159E-03, 0.9064605E-03, 0.9059217E-03, 0.9055822E-03, 0.9053683E-03, 0.9053683E-03, 0.9052336E-03, 0.9051486E-03, 0.9050951E-03, 0.9050613E-03, 0.9050401E-03, 0.9050267E-03, 0.9050182E-03, 0.9050129E-03, 0.9050096E-03, 0.9050074E-03, 0.9050061E-03, 0.9050053E-03, 0.9050047E-03, 0.9050044E-03, 0.9050042E-03, 0.9050040E-03, 0.9050040E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03, 0.9050039E-03,
 0.3700000E+00, 0.8698227E-01, 0.3034052E-01, 0.2473347E-01, 0.2246065E-01, 0.2125514E-01, 0.2060177E-01, 0.2024710E-01, 0.1997747E-01, 0.1978838E-01, 0.1966125E-01, 0.1955494E-01, 0.1946058E-01, 0.1938046E-01, 0.1931711E-01, 0.1926246E-01, 0.1921360E-01, 0.1921359E-01, 0.1124799E-01, 0.7354650E-02, 0.5206378E-02, 0.4070707E-02, 0.3435779E-02, 0.3068061E-02, 0.2849507E-02, 0.2717110E-02, 0.2635822E-02, 0.2585456E-02, 0.2554059E-02, 0.2534411E-02, 0.2522084E-02, 0.2514337E-02, 0.2509464E-02, 0.2506396E-02, 0.2504464E-02, 0.2503247E-02, 0.2502480E-02, 0.2501997E-02, 0.2501997E-02, 0.2501692E-02, 0.2501501E-02, 0.2501380E-02, 0.2501304E-02, 0.2501255E-02, 0.2501225E-02, 0.2501206E-02, 0.2501194E-02, 0.2501186E-02, 0.2501182E-02, 0.2501179E-02, 0.2501177E-02, 0.2501176E-02, 0.2501175E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02, 0.2501174E-02,
 0.3900000E+00, 0.1000716E+00, 0.3774818E-01, 0.3280399E-01, 0.3040195E-01, 0.2904831E-01, 0.2828044E-01, 0.2784678E-01, 0.2754383E-01, 0.2733213E-01, 0.2718911E-01, 0.2707822E-01, 0.2698508E-01, 0.2690582E-01, 0.2684213E-01, 0.2678829E-01, 0.2674097E-01, 0.2673897E-01, 0.1361724E-01, 0.9989259E-02, 0.7667801E-02, 0.6243016E-02, 0.5386071E-02, 0.4872134E-02, 0.4561183E-02, 0.4370981E-02, 0.4253558E-02, 0.4180568E-02, 0.4134980E-02, 0.4106417E-02, 0.4088483E-02, 0.4077208E-02, 0.4070113E-02, 0.4065646E-02, 0.4062832E-02, 0.4061060E-02, 0.4059943E-02, 0.4059239E-02, 0.4059239E-02, 0.4058796E-02, 0.4058517E-02, 0.4058341E-02, 0.4058230E-02, 0.4058160E-02, 0.4058116E-02, 0.4058088E-02, 0.4058070E-02, 0.4058059E-02, 0.4058052E-02, 0.4058048E-02, 0.4058045E-02, 0.4058043E-02, 0.4058043E-02, 0.4058042E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02, 0.4058041E-02,
 0.4100000E+00, 0.4569053E-01, 0.2340732E-01, 0.1990165E-01, 0.1825678E-01, 0.1733702E-01, 0.1680749E-01, 0.1650529E-01, 0.1630663E-01, 0.1617073E-01, 0.1607933E-01, 0.1601157E-01, 0.1595682E-01, 0.1591068E-01, 0.1587331E-01, 0.1584217E-01, 0.1581514E-01, 0.1566057E-01, 0.6152194E-02, 0.4800954E-02, 0.3916465E-02, 0.3279299E-02, 0.2863256E-02, 0.2603444E-02, 0.2442828E-02, 0.2343375E-02, 0.2281533E-02, 0.2242923E-02, 0.2218745E-02, 0.2203570E-02, 0.2194033E-02, 0.2188033E-02, 0.2184256E-02, 0.2181877E-02, 0.2180378E-02, 0.2179435E-02, 0.2178840E-02, 0.2178465E-02, 0.2178465E-02, 0.2178228E-02, 0.2178080E-02, 0.2177986E-02, 0.2177927E-02, 0.2177889E-02, 0.2177866E-02, 0.2177851E-02, 0.2177842E-02, 0.2177836E-02, 0.2177832E-02, 0.2177830E-02, 0.2177828E-02, 0.2177828E-02, 0.2177827E-02, 0.2177827E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02, 0.2177826E-02,
 0.4300000E+00, 0.1912702E-01, 0.1082834E-01, 0.9106722E-02, 0.8312455E-02, 0.7870691E-02, 0.7615958E-02, 0.7470584E-02, 0.7376648E-02, 0.7312821E-02, 0.7269960E-02, 0.7238613E-02, 0.7213592E-02, 0.7192585E-02, 0.7175534E-02, 0.7161383E-02, 0.7149158E-02, 0.5728867E-02, 0.1593189E-02, 0.1198486E-02, 0.9341564E-03, 0.7281632E-03, 0.5894498E-03, 0.5018510E-03, 0.4474687E-03, 0.4137398E-03, 0.3927526E-03, 0.3796463E-03, 0.3714378E-03, 0.3662859E-03, 0.3630478E-03, 0.3610106E-03, 0.3597282E-03, 0.3589206E-03, 0.3584118E-03, 0.3580913E-03, 0.3578894E-03, 0.3577621E-03, 0.3577621E-03, 0.3576819E-03, 0.3576314E-03, 0.3575995E-03, 0.3575794E-03, 0.3575668E-03, 0.3575588E-03, 0.3575538E-03, 0.3575506E-03, 0.3575486E-03, 0.3575474E-03, 0.3575466E-03, 0.3575461E-03, 0.3575458E-03, 0.3575456E-03, 0.3575454E-03, 0.3575454E-03, 0.3575453E-03, 0.3575453E-03, 0.3575453E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03, 0.3575452E-03,
