@AKE,AKNCE,AKDWE [m$+2$=/s]  vs r@
X,AKE,AKNCE,AKDWE
 0.0000000E+00, 0.2494811E+00, 0.5560037E-01, 0.1938807E+00,
 0.2000000E-01, 0.2494811E+00, 0.5560037E-01, 0.1938807E+00,
 0.4000000E-01, 0.2981116E+00, 0.1955746E-01, 0.2785541E+00,
 0.6000000E-01, 0.3017509E+00, 0.9711026E-02, 0.2920399E+00,
 0.8000000E-01, 0.2975164E+00, 0.5530496E-02, 0.2919859E+00,
 0.1000000E+00, 0.3028895E+00, 0.3496107E-02, 0.2993934E+00,
 0.1200000E+00, 0.3264050E+00, 0.2454270E-02, 0.3239507E+00,
 0.1400000E+00, 0.3654864E+00, 0.1881944E-02, 0.3636045E+00,
 0.1600000E+00, 0.4072133E+00, 0.1537937E-02, 0.4056754E+00,
 0.1800000E+00, 0.4423740E+00, 0.1305313E-02, 0.4410687E+00,
 0.2000000E+00, 0.4877744E+00, 0.1138868E-02, 0.4866355E+00,
 0.2200000E+00, 0.5583044E+00, 0.1020393E-02, 0.5572841E+00,
 0.2400000E+00, 0.6688733E+00, 0.9356452E-03, 0.6679376E+00,
 0.2600000E+00, 0.8564079E+00, 0.8740290E-03, 0.8555338E+00,
 0.2800000E+00, 0.9110640E+00, 0.8309472E-03, 0.9102331E+00,
 0.3000000E+00, 0.7085314E+00, 0.7869343E-03, 0.7077445E+00,
 0.3200000E+00, 0.6717240E+00, 0.7336611E-03, 0.6709904E+00,
 0.3400000E+00, 0.5464267E+00, 0.6986573E-03, 0.5457280E+00,
 0.3600000E+00, 0.2214988E+00, 0.6488139E-03, 0.2208500E+00,
 0.3800000E+00, 0.1426409E+00, 0.5110215E-03, 0.1421298E+00,
 0.4000000E+00, 0.1903123E+00, 0.4217271E-03, 0.1898905E+00,
 0.4200000E+00, 0.7153418E+00, 0.4300072E-03, 0.7149118E+00,
 0.4400000E+00, 0.7613453E+00, 0.4675643E-03, 0.7608777E+00,
 0.4600000E+00, 0.8445107E+00, 0.5085157E-03, 0.8440022E+00,
 0.4800000E+00, 0.8689166E+00, 0.5532841E-03, 0.8683633E+00,
 0.5000000E+00, 0.8835499E+00, 0.6023236E-03, 0.8829476E+00,
 0.5200000E+00, 0.8989855E+00, 0.6545105E-03, 0.8983310E+00,
 0.5400000E+00, 0.9148998E+00, 0.7098348E-03, 0.9141900E+00,
 0.5600000E+00, 0.9314232E+00, 0.7682823E-03, 0.9306549E+00,
 0.5800000E+00, 0.9484160E+00, 0.8294953E-03, 0.9475865E+00,
 0.6000000E+00, 0.9657996E+00, 0.8933650E-03, 0.9649063E+00,
 0.6200000E+00, 0.9835760E+00, 0.9597710E-03, 0.9826162E+00,
 0.6400000E+00, 0.1001689E+01, 0.1028312E-02, 0.1000661E+01,
 0.6600000E+00, 0.1020333E+01, 0.1098781E-02, 0.1019235E+01,
 0.6800000E+00, 0.1039600E+01, 0.1170329E-02, 0.1038429E+01,
 0.7000000E+00, 0.1059727E+01, 0.1241817E-02, 0.1058485E+01,
 0.7200000E+00, 0.1081133E+01, 0.1311192E-02, 0.1079821E+01,
 0.7400000E+00, 0.1103468E+01, 0.1375223E-02, 0.1102093E+01,
 0.7600000E+00, 0.1126660E+01, 0.1430973E-02, 0.1125229E+01,
 0.7800000E+00, 0.1150140E+01, 0.1474314E-02, 0.1148666E+01,
 0.8000000E+00, 0.1172756E+01, 0.1501851E-02, 0.1171254E+01,
 0.8200000E+00, 0.1199842E+01, 0.1511537E-02, 0.1198331E+01,
 0.8400000E+00, 0.1228405E+01, 0.1496204E-02, 0.1226909E+01,
 0.8600000E+00, 0.1234112E+01, 0.1463493E-02, 0.1232648E+01,
 0.8800000E+00, 0.1254415E+01, 0.1452564E-02, 0.1252963E+01,
 0.9000000E+00, 0.1358946E+01, 0.1455684E-02, 0.1357490E+01,
 0.9200000E+00, 0.1557567E+01, 0.1406442E-02, 0.1556160E+01,
 0.9400000E+00, 0.1663156E+01, 0.1330528E-02, 0.1661826E+01,
 0.9600000E+00, 0.1555490E+01, 0.1384846E-02, 0.1554105E+01,
 0.9800000E+00, 0.1639190E+01, 0.1759447E-02, 0.1637430E+01,
