@AKD,AKNCD,AKDWD [m$+2$=/s]  vs r@
X,AKD,AKNCD,AKDWD
 0.0000000E+00, 0.6801975E+00, 0.5572819E+00, 0.1229156E+00,
 0.2000000E-01, 0.6801975E+00, 0.5572819E+00, 0.1229156E+00,
 0.4000000E-01, 0.3404965E+00, 0.1786897E+00, 0.1618068E+00,
 0.6000000E-01, 0.2644784E+00, 0.8502968E-01, 0.1794488E+00,
 0.8000000E-01, 0.2428963E+00, 0.4726826E-01, 0.1956281E+00,
 0.1000000E+00, 0.2453728E+00, 0.2941125E-01, 0.2159615E+00,
 0.1200000E+00, 0.2631117E+00, 0.2041478E-01, 0.2426969E+00,
 0.1400000E+00, 0.2882602E+00, 0.1552724E-01, 0.2727329E+00,
 0.1600000E+00, 0.3118231E+00, 0.1261776E-01, 0.2992053E+00,
 0.1800000E+00, 0.3303002E+00, 0.1067105E-01, 0.3196291E+00,
 0.2000000E+00, 0.3489421E+00, 0.9295298E-02, 0.3396468E+00,
 0.2200000E+00, 0.3695222E+00, 0.8333389E-02, 0.3611889E+00,
 0.2400000E+00, 0.3890174E+00, 0.7666700E-02, 0.3813507E+00,
 0.2600000E+00, 0.4067056E+00, 0.7208960E-02, 0.3994966E+00,
 0.2800000E+00, 0.4048739E+00, 0.6921253E-02, 0.3979527E+00,
 0.3000000E+00, 0.3830346E+00, 0.6636581E-02, 0.3763980E+00,
 0.3200000E+00, 0.3831885E+00, 0.6281235E-02, 0.3769072E+00,
 0.3400000E+00, 0.3697872E+00, 0.6092588E-02, 0.3636946E+00,
 0.3600000E+00, 0.2967607E+00, 0.5759472E-02, 0.2910012E+00,
 0.3800000E+00, 0.2659421E+00, 0.4596460E-02, 0.2613457E+00,
 0.4000000E+00, 0.3266776E+00, 0.3868815E-02, 0.3228088E+00,
 0.4200000E+00, 0.2214898E+01, 0.3964947E-02, 0.2210933E+01,
 0.4400000E+00, 0.2187544E+01, 0.4189373E-02, 0.2183354E+01,
 0.4600000E+00, 0.2260349E+01, 0.4407278E-02, 0.2255941E+01,
 0.4800000E+00, 0.2326071E+01, 0.4632350E-02, 0.2321438E+01,
 0.5000000E+00, 0.2393046E+01, 0.4878375E-02, 0.2388167E+01,
 0.5200000E+00, 0.2461302E+01, 0.5137549E-02, 0.2456164E+01,
 0.5400000E+00, 0.2529336E+01, 0.5410962E-02, 0.2523926E+01,
 0.5600000E+00, 0.2599828E+01, 0.5698411E-02, 0.2594130E+01,
 0.5800000E+00, 0.2672392E+01, 0.5996810E-02, 0.2666395E+01,
 0.6000000E+00, 0.2746374E+01, 0.6307059E-02, 0.2740067E+01,
 0.6200000E+00, 0.2821808E+01, 0.6631540E-02, 0.2815177E+01,
 0.6400000E+00, 0.2899410E+01, 0.6971643E-02, 0.2892438E+01,
 0.6600000E+00, 0.2981268E+01, 0.7330277E-02, 0.2973938E+01,
 0.6800000E+00, 0.3066795E+01, 0.7708588E-02, 0.3059087E+01,
 0.7000000E+00, 0.3156787E+01, 0.8110018E-02, 0.3148677E+01,
 0.7200000E+00, 0.3252985E+01, 0.8535488E-02, 0.3244449E+01,
 0.7400000E+00, 0.3355415E+01, 0.8981535E-02, 0.3346434E+01,
 0.7600000E+00, 0.3463010E+01, 0.9451038E-02, 0.3453558E+01,
 0.7800000E+00, 0.3572940E+01, 0.9944347E-02, 0.3562995E+01,
 0.8000000E+00, 0.3682270E+01, 0.1047095E-01, 0.3671799E+01,
 0.8200000E+00, 0.3809304E+01, 0.1104858E-01, 0.3798255E+01,
 0.8400000E+00, 0.3939053E+01, 0.1163431E-01, 0.3927418E+01,
 0.8600000E+00, 0.3992905E+01, 0.1229284E-01, 0.3980613E+01,
 0.8800000E+00, 0.4100100E+01, 0.1337213E-01, 0.4086727E+01,
 0.9000000E+00, 0.4490846E+01, 0.1453993E-01, 0.4476306E+01,
 0.9200000E+00, 0.4963109E+01, 0.1460044E-01, 0.4948509E+01,
 0.9400000E+00, 0.3138557E+00, 0.1453317E-01, 0.2993226E+00,
 0.9600000E+00, 0.4716364E+01, 0.1551398E-01, 0.4700850E+01,
 0.9800000E+00, 0.5197320E+01, 0.1914654E-01, 0.5178174E+01,
