@AJBS [MA/m^2]  vs r@
X,AJBS_1,AJBS_2,AJBS_3,AJBS_4,AJBS_5,AJBS_6,AJBS_7,AJBS_8,AJBS_9,AJBS_10,AJBS_11,AJBS_12,AJBS_13,AJBS_14,AJBS_15,AJBS_16,AJBS_17,AJBS_18,AJBS_19,AJBS_20,AJBS_21,AJBS_22,AJBS_23,AJBS_24,AJBS_25,AJBS_26,AJBS_27,AJBS_28,AJBS_29,AJBS_30,AJBS_31,AJBS_32,AJBS_33,AJBS_34,AJBS_35,AJBS_36,AJBS_37,AJBS_38,AJBS_39,AJBS_40,AJBS_41,AJBS_42,AJBS_43,AJBS_44,AJBS_45,AJBS_46,AJBS_47,AJBS_48,AJBS_49,AJBS_50,AJBS_51,AJBS_52,AJBS_53,AJBS_54,AJBS_55,AJBS_56,AJBS_57,AJBS_58,AJBS_59,AJBS_60,AJBS_61,AJBS_62,AJBS_63,AJBS_64,AJBS_65,AJBS_66,AJBS_67,AJBS_68,AJBS_69,AJBS_70,AJBS_71,AJBS_72,AJBS_73,AJBS_74,AJBS_75,AJBS_76,AJBS_77,AJBS_78,AJBS_79,AJBS_80,AJBS_81,AJBS_82,AJBS_83,AJBS_84,AJBS_85,AJBS_86,AJBS_87,AJBS_88,AJBS_89,AJBS_90,AJBS_91,AJBS_92,AJBS_93,AJBS_94,AJBS_95,AJBS_96,AJBS_97,AJBS_98,AJBS_99,AJBS_100,AJBS_101,AJBS_102,AJBS_103
 0.2100000E+00, 0.4094778E-01, 0.4518007E-01, 0.4470553E-01, 0.4092666E-01, 0.3463661E-01, 0.1481765E-01,-0.2165444E-01,-0.5886057E-01,-0.8631989E-01,-0.1038004E+00,-0.1170803E+00,-0.1263957E+00,-0.1334325E+00,-0.1387141E+00,-0.1427518E+00,-0.1459248E+00,-0.1459248E+00,-0.1483534E+00,-0.1501670E+00,-0.1514300E+00,-0.1521672E+00,-0.1523813E+00,-0.1520718E+00,-0.1512518E+00,-0.1499549E+00,-0.1482385E+00,-0.1461900E+00,-0.1439196E+00,-0.1413916E+00,-0.1384099E+00,-0.1349383E+00,-0.1308063E+00,-0.1257405E+00,-0.1200191E+00,-0.1131945E+00,-0.1050371E+00,-0.9621408E-01,-0.9621408E-01,-0.8475902E-01,-0.7288750E-01,-0.5597119E-01,-0.4227787E-01,-0.1133191E-01, 0.4094427E-01, 0.9246796E-01, 0.1441853E+00, 0.1733686E+00, 0.2003223E+00, 0.2252276E+00, 0.2500269E+00, 0.2749934E+00, 0.3003944E+00, 0.3264287E+00, 0.3531141E+00, 0.3804261E+00, 0.4083596E+00, 0.4368440E+00, 0.4657661E+00, 0.4950072E+00, 0.5244695E+00, 0.5540859E+00, 0.5838152E+00, 0.6136330E+00, 0.6435229E+00, 0.6734696E+00, 0.7034557E+00, 0.7334587E+00, 0.7634507E+00, 0.7933978E+00, 0.8232610E+00, 0.8529969E+00, 0.8825584E+00, 0.9118963E+00, 0.9409601E+00, 0.9696991E+00, 0.9980629E+00, 0.1025941E+01, 0.1052831E+01, 0.1078537E+01, 0.1103347E+01, 0.1127518E+01, 0.1151175E+01, 0.1174363E+01, 0.1197084E+01, 0.1219323E+01, 0.1241057E+01, 0.1262265E+01, 0.1282923E+01, 0.1303015E+01, 0.1322525E+01, 0.1341443E+01, 0.1359762E+01, 0.1377478E+01, 0.1394591E+01, 0.1411104E+01, 0.1427021E+01, 0.1442349E+01, 0.1457096E+01, 0.1471273E+01, 0.1484890E+01, 0.1497960E+01, 0.1510496E+01, 0.1522511E+01,
 0.2300000E+00, 0.4385395E-01, 0.4566543E-01, 0.4086361E-01, 0.3208775E-01,-0.9833871E-04,-0.4683167E-01,-0.8923924E-01,-0.1136506E+00,-0.1291605E+00,-0.1401093E+00,-0.1483303E+00,-0.1539714E+00,-0.1578651E+00,-0.1604001E+00,-0.1619328E+00,-0.1627292E+00,-0.1627292E+00,-0.1629588E+00,-0.1627083E+00,-0.1620140E+00,-0.1608943E+00,-0.1593523E+00,-0.1573852E+00,-0.1549979E+00,-0.1522149E+00,-0.1490909E+00,-0.1457282E+00,-0.1422765E+00,-0.1386854E+00,-0.1345210E+00,-0.1299093E+00,-0.1245168E+00,-0.1177290E+00,-0.1107792E+00,-0.1018997E+00,-0.9120781E-01,-0.8129255E-01,-0.8129255E-01,-0.6435989E-01,-0.5734875E-01,-0.2990275E-01, 0.1716724E-01, 0.5942515E-01, 0.1096433E+00, 0.1409418E+00, 0.1623105E+00, 0.1836883E+00, 0.2042568E+00, 0.2241457E+00, 0.2443727E+00, 0.2651510E+00, 0.2867014E+00, 0.3091248E+00, 0.3323691E+00, 0.3564315E+00, 0.3813542E+00, 0.4071166E+00, 0.4336525E+00, 0.4608772E+00, 0.4887086E+00, 0.5170789E+00, 0.5459353E+00, 0.5752358E+00, 0.6049436E+00, 0.6350226E+00, 0.6654344E+00, 0.6961363E+00, 0.7270809E+00, 0.7582154E+00, 0.7894824E+00, 0.8208205E+00, 0.8521649E+00, 0.8834488E+00, 0.9146045E+00, 0.9455636E+00, 0.9762585E+00, 0.1006501E+01, 0.1035600E+01, 0.1063514E+01, 0.1090658E+01, 0.1117289E+01, 0.1143497E+01, 0.1169291E+01, 0.1194643E+01, 0.1219516E+01, 0.1243867E+01, 0.1267658E+01, 0.1290855E+01, 0.1313429E+01, 0.1335359E+01, 0.1356627E+01, 0.1377221E+01, 0.1397135E+01, 0.1416366E+01, 0.1434914E+01, 0.1452785E+01, 0.1469985E+01, 0.1486523E+01, 0.1502411E+01, 0.1517660E+01, 0.1532286E+01, 0.1546304E+01, 0.1559728E+01,
 0.2500000E+00, 0.4699113E-01, 0.4342955E-01, 0.3234784E-01,-0.1580199E-01,-0.7634287E-01,-0.1223157E+00,-0.1462033E+00,-0.1612583E+00,-0.1700962E+00,-0.1755315E+00,-0.1789202E+00,-0.1806834E+00,-0.1812036E+00,-0.1807545E+00,-0.1795508E+00,-0.1777666E+00,-0.1777666E+00,-0.1755792E+00,-0.1730147E+00,-0.1700741E+00,-0.1667639E+00,-0.1630827E+00,-0.1590234E+00,-0.1545850E+00,-0.1497872E+00,-0.1446934E+00,-0.1394549E+00,-0.1344644E+00,-0.1296550E+00,-0.1236924E+00,-0.1181196E+00,-0.1108471E+00,-0.1010530E+00,-0.9445985E-01,-0.8105776E-01,-0.6876633E-01,-0.6497635E-01,-0.6497635E-01,-0.3657001E-01, 0.8650250E-02, 0.4270716E-01, 0.8738200E-01, 0.1177918E+00, 0.1311335E+00, 0.1484307E+00, 0.1639046E+00, 0.1802370E+00, 0.1967260E+00, 0.2133889E+00, 0.2306901E+00, 0.2486358E+00, 0.2671964E+00, 0.2863461E+00, 0.3062313E+00, 0.3270281E+00, 0.3488420E+00, 0.3717164E+00, 0.3956493E+00, 0.4206095E+00, 0.4465522E+00, 0.4734288E+00, 0.5011910E+00, 0.5297902E+00, 0.5591761E+00, 0.5892947E+00, 0.6200873E+00, 0.6514897E+00, 0.6834328E+00, 0.7158423E+00, 0.7486398E+00, 0.7817432E+00, 0.8150679E+00, 0.8485278E+00, 0.8820357E+00, 0.9155046E+00, 0.9488478E+00, 0.9817474E+00, 0.1013316E+01, 0.1043774E+01, 0.1073652E+01, 0.1103184E+01, 0.1132413E+01, 0.1161309E+01, 0.1189810E+01, 0.1217850E+01, 0.1245364E+01, 0.1272297E+01, 0.1298597E+01, 0.1324225E+01, 0.1349146E+01, 0.1373335E+01, 0.1396773E+01, 0.1419447E+01, 0.1441351E+01, 0.1462481E+01, 0.1482842E+01, 0.1502437E+01, 0.1521275E+01, 0.1539369E+01, 0.1556732E+01, 0.1573378E+01, 0.1589326E+01, 0.1604592E+01,
 0.2700000E+00, 0.5051428E-01, 0.3947627E-01,-0.2353399E-01,-0.1070439E+00,-0.1557731E+00,-0.1810651E+00,-0.1952211E+00,-0.2021029E+00,-0.2046310E+00,-0.2047379E+00,-0.2034605E+00,-0.2012475E+00,-0.1982776E+00,-0.1946976E+00,-0.1906049E+00,-0.1861084E+00,-0.1861084E+00,-0.1813683E+00,-0.1762981E+00,-0.1708663E+00,-0.1650584E+00,-0.1588522E+00,-0.1522190E+00,-0.1451323E+00,-0.1375893E+00,-0.1296589E+00,-0.1216281E+00,-0.1153713E+00,-0.1093695E+00,-0.1001908E+00,-0.9722508E-01,-0.8541057E-01,-0.7182547E-01,-0.8046414E-01,-0.6050629E-01,-0.2854390E-01, 0.1219949E-01, 0.1219949E-01, 0.3834473E-01, 0.8380681E-01, 0.1081832E+00, 0.1161754E+00, 0.1298909E+00, 0.1407553E+00, 0.1529374E+00, 0.1651051E+00, 0.1783272E+00, 0.1924205E+00, 0.2074181E+00, 0.2233629E+00, 0.2400385E+00, 0.2571414E+00, 0.2744741E+00, 0.2923218E+00, 0.3111201E+00, 0.3310305E+00, 0.3521500E+00, 0.3745319E+00, 0.3981951E+00, 0.4231331E+00, 0.4493215E+00, 0.4767231E+00, 0.5052898E+00, 0.5349641E+00, 0.5656798E+00, 0.5973630E+00, 0.6299331E+00, 0.6633037E+00, 0.6973837E+00, 0.7320783E+00, 0.7672898E+00, 0.8029183E+00, 0.8388630E+00, 0.8750224E+00, 0.9112950E+00, 0.9475782E+00, 0.9833346E+00, 0.1017510E+01, 0.1050735E+01, 0.1083640E+01, 0.1116413E+01, 0.1149040E+01, 0.1181443E+01, 0.1213523E+01, 0.1245183E+01, 0.1276334E+01, 0.1306897E+01, 0.1336805E+01, 0.1365999E+01, 0.1394435E+01, 0.1422074E+01, 0.1448889E+01, 0.1474859E+01, 0.1499971E+01, 0.1524217E+01, 0.1547595E+01, 0.1570109E+01, 0.1591764E+01, 0.1612571E+01, 0.1632544E+01, 0.1651697E+01, 0.1670049E+01, 0.1687618E+01,
 0.2900000E+00, 0.5399064E-01, 0.2320496E-02,-0.1263778E+00,-0.1839844E+00,-0.2070308E+00,-0.2202401E+00,-0.2247335E+00,-0.2239835E+00,-0.2206486E+00,-0.2159949E+00,-0.2106771E+00,-0.2049886E+00,-0.1989837E+00,-0.1926887E+00,-0.1861031E+00,-0.1793272E+00,-0.1793272E+00,-0.1724307E+00,-0.1651863E+00,-0.1575411E+00,-0.1494363E+00,-0.1407899E+00,-0.1314918E+00,-0.1214025E+00,-0.1103722E+00,-0.9834736E-01,-0.8607873E-01,-0.8390857E-01,-0.7553817E-01,-0.6260126E-01,-0.8621738E-01,-0.7097091E-01,-0.4672114E-01,-0.2601621E-02, 0.2002647E-01, 0.4860992E-01, 0.9458032E-01, 0.9458032E-01, 0.1107549E+00, 0.1155579E+00, 0.1302851E+00, 0.1406979E+00, 0.1526480E+00, 0.1642975E+00, 0.1764634E+00, 0.1889661E+00, 0.2023184E+00, 0.2164574E+00, 0.2314510E+00, 0.2473644E+00, 0.2641867E+00, 0.2818285E+00, 0.3001874E+00, 0.3193222E+00, 0.3394983E+00, 0.3608453E+00, 0.3834387E+00, 0.4073189E+00, 0.4324967E+00, 0.4589610E+00, 0.4866858E+00, 0.5156342E+00, 0.5457616E+00, 0.5770159E+00, 0.6093390E+00, 0.6426660E+00, 0.6769266E+00, 0.7120445E+00, 0.7479391E+00, 0.7845249E+00, 0.8217124E+00, 0.8594091E+00, 0.8975194E+00, 0.9359455E+00, 0.9745879E+00, 0.1013340E+01, 0.1051284E+01, 0.1087337E+01, 0.1122737E+01, 0.1158178E+01, 0.1193769E+01, 0.1229424E+01, 0.1265006E+01, 0.1300375E+01, 0.1335400E+01, 0.1369965E+01, 0.1403969E+01, 0.1437324E+01, 0.1469959E+01, 0.1501811E+01, 0.1532833E+01, 0.1562985E+01, 0.1592238E+01, 0.1620569E+01, 0.1647965E+01, 0.1674418E+01, 0.1699925E+01, 0.1724490E+01, 0.1748119E+01, 0.1770823E+01, 0.1792616E+01, 0.1813515E+01, 0.1833538E+01,
 0.3100000E+00, 0.5685816E-01,-0.1169299E+00,-0.2178030E+00,-0.2370694E+00,-0.2453869E+00,-0.2485379E+00,-0.2445399E+00,-0.2374906E+00,-0.2294896E+00,-0.2212231E+00,-0.2129635E+00,-0.2047973E+00,-0.1966762E+00,-0.1885317E+00,-0.1802902E+00,-0.1721671E+00,-0.1721671E+00,-0.1639518E+00,-0.1553645E+00,-0.1463357E+00,-0.1367350E+00,-0.1263606E+00,-0.1148968E+00,-0.1018292E+00,-0.8629972E-01,-0.6701335E-01,-0.4901543E-01,-0.9083680E-01,-0.8368709E-01,-0.6371403E-01,-0.1133411E-01, 0.6387532E-02, 0.2611089E-01, 0.8077961E-01, 0.1002645E+00, 0.1082251E+00, 0.1152588E+00, 0.1152588E+00, 0.1298054E+00, 0.1384718E+00, 0.1510789E+00, 0.1629049E+00, 0.1750744E+00, 0.1877092E+00, 0.2006454E+00, 0.2140417E+00, 0.2281215E+00, 0.2428609E+00, 0.2583105E+00, 0.2745530E+00, 0.2917476E+00, 0.3100439E+00, 0.3295159E+00, 0.3501073E+00, 0.3718018E+00, 0.3946671E+00, 0.4187418E+00, 0.4440393E+00, 0.4705522E+00, 0.4982582E+00, 0.5271264E+00, 0.5571212E+00, 0.5882043E+00, 0.6203355E+00, 0.6534711E+00, 0.6875640E+00, 0.7225626E+00, 0.7584103E+00, 0.7950451E+00, 0.8323998E+00, 0.8704017E+00, 0.9089734E+00, 0.9480326E+00, 0.9874928E+00, 0.1027264E+01, 0.1067235E+01, 0.1105884E+01, 0.1142472E+01, 0.1178926E+01, 0.1215881E+01, 0.1253319E+01, 0.1291063E+01, 0.1328915E+01, 0.1366692E+01, 0.1404233E+01, 0.1441398E+01, 0.1478064E+01, 0.1514130E+01, 0.1549508E+01, 0.1584126E+01, 0.1617924E+01, 0.1650851E+01, 0.1682870E+01, 0.1713949E+01, 0.1744067E+01, 0.1773209E+01, 0.1801365E+01, 0.1828532E+01, 0.1854712E+01, 0.1879911E+01, 0.1904139E+01, 0.1927410E+01, 0.1949737E+01,
 0.3300000E+00, 0.5941715E-01,-0.2248782E+00,-0.2529672E+00,-0.2499007E+00,-0.2497108E+00,-0.2466504E+00,-0.2388159E+00,-0.2300209E+00,-0.2214624E+00,-0.2133283E+00,-0.2056165E+00,-0.1982778E+00,-0.1912266E+00,-0.1843811E+00,-0.1776737E+00,-0.1706463E+00,-0.1706463E+00,-0.1631567E+00,-0.1556663E+00,-0.1482174E+00,-0.1408322E+00,-0.1335514E+00,-0.1264525E+00,-0.1196698E+00,-0.1133935E+00,-0.1076432E+00,-0.9634549E-01,-0.3518246E-01,-0.1470742E-01, 0.9596158E-03, 0.6955793E-01, 0.9133442E-01, 0.1011423E+00, 0.1015071E+00, 0.1169760E+00, 0.1281424E+00, 0.1354036E+00, 0.1354036E+00, 0.1481918E+00, 0.1586451E+00, 0.1701974E+00, 0.1823838E+00, 0.1946404E+00, 0.2077060E+00, 0.2211847E+00, 0.2352903E+00, 0.2500701E+00, 0.2655555E+00, 0.2817798E+00, 0.2987833E+00, 0.3166875E+00, 0.3356180E+00, 0.3556578E+00, 0.3767941E+00, 0.3989968E+00, 0.4223079E+00, 0.4467591E+00, 0.4723656E+00, 0.4991264E+00, 0.5270272E+00, 0.5560452E+00, 0.5861526E+00, 0.6173189E+00, 0.6495111E+00, 0.6826939E+00, 0.7168289E+00, 0.7518739E+00, 0.7877822E+00, 0.8245023E+00, 0.8619776E+00, 0.9001462E+00, 0.9389411E+00, 0.9782900E+00, 0.1018116E+01, 0.1058336E+01, 0.1098816E+01, 0.1137087E+01, 0.1173426E+01, 0.1210388E+01, 0.1248377E+01, 0.1287190E+01, 0.1326545E+01, 0.1366181E+01, 0.1405876E+01, 0.1445442E+01, 0.1484718E+01, 0.1523570E+01, 0.1561885E+01, 0.1599565E+01, 0.1636531E+01, 0.1672714E+01, 0.1708057E+01, 0.1742512E+01, 0.1776044E+01, 0.1808621E+01, 0.1840222E+01, 0.1870829E+01, 0.1900435E+01, 0.1929032E+01, 0.1956623E+01, 0.1983210E+01, 0.2008801E+01, 0.2033408E+01,
 0.3500000E+00, 0.6198988E-01,-0.1488761E+00,-0.1406452E+00,-0.1234334E+00,-0.7636778E-01,-0.2320531E-01, 0.1337155E-01, 0.3911282E-01, 0.5891802E-01, 0.7515110E-01, 0.8902366E-01, 0.1012283E+00, 0.1122101E+00, 0.1222745E+00, 0.1316319E+00, 0.1408406E+00, 0.1408406E+00, 0.1500920E+00, 0.1589723E+00, 0.1674461E+00, 0.1754649E+00, 0.1829206E+00, 0.1895994E+00, 0.1951003E+00, 0.1987026E+00, 0.1993546E+00, 0.2037815E+00, 0.2894730E+00, 0.3174658E+00, 0.3265124E+00, 0.3166026E+00, 0.3332801E+00, 0.3452856E+00, 0.3490480E+00, 0.3606005E+00, 0.3720149E+00, 0.3806453E+00, 0.3806453E+00, 0.3924947E+00, 0.4042329E+00, 0.4163222E+00, 0.4296974E+00, 0.4434412E+00, 0.4582182E+00, 0.4736559E+00, 0.4899455E+00, 0.5070631E+00, 0.5250563E+00, 0.5439333E+00, 0.5636982E+00, 0.5844294E+00, 0.6062239E+00, 0.6291594E+00, 0.6532390E+00, 0.6784143E+00, 0.7046897E+00, 0.7320751E+00, 0.7605704E+00, 0.7901630E+00, 0.8208289E+00, 0.8525366E+00, 0.8852501E+00, 0.9189324E+00, 0.9535458E+00, 0.9890522E+00, 0.1025413E+01, 0.1062586E+01, 0.1100531E+01, 0.1139199E+01, 0.1178542E+01, 0.1218506E+01, 0.1259031E+01, 0.1300056E+01, 0.1341514E+01, 0.1383330E+01, 0.1425270E+01, 0.1463159E+01, 0.1499672E+01, 0.1537895E+01, 0.1577766E+01, 0.1618793E+01, 0.1660542E+01, 0.1702666E+01, 0.1744894E+01, 0.1787010E+01, 0.1828841E+01, 0.1870248E+01, 0.1911113E+01, 0.1951343E+01, 0.1990855E+01, 0.2029584E+01, 0.2067472E+01, 0.2104471E+01, 0.2140544E+01, 0.2175658E+01, 0.2209789E+01, 0.2242916E+01, 0.2275026E+01, 0.2306111E+01, 0.2336166E+01, 0.2365191E+01, 0.2393191E+01, 0.2420170E+01,
 0.3700000E+00, 0.6137208E-01, 0.2525018E+00, 0.3160796E+00, 0.3636665E+00, 0.4253204E+00, 0.4870917E+00, 0.5314687E+00, 0.5638888E+00, 0.5892458E+00, 0.6101370E+00, 0.6280094E+00, 0.6437353E+00, 0.6578862E+00, 0.6708631E+00, 0.6829537E+00, 0.6941160E+00, 0.6941160E+00, 0.7046405E+00, 0.7148405E+00, 0.7248015E+00, 0.7346168E+00, 0.7443938E+00, 0.7542716E+00, 0.7644469E+00, 0.7752028E+00, 0.7868248E+00, 0.7948174E+00, 0.7727519E+00, 0.7848371E+00, 0.7951830E+00, 0.7935185E+00, 0.8009493E+00, 0.8100778E+00, 0.8154536E+00, 0.8232005E+00, 0.8325935E+00, 0.8409218E+00, 0.8409218E+00, 0.8506887E+00, 0.8614010E+00, 0.8724138E+00, 0.8847002E+00, 0.8976491E+00, 0.9116493E+00, 0.9264914E+00, 0.9422877E+00, 0.9590049E+00, 0.9766877E+00, 0.9953355E+00, 0.1014938E+01, 0.1035539E+01, 0.1057205E+01, 0.1080006E+01, 0.1103956E+01, 0.1129011E+01, 0.1155148E+01, 0.1182359E+01, 0.1210629E+01, 0.1239933E+01, 0.1270238E+01, 0.1301502E+01, 0.1333677E+01, 0.1366717E+01, 0.1400574E+01, 0.1435202E+01, 0.1470556E+01, 0.1506593E+01, 0.1543266E+01, 0.1580529E+01, 0.1618336E+01, 0.1656637E+01, 0.1695378E+01, 0.1734506E+01, 0.1773961E+01, 0.1813680E+01, 0.1853148E+01, 0.1886432E+01, 0.1920042E+01, 0.1956540E+01, 0.1995144E+01, 0.2035050E+01, 0.2075685E+01, 0.2116644E+01, 0.2157640E+01, 0.2198461E+01, 0.2238951E+01, 0.2278987E+01, 0.2318475E+01, 0.2357338E+01, 0.2395513E+01, 0.2432946E+01, 0.2469594E+01, 0.2505417E+01, 0.2540385E+01, 0.2574469E+01, 0.2607649E+01, 0.2639906E+01, 0.2671228E+01, 0.2701604E+01, 0.2731028E+01, 0.2759500E+01, 0.2787018E+01, 0.2813585E+01,
 0.3900000E+00, 0.5756776E-01, 0.4009221E+00, 0.5130785E+00, 0.5803158E+00, 0.6121612E+00, 0.6319860E+00, 0.6517096E+00, 0.6695053E+00, 0.6849089E+00, 0.6983033E+00, 0.7101479E+00, 0.7208088E+00, 0.7305573E+00, 0.7395977E+00, 0.7480846E+00, 0.7560618E+00, 0.7560618E+00, 0.7635648E+00, 0.7708036E+00, 0.7778496E+00, 0.7847563E+00, 0.7915796E+00, 0.7983873E+00, 0.8052719E+00, 0.8123662E+00, 0.8198296E+00, 0.8268983E+00, 0.8199876E+00, 0.8230971E+00, 0.8298140E+00, 0.8321097E+00, 0.8361053E+00, 0.8421660E+00, 0.8472307E+00, 0.8525729E+00, 0.8591180E+00, 0.8655745E+00, 0.8655745E+00, 0.8725287E+00, 0.8802572E+00, 0.8883198E+00, 0.8971682E+00, 0.9065943E+00, 0.9167566E+00, 0.9275811E+00, 0.9391252E+00, 0.9513741E+00, 0.9643643E+00, 0.9781016E+00, 0.9925839E+00, 0.1007834E+01, 0.1023897E+01, 0.1040827E+01, 0.1058648E+01, 0.1077341E+01, 0.1096882E+01, 0.1117263E+01, 0.1138472E+01, 0.1160490E+01, 0.1183290E+01, 0.1206840E+01, 0.1231100E+01, 0.1256031E+01, 0.1281593E+01, 0.1307747E+01, 0.1334455E+01, 0.1361679E+01, 0.1389382E+01, 0.1417526E+01, 0.1446074E+01, 0.1474987E+01, 0.1504224E+01, 0.1533745E+01, 0.1563505E+01, 0.1593453E+01, 0.1622571E+01, 0.1645013E+01, 0.1670308E+01, 0.1698904E+01, 0.1729414E+01, 0.1760942E+01, 0.1792949E+01, 0.1825102E+01, 0.1857185E+01, 0.1889058E+01, 0.1920621E+01, 0.1951801E+01, 0.1982545E+01, 0.2012809E+01, 0.2042554E+01, 0.2071750E+01, 0.2100368E+01, 0.2128384E+01, 0.2155776E+01, 0.2182524E+01, 0.2208611E+01, 0.2234024E+01, 0.2258750E+01, 0.2282780E+01, 0.2306107E+01, 0.2328726E+01, 0.2350636E+01, 0.2371833E+01,
 0.4100000E+00, 0.5694494E-01, 0.1578436E+00, 0.2281588E+00, 0.2656889E+00, 0.2847361E+00, 0.2952556E+00, 0.3047362E+00, 0.3133288E+00, 0.3208521E+00, 0.3274453E+00, 0.3333052E+00, 0.3385966E+00, 0.3434428E+00, 0.3479370E+00, 0.3521497E+00, 0.3561155E+00, 0.3561155E+00, 0.3598360E+00, 0.3633997E+00, 0.3668445E+00, 0.3701952E+00, 0.3734747E+00, 0.3767091E+00, 0.3799314E+00, 0.3831876E+00, 0.3865347E+00, 0.3898623E+00, 0.3889051E+00, 0.3895917E+00, 0.3924400E+00, 0.3942243E+00, 0.3960485E+00, 0.3987783E+00, 0.4013683E+00, 0.4039395E+00, 0.4069789E+00, 0.4100884E+00, 0.4100884E+00, 0.4133741E+00, 0.4169878E+00, 0.4207817E+00, 0.4249056E+00, 0.4292982E+00, 0.4340180E+00, 0.4390389E+00, 0.4443838E+00, 0.4500460E+00, 0.4560416E+00, 0.4623730E+00, 0.4690396E+00, 0.4760483E+00, 0.4834177E+00, 0.4911704E+00, 0.4993196E+00, 0.5078573E+00, 0.5167719E+00, 0.5260569E+00, 0.5357059E+00, 0.5457090E+00, 0.5560529E+00, 0.5667213E+00, 0.5776953E+00, 0.5889555E+00, 0.6004822E+00, 0.6122560E+00, 0.6242583E+00, 0.6364709E+00, 0.6488758E+00, 0.6614555E+00, 0.6741923E+00, 0.6870686E+00, 0.7000662E+00, 0.7131665E+00, 0.7263501E+00, 0.7395945E+00, 0.7520890E+00, 0.7613264E+00, 0.7730343E+00, 0.7864454E+00, 0.8006586E+00, 0.8152117E+00, 0.8298633E+00, 0.8444819E+00, 0.8589926E+00, 0.8733507E+00, 0.8875277E+00, 0.9015039E+00, 0.9152644E+00, 0.9287968E+00, 0.9420904E+00, 0.9551350E+00, 0.9679213E+00, 0.9804405E+00, 0.9926847E+00, 0.1004646E+01, 0.1016319E+01, 0.1027696E+01, 0.1038774E+01, 0.1049547E+01, 0.1060014E+01, 0.1070172E+01, 0.1080019E+01, 0.1089554E+01,
 0.4300000E+00, 0.6052218E-01, 0.6780205E-01, 0.9293301E-01, 0.1064389E+00, 0.1131944E+00, 0.1167501E+00, 0.1197330E+00, 0.1224790E+00, 0.1249578E+00, 0.1271888E+00, 0.1292130E+00, 0.1310687E+00, 0.1327856E+00, 0.1343869E+00, 0.1358905E+00, 0.1373073E+00, 0.1373073E+00, 0.1386366E+00, 0.1399001E+00, 0.1411104E+00, 0.1422757E+00, 0.1434031E+00, 0.1445004E+00, 0.1455764E+00, 0.1466431E+00, 0.1477149E+00, 0.1487815E+00, 0.1489691E+00, 0.1491773E+00, 0.1500061E+00, 0.1506958E+00, 0.1513083E+00, 0.1521484E+00, 0.1529991E+00, 0.1538299E+00, 0.1547733E+00, 0.1557544E+00, 0.1557544E+00, 0.1567766E+00, 0.1578855E+00, 0.1590491E+00, 0.1602980E+00, 0.1616232E+00, 0.1630355E+00, 0.1645309E+00, 0.1661129E+00, 0.1677796E+00, 0.1695333E+00, 0.1713738E+00, 0.1732994E+00, 0.1753099E+00, 0.1774075E+00, 0.1795959E+00, 0.1818767E+00, 0.1842465E+00, 0.1867001E+00, 0.1892331E+00, 0.1918409E+00, 0.1945183E+00, 0.1972592E+00, 0.2000568E+00, 0.2029035E+00, 0.2057920E+00, 0.2087147E+00, 0.2116645E+00, 0.2146347E+00, 0.2176187E+00, 0.2206107E+00, 0.2236047E+00, 0.2265956E+00, 0.2295782E+00, 0.2325476E+00, 0.2354991E+00, 0.2384284E+00, 0.2413303E+00, 0.2438001E+00, 0.2460683E+00, 0.2493664E+00, 0.2528923E+00, 0.2563996E+00, 0.2598206E+00, 0.2631379E+00, 0.2663505E+00, 0.2694621E+00, 0.2724777E+00, 0.2754019E+00, 0.2782388E+00, 0.2809918E+00, 0.2836634E+00, 0.2862557E+00, 0.2887706E+00, 0.2912092E+00, 0.2935727E+00, 0.2958622E+00, 0.2980785E+00, 0.3002227E+00, 0.3022956E+00, 0.3042981E+00, 0.3062314E+00, 0.3080964E+00, 0.3098944E+00, 0.3116266E+00, 0.3132943E+00,
