@BETAa,BETA0,[%],BETAN  vs t@
X,Y1,Y2,Y3
 0.1540000E+00, 0.6709716E+00, 0.1797719E+01, 0.7503828E+00,
 0.1560000E+00, 0.6707252E+00, 0.1797766E+01, 0.7501071E+00,
 0.1580000E+00, 0.6704912E+00, 0.1797813E+01, 0.7498455E+00,
 0.1600000E+00, 0.6702690E+00, 0.1797860E+01, 0.7495970E+00,
 0.1620000E+00, 0.6700581E+00, 0.1797906E+01, 0.7493611E+00,
 0.1640000E+00, 0.6698577E+00, 0.1797953E+01, 0.7491370E+00,
 0.1660000E+00, 0.6696675E+00, 0.1798000E+01, 0.7489243E+00,
 0.1680000E+00, 0.6694870E+00, 0.1798047E+01, 0.7487224E+00,
 0.1700000E+00, 0.6693158E+00, 0.1798093E+01, 0.7485310E+00,
 0.1720000E+00, 0.6691536E+00, 0.1798140E+01, 0.7483495E+00,
 0.1740000E+00, 0.6689999E+00, 0.1798187E+01, 0.7481776E+00,
 0.1760000E+00, 0.6688544E+00, 0.1798233E+01, 0.7480149E+00,
 0.1780000E+00, 0.6687168E+00, 0.1798280E+01, 0.7478611E+00,
 0.1800000E+00, 0.6685870E+00, 0.1798327E+01, 0.7477160E+00,
 0.1820000E+00, 0.6684647E+00, 0.1798374E+01, 0.7475791E+00,
 0.1840000E+00, 0.6683494E+00, 0.1798420E+01, 0.7474502E+00,
 0.1860000E+00, 0.6682411E+00, 0.1798467E+01, 0.7473291E+00,
 0.1880000E+00, 0.6681396E+00, 0.1798514E+01, 0.7472156E+00,
 0.1900000E+00, 0.6680446E+00, 0.1798561E+01, 0.7471094E+00,
 0.1920000E+00, 0.6679560E+00, 0.1798607E+01, 0.7470102E+00,
 0.1940000E+00, 0.6678736E+00, 0.1798654E+01, 0.7469180E+00,
 0.1960000E+00, 0.6677971E+00, 0.1798701E+01, 0.7468326E+00,
 0.1980000E+00, 0.6677266E+00, 0.1798748E+01, 0.7467536E+00,
 0.2000000E+00, 0.6676617E+00, 0.1798795E+01, 0.7466812E+00,
 0.2020000E+00, 0.6676024E+00, 0.1798842E+01, 0.7466148E+00,
 0.2040000E+00, 0.6675485E+00, 0.1798889E+01, 0.7465545E+00,
 0.2060000E+00, 0.6674999E+00, 0.1798936E+01, 0.7465001E+00,
 0.2080000E+00, 0.6674564E+00, 0.1798983E+01, 0.7464516E+00,
 0.2100000E+00, 0.6674181E+00, 0.1799030E+01, 0.7464086E+00,
 0.2120000E+00, 0.6673846E+00, 0.1799077E+01, 0.7463712E+00,
 0.2140000E+00, 0.6673559E+00, 0.1799124E+01, 0.7463391E+00,
 0.2160000E+00, 0.6673320E+00, 0.1799172E+01, 0.7463124E+00,
 0.2180000E+00, 0.6673126E+00, 0.1799219E+01, 0.7462907E+00,
 0.2200000E+00, 0.6672978E+00, 0.1799266E+01, 0.7462742E+00,
 0.2220000E+00, 0.6672874E+00, 0.1799313E+01, 0.7462625E+00,
 0.2240000E+00, 0.6672813E+00, 0.1799361E+01, 0.7462557E+00,
 0.2260000E+00, 0.6672795E+00, 0.1799408E+01, 0.7462537E+00,
 0.2280000E+00, 0.6672818E+00, 0.1799456E+01, 0.7462562E+00,
 0.2300000E+00, 0.6672882E+00, 0.1799503E+01, 0.7462634E+00,
 0.2320000E+00, 0.6672986E+00, 0.1799551E+01, 0.7462751E+00,
 0.2340000E+00, 0.6673129E+00, 0.1799598E+01, 0.7462910E+00,
 0.2360000E+00, 0.6673311E+00, 0.1799646E+01, 0.7463114E+00,
 0.2380000E+00, 0.6673530E+00, 0.1799693E+01, 0.7463359E+00,
 0.2400000E+00, 0.6673786E+00, 0.1799741E+01, 0.7463645E+00,
 0.2420000E+00, 0.6674079E+00, 0.1799789E+01, 0.7463973E+00,
 0.2440000E+00, 0.6674408E+00, 0.1799837E+01, 0.7464340E+00,
 0.2460000E+00, 0.6674771E+00, 0.1799885E+01, 0.7464746E+00,
 0.2480000E+00, 0.6675169E+00, 0.1799932E+01, 0.7465191E+00,
 0.2500000E+00, 0.6675600E+00, 0.1799981E+01, 0.7465674E+00,
 0.2520000E+00, 0.6676066E+00, 0.1800029E+01, 0.7466195E+00,
 0.2540000E+00, 0.6676564E+00, 0.1800076E+01, 0.7466751E+00,
 0.2560000E+00, 0.6677094E+00, 0.1800125E+01, 0.7467344E+00,
 0.2580000E+00, 0.6677655E+00, 0.1800173E+01, 0.7467972E+00,
 0.2600000E+00, 0.6678247E+00, 0.1800221E+01, 0.7468634E+00,
 0.2620000E+00, 0.6678871E+00, 0.1800269E+01, 0.7469332E+00,
 0.2640000E+00, 0.6679524E+00, 0.1800317E+01, 0.7470062E+00,
 0.2660000E+00, 0.6680207E+00, 0.1800366E+01, 0.7470825E+00,
 0.2680000E+00, 0.6680919E+00, 0.1800414E+01, 0.7471622E+00,
 0.2700000E+00, 0.6681660E+00, 0.1800462E+01, 0.7472451E+00,
 0.2720000E+00, 0.6682429E+00, 0.1800511E+01, 0.7473311E+00,
 0.2740000E+00, 0.6683225E+00, 0.1800560E+01, 0.7474201E+00,
 0.2760000E+00, 0.6684049E+00, 0.1800608E+01, 0.7475123E+00,
 0.2780000E+00, 0.6684901E+00, 0.1800657E+01, 0.7476075E+00,
 0.2800000E+00, 0.6685777E+00, 0.1800705E+01, 0.7477055E+00,
 0.2820000E+00, 0.6686682E+00, 0.1800754E+01, 0.7478067E+00,
 0.2840000E+00, 0.6687610E+00, 0.1800803E+01, 0.7479105E+00,
 0.2860000E+00, 0.6688565E+00, 0.1800851E+01, 0.7480173E+00,
 0.2880000E+00, 0.6689545E+00, 0.1800900E+01, 0.7481269E+00,
 0.2900000E+00, 0.6690549E+00, 0.1800949E+01, 0.7482392E+00,
 0.2920000E+00, 0.6691577E+00, 0.1800998E+01, 0.7483541E+00,
 0.2940000E+00, 0.6692629E+00, 0.1801047E+01, 0.7484719E+00,
 0.2960000E+00, 0.6693705E+00, 0.1801096E+01, 0.7485921E+00,
 0.2980000E+00, 0.6694804E+00, 0.1801145E+01, 0.7487150E+00,
 0.3000000E+00, 0.6695926E+00, 0.1801194E+01, 0.7488405E+00,
 0.3020000E+00, 0.6697070E+00, 0.1801243E+01, 0.7489685E+00,
 0.3040000E+00, 0.6698236E+00, 0.1801292E+01, 0.7490989E+00,
 0.3060000E+00, 0.6699424E+00, 0.1801341E+01, 0.7492318E+00,
 0.3080000E+00, 0.6700634E+00, 0.1801391E+01, 0.7493670E+00,
 0.3100000E+00, 0.6701865E+00, 0.1801440E+01, 0.7495047E+00,
