@BETAPa,BETAP0  vs t@
X,BETAPa,BETAP0
 0.2040000E+01, 0.1652371E+00, 0.3129667E+00,
 0.2060000E+01, 0.1655873E+00, 0.3139668E+00,
 0.2080000E+01, 0.1659350E+00, 0.3149624E+00,
 0.2100000E+01, 0.1662802E+00, 0.3159533E+00,
 0.2120000E+01, 0.1666229E+00, 0.3169397E+00,
 0.2140000E+01, 0.1669632E+00, 0.3179216E+00,
 0.2160000E+01, 0.1673011E+00, 0.3188990E+00,
 0.2180000E+01, 0.1676366E+00, 0.3198719E+00,
 0.2200000E+01, 0.1679697E+00, 0.3208404E+00,
 0.2220000E+01, 0.1683004E+00, 0.3218046E+00,
 0.2240000E+01, 0.1686287E+00, 0.3227643E+00,
 0.2260000E+01, 0.1689548E+00, 0.3237197E+00,
 0.2280000E+01, 0.1692784E+00, 0.3246709E+00,
 0.2300000E+01, 0.1695998E+00, 0.3256178E+00,
 0.2320000E+01, 0.1699189E+00, 0.3265604E+00,
 0.2340000E+01, 0.1702358E+00, 0.3274989E+00,
 0.2360000E+01, 0.1705503E+00, 0.3284332E+00,
 0.2380000E+01, 0.1708627E+00, 0.3293633E+00,
 0.2400000E+01, 0.1711728E+00, 0.3302894E+00,
 0.2420000E+01, 0.1714807E+00, 0.3312114E+00,
 0.2440000E+01, 0.1717864E+00, 0.3321294E+00,
 0.2460000E+01, 0.1720900E+00, 0.3330433E+00,
 0.2480000E+01, 0.1723914E+00, 0.3339533E+00,
 0.2500000E+01, 0.1726907E+00, 0.3348593E+00,
 0.2520000E+01, 0.1729878E+00, 0.3357615E+00,
 0.2540000E+01, 0.1732829E+00, 0.3366597E+00,
 0.2560000E+01, 0.1735758E+00, 0.3375541E+00,
 0.2580000E+01, 0.1738667E+00, 0.3384447E+00,
 0.2600000E+01, 0.1741555E+00, 0.3393314E+00,
 0.2620000E+01, 0.1744423E+00, 0.3402144E+00,
 0.2640000E+01, 0.1747271E+00, 0.3410937E+00,
 0.2660000E+01, 0.1750099E+00, 0.3419693E+00,
 0.2680000E+01, 0.1752906E+00, 0.3428411E+00,
 0.2700000E+01, 0.1755694E+00, 0.3437094E+00,
 0.2720000E+01, 0.1758462E+00, 0.3445740E+00,
