point_index,RSU_m,ZSU_m,RSW_m,ZSW_m
  74,  0.67538848E+01, -0.40550675E+01,  0.65780778E+01, -0.44592185E+01
  75,  0.69462919E+01, -0.39372575E+01,  0.67859054E+01, -0.43300314E+01
  76,  0.71290874E+01, -0.38056402E+01,  0.69850936E+01, -0.41851034E+01
  77,  0.73046775E+01, -0.36643496E+01,  0.71796751E+01, -0.40301523E+01
  78,  0.74755011E+01, -0.35173244E+01,  0.73673935E+01, -0.38683755E+01
  79,  0.76439705E+01, -0.33676090E+01,  0.75523720E+01, -0.37035768E+01
  80,  0.78112350E+01, -0.32165565E+01,  0.77364426E+01, -0.35375009E+01
  81,  0.79777226E+01, -0.30646539E+01,  0.79195538E+01, -0.33704493E+01
  82,  0.81434498E+01, -0.29119217E+01,  0.81017895E+01, -0.32024632E+01
  83,  0.83082190E+01, -0.27581489E+01,  0.82830048E+01, -0.30333498E+01
  84,  0.84716740E+01, -0.26029699E+01,  0.84627647E+01, -0.28626854E+01
  85,  0.86331654E+01, -0.24457490E+01,  0.86403971E+01, -0.26897984E+01
  86,  0.87916441E+01, -0.22855010E+01,  0.88147202E+01, -0.25135896E+01
  87,  0.89459743E+01, -0.21212492E+01,  0.89840679E+01, -0.23326166E+01
  88,  0.90948811E+01, -0.19520580E+01,  0.91480446E+01, -0.21467371E+01
  89,  0.92390490E+01, -0.17788540E+01,  0.93064394E+01, -0.19560996E+01
  90,  0.93775129E+01, -0.16010058E+01,  0.94581585E+01, -0.17601597E+01
  91,  0.95085945E+01, -0.14176967E+01,  0.96031866E+01, -0.15591775E+01
  92,  0.96347218E+01, -0.12309219E+01,  0.97417049E+01, -0.13536341E+01
  93,  0.97526350E+01, -0.10388653E+01,  0.98715992E+01, -0.11425484E+01
  94,  0.98610544E+01, -0.84129322E+00,  0.99907913E+01, -0.92523915E+00
  95,  0.99587374E+01, -0.63820183E+00,  0.10098074E+02, -0.70183325E+00
  96,  0.10045492E+02, -0.43020949E+00,  0.10193810E+02, -0.47320649E+00
  97,  0.10122048E+02, -0.21825594E+00,  0.10277991E+02, -0.24009740E+00
  98,  0.10187137E+02, -0.25125225E-02,  0.10349125E+02, -0.26547494E-02
  99,  0.10238172E+02,  0.21699551E+00,  0.10405490E+02,  0.23863699E+00
 100,  0.10275434E+02,  0.43920568E+00,  0.10446690E+02,  0.48299173E+00
 101,  0.10301031E+02,  0.66313875E+00,  0.10475418E+02,  0.72939885E+00
