theta_rad / psi_index,   1,   2,   3,   4,   5,   6,   7,   8,   9,  10,  11,  12,  13,  14,  15,  16,  17,  18,  19,  20,  21,  22,  23,  24,  25,  26,  27,  28,  29,  30,  31,  32,  33,  34,  35,  36,  37,  38,  39,  40,  41,  42,  43,  44,  45,  46,  47,  48,  49,  50
  0.98174770E+00,  0.85609226E+01,  0.85864201E+01,  0.86108370E+01,  0.86343956E+01,  0.86570225E+01,  0.86789007E+01,  0.87002430E+01,  0.87211266E+01,  0.87414923E+01,  0.87613697E+01,  0.87806835E+01,  0.87994061E+01,  0.88175230E+01,  0.88350077E+01,  0.88518667E+01,  0.88681097E+01,  0.88837843E+01,  0.88988600E+01,  0.89133539E+01,  0.89272919E+01,  0.89401979E+01,  0.89531612E+01,  0.89690981E+01,  0.89862690E+01,  0.90027056E+01,  0.90180378E+01,  0.90323849E+01,  0.90456715E+01,  0.90577784E+01,  0.90685940E+01,  0.90779724E+01,  0.90857430E+01,  0.90916948E+01,  0.90955515E+01,  0.90969572E+01,  0.90954227E+01,  0.90902605E+01,  0.90804920E+01,  0.90647631E+01,  0.90406780E+01,  0.90039988E+01,  0.89460173E+01,  0.88473749E+01,  0.87343531E+01,  0.87372370E+01,  0.87401209E+01,  0.87430058E+01,  0.87458897E+01,  0.87487736E+01,  0.87516575E+01
  0.10799225E+01,  0.85609226E+01,  0.85829468E+01,  0.86037426E+01,  0.86235046E+01,  0.86421633E+01,  0.86599722E+01,  0.86771717E+01,  0.86938105E+01,  0.87099037E+01,  0.87254486E+01,  0.87403345E+01,  0.87545395E+01,  0.87680540E+01,  0.87808504E+01,  0.87929115E+01,  0.88042812E+01,  0.88149786E+01,  0.88248730E+01,  0.88341208E+01,  0.88430595E+01,  0.88510656E+01,  0.88584213E+01,  0.88688698E+01,  0.88812666E+01,  0.88929968E+01,  0.89034214E+01,  0.89126978E+01,  0.89207497E+01,  0.89274549E+01,  0.89327059E+01,  0.89363317E+01,  0.89381371E+01,  0.89378910E+01,  0.89352827E+01,  0.89299116E+01,  0.89212303E+01,  0.89084692E+01,  0.88905306E+01,  0.88659039E+01,  0.88318768E+01,  0.87835417E+01,  0.87107248E+01,  0.85916033E+01,  0.84569435E+01,  0.84552145E+01,  0.84534855E+01,  0.84517565E+01,  0.84500275E+01,  0.84482985E+01,  0.84465685E+01
  0.11780972E+01,  0.85609226E+01,  0.85790319E+01,  0.85957909E+01,  0.86113110E+01,  0.86255865E+01,  0.86389322E+01,  0.86515856E+01,  0.86636057E+01,  0.86750631E+01,  0.86858912E+01,  0.86959820E+01,  0.87053242E+01,  0.87138939E+01,  0.87216206E+01,  0.87285023E+01,  0.87345800E+01,  0.87399521E+01,  0.87445822E+01,  0.87483492E+01,  0.87513733E+01,  0.87533855E+01,  0.87556009E+01,  0.87611485E+01,  0.87681379E+01,  0.87742968E+01,  0.87794447E+01,  0.87834415E+01,  0.87859802E+01,  0.87869854E+01,  0.87864037E+01,  0.87840290E+01,  0.87796392E+01,  0.87729826E+01,  0.87637205E+01,  0.87514133E+01,  0.87354574E+01,  0.87150106E+01,  0.86888418E+01,  0.86552820E+01,  0.86112423E+01,  0.85512304E+01,  0.84640818E+01,  0.83261385E+01,  0.81708450E+01,  0.81643581E+01,  0.81578712E+01,  0.81513853E+01,  0.81448984E+01,  0.81384115E+01,  0.81319246E+01
  0.12762720E+01,  0.85609226E+01,  0.85746632E+01,  0.85869560E+01,  0.85978079E+01,  0.86073027E+01,  0.86158009E+01,  0.86235275E+01,  0.86305971E+01,  0.86370649E+01,  0.86428337E+01,  0.86478090E+01,  0.86519594E+01,  0.86552238E+01,  0.86575480E+01,  0.86589413E+01,  0.86594820E+01,  0.86592760E+01,  0.86580353E+01,  0.86558075E+01,  0.86533213E+01,  0.86496725E+01,  0.86448116E+01,  0.86443748E+01,  0.86467113E+01,  0.86477280E+01,  0.86470280E+01,  0.86452532E+01,  0.86420631E+01,  0.86371546E+01,  0.86304865E+01,  0.86218834E+01,  0.86110849E+01,  0.85978184E+01,  0.85817232E+01,  0.85623207E+01,  0.85389595E+01,  0.85107193E+01,  0.84762640E+01,  0.84337635E+01,  0.83799181E+01,  0.83086996E+01,  0.82076263E+01,  0.80511818E+01,  0.78754954E+01,  0.78640971E+01,  0.78526988E+01,  0.78413005E+01,  0.78299022E+01,  0.78185039E+01,  0.78071055E+01
  0.13744468E+01,  0.85609226E+01,  0.85698566E+01,  0.85772629E+01,  0.85830574E+01,  0.85874147E+01,  0.85907154E+01,  0.85931931E+01,  0.85950127E+01,  0.85961828E+01,  0.85966043E+01,  0.85961800E+01,  0.85948353E+01,  0.85925045E+01,  0.85891628E+01,  0.85848007E+01,  0.85794773E+01,  0.85732393E+01,  0.85659857E+01,  0.85578642E+01,  0.85489607E+01,  0.85384750E+01,  0.85282192E+01,  0.85223751E+01,  0.85182285E+01,  0.85130043E+01,  0.85067883E+01,  0.84992914E+01,  0.84900093E+01,  0.84789305E+01,  0.84659786E+01,  0.84508963E+01,  0.84334469E+01,  0.84133425E+01,  0.83901939E+01,  0.83634958E+01,  0.83325529E+01,  0.82963867E+01,  0.82535839E+01,  0.82021770E+01,  0.81386347E+01,  0.80563936E+01,  0.79417367E+01,  0.77672567E+01,  0.75711603E+01,  0.75547009E+01,  0.75382419E+01,  0.75217824E+01,  0.75053229E+01,  0.74888635E+01,  0.74724045E+01
  0.14726216E+01,  0.85609226E+01,  0.85646839E+01,  0.85668411E+01,  0.85672493E+01,  0.85661716E+01,  0.85639982E+01,  0.85609818E+01,  0.85573092E+01,  0.85529470E+01,  0.85477924E+01,  0.85417252E+01,  0.85346451E+01,  0.85264969E+01,  0.85172501E+01,  0.85068760E+01,  0.84954195E+01,  0.84830036E+01,  0.84695969E+01,  0.84549990E+01,  0.84394779E+01,  0.84230881E+01,  0.84062386E+01,  0.83932037E+01,  0.83832026E+01,  0.83726234E+01,  0.83604918E+01,  0.83467693E+01,  0.83312445E+01,  0.83137665E+01,  0.82942171E+01,  0.82723780E+01,  0.82479897E+01,  0.82207460E+01,  0.81902428E+01,  0.81559534E+01,  0.81171503E+01,  0.80727987E+01,  0.80214300E+01,  0.79609504E+01,  0.78875718E+01,  0.77943435E+01,  0.76663861E+01,  0.74732752E+01,  0.72563162E+01,  0.72346210E+01,  0.72129259E+01,  0.71912313E+01,  0.71695361E+01,  0.71478410E+01,  0.71261458E+01
  0.15707963E+01,  0.85609226E+01,  0.85592947E+01,  0.85559664E+01,  0.85507736E+01,  0.85440607E+01,  0.85362368E+01,  0.85275736E+01,  0.85182505E+01,  0.85082083E+01,  0.84973192E+01,  0.84854422E+01,  0.84724617E+01,  0.84583282E+01,  0.84429989E+01,  0.84264355E+01,  0.84086952E+01,  0.83899307E+01,  0.83700638E+01,  0.83488293E+01,  0.83267441E+01,  0.83037415E+01,  0.82797470E+01,  0.82603521E+01,  0.82446785E+01,  0.82281694E+01,  0.82097912E+01,  0.81897449E+01,  0.81677313E+01,  0.81435595E+01,  0.81171293E+01,  0.80882082E+01,  0.80565233E+01,  0.80217562E+01,  0.79834857E+01,  0.79411635E+01,  0.78940320E+01,  0.78410177E+01,  0.77805767E+01,  0.77105322E+01,  0.76268744E+01,  0.75222268E+01,  0.73804255E+01,  0.71683135E+01,  0.69273539E+01,  0.69001884E+01,  0.68730230E+01,  0.68458571E+01,  0.68186917E+01,  0.67915263E+01,  0.67643604E+01
  0.16689711E+01,  0.85609226E+01,  0.85539026E+01,  0.85450506E+01,  0.85342064E+01,  0.85218058E+01,  0.85082788E+01,  0.84939232E+01,  0.84789028E+01,  0.84631310E+01,  0.84464531E+01,  0.84287024E+01,  0.84097548E+01,  0.83895588E+01,  0.83680658E+01,  0.83452320E+01,  0.83211164E+01,  0.82958822E+01,  0.82694321E+01,  0.82414980E+01,  0.82126780E+01,  0.81828337E+01,  0.81519470E+01,  0.81262083E+01,  0.81045961E+01,  0.80820198E+01,  0.80573587E+01,  0.80308409E+01,  0.80021429E+01,  0.79710598E+01,  0.79374828E+01,  0.79011641E+01,  0.78618150E+01,  0.78190985E+01,  0.77725706E+01,  0.77216544E+01,  0.76655545E+01,  0.76031408E+01,  0.75328016E+01,  0.74522591E+01,  0.73572669E+01,  0.72399716E+01,  0.70829668E+01,  0.68490496E+01,  0.65797229E+01,  0.65467763E+01,  0.65138297E+01,  0.64808836E+01,  0.64479370E+01,  0.64149904E+01,  0.63820438E+01
  0.17671459E+01,  0.85609226E+01,  0.85487280E+01,  0.85345364E+01,  0.85181875E+01,  0.85002260E+01,  0.84811010E+01,  0.84611378E+01,  0.84405012E+01,  0.84190731E+01,  0.83966789E+01,  0.83731241E+01,  0.83482695E+01,  0.83220654E+01,  0.82944565E+01,  0.82653856E+01,  0.82349215E+01,  0.82032604E+01,  0.81702557E+01,  0.81355848E+01,  0.81000881E+01,  0.80634623E+01,  0.80254107E+01,  0.79933171E+01,  0.79659891E+01,  0.79374485E+01,  0.79064488E+01,  0.78734388E+01,  0.78380251E+01,  0.77999477E+01,  0.77591004E+01,  0.77152152E+01,  0.76679792E+01,  0.76170259E+01,  0.75618753E+01,  0.75019059E+01,  0.74362612E+01,  0.73637271E+01,  0.72825828E+01,  0.71904054E+01,  0.70826545E+01,  0.69509373E+01,  0.67766109E+01,  0.65197954E+01,  0.62295175E+01,  0.61907473E+01,  0.61519771E+01,  0.61132069E+01,  0.60744362E+01,  0.60356660E+01,  0.59968958E+01
  0.18653206E+01,  0.85609226E+01,  0.85439348E+01,  0.85247688E+01,  0.85032568E+01,  0.84800396E+01,  0.84555750E+01,  0.84302320E+01,  0.84042072E+01,  0.83773336E+01,  0.83494368E+01,  0.83202972E+01,  0.82897453E+01,  0.82577381E+01,  0.82242193E+01,  0.81891041E+01,  0.81524677E+01,  0.81145725E+01,  0.80752602E+01,  0.80339689E+01,  0.79918580E+01,  0.79490633E+01,  0.79040532E+01,  0.78650136E+01,  0.78318887E+01,  0.77978454E+01,  0.77608671E+01,  0.77215133E+01,  0.76795211E+01,  0.76346393E+01,  0.75867033E+01,  0.75354247E+01,  0.74804683E+01,  0.74214325E+01,  0.73577967E+01,  0.72888861E+01,  0.72137771E+01,  0.71311650E+01,  0.70392170E+01,  0.69353929E+01,  0.68149567E+01,  0.66693921E+01,  0.64808960E+01,  0.62168503E+01,  0.59354949E+01,  0.58918347E+01,  0.58481750E+01,  0.58045154E+01,  0.57608557E+01,  0.57171960E+01,  0.56735363E+01
