Z_m / R_m,  0.35000000E+01,  0.35671875E+01,  0.36343751E+01,  0.37015624E+01,  0.37687500E+01,  0.38359375E+01,  0.39031250E+01,  0.39703126E+01,  0.40374999E+01,  0.41046877E+01,  0.41718750E+01,  0.42390623E+01,  0.43062501E+01,  0.43734374E+01,  0.44406252E+01,  0.45078125E+01,  0.45749998E+01,  0.46421876E+01,  0.47093749E+01,  0.47765627E+01,  0.48437500E+01,  0.49109373E+01,  0.49781251E+01,  0.50453124E+01,  0.51125002E+01,  0.51796875E+01,  0.52468748E+01,  0.53140626E+01,  0.53812499E+01,  0.54484377E+01,  0.55156250E+01,  0.55828123E+01,  0.56500001E+01,  0.57171874E+01,  0.57843752E+01,  0.58515625E+01,  0.59187498E+01,  0.59859376E+01,  0.60531249E+01,  0.61203127E+01,  0.61875000E+01,  0.62546873E+01,  0.63218751E+01,  0.63890624E+01,  0.64562502E+01,  0.65234375E+01,  0.65906248E+01,  0.66578126E+01,  0.67249999E+01,  0.67921877E+01,  0.68593750E+01,  0.69265623E+01,  0.69937501E+01,  0.70609374E+01,  0.71281252E+01,  0.71953125E+01,  0.72624998E+01,  0.73296876E+01,  0.73968749E+01,  0.74640627E+01,  0.75312500E+01,  0.75984373E+01,  0.76656251E+01,  0.77328124E+01,  0.78000002E+01,  0.78671875E+01,  0.79343748E+01,  0.80015621E+01,  0.80687504E+01,  0.81359377E+01,  0.82031250E+01,  0.82703123E+01,  0.83374996E+01,  0.84046879E+01,  0.84718752E+01,  0.85390625E+01,  0.86062498E+01,  0.86734371E+01,  0.87406254E+01,  0.88078127E+01,  0.88750000E+01,  0.89421873E+01,  0.90093746E+01,  0.90765629E+01,  0.91437502E+01,  0.92109375E+01,  0.92781248E+01,  0.93453121E+01,  0.94125004E+01,  0.94796877E+01,  0.95468750E+01,  0.96140623E+01,  0.96812496E+01,  0.97484379E+01,  0.98156252E+01,  0.98828125E+01,  0.99499998E+01,  0.10017187E+02,  0.10084375E+02,  0.10151563E+02,  0.10218750E+02,  0.10285937E+02,  0.10353125E+02,  0.10420313E+02,  0.10487500E+02,  0.10554688E+02,  0.10621875E+02,  0.10689062E+02,  0.10756250E+02,  0.10823438E+02,  0.10890625E+02,  0.10957812E+02,  0.11025000E+02,  0.11092188E+02,  0.11159375E+02,  0.11226562E+02,  0.11293750E+02,  0.11360937E+02,  0.11428125E+02,  0.11495313E+02,  0.11562500E+02,  0.11629687E+02,  0.11696875E+02,  0.11764063E+02,  0.11831250E+02,  0.11898438E+02,  0.11965625E+02,  0.12032812E+02,  0.12100000E+02
 -0.80000000E+01, -0.93151642E+02, -0.91951843E+02, -0.89756310E+02, -0.87579391E+02, -0.85123550E+02, -0.82445297E+02, -0.79509773E+02, -0.76311081E+02, -0.72841011E+02, -0.69098228E+02, -0.65086426E+02, -0.60815224E+02, -0.56299950E+02, -0.51561581E+02, -0.46626331E+02, -0.41525074E+02, -0.36292625E+02, -0.30967016E+02, -0.25588524E+02, -0.20198709E+02, -0.14839451E+02, -0.95518150E+01, -0.43750319E+01,  0.65448421E+00,  0.55040569E+01,  0.10145429E+02,  0.14555331E+02,  0.18715656E+02,  0.22613506E+02,  0.26240953E+02,  0.29594494E+02,  0.32674603E+02,  0.35484985E+02,  0.38031879E+02,  0.40323475E+02,  0.42369312E+02,  0.44179775E+02,  0.45765732E+02,  0.47138233E+02,  0.48308296E+02,  0.49286789E+02,  0.50084373E+02,  0.50711491E+02,  0.51178356E+02,  0.51495041E+02,  0.51671535E+02,  0.51717754E+02,  0.51643642E+02,  0.51459202E+02,  0.51174515E+02,  0.50799751E+02,  0.50345146E+02,  0.49820992E+02,  0.49237576E+02,  0.48605106E+02,  0.47933620E+02,  0.47232918E+02,  0.46512486E+02,  0.45781349E+02,  0.45048012E+02,  0.44320366E+02,  0.43605618E+02,  0.42910221E+02,  0.42239841E+02,  0.41599339E+02,  0.40992744E+02,  0.40423306E+02,  0.39893486E+02,  0.39405045E+02,  0.38959076E+02,  0.38556091E+02,  0.38196075E+02,  0.37878578E+02,  0.37602791E+02,  0.37367592E+02,  0.37171642E+02,  0.37013412E+02,  0.36891273E+02,  0.36803501E+02,  0.36748344E+02,  0.36724041E+02,  0.36728840E+02,  0.36761040E+02,  0.36818989E+02,  0.36901096E+02,  0.37005840E+02,  0.37131794E+02,  0.37277596E+02,  0.37441963E+02,  0.37623714E+02,  0.37821728E+02,  0.38034966E+02,  0.38262474E+02,  0.38503353E+02,  0.38756790E+02,  0.39022022E+02,  0.39298355E+02,  0.39585148E+02,  0.39881809E+02,  0.40187813E+02,  0.40502659E+02,  0.40825901E+02,  0.41157139E+02,  0.41496002E+02,  0.41842155E+02,  0.42195301E+02,  0.42555172E+02,  0.42921520E+02,  0.43294144E+02,  0.43672844E+02,  0.44057457E+02,  0.44447845E+02,  0.44843891E+02,  0.45245487E+02,  0.45652546E+02,  0.46065018E+02,  0.46482845E+02,  0.46905998E+02,  0.47334469E+02,  0.47768238E+02,  0.48207336E+02,  0.48651806E+02,  0.49101578E+02,  0.49557102E+02,  0.50016964E+02,  0.50486740E+02,  0.50945957E+02,  0.51471401E+02,  0.51776886E+02
 -0.78750000E+01, -0.88965240E+02, -0.87598831E+02, -0.85146568E+02, -0.82803062E+02, -0.80227203E+02, -0.77491852E+02, -0.74562035E+02, -0.71435432E+02, -0.68105286E+02, -0.64570824E+02, -0.60834896E+02, -0.56904778E+02, -0.52791992E+02, -0.48512268E+02, -0.44085232E+02, -0.39534016E+02, -0.34884777E+02, -0.30166071E+02, -0.25408274E+02, -0.20642775E+02, -0.15901274E+02, -0.11215090E+02, -0.66143017E+01, -0.21271353E+01,  0.22206709E+01,  0.64063306E+01,  0.10410435E+02,  0.14217146E+02,  0.17814198E+02,  0.21192904E+02,  0.24347876E+02,  0.27276718E+02,  0.29979679E+02,  0.32459221E+02,  0.34719585E+02,  0.36766499E+02,  0.38606693E+02,  0.40247711E+02,  0.41697628E+02,  0.42964840E+02,  0.44057976E+02,  0.44985733E+02,  0.45756874E+02,  0.46380196E+02,  0.46864471E+02,  0.47218502E+02,  0.47451130E+02,  0.47571194E+02,  0.47587608E+02,  0.47509342E+02,  0.47345360E+02,  0.47104691E+02,  0.46796329E+02,  0.46429237E+02,  0.46012249E+02,  0.45554058E+02,  0.45063133E+02,  0.44547619E+02,  0.44015343E+02,  0.43473682E+02,  0.42929523E+02,  0.42389214E+02,  0.41858521E+02,  0.41342602E+02,  0.40845966E+02,  0.40372498E+02,  0.39925442E+02,  0.39507435E+02,  0.39120529E+02,  0.38766239E+02,  0.38445580E+02,  0.38159115E+02,  0.37907028E+02,  0.37689148E+02,  0.37505032E+02,  0.37353985E+02,  0.37235126E+02,  0.37147434E+02,  0.37089767E+02,  0.37060909E+02,  0.37059593E+02,  0.37084534E+02,  0.37134430E+02,  0.37208004E+02,  0.37304005E+02,  0.37421207E+02,  0.37558437E+02,  0.37714569E+02,  0.37888527E+02,  0.38079300E+02,  0.38285919E+02,  0.38507492E+02,  0.38743168E+02,  0.38992157E+02,  0.39253723E+02,  0.39527180E+02,  0.39811905E+02,  0.40107304E+02,  0.40412842E+02,  0.40728024E+02,  0.41052391E+02,  0.41385536E+02,  0.41727077E+02,  0.42076672E+02,  0.42434013E+02,  0.42798820E+02,  0.43170849E+02,  0.43549881E+02,  0.43935715E+02,  0.44328201E+02,  0.44727177E+02,  0.45132538E+02,  0.45544193E+02,  0.45962048E+02,  0.46386066E+02,  0.46816231E+02,  0.47252499E+02,  0.47694893E+02,  0.48143452E+02,  0.48598209E+02,  0.49059235E+02,  0.49526646E+02,  0.50000427E+02,  0.50481136E+02,  0.50967331E+02,  0.51465050E+02,  0.51952530E+02,  0.52511902E+02,  0.52837570E+02
 -0.77500000E+01, -0.84932648E+02, -0.83441650E+02, -0.80801971E+02, -0.78346069E+02, -0.75698723E+02, -0.72944611E+02, -0.70047913E+02, -0.67008263E+02, -0.63819313E+02, -0.60480141E+02, -0.56992409E+02, -0.53361252E+02, -0.49595070E+02, -0.45705429E+02, -0.41706886E+02, -0.37616695E+02, -0.33454426E+02, -0.29241558E+02, -0.25000999E+02, -0.20756535E+02, -0.16532328E+02, -0.12352356E+02, -0.82398605E+01, -0.42169094E+01, -0.30390507E+00,  0.34807608E+01,  0.71209702E+01,  0.10603106E+02,  0.13916084E+02,  0.17051369E+02,  0.20002901E+02,  0.22766926E+02,  0.25341742E+02,  0.27727499E+02,  0.29925978E+02,  0.31940252E+02,  0.33774479E+02,  0.35433716E+02,  0.36923695E+02,  0.38250660E+02,  0.39421268E+02,  0.40442459E+02,  0.41321400E+02,  0.42065414E+02,  0.42681957E+02,  0.43178608E+02,  0.43563023E+02,  0.43842903E+02,  0.44026058E+02,  0.44120327E+02,  0.44133575E+02,  0.44073658E+02,  0.43948433E+02,  0.43765678E+02,  0.43533077E+02,  0.43258171E+02,  0.42948273E+02,  0.42610485E+02,  0.42251595E+02,  0.41878048E+02,  0.41495888E+02,  0.41110744E+02,  0.40727776E+02,  0.40351662E+02,  0.39986576E+02,  0.39636185E+02,  0.39303658E+02,  0.38991665E+02,  0.38702408E+02,  0.38437626E+02,  0.38198662E+02,  0.37986465E+02,  0.37801636E+02,  0.37644474E+02,  0.37515015E+02,  0.37413063E+02,  0.37338219E+02,  0.37289944E+02,  0.37267555E+02,  0.37270279E+02,  0.37297260E+02,  0.37347603E+02,  0.37420364E+02,  0.37514599E+02,  0.37629345E+02,  0.37763660E+02,  0.37916607E+02,  0.38087288E+02,  0.38274818E+02,  0.38478363E+02,  0.38697113E+02,  0.38930309E+02,  0.39177227E+02,  0.39437180E+02,  0.39709530E+02,  0.39993679E+02,  0.40289062E+02,  0.40595165E+02,  0.40911503E+02,  0.41237633E+02,  0.41573147E+02,  0.41917671E+02,  0.42270859E+02,  0.42632408E+02,  0.43002041E+02,  0.43379501E+02,  0.43764576E+02,  0.44157070E+02,  0.44556816E+02,  0.44963680E+02,  0.45377537E+02,  0.45798298E+02,  0.46225906E+02,  0.46660301E+02,  0.47101482E+02,  0.47549450E+02,  0.48004223E+02,  0.48465843E+02,  0.48934410E+02,  0.49410011E+02,  0.49892757E+02,  0.50382820E+02,  0.50880276E+02,  0.51385765E+02,  0.51897808E+02,  0.52422947E+02,  0.52938126E+02,  0.53530697E+02,  0.53876118E+02
 -0.76250000E+01, -0.80897301E+02, -0.79320946E+02, -0.76558060E+02, -0.74039215E+02, -0.71364525E+02, -0.68626709E+02, -0.65788918E+02, -0.62851742E+02, -0.59808662E+02, -0.56658180E+02, -0.53400719E+02, -0.50039513E+02, -0.46580303E+02, -0.43031345E+02, -0.39403267E+02, -0.35708778E+02, -0.31962435E+02, -0.28180357E+02, -0.24379803E+02, -0.20578823E+02, -0.16795891E+02, -0.13049457E+02, -0.93575640E+01, -0.57375393E+01, -0.22056165E+01,  0.12233428E+01,  0.45360265E+01,  0.77208400E+01,  0.10768037E+02,  0.13669729E+02,  0.16419836E+02,  0.19014034E+02,  0.21449659E+02,  0.23725542E+02,  0.25841841E+02,  0.27799904E+02,  0.29602112E+02,  0.31251682E+02,  0.32752560E+02,  0.34109261E+02,  0.35326832E+02,  0.36410679E+02,  0.37366505E+02,  0.38200333E+02,  0.38918358E+02,  0.39526924E+02,  0.40032558E+02,  0.40441872E+02,  0.40761574E+02,  0.40998455E+02,  0.41159294E+02,  0.41250923E+02,  0.41280155E+02,  0.41253704E+02,  0.41178265E+02,  0.41060345E+02,  0.40906311E+02,  0.40722351E+02,  0.40514362E+02,  0.40287994E+02,  0.40048592E+02,  0.39801125E+02,  0.39550228E+02,  0.39300125E+02,  0.39054657E+02,  0.38817257E+02,  0.38590946E+02,  0.38378349E+02,  0.38181705E+02,  0.38002880E+02,  0.37843388E+02,  0.37704418E+02,  0.37586864E+02,  0.37491341E+02,  0.37418224E+02,  0.37367680E+02,  0.37339680E+02,  0.37334049E+02,  0.37350468E+02,  0.37388515E+02,  0.37447674E+02,  0.37527367E+02,  0.37626961E+02,  0.37745785E+02,  0.37883141E+02,  0.38038334E+02,  0.38210644E+02,  0.38399372E+02,  0.38603832E+02,  0.38823341E+02,  0.39057251E+02,  0.39304932E+02,  0.39565781E+02,  0.39839226E+02,  0.40124722E+02,  0.40421757E+02,  0.40729851E+02,  0.41048557E+02,  0.41377449E+02,  0.41716148E+02,  0.42064289E+02,  0.42421543E+02,  0.42787621E+02,  0.43162243E+02,  0.43545174E+02,  0.43936192E+02,  0.44335110E+02,  0.44741768E+02,  0.45156036E+02,  0.45577789E+02,  0.46006950E+02,  0.46443459E+02,  0.46887264E+02,  0.47338383E+02,  0.47796806E+02,  0.48262585E+02,  0.48735783E+02,  0.49216480E+02,  0.49704819E+02,  0.50200928E+02,  0.50704983E+02,  0.51217224E+02,  0.51737755E+02,  0.52267334E+02,  0.52804489E+02,  0.53356163E+02,  0.53898109E+02,  0.54522720E+02,  0.54887157E+02
 -0.75000000E+01, -0.76724312E+02, -0.75100502E+02, -0.72276321E+02, -0.69742096E+02, -0.67082748E+02, -0.64395706E+02, -0.61643253E+02, -0.58826279E+02, -0.55937824E+02, -0.52975662E+02, -0.49938984E+02, -0.46829342E+02, -0.43650322E+02, -0.40407524E+02, -0.37108475E+02, -0.33762363E+02, -0.30379940E+02, -0.26973186E+02, -0.23555103E+02, -0.20139393E+02, -0.16740170E+02, -0.13371685E+02, -0.10047998E+02, -0.67827582E+01, -0.35888934E+01, -0.47844446E+00,  0.25376062E+01,  0.54495225E+01,  0.82488480E+01,  0.10928478E+02,  0.13482699E+02,  0.15907106E+02,  0.18198601E+02,  0.20355270E+02,  0.22376331E+02,  0.24262005E+02,  0.26013395E+02,  0.27632433E+02,  0.29121708E+02,  0.30484421E+02,  0.31724277E+02,  0.32845394E+02,  0.33852283E+02,  0.34749744E+02,  0.35542831E+02,  0.36236794E+02,  0.36837105E+02,  0.37349346E+02,  0.37779202E+02,  0.38132462E+02,  0.38414959E+02,  0.38632549E+02,  0.38791103E+02,  0.38896427E+02,  0.38954254E+02,  0.38970276E+02,  0.38950005E+02,  0.38898777E+02,  0.38821796E+02,  0.38723988E+02,  0.38610050E+02,  0.38484406E+02,  0.38351189E+02,  0.38214222E+02,  0.38077007E+02,  0.37942715E+02,  0.37814201E+02,  0.37693989E+02,  0.37584278E+02,  0.37486969E+02,  0.37403660E+02,  0.37335682E+02,  0.37284100E+02,  0.37249748E+02,  0.37233234E+02,  0.37234978E+02,  0.37255234E+02,  0.37294090E+02,  0.37351509E+02,  0.37427345E+02,  0.37521358E+02,  0.37633224E+02,  0.37762558E+02,  0.37908932E+02,  0.38071873E+02,  0.38250893E+02,  0.38445469E+02,  0.38655083E+02,  0.38879215E+02,  0.39117340E+02,  0.39368942E+02,  0.39633530E+02,  0.39910610E+02,  0.40199718E+02,  0.40500412E+02,  0.40812260E+02,  0.41134865E+02,  0.41467846E+02,  0.41810852E+02,  0.42163555E+02,  0.42525646E+02,  0.42896851E+02,  0.43276917E+02,  0.43665611E+02,  0.44062733E+02,  0.44468105E+02,  0.44881565E+02,  0.45303001E+02,  0.45732292E+02,  0.46169357E+02,  0.46614151E+02,  0.47066639E+02,  0.47526814E+02,  0.47994698E+02,  0.48470352E+02,  0.48953823E+02,  0.49445236E+02,  0.49944714E+02,  0.50452412E+02,  0.50968536E+02,  0.51493298E+02,  0.52027004E+02,  0.52569798E+02,  0.53122543E+02,  0.53683743E+02,  0.54260757E+02,  0.54828194E+02,  0.55483196E+02,  0.55865662E+02
 -0.73750000E+01, -0.72301483E+02, -0.70667847E+02, -0.67843796E+02, -0.65341530E+02, -0.62740372E+02, -0.60139397E+02, -0.57500454E+02, -0.54824245E+02, -0.52103306E+02, -0.49334644E+02, -0.46516361E+02, -0.43648586E+02, -0.40733116E+02, -0.37773464E+02, -0.34774727E+02, -0.31743416E+02, -0.28687294E+02, -0.25615248E+02, -0.22537001E+02, -0.19462925E+02, -0.16403837E+02, -0.13370768E+02, -0.10374705E+02, -0.74264002E+01, -0.45362248E+01, -0.17139359E+01,  0.10314528E+01,  0.36917474E+01,  0.62596965E+01,  0.87290430E+01,  0.11094558E+02,  0.13352017E+02,  0.15498184E+02,  0.17530819E+02,  0.19448566E+02,  0.21250919E+02,  0.22938154E+02,  0.24511238E+02,  0.25971779E+02,  0.27321941E+02,  0.28564365E+02,  0.29702156E+02,  0.30738764E+02,  0.31677961E+02,  0.32523823E+02,  0.33280624E+02,  0.33952850E+02,  0.34545151E+02,  0.35062325E+02,  0.35509224E+02,  0.35890808E+02,  0.36212090E+02,  0.36478043E+02,  0.36693668E+02,  0.36863922E+02,  0.36993671E+02,  0.37087700E+02,  0.37150654E+02,  0.37187035E+02,  0.37201180E+02,  0.37197208E+02,  0.37179035E+02,  0.37150349E+02,  0.37114578E+02,  0.37074905E+02,  0.37034245E+02,  0.36995243E+02,  0.36960293E+02,  0.36931511E+02,  0.36910770E+02,  0.36899689E+02,  0.36899658E+02,  0.36911839E+02,  0.36937199E+02,  0.36976501E+02,  0.37030350E+02,  0.37099174E+02,  0.37183273E+02,  0.37282825E+02,  0.37397888E+02,  0.37528427E+02,  0.37674335E+02,  0.37835434E+02,  0.38011478E+02,  0.38202194E+02,  0.38407261E+02,  0.38626335E+02,  0.38859051E+02,  0.39105038E+02,  0.39363903E+02,  0.39635273E+02,  0.39918758E+02,  0.40213985E+02,  0.40520584E+02,  0.40838207E+02,  0.41166508E+02,  0.41505165E+02,  0.41853867E+02,  0.42212334E+02,  0.42580284E+02,  0.42957481E+02,  0.43343685E+02,  0.43738697E+02,  0.44142330E+02,  0.44554417E+02,  0.44974815E+02,  0.45403419E+02,  0.45840115E+02,  0.46284832E+02,  0.46737541E+02,  0.47198196E+02,  0.47666801E+02,  0.48143383E+02,  0.48628002E+02,  0.49120724E+02,  0.49621666E+02,  0.50130955E+02,  0.50648758E+02,  0.51175282E+02,  0.51710766E+02,  0.52255459E+02,  0.52809708E+02,  0.53373741E+02,  0.53948467E+02,  0.54532387E+02,  0.55133247E+02,  0.55724548E+02,  0.56407890E+02,  0.56807125E+02
 -0.72500000E+01, -0.67539772E+02, -0.65934273E+02, -0.63172440E+02, -0.60750179E+02, -0.58251083E+02, -0.55772961E+02, -0.53277729E+02, -0.50765686E+02, -0.48228909E+02, -0.45663681E+02, -0.43067192E+02, -0.40438416E+02, -0.37777767E+02, -0.35087132E+02, -0.32369724E+02, -0.29630007E+02, -0.26873508E+02, -0.24106709E+02, -0.21336876E+02, -0.18571884E+02, -0.15819996E+02, -0.13089771E+02, -0.10389853E+02, -0.77287579E+01, -0.51148081E+01, -0.25559413E+01, -0.59609905E-01,  0.23673253E+01,  0.47186871E+01,  0.69889846E+01,  0.91735058E+01,  0.11268339E+02,  0.13270304E+02,  0.15177013E+02,  0.16986830E+02,  0.18698763E+02,  0.20312513E+02,  0.21828417E+02,  0.23247316E+02,  0.24570583E+02,  0.25800051E+02,  0.26937954E+02,  0.27986902E+02,  0.28949791E+02,  0.29829830E+02,  0.30630468E+02,  0.31355322E+02,  0.32008221E+02,  0.32593128E+02,  0.33114113E+02,  0.33575321E+02,  0.33980980E+02,  0.34335327E+02,  0.34642620E+02,  0.34907078E+02,  0.35132877E+02,  0.35324158E+02,  0.35484924E+02,  0.35619080E+02,  0.35730412E+02,  0.35822533E+02,  0.35898891E+02,  0.35962761E+02,  0.36017208E+02,  0.36065098E+02,  0.36109093E+02,  0.36151623E+02,  0.36194920E+02,  0.36240993E+02,  0.36291634E+02,  0.36348442E+02,  0.36412807E+02,  0.36485943E+02,  0.36568871E+02,  0.36662460E+02,  0.36767418E+02,  0.36884315E+02,  0.37013588E+02,  0.37155563E+02,  0.37310455E+02,  0.37478401E+02,  0.37659451E+02,  0.37853577E+02,  0.38060703E+02,  0.38280704E+02,  0.38513412E+02,  0.38758617E+02,  0.39016102E+02,  0.39285606E+02,  0.39566875E+02,  0.39859638E+02,  0.40163616E+02,  0.40478535E+02,  0.40804115E+02,  0.41140091E+02,  0.41486202E+02,  0.41842194E+02,  0.42207832E+02,  0.42582882E+02,  0.42967140E+02,  0.43360409E+02,  0.43762505E+02,  0.44173271E+02,  0.44592560E+02,  0.45020252E+02,  0.45456242E+02,  0.45900448E+02,  0.46352795E+02,  0.46813251E+02,  0.47281799E+02,  0.47758442E+02,  0.48243210E+02,  0.48736149E+02,  0.49237343E+02,  0.49746891E+02,  0.50264954E+02,  0.50791664E+02,  0.51327229E+02,  0.51871895E+02,  0.52425919E+02,  0.52989609E+02,  0.53563343E+02,  0.54147369E+02,  0.54742687E+02,  0.55347767E+02,  0.55970692E+02,  0.56583984E+02,  0.57293224E+02,  0.57707737E+02
 -0.71250000E+01, -0.62373615E+02, -0.60835060E+02, -0.58198879E+02, -0.55905804E+02, -0.53553932E+02, -0.51236916E+02, -0.48917534E+02, -0.46595516E+02, -0.44262543E+02, -0.41914402E+02, -0.39547585E+02, -0.37160187E+02, -0.34751610E+02, -0.32322498E+02, -0.29874712E+02, -0.27411158E+02, -0.24935726E+02, -0.22453100E+02, -0.19968706E+02, -0.17488510E+02, -0.15018897E+02, -0.12566557E+02, -0.10138291E+02, -0.77409363E+01, -0.53812270E+01, -0.30656438E+01, -0.80035734E+00,  0.14088182E+01,  0.35566049E+01,  0.56382270E+01,  0.76494770E+01,  0.95867395E+01,  0.11446995E+02,  0.13227845E+02,  0.14927478E+02,  0.16544657E+02,  0.18078678E+02,  0.19529388E+02,  0.20897087E+02,  0.22182556E+02,  0.23386969E+02,  0.24511868E+02,  0.25559158E+02,  0.26531019E+02,  0.27429934E+02,  0.28258602E+02,  0.29019926E+02,  0.29716984E+02,  0.30353031E+02,  0.30931412E+02,  0.31455578E+02,  0.31929052E+02,  0.32355389E+02,  0.32738201E+02,  0.33081055E+02,  0.33387524E+02,  0.33661144E+02,  0.33905357E+02,  0.34123543E+02,  0.34318977E+02,  0.34494816E+02,  0.34654087E+02,  0.34799679E+02,  0.34934315E+02,  0.35060562E+02,  0.35180824E+02,  0.35297321E+02,  0.35412102E+02,  0.35527042E+02,  0.35643845E+02,  0.35764034E+02,  0.35888977E+02,  0.36019878E+02,  0.36157787E+02,  0.36303616E+02,  0.36458138E+02,  0.36622005E+02,  0.36795750E+02,  0.36979801E+02,  0.37174496E+02,  0.37380085E+02,  0.37596733E+02,  0.37824547E+02,  0.38063572E+02,  0.38313805E+02,  0.38575199E+02,  0.38847664E+02,  0.39131088E+02,  0.39425331E+02,  0.39730232E+02,  0.40045624E+02,  0.40371315E+02,  0.40707127E+02,  0.41052860E+02,  0.41408325E+02,  0.41773331E+02,  0.42147697E+02,  0.42531246E+02,  0.42923809E+02,  0.43325230E+02,  0.43735359E+02,  0.44154072E+02,  0.44581242E+02,  0.45016773E+02,  0.45460579E+02,  0.45912582E+02,  0.46372746E+02,  0.46841026E+02,  0.47317421E+02,  0.47801929E+02,  0.48294579E+02,  0.48795448E+02,  0.49304596E+02,  0.49822113E+02,  0.50348152E+02,  0.50882881E+02,  0.51426456E+02,  0.51979118E+02,  0.52541126E+02,  0.53112770E+02,  0.53694382E+02,  0.54286377E+02,  0.54889019E+02,  0.55503361E+02,  0.56127853E+02,  0.56770859E+02,  0.57404015E+02,  0.58136417E+02,  0.58564529E+02
 -0.70000000E+01, -0.56762089E+02, -0.55330280E+02, -0.52884705E+02, -0.50771011E+02, -0.48612545E+02, -0.46496037E+02, -0.44385963E+02, -0.42281422E+02, -0.40174042E+02, -0.38059242E+02, -0.35933086E+02, -0.33793137E+02, -0.31638103E+02, -0.29467813E+02, -0.27283163E+02, -0.25085978E+02, -0.22878946E+02, -0.20665510E+02, -0.18449745E+02, -0.16236208E+02, -0.14029915E+02, -0.11836133E+02, -0.96603327E+01, -0.75080495E+01, -0.53847775E+01, -0.32959151E+01, -0.12466365E+01,  0.75812495E+00,  0.27138186E+01,  0.46162548E+01,  0.64616609E+01,  0.82467318E+01,  0.99686279E+01,  0.11624984E+02,  0.13213929E+02,  0.14734035E+02,  0.16184355E+02,  0.17564390E+02,  0.18874018E+02,  0.20113548E+02,  0.21283640E+02,  0.22385300E+02,  0.23419849E+02,  0.24388851E+02,  0.25294184E+02,  0.26137911E+02,  0.26922300E+02,  0.27649820E+02,  0.28323059E+02,  0.28944742E+02,  0.29517704E+02,  0.30044861E+02,  0.30529156E+02,  0.30973606E+02,  0.31381235E+02,  0.31755035E+02,  0.32098022E+02,  0.32413139E+02,  0.32703281E+02,  0.32971275E+02,  0.33219856E+02,  0.33451664E+02,  0.33669231E+02,  0.33874966E+02,  0.34071148E+02,  0.34259926E+02,  0.34443306E+02,  0.34623161E+02,  0.34801216E+02,  0.34979053E+02,  0.35158115E+02,  0.35339706E+02,  0.35524998E+02,  0.35715027E+02,  0.35910721E+02,  0.36112877E+02,  0.36322189E+02,  0.36539253E+02,  0.36764568E+02,  0.36998539E+02,  0.37241501E+02,  0.37493717E+02,  0.37755386E+02,  0.38026646E+02,  0.38307587E+02,  0.38598255E+02,  0.38898666E+02,  0.39208794E+02,  0.39528587E+02,  0.39857979E+02,  0.40196877E+02,  0.40545177E+02,  0.40902771E+02,  0.41269539E+02,  0.41645355E+02,  0.42030094E+02,  0.42423637E+02,  0.42825863E+02,  0.43236652E+02,  0.43655907E+02,  0.44083523E+02,  0.44519409E+02,  0.44963493E+02,  0.45415707E+02,  0.45876003E+02,  0.46344341E+02,  0.46820705E+02,  0.47305088E+02,  0.47797504E+02,  0.48298000E+02,  0.48806614E+02,  0.49323418E+02,  0.49848530E+02,  0.50382069E+02,  0.50924171E+02,  0.51475025E+02,  0.52034828E+02,  0.52603832E+02,  0.53182301E+02,  0.53770542E+02,  0.54368919E+02,  0.54977837E+02,  0.55597607E+02,  0.56229298E+02,  0.56871304E+02,  0.57532265E+02,  0.58183006E+02,  0.58935623E+02,  0.59375534E+02
