theta_rad / psi_index,   1,   2,   3,   4,   5,   6,   7,   8,   9,  10,  11,  12,  13,  14,  15,  16,  17,  18,  19,  20,  21,  22,  23,  24,  25,  26,  27,  28,  29,  30,  31,  32,  33,  34,  35,  36,  37,  38,  39,  40,  41,  42,  43,  44,  45,  46,  47,  48,  49,  50
  0.98174770E+00,  0.88825232E+00,  0.93944949E+00,  0.99141455E+00,  0.10442923E+01,  0.10970821E+01,  0.11496431E+01,  0.12018427E+01,  0.12538630E+01,  0.13059434E+01,  0.13584360E+01,  0.14115468E+01,  0.14653668E+01,  0.15199114E+01,  0.15752273E+01,  0.16313748E+01,  0.16883397E+01,  0.17461249E+01,  0.18048364E+01,  0.18643980E+01,  0.19242280E+01,  0.19845538E+01,  0.20449553E+01,  0.21014693E+01,  0.21545224E+01,  0.22081089E+01,  0.22634261E+01,  0.23205245E+01,  0.23794682E+01,  0.24403925E+01,  0.25034242E+01,  0.25687149E+01,  0.26364565E+01,  0.27068775E+01,  0.27802665E+01,  0.28569946E+01,  0.29375710E+01,  0.30227118E+01,  0.31133788E+01,  0.32108657E+01,  0.33176267E+01,  0.34377594E+01,  0.35790963E+01,  0.37559962E+01,  0.39433620E+01,  0.40089388E+01,  0.40745149E+01,  0.41400914E+01,  0.42056680E+01,  0.42712445E+01,  0.43368211E+01
  0.10799225E+01,  0.88825232E+00,  0.94362020E+00,  0.99978012E+00,  0.10568578E+01,  0.11137394E+01,  0.11703129E+01,  0.12264379E+01,  0.12822888E+01,  0.13382081E+01,  0.13945590E+01,  0.14515477E+01,  0.15092826E+01,  0.15677897E+01,  0.16271194E+01,  0.16873199E+01,  0.17484044E+01,  0.18103361E+01,  0.18731399E+01,  0.19369031E+01,  0.20012803E+01,  0.20663657E+01,  0.21307471E+01,  0.21906528E+01,  0.22473552E+01,  0.23048151E+01,  0.23640623E+01,  0.24252038E+01,  0.24883404E+01,  0.25536320E+01,  0.26212263E+01,  0.26912808E+01,  0.27640011E+01,  0.28396368E+01,  0.29184978E+01,  0.30009837E+01,  0.30876422E+01,  0.31792510E+01,  0.32768369E+01,  0.33818009E+01,  0.34967551E+01,  0.36259325E+01,  0.37772205E+01,  0.39655995E+01,  0.41658964E+01,  0.42351737E+01,  0.43044505E+01,  0.43737278E+01,  0.44430051E+01,  0.45122819E+01,  0.45815592E+01
  0.11780972E+01,  0.88825232E+00,  0.94737786E+00,  0.10073336E+01,  0.10681598E+01,  0.11286846E+01,  0.11888248E+01,  0.12483995E+01,  0.13076168E+01,  0.13669233E+01,  0.14266526E+01,  0.14870497E+01,  0.15482551E+01,  0.16102784E+01,  0.16731253E+01,  0.17368742E+01,  0.18015318E+01,  0.18671571E+01,  0.19339191E+01,  0.20015187E+01,  0.20692294E+01,  0.21377711E+01,  0.22068050E+01,  0.22706966E+01,  0.23300393E+01,  0.23901722E+01,  0.24528892E+01,  0.25178015E+01,  0.25847442E+01,  0.26539958E+01,  0.27258027E+01,  0.28003063E+01,  0.28777163E+01,  0.29583108E+01,  0.30424273E+01,  0.31304963E+01,  0.32231104E+01,  0.33211122E+01,  0.34255793E+01,  0.35380077E+01,  0.36610892E+01,  0.37992625E+01,  0.39610064E+01,  0.41627603E+01,  0.43771610E+01,  0.44499512E+01,  0.45227418E+01,  0.45955319E+01,  0.46683221E+01,  0.47411127E+01,  0.48139029E+01
  0.12762720E+01,  0.88825232E+00,  0.95059383E+00,  0.10138277E+01,  0.10778556E+01,  0.11414782E+01,  0.12046385E+01,  0.12670908E+01,  0.13291541E+01,  0.13912970E+01,  0.14538591E+01,  0.15171525E+01,  0.15813065E+01,  0.16462717E+01,  0.17120928E+01,  0.17788817E+01,  0.18466986E+01,  0.19155948E+01,  0.19853559E+01,  0.20560007E+01,  0.21276672E+01,  0.21999645E+01,  0.22704372E+01,  0.23368473E+01,  0.24001212E+01,  0.24634078E+01,  0.25285096E+01,  0.25964139E+01,  0.26668556E+01,  0.27397406E+01,  0.28153954E+01,  0.28940494E+01,  0.29758947E+01,  0.30612311E+01,  0.31504352E+01,  0.32439697E+01,  0.33424764E+01,  0.34468641E+01,  0.35582860E+01,  0.36783319E+01,  0.38100009E+01,  0.39579892E+01,  0.41308393E+01,  0.43464937E+01,  0.45752764E+01,  0.46513615E+01,  0.47274461E+01,  0.48035312E+01,  0.48796163E+01,  0.49557009E+01,  0.50317860E+01
  0.13744468E+01,  0.88825232E+00,  0.95310587E+00,  0.10189471E+01,  0.10855117E+01,  0.11515882E+01,  0.12171115E+01,  0.12817895E+01,  0.13460861E+01,  0.14104255E+01,  0.14752195E+01,  0.15408251E+01,  0.16073041E+01,  0.16746064E+01,  0.17428495E+01,  0.18121219E+01,  0.18824288E+01,  0.19536841E+01,  0.20261505E+01,  0.21000094E+01,  0.21737783E+01,  0.22476120E+01,  0.23229618E+01,  0.23926630E+01,  0.24559226E+01,  0.25201700E+01,  0.25884242E+01,  0.26594059E+01,  0.27326396E+01,  0.28087552E+01,  0.28879898E+01,  0.29704535E+01,  0.30564494E+01,  0.31463106E+01,  0.32404335E+01,  0.33393376E+01,  0.34437213E+01,  0.35545878E+01,  0.36732144E+01,  0.38013122E+01,  0.39421458E+01,  0.41006393E+01,  0.42854667E+01,  0.45160275E+01,  0.47592754E+01,  0.48384204E+01,  0.49175653E+01,  0.49967098E+01,  0.50758548E+01,  0.51549997E+01,  0.52341442E+01
  0.14726216E+01,  0.88825232E+00,  0.95473099E+00,  0.10223317E+01,  0.10906225E+01,  0.11583848E+01,  0.12255150E+01,  0.12916998E+01,  0.13575222E+01,  0.14233570E+01,  0.14897097E+01,  0.15569385E+01,  0.16250523E+01,  0.16940506E+01,  0.17640498E+01,  0.18350875E+01,  0.19071288E+01,  0.19803199E+01,  0.20551729E+01,  0.21307218E+01,  0.22059674E+01,  0.22839074E+01,  0.23609183E+01,  0.24288063E+01,  0.24934516E+01,  0.25610387E+01,  0.26313744E+01,  0.27041774E+01,  0.27799513E+01,  0.28588765E+01,  0.29411323E+01,  0.30270054E+01,  0.31167991E+01,  0.32108691E+01,  0.33096700E+01,  0.34137871E+01,  0.35240049E+01,  0.36414199E+01,  0.37674894E+01,  0.39040411E+01,  0.40545549E+01,  0.42244415E+01,  0.44224949E+01,  0.46674395E+01,  0.49244809E+01,  0.50063729E+01,  0.50882649E+01,  0.51701570E+01,  0.52520494E+01,  0.53339415E+01,  0.54158335E+01
  0.15707963E+01,  0.88825232E+00,  0.95530796E+00,  0.10236522E+01,  0.10927224E+01,  0.11612785E+01,  0.12291725E+01,  0.12960787E+01,  0.13626400E+01,  0.14292079E+01,  0.14963548E+01,  0.15644252E+01,  0.16334180E+01,  0.17033597E+01,  0.17743334E+01,  0.18463701E+01,  0.19194747E+01,  0.19939553E+01,  0.20700948E+01,  0.21465709E+01,  0.22235031E+01,  0.23032320E+01,  0.23790879E+01,  0.24475856E+01,  0.25145588E+01,  0.25833776E+01,  0.26544576E+01,  0.27287958E+01,  0.28064113E+01,  0.28873892E+01,  0.29720719E+01,  0.30607481E+01,  0.31537569E+01,  0.32515049E+01,  0.33545117E+01,  0.34634376E+01,  0.35791719E+01,  0.37029655E+01,  0.38364067E+01,  0.39815588E+01,  0.41421738E+01,  0.43240318E+01,  0.45356040E+01,  0.47949986E+01,  0.50590382E+01,  0.51431680E+01,  0.52272978E+01,  0.53114276E+01,  0.53955574E+01,  0.54796867E+01,  0.55638165E+01
  0.16689711E+01,  0.88825232E+00,  0.95476180E+00,  0.10227356E+01,  0.10915542E+01,  0.11599257E+01,  0.12276642E+01,  0.12944286E+01,  0.13608719E+01,  0.14273515E+01,  0.14944468E+01,  0.15625046E+01,  0.16315362E+01,  0.17015594E+01,  0.17726537E+01,  0.18448718E+01,  0.19182260E+01,  0.19929930E+01,  0.20694339E+01,  0.21463296E+01,  0.22236741E+01,  0.23036244E+01,  0.23797836E+01,  0.24486034E+01,  0.25156150E+01,  0.25845089E+01,  0.26560819E+01,  0.27310379E+01,  0.28094947E+01,  0.28917012E+01,  0.29778926E+01,  0.30684259E+01,  0.31637020E+01,  0.32641666E+01,  0.33704157E+01,  0.34831922E+01,  0.36035159E+01,  0.37327757E+01,  0.38727896E+01,  0.40258355E+01,  0.41959090E+01,  0.43889747E+01,  0.46128726E+01,  0.48795347E+01,  0.51308899E+01,  0.52162142E+01,  0.53015389E+01,  0.53868637E+01,  0.54721880E+01,  0.55575128E+01,  0.56428370E+01
  0.17671459E+01,  0.88825232E+00,  0.95314413E+00,  0.10196562E+01,  0.10871656E+01,  0.11543143E+01,  0.12209344E+01,  0.12866720E+01,  0.13521159E+01,  0.14176437E+01,  0.14837929E+01,  0.15509298E+01,  0.16190910E+01,  0.16882674E+01,  0.17585565E+01,  0.18300445E+01,  0.19027096E+01,  0.19766860E+01,  0.20524259E+01,  0.21289990E+01,  0.22054176E+01,  0.22845566E+01,  0.23620765E+01,  0.24303391E+01,  0.24952743E+01,  0.25631499E+01,  0.26346779E+01,  0.27092566E+01,  0.27874024E+01,  0.28696392E+01,  0.29560771E+01,  0.30471048E+01,  0.31431684E+01,  0.32447643E+01,  0.33525405E+01,  0.34673216E+01,  0.35902238E+01,  0.37227693E+01,  0.38669121E+01,  0.40250592E+01,  0.42012701E+01,  0.44011006E+01,  0.46293597E+01,  0.48809409E+01,  0.50863423E+01,  0.51709261E+01,  0.52555099E+01,  0.53400936E+01,  0.54246774E+01,  0.55092611E+01,  0.55938449E+01
  0.18653206E+01,  0.88825232E+00,  0.95060778E+00,  0.10146859E+01,  0.10798798E+01,  0.11448318E+01,  0.12094173E+01,  0.12732464E+01,  0.13368015E+01,  0.14005103E+01,  0.14648288E+01,  0.15301286E+01,  0.15964888E+01,  0.16638832E+01,  0.17323990E+01,  0.18021711E+01,  0.18731788E+01,  0.19453830E+01,  0.20192347E+01,  0.20944917E+01,  0.21693869E+01,  0.22454519E+01,  0.23223372E+01,  0.23914084E+01,  0.24547586E+01,  0.25198705E+01,  0.25895464E+01,  0.26627381E+01,  0.27394965E+01,  0.28202972E+01,  0.29053898E+01,  0.29951608E+01,  0.30900455E+01,  0.31905661E+01,  0.32973804E+01,  0.34113324E+01,  0.35335417E+01,  0.36655211E+01,  0.38091483E+01,  0.39665866E+01,  0.41412826E+01,  0.43368726E+01,  0.45509419E+01,  0.47548842E+01,  0.48915310E+01,  0.49728751E+01,  0.50542192E+01,  0.51355634E+01,  0.52169075E+01,  0.52982516E+01,  0.53795958E+01
