psi_index,theta_index,theta_rad,R_m,Z_m,PSIP
   2,   5,  0.39269908E+00,  0.85993280E+01,  0.90980202E+00,  0.26496535E-01
   2,   6,  0.49087385E+00,  0.85980120E+01,  0.91506910E+00,  0.26496535E-01
   2,   7,  0.58904862E+00,  0.85963860E+01,  0.92024863E+00,  0.26496535E-01
   2,   8,  0.68722339E+00,  0.85944338E+01,  0.92531413E+00,  0.26496535E-01
   2,   9,  0.78539816E+00,  0.85921373E+01,  0.93023282E+00,  0.26496535E-01
   2,  10,  0.88357293E+00,  0.85894747E+01,  0.93496281E+00,  0.26496535E-01
   2,  11,  0.98174770E+00,  0.85864201E+01,  0.93944949E+00,  0.26496535E-01
   2,  12,  0.10799225E+01,  0.85829468E+01,  0.94362020E+00,  0.26496535E-01
   2,  13,  0.11780972E+01,  0.85790319E+01,  0.94737786E+00,  0.26496535E-01
   2,  14,  0.12762720E+01,  0.85746632E+01,  0.95059383E+00,  0.26496535E-01
   2,  15,  0.13744468E+01,  0.85698566E+01,  0.95310587E+00,  0.26496535E-01
   2,  16,  0.14726216E+01,  0.85646839E+01,  0.95473099E+00,  0.26496535E-01
   2,  17,  0.15707963E+01,  0.85592947E+01,  0.95530796E+00,  0.26496535E-01
   2,  18,  0.16689711E+01,  0.85539026E+01,  0.95476180E+00,  0.26496535E-01
   2,  19,  0.17671459E+01,  0.85487280E+01,  0.95314413E+00,  0.26496535E-01
   2,  20,  0.18653206E+01,  0.85439348E+01,  0.95060778E+00,  0.26496535E-01
   2,  21,  0.19634954E+01,  0.85396042E+01,  0.94734097E+00,  0.26496535E-01
   2,  22,  0.20616702E+01,  0.85357552E+01,  0.94351637E+00,  0.26496535E-01
   2,  23,  0.21598449E+01,  0.85323744E+01,  0.93927097E+00,  0.26496535E-01
   2,  24,  0.22580197E+01,  0.85294342E+01,  0.93470883E+00,  0.26496535E-01
   2,  25,  0.23561945E+01,  0.85269012E+01,  0.92990786E+00,  0.26496535E-01
   2,  26,  0.24543693E+01,  0.85247450E+01,  0.92492586E+00,  0.26496535E-01
   2,  27,  0.25525440E+01,  0.85229387E+01,  0.91980654E+00,  0.26496535E-01
   2,  28,  0.26507188E+01,  0.85214586E+01,  0.91458338E+00,  0.26496535E-01
   2,  29,  0.27488936E+01,  0.85202866E+01,  0.90928268E+00,  0.26496535E-01
   2,  30,  0.28470683E+01,  0.85194054E+01,  0.90392560E+00,  0.26496535E-01
